Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,71306000000.0,58580000000.0,12726000000.0,,2441686500.0,475000000.0,315000000.0,619579000.0,1835000000.0,388000000.0,1446322800.0,1446000000.0,2.82,0.1785,0.0342,0.0257,0.0203,0.0163,3443000000.0,2441689500.0,2.8228,2.8406,2.8406,1446322800.0,1446000000.0,0.0483,0.0258,SYY
2022-06-30 00:00:00,68636000000.0,56423000000.0,12213000000.0,,2339036100.0,470000000.0,386000000.0,623643000.0,1747000000.0,388000000.0,1358767800.0,1358000000.0,2.64,0.1779,0.0341,0.0255,0.0198,0.0172,3341000000.0,2339039100.0,2.6435,2.661,2.661,1358767800.0,1358000000.0,0.0487,0.0261,SYY
2022-03-31 00:00:00,65815890000.0,54100110000.0,11715778000.0,,2142003900.0,436000000.0,-128666000.0,936280000.0,1247018000.0,246925000.0,999872000.0,999093000.0,1.94,0.178,0.0325,0.0189,0.0152,0.0103,3101249600.0,2142004900.0,1.9425,1.9564,1.9564,999872000.0,999093000.0,0.0471,0.0178,SYY
2021-12-31 00:00:00,60738480000.0,49886031000.0,10852446000.0,,1882192400.0,457000000.0,-319731000.0,958035000.0,964870000.0,178850000.0,785474000.0,785020000.0,1.52,0.1787,0.031,0.0159,0.0129,0.0149,2810027600.0,1882193400.0,1.5231,1.5337,1.5337,785474000.0,785020000.0,0.0463,0.0221,SYY
2021-09-30 00:00:00,55977460000.0,45890555000.0,10086904000.0,8307000000.0,1649345700.0,482000000.0,-628673000.0,861634000.0,832990000.0,147681000.0,685322000.0,685309000.0,1.32,0.1802,0.0295,0.0149,0.0122,0.0118,2558146100.0,1649346700.0,1.3289,1.338,1.338,685322000.0,685309000.0,0.0457,0.0194,SYY
2021-06-30 00:00:00,51297840000.0,41941089000.0,9356749000.0,7732000000.0,1437241200.0,505000000.0,-852514000.0,880137000.0,584728000.0,60519000.0,524209000.0,524209000.0,1.02,0.1824,0.028,0.0114,0.0102,0.0291,2315178200.0,1437242200.0,1.0207,1.0264,1.0264,524209000.0,524209000.0,0.0451,0.0371,SYY
2021-03-31 00:00:00,44027512000.0,36020887000.0,8006624000.0,7247000000.0,335976600.0,582000000.0,-629513000.0,603257000.0,-293535000.0,-48232000.0,-245302900.0,-245303000.0,-0.49,0.1819,0.0076,-0.0067,-0.0056,0.0383,1393047600.0,335976600.0,-0.4642,-0.4747,-0.4747,-245302900.0,-245302900.0,0.0316,0.0459,SYY
2020-12-31 00:00:00,45901622000.0,37453426000.0,8448196000.0,7790000000.0,160334000.0,510000000.0,-585502000.0,541338000.0,-425167000.0,-87640000.0,-337526900.0,-337527000.0,-0.67,0.1841,0.0035,-0.0093,-0.0074,0.0293,1298104000.0,160334000.0,-0.6434,-0.6552,-0.6552,-337526900.0,-337526900.0,0.0283,0.0392,SYY
2020-09-30 00:00:00,49367682000.0,40189542000.0,9178137000.0,8177000000.0,500764700.0,430000000.0,-530515000.0,471602000.0,-29749000.0,-8343000.0,-21405900.0,-21406000.0,-0.05,0.1859,0.0101,-0.0006,-0.0004,0.0362,1635977700.0,500764700.0,-0.0309,-0.0353,-0.0353,-21405900.0,-21405900.0,0.0331,0.0482,SYY
2020-06-30 00:00:00,52893302000.0,42991638000.0,9901662000.0,,749504000.0,,-456121000.0,408220000.0,293384000.0,77909000.0,215475100.0,215475000.0,0.4,0.1872,0.0142,0.0055,0.0041,0.0175,1889514000.0,749504000.0,0.4191,0.4224,0.4224,215475100.0,215475100.0,0.0357,0.0306,SYY
