Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3745800000.0,1685400000.0,2060400000.0,543800000.0,958500000.0,542000400.0,62900000.0,134200000.0,62900000.0,596100000.0,116700000.0,479400000.0,479400000.0,1.9,0.5501,0.1447,0.1591,0.128,0.1039,768000000.0,542000200.0,1.9047,1.9198,1.9198,479400000.0,479400000.0,0.205,0.1176,TRMB
2022-06-30 00:00:00,3762300000.0,1720300000.0,2042000000.0,549300000.0,916000000.0,567100400.0,63200000.0,168900000.0,63200000.0,634900000.0,117300000.0,517600000.0,517600000.0,2.05,0.5428,0.1507,0.1688,0.1376,0.1251,787100000.0,567100200.0,2.0472,2.0656,2.0656,517600000.0,517600000.0,0.2092,0.1391,TRMB
2022-03-31 00:00:00,3766300000.0,1725100000.0,2041200000.0,547500000.0,895000000.0,577000400.0,64500000.0,77600000.0,64500000.0,575700000.0,87200000.0,488500000.0,488500000.0,1.93,0.542,0.1532,0.1529,0.1297,0.1715,787500000.0,577000200.0,1.9235,1.9437,1.9437,488500000.0,488500000.0,0.2091,0.1793,TRMB
2021-12-31 00:00:00,3659100000.0,1662100000.0,1997000000.0,536600000.0,869400000.0,561000400.0,65400000.0,75400000.0,65400000.0,574600000.0,81800000.0,492800000.0,492700000.0,1.95,0.5458,0.1533,0.157,0.1347,0.1982,762200000.0,561000200.0,1.9378,1.9603,1.9603,492800000.0,492800000.0,0.2083,0.2051,TRMB
2021-09-30 00:00:00,3562800100.0,1589700000.0,1973100200.0,526000000.0,836600000.0,555100000.0,67300000.0,76800000.0,67300000.0,584800000.0,26600000.0,558200000.0,557700000.0,2.22,0.5538,0.1558,0.1641,0.1565,0.2136,747000000.0,555099900.0,2.1994,2.2217,2.2217,558200000.0,558200000.0,0.2097,0.2199,TRMB
2021-06-30 00:00:00,3453500100.0,1526600000.0,1926900200.0,511400000.0,823400000.0,509600000.0,71000000.0,14900000.0,71000000.0,524500000.0,5500000.0,519000000.0,518400000.0,2.07,0.558,0.1476,0.1519,0.1501,0.2229,699000000.0,509599900.0,2.0476,2.0675,2.0675,519000000.0,519000000.0,0.2024,0.231,TRMB
2021-03-31 00:00:00,3241900100.0,1434700000.0,1807200200.0,487100000.0,771000000.0,462400000.0,74000000.0,-9400000.0,74000000.0,453000000.0,9700000.0,443300000.0,442500000.0,1.77,0.5575,0.1426,0.1397,0.1365,0.2141,655800000.0,462399900.0,1.7528,1.768,1.768,443300000.0,443300000.0,0.2023,0.2296,TRMB
2020-12-31 00:00:00,3147700100.0,1392800000.0,1754900200.0,475900000.0,767900000.0,419799900.0,77600000.0,-24800000.0,77600000.0,395000000.0,4400000.0,390600000.0,389900000.0,1.56,0.5575,0.1334,0.1255,0.1239,0.1956,617299900.0,419799800.0,1.5481,1.5593,1.5593,390600000.0,390600000.0,0.1961,0.2135,TRMB
2020-09-30 00:00:00,3141999900.0,1395600000.0,1746399900.0,469700000.0,787100000.0,386099700.0,79900000.0,-44100000.0,79900000.0,342000000.0,-147300000.0,489300000.0,488900000.0,1.96,0.5558,0.1229,0.1088,0.1556,0.1742,584599700.0,386099900.0,1.9394,1.9544,1.9544,489300000.0,489300000.0,0.1861,0.1928,TRMB
2020-06-30 00:00:00,3133799900.0,1405100000.0,1728699900.0,464100000.0,793000000.0,375799800.0,,-51300000.0,80000000.0,324500000.0,-158100000.0,482600000.0,482300000.0,1.93,0.5516,0.1199,0.1035,0.1539,0.1606,574599800.0,375800000.0,1.9138,1.928,1.928,482600000.0,482600000.0,0.1834,0.1796,TRMB
2020-03-31 00:00:00,3254999900.0,1471400000.0,1783599900.0,469700000.0,829300000.0,387899800.0,,-38900000.0,81000000.0,349000000.0,-165000000.0,514000000.0,513900000.0,2.06,0.548,0.1192,0.1072,0.1579,0.1605,590799800.0,387900000.0,2.0346,2.051,2.051,514000000.0,514000000.0,0.1815,0.1822,TRMB
2019-12-31 00:00:00,3264299900.0,1483400000.0,1780899900.0,469700000.0,834800000.0,375899800.0,,-31100000.0,82400000.0,344800000.0,-169700000.0,514500000.0,514300000.0,2.06,0.5456,0.1152,0.1056,0.1576,0.1582,583099800.0,375900000.0,2.0344,2.0514,2.0514,514500000.0,514500000.0,0.1786,0.1792,TRMB
2019-09-30 00:00:00,3225799900.0,1469700000.0,1756100000.0,462700000.0,828200000.0,377300000.0,,-39800000.0,84600000.0,337500000.0,15600000.0,321900000.0,321500000.0,1.28,0.5444,0.117,0.1046,0.0997,0.1536,591700100.0,377300000.0,1.2693,1.2819,1.2819,321900000.0,321900000.0,0.1834,0.1751,TRMB
2019-06-30 00:00:00,3237099900.0,1476100000.0,1761000000.0,464500000.0,842600000.0,362999900.0,,-40300000.0,87600000.0,322700000.0,5200000.0,317500000.0,317100000.0,1.26,0.544,0.1121,0.0997,0.098,0.1465,586000000.0,362999900.0,1.2501,1.2642,1.2642,317500000.0,317500000.0,0.181,0.1682,TRMB
2019-03-31 00:00:00,3167799900.0,1444700000.0,1723100000.0,455000000.0,836100000.0,342799900.0,,-56300000.0,85600000.0,286500000.0,-500000.0,287000000.0,286600000.0,1.14,0.5439,0.1082,0.0904,0.0905,0.1539,563500000.0,342799900.0,1.1319,1.1453,1.1453,287000000.0,287000000.0,0.1779,0.1741,TRMB
2018-12-31 00:00:00,3108399900.0,1427400000.0,1681000000.0,446100000.0,829600000.0,320700000.0,,-42700000.0,73200000.0,278000000.0,-5300000.0,283300000.0,282800000.0,1.13,0.5408,0.1032,0.0894,0.091,0.1348,535900100.0,320700000.0,1.118,1.1331,1.1331,283300000.0,283300000.0,0.1724,0.1566,TRMB
2018-09-30 00:00:00,3022700000.0,1417400000.0,1605300000.0,431600000.0,806100000.0,286799800.0,,-28200000.0,57600000.0,258600000.0,97900000.0,160700000.0,160400000.0,0.65,0.5311,0.0949,0.0856,0.0531,0.1394,493799800.0,286799900.0,0.6379,0.646,0.646,160700000.0,160700000.0,0.1634,0.1627,TRMB
2018-06-30 00:00:00,2903700000.0,1374100000.0,1529600000.0,410100000.0,768800000.0,275699900.0,,-9300000.0,41200000.0,266400000.0,122200000.0,144200000.0,143900000.0,0.58,0.5268,0.0949,0.0917,0.0496,0.1309,472599800.0,275700000.0,0.5691,0.5782,0.5782,144200000.0,144200000.0,0.1628,0.1529,TRMB
2018-03-31 00:00:00,2778100000.0,1328600000.0,1449500000.0,390800000.0,741800000.0,245200000.0,,6000000.0,28600000.0,251200000.0,123800000.0,127400000.0,127100000.0,0.52,0.5218,0.0883,0.0904,0.0458,0.1268,435399900.0,245200100.0,0.4989,0.5083,0.5083,127400000.0,127400000.0,0.1567,0.1471,TRMB
2017-12-31 00:00:00,2646500000.0,1268900000.0,1377600000.0,370200000.0,701800000.0,235700000.0,,12500000.0,25200000.0,248200000.0,129700000.0,118500000.0,118400000.0,0.48,0.5205,0.0891,0.0938,0.0447,0.1459,419099900.0,235700100.0,0.4617,0.47,0.47,118500000.0,118500000.0,0.1584,0.1624,TRMB
2017-09-30 00:00:00,2532100100.0,1204700000.0,1327400200.0,355100000.0,667800000.0,234700500.0,,21100000.0,24500000.0,255800000.0,63800000.0,192000000.0,192000000.0,0.77,0.5242,0.0927,0.101,0.0758,0.1714,412900400.0,234700400.0,0.7484,0.7612,0.7612,192000000.0,192000000.0,0.1631,0.1843,TRMB
2017-06-30 00:00:00,2440000100.0,1154800000.0,1285200200.0,349400000.0,641600000.0,223700400.0,,12400000.0,24800000.0,236100000.0,62100000.0,174000000.0,174000000.0,0.71,0.5267,0.0917,0.0968,0.0713,0.1883,399600400.0,223700300.0,0.6814,0.6918,0.6918,174000000.0,174000000.0,0.1638,0.2004,TRMB
2017-03-31 00:00:00,2389700100.0,1131500000.0,1258200200.0,350600000.0,629400000.0,205200300.0,,5200000.0,25400000.0,210400000.0,48100000.0,162300000.0,162400000.0,0.65,0.5265,0.0859,0.088,0.068,0.1648,385800300.0,205200200.0,0.6377,0.6469,0.6469,162300000.0,162300000.0,0.1614,0.176,TRMB
2016-12-31 00:00:00,2362100100.0,1127600000.0,1234500200.0,349600000.0,630700000.0,180400300.0,,-4300000.0,25900000.0,176100000.0,43900000.0,132200000.0,132400000.0,0.53,0.5226,0.0764,0.0746,0.0561,0.1715,368200300.0,180400200.0,0.5207,0.5278,0.5278,132200000.0,132200000.0,0.1559,0.1825,TRMB
2016-09-30 00:00:00,2336399800.0,1118100000.0,1218299800.0,352000000.0,631800000.0,158599900.0,,-10400000.0,26300000.0,148200000.0,29800000.0,118400000.0,118700000.0,0.48,0.5214,0.0679,0.0634,0.0508,0.142,353599900.0,158599900.0,0.4675,0.4733,0.4733,118400000.0,118400000.0,0.1513,0.1573,TRMB
2016-06-30 00:00:00,2314599800.0,1107300000.0,1207299800.0,344700000.0,636300000.0,149299900.0,,-9800000.0,26100000.0,139500000.0,23300000.0,116200000.0,116600000.0,0.47,0.5216,0.0645,0.0603,0.0504,0.1378,347699900.0,149299900.0,0.4566,0.4615,0.4615,116200000.0,116200000.0,0.1502,0.1506,TRMB
2016-03-31 00:00:00,2290799800.0,1095200000.0,1195599800.0,337200000.0,633700000.0,144799900.0,,-7800000.0,25800000.0,137000000.0,30600000.0,106400000.0,106800000.0,0.43,0.5219,0.0632,0.0598,0.0466,0.1423,343899900.0,144799900.0,0.415,0.4192,0.4192,106400000.0,106400000.0,0.1501,0.159,TRMB
2015-12-31 00:00:00,2290399800.0,1088200000.0,1202199800.0,336700000.0,629900000.0,154399900.0,,-2600000.0,25600000.0,151800000.0,31100000.0,120700000.0,121100000.0,0.48,0.5249,0.0674,0.0663,0.0529,0.1367,353499900.0,154399900.0,0.467,0.4718,0.4718,120700000.0,120700000.0,0.1543,0.1559,TRMB
2015-09-30 00:00:00,2294500000.0,1092900000.0,1201600000.0,332100000.0,589600000.0,198300000.0,,-3200000.0,28000000.0,195100000.0,42400000.0,152700000.0,152900000.0,0.6,0.5237,0.0864,0.085,0.0666,0.1382,397200000.0,198300100.0,0.5855,0.5919,0.5919,152700000.0,152700000.0,0.1731,0.1626,TRMB
2015-06-30 00:00:00,2317000000.0,1096600000.0,1220400000.0,331500000.0,644500000.0,163400000.0,,-4700000.0,24600000.0,158700000.0,31200000.0,127500000.0,127600000.0,0.5,0.5267,0.0705,0.0685,0.0551,0.1515,360400000.0,163400100.0,0.4862,0.492,0.492,127500000.0,127500000.0,0.1555,0.1711,TRMB
2015-03-31 00:00:00,2373400000.0,1102300000.0,1271100000.0,328800000.0,641100000.0,224600000.0,,-2900000.0,21400000.0,221700000.0,41900000.0,179800000.0,179600000.0,0.7,0.5356,0.0946,0.0934,0.0757,0.1629,417500000.0,224600100.0,0.6811,0.6913,0.6913,179800000.0,179800000.0,0.1759,0.1816,TRMB
