Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,53282000000.0,46803000000.0,6479000000.0,2258000000.0,4410000000.0,,-201000000.0,93000000.0,4149000000.0,900000000.0,3249000000.0,3238000000.0,,0.1216,0.0828,0.0779,0.0608,0.015,,4410000000.0,8.941,,9.0155,,9.0155,3249000000.0,,3249000000.0,0.0,0.0504,TSN
2022-06-30 00:00:00,52356000000.0,44536000000.0,7820000000.0,2284000000.0,5553000000.0,384000000.0,56000000.0,12000000.0,5318000000.0,1248000000.0,4070000000.0,4055000000.0,11.33,0.1494,0.1061,0.1016,0.0775,0.0268,6721000000.0,5553000000.0,11.1797,,11.2565,,11.2565,4070000000.0,,4070000000.0,0.1284,0.0587,TSN
2022-03-31 00:00:00,51339000000.0,43471000000.0,7868000000.0,2264000000.0,5582000000.0,404000000.0,76000000.0,10000000.0,5298000000.0,1228000000.0,4070000000.0,4054000000.0,11.31,0.1533,0.1087,0.1032,0.079,0.0432,6794000000.0,5582000000.0,11.157,,11.2334,,11.2334,4070000000.0,,4070000000.0,0.1323,0.0724,TSN
2021-12-31 00:00:00,49522000000.0,42050000000.0,7472000000.0,2218000000.0,5146000000.0,417000000.0,50000000.0,117000000.0,4835000000.0,1121000000.0,3714000000.0,3701000000.0,10.33,0.1509,0.1039,0.0976,0.0747,0.0517,6458000000.0,5146000000.0,10.1753,,10.24,,10.24,3714000000.0,,3714000000.0,0.1304,0.0785,TSN
2021-09-30 00:00:00,47049000000.0,40337000000.0,6712000000.0,2130000000.0,4396000000.0,427000000.0,47000000.0,224000000.0,4041000000.0,981000000.0,3060000000.0,3047000000.0,8.51,0.1427,0.0934,0.0859,0.0648,0.0559,5786000000.0,4396000000.0,8.3836,,8.4298,,8.4298,3060000000.0,,3060000000.0,0.123,0.0816,TSN
2021-06-30 00:00:00,45698000000.0,40024000000.0,5674000000.0,2211000000.0,3449000000.0,445000000.0,-283000000.0,346000000.0,3043000000.0,684000000.0,2359000000.0,2346000000.0,6.69,0.1242,0.0755,0.0666,0.0513,0.0584,4731000000.0,3449000000.0,6.461,,6.4947,,6.4947,2359000000.0,,2359000000.0,0.1035,0.0836,TSN
2021-03-31 00:00:00,43242000000.0,37889000000.0,5353000000.0,2193000000.0,3160000000.0,461000000.0,-418000000.0,466000000.0,2742000000.0,610000000.0,2132000000.0,2123000000.0,6.08,0.1238,0.0731,0.0634,0.0491,0.0655,4423000000.0,3160000000.0,5.8487,,5.8733,,5.8733,2132000000.0,,2132000000.0,0.1023,0.0916,TSN
2020-12-31 00:00:00,42830000000.0,37709000000.0,5121000000.0,2166000000.0,2955000000.0,470000000.0,-332000000.0,475000000.0,2623000000.0,589000000.0,2034000000.0,2023000000.0,5.77,0.1196,0.069,0.0612,0.0472,0.0745,4205000000.0,2955000000.0,5.5803,,5.6033,,5.6033,2034000000.0,,2034000000.0,0.0982,0.1019,TSN
2020-09-30 00:00:00,43185000000.0,37801000000.0,5384000000.0,2376000000.0,3008000000.0,479000000.0,-344000000.0,485000000.0,2664000000.0,593000000.0,2071000000.0,2061000000.0,6.02,0.1247,0.0697,0.0617,0.0477,0.0619,4248000000.0,3008000000.0,5.674,,5.7052,,5.7052,2071000000.0,,2071000000.0,0.0984,0.0897,TSN
2020-06-30 00:00:00,42609000000.0,37696000000.0,4913000000.0,2320000000.0,2593000000.0,,-357000000.0,484000000.0,2236000000.0,492000000.0,1744000000.0,1734000000.0,5.1,0.1153,0.0609,0.0525,0.0407,0.0585,3852000000.0,2593000000.0,4.7771,,4.8158,,4.8158,1744000000.0,,1744000000.0,0.0904,0.0865,TSN
2020-03-31 00:00:00,43472000000.0,38536000000.0,4936000000.0,2335000000.0,2601000000.0,,-306000000.0,483000000.0,2295000000.0,396000000.0,1899000000.0,1884000000.0,5.52,0.1135,0.0598,0.0528,0.0433,0.037,3851000000.0,2601000000.0,5.1876,,5.2388,,5.2388,1899000000.0,,1899000000.0,0.0886,0.0652,TSN
2019-12-31 00:00:00,43027000000.0,37920000000.0,5107000000.0,2386000000.0,2721000000.0,,-403000000.0,483000000.0,2318000000.0,368000000.0,1950000000.0,1934000000.0,5.69,0.1187,0.0632,0.0539,0.0449,0.0299,3951000000.0,2721000000.0,5.3241,,5.376,,5.376,1950000000.0,,1950000000.0,0.0918,0.059,TSN
2019-09-30 00:00:00,42405000000.0,37383000000.0,5022000000.0,2252000000.0,2770000000.0,,-396000000.0,462000000.0,2374000000.0,381000000.0,1993000000.0,1980000000.0,5.67,0.1184,0.0653,0.056,0.0467,0.0296,3962000000.0,2770000000.0,5.4454,,5.4903,,5.4903,1993000000.0,,1993000000.0,0.0934,0.0593,TSN
