Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,1831521000.0,1110925000.0,720596000.0,96755000.0,402251000.0,221590100.0,25263000.0,2711000.0,20571000.0,197333000.0,9388000.0,187945000.0,187945000.0,4.43,0.3934,0.121,0.1077,0.1026,0.177,390740000.0,221590000.0,4.4331,4.5444,4.5444,187945000.0,187945000.0,0.2133,0.2113,TYL
2022-06-30 00:00:00,1818203000.0,1105296000.0,712907000.0,95010000.0,397579000.0,216861100.0,21401000.0,6282000.0,16709000.0,196780000.0,17898000.0,178882000.0,178882000.0,4.21,0.3921,0.1193,0.1082,0.0984,0.2189,383918000.0,216861000.0,4.2224,4.3451,4.3451,178882000.0,178882000.0,0.2112,0.2528,TYL
2022-03-31 00:00:00,1753593000.0,1038469000.0,715124000.0,95052000.0,406800000.0,198395100.0,27625000.0,-6133000.0,22932000.0,172113000.0,7647000.0,164466000.0,164466000.0,3.9,0.4078,0.1131,0.0981,0.0938,0.1717,365589000.0,198395000.0,3.885,4.0088,4.0088,164466000.0,164466000.0,0.2085,0.2049,TYL
2021-12-31 00:00:00,1592287000.0,910660000.0,681627000.0,92924000.0,387679000.0,180735100.0,,-7409000.0,18606000.0,158981000.0,-2477000.0,161458000.0,161458000.0,3.87,0.4281,0.1135,0.0998,0.1014,0.2002,326798000.0,180735000.0,3.8221,3.9527,3.9527,161458000.0,161458000.0,0.2052,0.2351,TYL
2021-09-30 00:00:00,1442035000.0,795065000.0,646970000.0,91097000.0,349379000.0,180719000.0,,-7833000.0,19070000.0,164033000.0,3263000.0,160770000.0,160770000.0,3.92,0.4487,0.1253,0.1138,0.1115,0.211,305933000.0,180719000.0,3.8207,3.9553,3.9553,160770000.0,160770000.0,0.2122,0.2393,TYL
2021-06-30 00:00:00,1267908000.0,659462000.0,608446000.0,89294000.0,317251000.0,174191000.0,,-11455000.0,13928000.0,162736000.0,6852000.0,155884000.0,155884000.0,3.86,0.4799,0.1374,0.1284,0.1229,0.2187,276554000.0,174191000.0,3.7203,3.8507,3.8507,155884000.0,155884000.0,0.2181,0.2444,TYL
2021-03-31 00:00:00,1134924000.0,577336000.0,557588000.0,87815000.0,270850000.0,177241000.0,,1214000.0,1961000.0,178455000.0,-5791000.0,184246000.0,184246000.0,4.58,0.4913,0.1562,0.1572,0.1623,0.3016,260013000.0,177241000.0,4.415,4.5729,4.5729,184246000.0,184246000.0,0.2291,0.3261,TYL
2020-12-31 00:00:00,1116663000.0,574151000.0,542512000.0,88363000.0,259561000.0,172926000.0,,2116000.0,2473000.0,175042000.0,-19778000.0,194820000.0,194820000.0,4.87,0.4858,0.1549,0.1568,0.1745,0.2925,254583000.0,172926000.0,4.6915,4.8662,4.8662,194820000.0,194820000.0,0.228,0.318,TYL
2020-09-30 00:00:00,1122215000.0,576097000.0,546118000.0,87122000.0,267090000.0,170047000.0,,4373000.0,4347000.0,174420000.0,-13096000.0,187516000.0,187516000.0,4.73,0.4866,0.1515,0.1554,0.1671,0.2758,250918000.0,170047100.0,4.5574,4.731,4.731,187516000.0,187516000.0,0.2236,0.3052,TYL
2020-06-30 00:00:00,1111869000.0,578543000.0,533326000.0,86610000.0,264159000.0,160444000.0,,4592000.0,,165036000.0,-23586000.0,188622000.0,188622000.0,4.79,0.4797,0.1443,0.1484,0.1696,0.2411,240642000.0,160444100.0,4.6159,4.7972,4.7972,188622000.0,188622000.0,0.2164,0.2723,TYL
2020-03-31 00:00:00,1115902000.0,585919000.0,529983000.0,84762000.0,267465000.0,155769000.0,,3875000.0,,159644000.0,-7085000.0,166729000.0,166729000.0,4.27,0.4749,0.1396,0.1431,0.1494,0.222,235118000.0,155769100.0,4.1184,4.282,4.282,166729000.0,166729000.0,0.2107,0.2576,TYL
2019-12-31 00:00:00,1086427000.0,569527000.0,516900000.0,81342000.0,257746000.0,156367000.0,,3471000.0,,159838000.0,13311000.0,146527000.0,146527000.0,3.78,0.4758,0.1439,0.1471,0.1349,0.1958,233039000.0,156367100.0,3.6536,3.7921,3.7921,146527000.0,146527000.0,0.2145,0.2345,TYL
2019-09-30 00:00:00,1039571000.0,549075000.0,490496000.0,77507000.0,242615000.0,150137000.0,,2018000.0,,152155000.0,20866000.0,131289000.0,131289000.0,3.4,0.4718,0.1444,0.1464,0.1263,0.2049,222816000.0,150137000.0,3.289,3.4051,3.4051,131289000.0,131289000.0,0.2143,0.2399,TYL
2019-06-30 00:00:00,1000238000.0,528833000.0,471405000.0,73427000.0,231332000.0,147669000.0,,2560000.0,,150229000.0,20406000.0,129823000.0,129823000.0,3.36,0.4713,0.1476,0.1502,0.1298,0.1926,216523000.0,147669000.0,3.2467,3.3674,3.3674,129823000.0,129823000.0,0.2165,0.2314,TYL
2019-03-31 00:00:00,961174000.0,508353000.0,452821000.0,69157000.0,217767000.0,148145000.0,,3365000.0,,151510000.0,14525000.0,136985000.0,136985000.0,3.55,0.4711,0.1541,0.1576,0.1425,0.206,213100000.0,148145000.0,3.4166,3.5542,3.5542,136985000.0,136985000.0,0.2217,0.2388,TYL
2018-12-31 00:00:00,935282000.0,495704000.0,439578000.0,63264000.0,207605000.0,152492000.0,,3378000.0,,155870000.0,8408000.0,147462000.0,147462000.0,3.84,0.47,0.163,0.1667,0.1577,0.2382,214251000.0,152492000.0,3.6752,3.8356,3.8356,147462000.0,147462000.0,0.2291,0.2675,TYL
2018-09-30 00:00:00,911002000.0,481945000.0,429057000.0,57946000.0,198092000.0,157912000.0,,3112000.0,,161024000.0,-21082000.0,182106000.0,182106000.0,4.66,0.471,0.1733,0.1768,0.1999,0.2239,217234000.0,157912000.0,4.5649,4.7859,4.7859,182106000.0,182106000.0,0.2385,0.2555,TYL
2018-06-30 00:00:00,889641000.0,468221000.0,421420000.0,52730000.0,190000000.0,164609000.0,,2146000.0,,166755000.0,-15263000.0,182018000.0,182018000.0,4.68,0.4737,0.185,0.1874,0.2046,0.2085,221551000.0,164609000.0,4.5916,4.8203,4.8203,182018000.0,182018000.0,0.249,0.2399,TYL
2018-03-31 00:00:00,862344000.0,454697000.0,407647000.0,48773000.0,180738000.0,164765000.0,,1487000.0,,166252000.0,-8375000.0,174627000.0,174627000.0,4.51,0.4727,0.1911,0.1928,0.2025,0.1856,219305000.0,164765000.0,4.4284,4.6553,4.6553,174627000.0,174627000.0,0.2543,0.2229,TYL
