Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11791243000.0,5492555000.0,6298688000.0,5033389000.0,843376200.0,134000000.0,-227558000.0,132935000.0,615819000.0,191967000.0,423852000.0,424251000.0,1.09,0.5342,0.0715,0.0522,0.036,-0.0137,1915628200.0,843376300.0,1.08,,1.0907,,1.1,423852000.0,,424251000.0,0.1625,0.01,VFC
2022-06-30 00:00:00,11908878000.0,5473824000.0,6435054000.0,4942372000.0,1492681200.0,135000000.0,-211196000.0,134097000.0,1281486000.0,275149000.0,1006337000.0,1006736000.0,2.58,0.5404,0.1253,0.1076,0.0845,0.0108,2156859200.0,1492681300.0,2.57,,2.5807,,2.59,1006337000.0,,1006736000.0,0.1811,0.0355,VFC
2022-03-31 00:00:00,11841840000.0,5386393000.0,6455447000.0,4823243000.0,1632203000.0,137000000.0,-108954000.0,136469000.0,1523250000.0,306981000.0,1216269000.0,1386941000.0,3.55,0.5451,0.1378,0.1286,0.1171,0.045,2309270000.0,1632203100.0,3.1,0.561,3.5536,0.571,3.12,1216269000.0,218030000.0,1386941000.0,0.195,0.0728,VFC
2021-12-31 00:00:00,11599848000.0,5264000000.0,6335848000.0,4753182000.0,1562305000.0,143000000.0,-121127000.0,142770000.0,1441178000.0,243609000.0,1197569000.0,1395619000.0,3.57,0.5462,0.1347,0.1242,0.1203,0.0533,2274422000.0,1562305000.0,3.06,,3.5705,,3.06,1197569000.0,,1395619000.0,0.1961,0.0833,VFC
2021-09-30 00:00:00,10947005000.0,5016420000.0,5930585000.0,4614362000.0,1295861900.0,143000000.0,-109291000.0,143091000.0,1186571000.0,179144000.0,1007427000.0,1225058000.0,3.13,0.5418,0.1184,0.1084,0.1119,0.0684,2011649900.0,1295861900.0,2.57,,3.135,,2.57,1007427000.0,,1225058000.0,0.1838,0.0968,VFC
2021-06-30 00:00:00,10357094000.0,4819380000.0,5537714000.0,4460029000.0,1057323800.0,141000000.0,-108757000.0,141310000.0,948567000.0,161947000.0,786620000.0,1017727000.0,2.61,0.5347,0.1021,0.0916,0.0983,0.1054,1782541800.0,1057323800.0,2.01,0.59,2.6101,0.6,2.01,786620000.0,231107000.0,1017727000.0,0.1721,0.1349,VFC
2021-03-31 00:00:00,9238830000.0,4370780000.0,4868050000.0,4240058000.0,607630800.0,135000000.0,-151159000.0,135655000.0,456472000.0,101566000.0,354906000.0,407869000.0,1.05,0.5269,0.0658,0.0494,0.0441,0.1125,1324666800.0,607630800.0,0.91,0.14,1.0468,0.14,0.91,354906000.0,52963000.0,407869000.0,0.1434,0.1421,VFC
2020-12-31 00:00:00,8758579000.0,4120647200.0,4637932000.0,4086332000.0,228376900.0,115000000.0,-250645000.0,124486000.0,-22268000.0,167655000.0,-189923100.0,-165427000.0,-0.42,0.5295,0.0261,-0.0025,-0.0189,0.0973,1248906900.0,228376700.0,-0.45,0.06,-0.3963,0.06,-0.45,-189923000.0,24496000.0,-165427100.0,0.1426,0.1341,VFC
2020-09-30 00:00:00,8942761000.0,4127276200.0,4815485000.0,4135845000.0,356416700.0,102000000.0,-264834000.0,112474000.0,91583000.0,187583000.0,-96000100.0,-47664000.0,-0.14,0.5385,0.0399,0.0102,-0.0053,0.1082,1372967700.0,356416500.0,-0.23,0.12,-0.1126,0.12,-0.23,-96000000.0,48336000.0,-47664100.0,0.1535,0.1479,VFC
2020-06-30 00:00:00,9514195000.0,4301187200.0,5213008000.0,4304754000.0,585030700.0,,-256704000.0,99177000.0,328327000.0,42196000.0,286130900.0,344615000.0,0.83,0.5479,0.0615,0.0345,0.0362,0.061,1579016700.0,585030500.0,0.7,0.15,0.8595,0.15,0.72,286131000.0,58484000.0,344614900.0,0.166,0.0985,VFC
