Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8560000000.0,1044000000.0,7517000000.0,2631000000.0,932500000.0,4151600200.0,59000000.0,362000000.0,60000000.0,4026000000.0,754000000.0,3273199800.0,3274000000.0,12.68,0.8782,0.485,0.4703,0.3825,0.4456,4097000000.0,4151600100.0,12.6545,,12.7913,,12.7913,3273199800.0,,3274000000.0,0.4786,0.4728,VRTX
2022-06-30 00:00:00,8280000000.0,992000000.0,7290000000.0,2451000000.0,883700000.0,4079400200.0,60000000.0,217000000.0,15000000.0,3933000000.0,739000000.0,3194599800.0,3195000000.0,12.37,0.8804,0.4927,0.475,0.3859,0.4574,4094000000.0,4079400100.0,12.3491,,12.4668,,12.4668,3194599800.0,,3195000000.0,0.4944,0.4853,VRTX
2022-03-31 00:00:00,7922400000.0,958000000.0,6966400000.0,2237700000.0,863000000.0,2935200200.0,60000000.0,107700000.0,19500000.0,2864800000.0,413800000.0,2451099800.0,2451000000.0,9.5,0.8793,0.3705,0.3616,0.3094,0.3093,3038400000.0,2935200100.0,9.4728,,9.5582,,9.5582,2451099800.0,,2451000000.0,0.3835,0.3381,VRTX
2021-12-31 00:00:00,7569700000.0,904300000.0,6666400000.0,2090700000.0,839900000.0,2782100200.0,61000000.0,-67200000.0,33200000.0,2730700000.0,388600000.0,2342099800.0,2342100000.0,9.06,0.8807,0.3675,0.3607,0.3094,0.3181,2906000000.0,2782100100.0,9.0115,,9.0884,,9.0884,2342099800.0,,2342100000.0,0.3839,0.3492,VRTX
2021-09-30 00:00:00,7134537000.0,860401000.0,6275136000.0,1865246900.0,796587000.0,2650202200.0,62000000.0,15723000.0,48537000.0,2748424800.0,572082000.0,2176243000.0,2176342900.0,8.38,0.8795,0.3715,0.3852,0.305,0.269,2778142200.0,2650202100.0,8.3323,,8.4094,,8.4094,2176243000.0,,2176342900.0,0.3894,0.2999,VRTX
2021-06-30 00:00:00,6683808000.0,809583000.0,5874225000.0,1864743900.0,783138000.0,2267943200.0,61000000.0,143353000.0,61393000.0,2411295800.0,419519000.0,1991777000.0,1991776900.0,7.66,0.8789,0.3393,0.3608,0.298,0.2659,2384025300.0,2267943100.0,7.5794,,7.6694,,7.6694,1991777000.0,,1991776900.0,0.3567,0.3173,VRTX
2021-03-31 00:00:00,6414893000.0,766103000.0,5648790000.0,1836971900.0,780342000.0,3023876200.0,60000000.0,256390000.0,59764000.0,3280265800.0,518219000.0,2762047000.0,2762046900.0,10.62,0.8806,0.4714,0.5114,0.4306,0.4751,3135355300.0,3023876100.0,10.5014,,10.6355,,10.6355,2762047000.0,,2762046900.0,0.4888,0.5236,VRTX
2020-12-31 00:00:00,6205700000.0,736300000.0,5469400000.0,1829499900.0,770500000.0,2856300300.0,58000000.0,260600000.0,58200000.0,3116899800.0,405200000.0,2711700000.0,2711699900.0,10.42,0.8814,0.4603,0.5023,0.437,0.4824,2965800300.0,2856300200.0,10.2951,,10.4377,,10.4377,2711700000.0,,2711699900.0,0.4779,0.5243,VRTX
2020-09-30 00:00:00,5991107000.0,718253000.0,5272854000.0,1842924000.0,753892000.0,2661896600.0,56000000.0,243209000.0,56110000.0,2905106000.0,214425000.0,2690681100.0,2690681100.0,10.36,0.8801,0.4443,0.4849,0.4491,0.4973,2768271600.0,2661896800.0,10.2249,,10.3738,,10.3738,2690681100.0,,2690681100.0,0.4621,0.5355,VRTX
2020-06-30 00:00:00,5402664000.0,663985000.0,4738679000.0,1905375000.0,729015000.0,2088988600.0,,140912000.0,56802000.0,2229901000.0,149136000.0,2080765100.0,2080765100.0,8.02,0.8771,0.3867,0.4127,0.3851,0.4732,2194568500.0,2088988800.0,7.9183,,8.0345,,8.0345,2080765100.0,,2080765100.0,0.4062,0.4877,VRTX
2020-03-31 00:00:00,4819472000.0,615205000.0,4204267000.0,1863538000.0,693713000.0,1640915600.0,,91353000.0,57768000.0,1732269000.0,221347000.0,1510922100.0,1510922100.0,5.84,0.8724,0.3405,0.3594,0.3135,0.4115,1747496500.0,1640915800.0,5.7689,,5.8537,,5.8537,1510922100.0,,1510922100.0,0.3626,0.4275,VRTX
2019-12-31 00:00:00,4162800000.0,547800000.0,3615000000.0,1754500000.0,658500000.0,1197499500.0,,197400000.0,58500000.0,1394900000.0,218100000.0,1176800100.0,1176800100.0,4.57,0.8684,0.2877,0.3351,0.2827,0.3589,1304399500.0,1197499700.0,4.514,,4.5844,,4.5844,1176800100.0,,1176800100.0,0.3133,0.377,VRTX
2019-09-30 00:00:00,3619662000.0,485035000.0,3134627000.0,1712410000.0,616431100.0,773823300.0,,-23357000.0,62997000.0,750466000.0,-1368206000.0,2118672000.0,2144103000.0,8.39,0.866,0.2138,0.2073,0.5923,0.3767,873334300.0,773823200.0,8.1639,,8.3129,,8.3129,2118672000.0,,2118672000.0,0.2413,0.3972,VRTX
2019-06-30 00:00:00,3454369000.0,464376000.0,2989993000.0,1486972000.0,594052100.0,880139300.0,,-63828000.0,67135000.0,816311000.0,-1373299000.0,2189610000.0,2215331000.0,8.68,0.8656,0.2548,0.2363,0.6413,0.4092,972995300.0,880139200.0,8.4376,,8.5929,,8.5929,2189610000.0,,2189610000.0,0.2817,0.4297,VRTX
2019-03-31 00:00:00,3265233000.0,433018000.0,2832215000.0,1445413000.0,574853100.0,783057300.0,,-77293000.0,70453000.0,705764000.0,-1422669000.0,2128433000.0,2155264000.0,8.46,0.8674,0.2398,0.2161,0.6601,0.3853,866274300.0,783057200.0,8.2059,,8.3605,,8.3605,2128433000.0,,2128433000.0,0.2653,0.4111,VRTX
2018-12-31 00:00:00,3047597000.0,409539000.0,2638058000.0,1416476000.0,557616100.0,635150300.0,,-34909000.0,72471000.0,600241000.0,-1486862000.0,2087103000.0,2096896000.0,8.24,0.8656,0.2084,0.197,0.688,0.3855,707570300.0,635150200.0,8.0526,,8.2075,,8.2075,2087103000.0,,2087103000.0,0.2322,0.4168,VRTX
