Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8129000000.0,5862000000.0,2267000000.0,201000000.0,1021000000.0,1028000000.0,177000000.0,21000000.0,177000000.0,879000000.0,204000000.0,675000000.0,664000000.0,3.61,0.2789,0.1265,0.1081,0.0817,0.1017,1527000000.0,1028000000.0,3.6645,3.6748,3.6748,675000000.0,674000000.0,0.1878,0.1158,WAB
2022-06-30 00:00:00,7955000000.0,5715000000.0,2240000000.0,191000000.0,1018000000.0,984000000.0,171000000.0,46000000.0,171000000.0,837000000.0,194000000.0,644000000.0,634000000.0,3.42,0.2816,0.1237,0.1052,0.0797,0.1101,1512000000.0,984000000.0,3.4705,3.4793,3.4793,644000000.0,643000000.0,0.1901,0.1234,WAB
2022-03-31 00:00:00,7919000000.0,5674000000.0,2245000000.0,183000000.0,1022000000.0,923000000.0,172000000.0,8000000.0,172000000.0,779000000.0,180000000.0,600000000.0,593000000.0,3.17,0.2835,0.1166,0.0984,0.0749,0.106,1448000000.0,923000000.0,3.2057,3.213,3.213,600000000.0,599000000.0,0.1829,0.1189,WAB
2021-12-31 00:00:00,7822000000.0,5570000000.0,2252000000.0,176000000.0,1018000000.0,876000000.0,177000000.0,-31000000.0,177000000.0,737000000.0,173000000.0,565000000.0,556000000.0,2.95,0.2879,0.112,0.0942,0.0711,0.1237,1379000000.0,876000000.0,3.0037,3.0101,3.0101,565000000.0,564000000.0,0.1763,0.1371,WAB
2021-09-30 00:00:00,7772600000.0,5600200000.0,2172400100.0,162000000.0,989100000.0,773600000.0,184000000.0,-79500000.0,183700000.0,620100000.0,162600000.0,458500000.0,454500000.0,2.4,0.2795,0.0995,0.0798,0.0585,0.126,1256200000.0,773600200.0,2.4288,2.4342,2.4342,458500000.0,458500000.0,0.1616,0.1396,WAB
2021-06-30 00:00:00,7730700000.0,5545100000.0,2185600100.0,155000000.0,984800000.0,763300000.0,188000000.0,-142800000.0,187300000.0,620500000.0,165500000.0,455000000.0,452600000.0,2.38,0.2827,0.0987,0.0803,0.0585,0.125,1196000000.0,763300200.0,2.4023,2.4076,2.4076,455000000.0,455000000.0,0.1547,0.1385,WAB
2021-03-31 00:00:00,7456100000.0,5363800000.0,2092300100.0,151000000.0,938600000.0,719699900.0,194000000.0,-153900000.0,193700000.0,565800000.0,150000000.0,415800000.0,414400000.0,2.18,0.2806,0.0965,0.0759,0.0556,0.1407,1133499900.0,719700100.0,2.1917,2.1969,2.1969,415800000.0,415800000.0,0.152,0.1553,WAB
2020-12-31 00:00:00,7556000000.0,5419000000.0,2137000100.0,162000000.0,948000000.0,744999800.0,199000000.0,-188000000.0,199000000.0,557000000.0,145000000.0,412000000.0,414000000.0,2.17,0.2828,0.0986,0.0737,0.0548,0.0885,1129999800.0,745000000.0,2.1639,2.1696,2.1696,412000000.0,412000000.0,0.1496,0.1038,WAB
2020-09-30 00:00:00,7900800000.0,5594300000.0,2306499800.0,184000000.0,1037000000.0,809399300.0,208000000.0,-195500000.0,208500000.0,613900000.0,150700000.0,463200000.0,462800000.0,2.42,0.2919,0.1024,0.0777,0.0586,0.0954,1154399300.0,809399700.0,2.5756,2.6057,2.6057,463200000.0,463200000.0,0.1461,0.1147,WAB
2020-06-30 00:00:00,8037400000.0,5697700000.0,2339699800.0,,1076500000.0,771799400.0,,-220000000.0,220600000.0,551800000.0,126500000.0,425300000.0,425800000.0,2.23,0.2911,0.096,0.0687,0.053,0.0771,1113399400.0,771799800.0,2.3731,2.4065,2.4065,425300000.0,425300000.0,0.1385,0.0996,WAB
