Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,132703000000.0,106427000000.0,26276000000.0,27295000000.0,1389000000.0,399000000.0,3758000000.0,400000000.0,50000000.0,3985000000.0,-30000000.0,4015000000.0,4337000000.0,5.0,0.198,0.0136,0.03,0.0327,0.0262,4759000000.0,1807000000.0,5.01,,4.7026,,5.02,4065000000.0,,4065000000.0,0.0359,0.0294,WBA
2022-05-31 00:00:00,134516000000.0,107334000000.0,27182000000.0,25845000000.0,3122000000.0,382000000.0,2965000000.0,381000000.0,53000000.0,5650000000.0,791000000.0,4860000000.0,5378000000.0,6.2,0.2021,0.0261,0.042,0.04,0.033,5595000000.0,3509000000.0,5.9,,5.9855,,5.89,4911000000.0,,4911000000.0,0.0416,0.0376,WBA
2022-02-28 00:00:00,135949000000.0,107708000000.0,28241000000.0,24942000000.0,4576000000.0,819000000.0,2580000000.0,818000000.0,623000000.0,6417000000.0,1279000000.0,5139000000.0,6286000000.0,7.25,0.2077,0.0363,0.0472,0.0462,0.0332,7075000000.0,4933000000.0,6.84,,7.077,,6.84,5760000000.0,,5855000000.0,0.052,0.0381,WBA
2021-11-30 00:00:00,134972000000.0,107135000000.0,27837000000.0,24406000000.0,4161000000.0,856000000.0,2733000000.0,855000000.0,605000000.0,6416000000.0,1149000000.0,5267000000.0,6428000000.0,7.42,0.2062,0.0333,0.0475,0.0476,0.0362,6633000000.0,4495000000.0,6.88,,7.3285,,6.89,5871000000.0,,6073000000.0,0.0491,0.0404,WBA
2021-08-31 00:00:00,132509000000.0,105117000000.0,27392000000.0,23807000000.0,2342000000.0,910000000.0,-152000000.0,905000000.0,627000000.0,1995000000.0,667000000.0,1328000000.0,2540000000.0,2.93,0.2067,0.0091,0.0151,0.0192,0.038,3323000000.0,1203000000.0,2.3,0.63,2.9047,0.63,2.31,1955000000.0,557000000.0,2242000000.0,0.0251,0.0419,WBA
2021-05-31 00:00:00,124190000000.0,97787000000.0,26403000000.0,23318000000.0,1946000000.0,978000000.0,-442000000.0,961000000.0,625000000.0,1506000000.0,282000000.0,1224000000.0,2287000000.0,2.64,0.2126,0.0065,0.0121,0.0184,0.0468,741000000.0,807000000.0,2.2078,0.45,2.6288,0.45,2.2265,1850000000.0,406000000.0,2254000000.0,0.006,0.0515,WBA
2021-02-28 00:00:00,120524000000.0,95316000000.0,25208000000.0,25086000000.0,-871000000.0,588000000.0,-236000000.0,564000000.0,56000000.0,-1105000000.0,-7000000.0,-1098000000.0,-618000000.0,-0.69,0.2092,-0.0155,-0.0092,-0.0051,0.0418,42000000.0,-1864000000.0,-1.1122,0.44,-0.6994,0.44,-1.1035,-1041000000.0,399000000.0,-645000000.0,0.0003,0.0461,WBA
2020-11-30 00:00:00,119081000000.0,93636000000.0,25445000000.0,24966000000.0,-566000000.0,613000000.0,-478000000.0,583000000.0,55000000.0,-1043000000.0,100000000.0,-1143000000.0,-697000000.0,-0.81,0.2137,-0.0135,-0.0088,-0.0059,0.0421,314000000.0,-1611000000.0,-1.1922,0.41,-0.808,0.41,-1.1935,-1088000000.0,373000000.0,-717000000.0,0.0026,0.0472,WBA
2020-08-31 00:00:00,121982000000.0,95905000000.0,26077000000.0,25436000000.0,982000000.0,,-536000000.0,613000000.0,31000000.0,446000000.0,339000000.0,107000000.0,456000000.0,0.5,0.2138,0.0108,0.0037,0.0037,0.0396,3250000000.0,1323000000.0,0.2,,0.4821,,0.2,138000000.0,,424000000.0,0.0266,0.045,WBA
2020-05-31 00:00:00,113201000000.0,87653000000.0,25548000000.0,24777000000.0,1113000000.0,,-544000000.0,591000000.0,-2000000.0,568000000.0,153000000.0,415000000.0,761000000.0,0.82,0.2257,0.0129,0.005,0.0067,0.0435,5429000000.0,1455000000.0,0.4841,,0.8232,,0.4869,412000000.0,,755000000.0,0.048,0.051,WBA
2020-02-29 00:00:00,117428000000.0,90385000000.0,27043000000.0,23128000000.0,3998000000.0,,-369000000.0,630000000.0,-13000000.0,3628000000.0,352000000.0,3276000000.0,3494000000.0,3.9,0.2303,0.0348,0.0309,0.0298,0.0477,6098000000.0,4081000000.0,3.6722,,3.9346,,3.6766,3262000000.0,,3518000000.0,0.0519,0.0586,WBA
2019-11-30 00:00:00,120620000000.0,92840000000.0,27780000000.0,23539000000.0,4379000000.0,,-403000000.0,655000000.0,-16000000.0,3976000000.0,429000000.0,3547000000.0,3704000000.0,4.08,0.2303,0.0374,0.033,0.0307,0.0392,6542000000.0,4517000000.0,3.916,,4.0841,,3.9234,3531000000.0,,3704000000.0,0.0542,0.0514,WBA
2019-08-31 00:00:00,120074000000.0,91915000000.0,28159000000.0,23557000000.0,4766000000.0,,-407000000.0,650000000.0,8000000.0,4359000000.0,577000000.0,3782000000.0,3982000000.0,4.31,0.2345,0.0411,0.0363,0.0332,0.0324,6968000000.0,4930000000.0,4.13,,4.2996,,4.14,3790000000.0,,3962000000.0,0.058,0.0466,WBA
2019-05-31 00:00:00,136354000000.0,105930000000.0,30424000000.0,25063000000.0,5516000000.0,,-37000000.0,688000000.0,31000000.0,5480000000.0,721000000.0,4759000000.0,4816000000.0,5.11,0.2231,0.0416,0.0402,0.0353,0.0323,7653000000.0,5671000000.0,5.054,,5.0673,,5.0683,4790000000.0,,4789000000.0,0.0561,0.0442,WBA
2019-02-28 00:00:00,136097000000.0,105346000000.0,30751000000.0,25063000000.0,5911000000.0,,-189000000.0,658000000.0,51000000.0,5722000000.0,674000000.0,5048000000.0,5133000000.0,5.33,0.2259,0.0451,0.042,0.0377,0.0349,8036000000.0,6134000000.0,5.2683,,5.2843,,5.2853,5099000000.0,,5098000000.0,0.059,0.0459,WBA
2018-11-30 00:00:00,134590000000.0,103498000000.0,31092000000.0,25064000000.0,6370000000.0,,-166000000.0,628000000.0,56000000.0,6204000000.0,951000000.0,5253000000.0,5326000000.0,5.44,0.231,0.0499,0.0461,0.0396,0.0465,8556000000.0,6712000000.0,5.3996,,5.4198,,5.4198,5309000000.0,,5309000000.0,0.0636,0.0574,WBA
2018-08-31 00:00:00,131537000000.0,100745000000.0,30792000000.0,24694000000.0,6289000000.0,,-314000000.0,616000000.0,54000000.0,5975000000.0,998000000.0,4977000000.0,5024000000.0,5.08,0.2341,0.0493,0.0454,0.0382,0.0524,8250000000.0,6480000000.0,5.0564,,5.0767,,5.0767,5031000000.0,,5031000000.0,0.0627,0.0628,WBA
2018-05-31 00:00:00,128244000000.0,97687000000.0,30557000000.0,24757000000.0,5934000000.0,,-688000000.0,650000000.0,43000000.0,5246000000.0,965000000.0,4281000000.0,4314000000.0,4.29,0.2383,0.0473,0.0409,0.0336,0.0472,7778000000.0,6068000000.0,4.2881,,4.304,,4.304,4324000000.0,,4324000000.0,0.0607,0.0582,WBA
2018-02-28 00:00:00,124028000000.0,94106000000.0,29922000000.0,24234000000.0,5854000000.0,,-694000000.0,648000000.0,7000000.0,5160000000.0,1024000000.0,4136000000.0,4134000000.0,4.02,0.2413,0.0485,0.0416,0.0333,0.0444,7701000000.0,6020000000.0,4.0118,,4.0289,,4.0289,4143000000.0,,4143000000.0,0.0621,0.0571,WBA
2017-11-30 00:00:00,120453000000.0,91066000000.0,29387000000.0,24037000000.0,5356000000.0,,-742000000.0,669000000.0,9000000.0,4614000000.0,767000000.0,3847000000.0,3845000000.0,3.64,0.244,0.0445,0.0383,0.0319,0.054,7013000000.0,5362000000.0,3.6351,,3.6512,,3.6512,3856000000.0,,3856000000.0,0.0582,0.0642,WBA
2017-08-31 00:00:00,118214000000.0,89052000000.0,29162000000.0,23813000000.0,5484000000.0,,-631000000.0,693000000.0,8000000.0,4853000000.0,760000000.0,4093000000.0,4078000000.0,3.79,0.2467,0.0475,0.0411,0.0345,0.0506,7273000000.0,5619000000.0,3.8025,,3.8202,,3.8202,4101000000.0,,4101000000.0,0.0615,0.0614,WBA
2017-05-31 00:00:00,116701000000.0,87724000000.0,28977000000.0,23571000000.0,5583000000.0,,-429000000.0,671000000.0,16000000.0,5154000000.0,841000000.0,4313000000.0,4306000000.0,3.98,0.2483,0.0494,0.0442,0.0369,0.0583,7451000000.0,5760000000.0,3.9857,,4.0079,,4.0079,4329000000.0,,4329000000.0,0.0638,0.0677,WBA
2017-02-28 00:00:00,116081000000.0,86816000000.0,29265000000.0,23762000000.0,5599000000.0,,-385000000.0,663000000.0,52000000.0,5214000000.0,995000000.0,4219000000.0,4247000000.0,3.92,0.2521,0.0491,0.0449,0.0366,0.0702,7420000000.0,5695000000.0,3.9269,,3.9505,,3.9505,4271000000.0,,4271000000.0,0.0639,0.0702,WBA
2016-11-30 00:00:00,116819000000.0,87248000000.0,29571000000.0,23645000000.0,5980000000.0,,-834000000.0,631000000.0,45000000.0,5146000000.0,1050000000.0,4096000000.0,4117000000.0,3.8,0.2531,0.0517,0.0441,0.0352,0.0575,7789000000.0,6034000000.0,3.8048,,3.8297,,3.8297,4141000000.0,,4141000000.0,0.0667,0.0654,WBA
2016-08-31 00:00:00,117351000000.0,87477000000.0,29874000000.0,23910000000.0,6001000000.0,,-857000000.0,596000000.0,44000000.0,5144000000.0,997000000.0,4147000000.0,4173000000.0,3.85,0.2546,0.0515,0.0438,0.0356,0.0561,7756000000.0,6038000000.0,3.8411,,3.8694,,3.8694,4191000000.0,,4191000000.0,0.0661,0.0669,WBA
2016-05-31 00:00:00,117237000000.0,87424000000.0,29813000000.0,24119000000.0,5697000000.0,,-1827000000.0,680000000.0,44000000.0,3870000000.0,726000000.0,3144000000.0,3169000000.0,2.92,0.2543,0.0486,0.033,0.027,0.0468,7449000000.0,5700000000.0,2.8916,,2.913,,2.913,3188000000.0,,3188000000.0,0.0635,0.0571,WBA
2016-02-29 00:00:00,116534000000.0,86673000000.0,29861000000.0,24296000000.0,5565000000.0,,-1398000000.0,684000000.0,36000000.0,4167000000.0,812000000.0,3355000000.0,3368000000.0,3.09,0.2562,0.0478,0.0358,0.0289,0.0473,7305000000.0,5565000000.0,3.0626,,3.0891,,3.0891,3391000000.0,,3391000000.0,0.0627,0.055,WBA
2015-11-30 00:00:00,112923000000.0,84047000000.0,28876000000.0,23895000000.0,5082000000.0,,304000000.0,688000000.0,35000000.0,5386000000.0,902000000.0,4484000000.0,4480000000.0,4.19,0.2557,0.0459,0.0477,0.0397,0.042,6988000000.0,5183000000.0,4.1595,,4.2002,,4.2002,4519000000.0,,4519000000.0,0.0619,0.0475,WBA
2015-08-31 00:00:00,103444000000.0,76691000000.0,26753000000.0,22400000000.0,4668000000.0,,643000000.0,605000000.0,,5311000000.0,1056000000.0,4255000000.0,4220000000.0,4.03,0.2586,0.0482,0.0513,0.0408,0.051,6725000000.0,4983000000.0,4.0602,,4.1018,,4.1018,4279000000.0,,4279000000.0,0.065,0.0548,WBA
2015-05-31 00:00:00,93979000000.0,68993000000.0,24986000000.0,20635000000.0,4861000000.0,,706000000.0,393000000.0,,5567000000.0,1494000000.0,4073000000.0,4001000000.0,3.76,0.2659,0.0572,0.0592,0.0426,0.0549,6950000000.0,5371000000.0,3.8921,,3.9326,,3.9326,4088000000.0,,4088000000.0,0.074,0.059,WBA
