Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5651348000.0,3404923100.0,2246425300.0,142180000.0,759463700.0,-524424000.0,510976000.0,,235025000.0,13386000.0,221639000.0,-28814000.0,203614000.0,0.46,0.3975,0.1344,0.0416,0.036,-0.5351,2035196700.0,759463400.0,0.51,,0.5058,,0.51,108479000.0,,224964000.0,0.3601,0.2505,WELL
2022-06-30 00:00:00,5417301000.0,3221382100.0,2195919300.0,139625000.0,809363700.0,-489422000.0,493816000.0,151029000.0,319941000.0,15069000.0,304872000.0,-37948000.0,390044000.0,0.89,0.4054,0.1494,0.0591,0.072,-0.6763,1994315700.0,809363400.0,0.96,,0.9562,,0.96,182578000.0,,417953000.0,0.3681,0.268,WELL
2022-03-31 00:00:00,5085757000.0,3015988100.0,2069769200.0,134507000.0,781220500.0,-563762000.0,488407000.0,199229000.0,217458000.0,9783000.0,207675000.0,-38866000.0,326517000.0,0.75,0.407,0.1536,0.0428,0.0642,-0.5972,1895496700.0,781220200.0,0.86,,0.8552,,0.86,132663000.0,,368038000.0,0.3727,0.2757,WELL
2021-12-31 00:00:00,4742115000.0,2781832100.0,1960283200.0,126727000.0,754251500.0,-583501000.0,489853000.0,235375000.0,170750000.0,8713000.0,162037000.0,-22933000.0,336138000.0,0.78,0.4134,0.1591,0.036,0.0709,-0.4921,1807429700.0,754251200.0,0.88,,0.8812,,0.88,139104000.0,,374479000.0,0.3811,0.2912,WELL
2021-09-30 00:00:00,4554867000.0,2700338000.0,1854528500.0,121466000.0,677920600.0,-606081000.0,489178000.0,893469900.0,71850000.0,6952000.0,64898000.0,-10501000.0,441195000.0,1.04,0.4072,0.1488,0.0158,0.0969,-0.2582,1688727800.0,677920600.0,1.09,-0.1,1.0962,-0.09,1.09,-260542000.0,,463563000.0,0.3708,0.2875,WELL
2021-06-30 00:00:00,4351944000.0,2608783000.0,1743160500.0,120213000.0,572058700.0,-672705000.0,491507000.0,1257819900.0,-100646000.0,4015000.0,-104661000.0,-650000.0,587117000.0,1.4,0.4005,0.1314,-0.0231,0.1349,0.5277,1568966800.0,572058700.0,1.59,-0.13,1.5986,-0.11,1.6,-420250000.0,,668205000.0,0.3605,0.2739,WELL
2021-03-31 00:00:00,4399427000.0,2622115000.0,1777311600.0,122839000.0,571373700.0,-674610000.0,495523000.0,1369014900.0,-103236000.0,8469000.0,-111705000.0,8658000.0,740106000.0,1.77,0.404,0.1299,-0.0235,0.1682,0.8826,1591860800.0,571373700.0,1.86,,1.8707,,1.87,-306791000.0,,781664000.0,0.3618,0.2856,WELL
2020-12-31 00:00:00,4605967000.0,2692259000.0,1913707600.0,128394000.0,676541700.0,-708094000.0,514388000.0,1572758900.0,-31552000.0,9968000.0,-41520000.0,-8083000.0,978844000.0,2.36,0.4155,0.1469,-0.0069,0.2125,0.9368,1726321800.0,676541700.0,2.49,,2.5005,,2.5,-49603000.0,,1038852000.0,0.3748,0.2963,WELL
2020-09-30 00:00:00,4746773000.0,2651133100.0,2095640100.0,127053000.0,856950200.0,-692528000.0,524863000.0,915055000.0,164422000.0,4846000.0,159576100.0,49079000.0,1039439000.0,2.52,0.4415,0.1805,0.0346,0.219,0.749,1926550200.0,856950100.0,2.71,-0.32,2.7251,-0.3,2.72,-108634900.0,,1123710000.0,0.4059,0.3024,WELL
2020-06-30 00:00:00,4976032000.0,2669147100.0,2306885100.0,127069000.0,1056624200.0,-732472000.0,537355000.0,1001001000.0,324152000.0,6811000.0,317341100.0,58322000.0,1303730000.0,3.2,0.4636,0.2123,0.0651,0.262,0.6643,2144216300.0,1056624100.0,3.36,-0.18,3.3777,-0.16,3.37,628623100.0,,1376664000.0,0.4309,0.3001,WELL
