Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-10-31 00:00:00,600112000000.0001,453820000000.0001,146292000000.0,125538000000.0,20754000000.0,,-941000000.0,698000000.0,12896000000.0,3780000000.0,9116000000.0,8967000000.0,,0.2438,0.0346,0.0215,0.0149,0.0121,,20754000000.0,3.2882,,3.3035,,3.3035,9116000000.0,,9116000000.0,0.0,0.0393,WMT
2022-07-31 00:00:00,587824000000.0001,443230000000.0,144594000000.0,120743000000.0,23851000000.0,1847000000.0,4588000000.0,158000000.0,18474000000.0,4459000000.0,14015000000.0,13870000000.0,5.01,0.246,0.0406,0.0314,0.0236,0.0097,35486000000.0,23851000000.0,5.0598,,5.0799,,5.0799,14015000000.0,,14015000000.0,0.0604,0.0357,WMT
2022-04-30 00:00:00,576013000000.0001,432575000000.0,143438000000.0,118687000000.0,24351000000.0,1883000000.0,6179000000.0,164000000.0,17753000000.0,4521000000.0,13232000000.0,12997000000.0,4.65,0.249,0.0423,0.0308,0.0226,0.0061,36328000000.0,24351000000.0,4.7367,,4.7578,,4.7578,13232000000.0,,13232000000.0,0.0631,0.0305,WMT
2022-01-31 00:00:00,572754000000.0001,429000000000.0,143754000000.0,117412000000.0,25942000000.0,1994000000.0,916000000.0,694000000.0,18696000000.0,4756000000.0,13940000000.0,13673000000.0,4.88,0.251,0.0453,0.0326,0.0239,0.02,37700000000.0,25942000000.0,4.9697,,4.9928,,4.9928,13940000000.0,,13940000000.0,0.0658,0.0422,WMT
2021-10-31 00:00:00,571962000000.0001,428739000000.0,143223000000.0,117281000000.0,25542000000.0,2091000000.0,-6389000000.0,1171000000.0,13321000000.0,5022000000.0,8299000000.0,8020000000.0,2.86,0.2504,0.0447,0.0233,0.014,0.0306,36913000000.0,25542000000.0,2.9631,,2.9751,,2.9751,8299000000.0,,8299000000.0,0.0645,0.0516,WMT
2021-07-31 00:00:00,566145000000.0001,424055000000.0,142090000000.0,116162000000.0,25528000000.0,2146000000.0,-6455000000.0,1668000000.0,16289000000.0,5921000000.0,10368000000.0,10050000000.0,3.56,0.251,0.0451,0.0288,0.0178,0.032,36820000000.0,25528000000.0,3.6689,,3.6864,,3.6864,10368000000.0,,10368000000.0,0.065,0.0522,WMT
2021-04-30 00:00:00,562839000000.0001,421561000000.0,141278000000.0,117045000000.0,24233000000.0,2289000000.0,-5221000000.0,2289000000.0,19012000000.0,6569000000.0,12443000000.0,12250000000.0,4.33,0.251,0.0431,0.0338,0.0218,0.038,35255000000.0,24233000000.0,4.3779,,4.401,,4.401,12443000000.0,,12443000000.0,0.0626,0.0567,WMT
2021-01-31 00:00:00,559151000000.0001,420315000000.0,138836000000.0,116288000000.0,22548000000.0,2315000000.0,-1984000000.0,2315000000.0,20564000000.0,6858000000.0,13706000000.0,13510000000.0,4.77,0.2483,0.0403,0.0368,0.0242,0.0465,33700000000.0,22548000000.0,4.8143,,4.8415,,4.8415,13706000000.0,,13706000000.0,0.0603,0.0645,WMT
2020-10-31 00:00:00,548743000000.0001,412802000000.0,135941000000.0,113558000000.0,22383000000.0,2443000000.0,4447000000.0,2443000000.0,26830000000.0,6822000000.0,20008000000.0,19742000000.0,6.97,0.2477,0.0408,0.0489,0.036,0.0445,33544000000.0,22383000000.0,7.0198,,7.0629,,7.0629,20008000000.0,,20008000000.0,0.0611,0.0612,WMT
2020-07-31 00:00:00,542026000000.0001,408363000000.0,133663000000.0,112340000000.0,21323000000.0,,2765000000.0,2535000000.0,24088000000.0,5960000000.0,18128000000.0,17895000000.0,6.32,0.2466,0.0393,0.0444,0.033,0.0441,32436000000.0,21323000000.0,6.355,,6.3951,,6.3951,18128000000.0,,18128000000.0,0.0598,0.0609,WMT
