Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,21257000000.0,17607000000.0,3651000000.0,2283000000.0,1326800800.0,356000000.0,575000000.0,119100000.0,1219000000.0,271000000.0,949200000.0,945000000.0,3.64,0.1718,0.0624,0.0573,0.0445,0.0558,3206000000.0,1326800800.0,3.6627,,,,,949200000.0,,950000000.0,0.1508,0.095,WRK
2022-06-30 00:00:00,20945000000.0,17365000000.0,3581000000.0,2145900000.0,1337203100.0,378000000.0,552000000.0,50000000.0,1208000000.0,279000000.0,928900000.0,924000000.0,3.5,0.171,0.0638,0.0577,0.0441,0.0623,3183000000.0,1337203100.0,3.5296,,3.5576,,3.5576,928900000.0,,930000000.0,0.152,0.103,WRK
2022-03-31 00:00:00,20241300000.0,16793400000.0,3448899900.0,2093800000.0,1178302200.0,400000000.0,449100000.0,138500000.0,1023400000.0,223400000.0,800100000.0,796100000.0,2.96,0.1704,0.0582,0.0506,0.0393,0.0608,2999299800.0,1178302200.0,2.9872,,3.0135,,3.0135,800100000.0,,801000000.0,0.1482,0.1023,WRK
2021-12-31 00:00:00,19297100000.0,16009600000.0,3287499800.0,2059600000.0,1318801700.0,408000000.0,-14100000.0,210000000.0,1125300000.0,251900000.0,873800000.0,868600000.0,3.23,0.1704,0.0683,0.0583,0.045,0.053,2766799400.0,1318801700.0,3.2623,,3.2909,,3.2909,873800000.0,,874400000.0,0.1434,0.094,WRK
2021-09-30 00:00:00,18746600000.0,15409200000.0,3336399700.0,2028400000.0,1281201100.0,404000000.0,-92300000.0,291800000.0,1086100000.0,243200000.0,842500000.0,838600000.0,3.12,0.178,0.0683,0.0579,0.0447,0.0785,2747298900.0,1281201100.0,3.1496,,3.1768,,3.1768,842500000.0,,842900000.0,0.1465,0.1216,WRK
2021-06-30 00:00:00,18127101000.0,14881300000.0,3245800800.0,2085399900.0,-242498100.0,409000000.0,-195900000.0,390100000.0,-438400000.0,198200000.0,-636600000.0,-641500000.0,-2.53,0.1791,-0.0134,-0.0242,-0.0354,0.0953,2551201900.0,-242498100.0,-2.5097,,-2.5019,,-2.5019,-636600000.0,,-636600000.0,0.1407,0.1288,WRK
2021-03-31 00:00:00,17547101000.0,14461200000.0,3085900700.0,2035399900.0,-353198000.0,386000000.0,-214400000.0,380000000.0,-567600000.0,140000000.0,-707600000.0,-713100000.0,-2.77,0.1759,-0.0201,-0.0323,-0.0406,0.0955,2437202000.0,-353198000.0,-2.7516,,-2.7498,,-2.7498,-707600000.0,,-707600000.0,0.1389,0.1324,WRK
2020-12-31 00:00:00,17556601000.0,14415500000.0,3141100600.0,2007099900.0,-275897700.0,391000000.0,-229900000.0,393800000.0,-505800000.0,167300000.0,-673100000.0,-677500000.0,-2.62,0.1789,-0.0157,-0.0288,-0.0386,0.0919,2527602300.0,-275897700.0,-2.6078,,-2.6068,,-2.6068,-673100000.0,,-673100000.0,0.144,0.1344,WRK
2020-09-30 00:00:00,17578801000.0,14381600000.0,3197200900.0,2024899900.0,-256197500.0,391000000.0,-266400000.0,393500000.0,-522600000.0,163500000.0,-686100000.0,-691000000.0,-2.66,0.1819,-0.0146,-0.0297,-0.0393,0.0641,2564002500.0,-256197500.0,-2.647,,-2.647,,-2.647,-686100000.0,,-686100000.0,0.1459,0.1178,WRK
2020-06-30 00:00:00,17758900000.0,14296400000.0,3462499800.0,2066199900.0,1288998800.0,,-295400000.0,397200000.0,993600000.0,212800000.0,780800000.0,775800000.0,2.99,0.195,0.0726,0.0559,0.0437,0.058,2793498800.0,1288999300.0,3.0056,,3.0254,,3.0254,780800000.0,,780800000.0,0.1573,0.1267,WRK
