CEO,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,total,Revenue,Net Income Common,salary/revenue,bonus/revenue,stockAwards/revenue,optionAwards/revenue,nonEquityIncentiveCompensation/revenue,all_Equity_Awards
True,11458269,0,68552878,15107596,16133895,115188782,58346500000.0,7675250000.0,0.00019638314209078522,0.0,0.0011749269964779379,0.0002589289160446642,0.0002765186429348804,83660474
False,5085129,3000000,19646031,2999887,4580051,36893668,46239750000.0,6070500000.0,0.00010997310755356592,6.48792435080207e-05,0.00042487320973837444,6.487679972318189e-05,9.905008136938456e-05,22645918
True,2441140,0,130227654,0,10203331,159413533,484288750000.0,13041250000.0,5.040670467773617e-06,0.0,0.00026890497456321256,0.0,2.106869300598042e-05,130227654
False,7218184,0,38471191,0,11200278,62707472,458817750000.0,13555250000.0,1.5732137651605674e-05,0.0,8.384852373300728e-05,0.0,2.4411169794542603e-05,38471191
True,9668318,3485000,44487383,14649081,8633582,83061159,90501504416.66667,4663841583.333333,0.00010683046720955383,3.850764716523547e-05,0.0004915651213396542,0.00016186560758764846,9.539711030936242e-05,59136464
False,6083854,980000,11459057,2125173,3206254,25343797,118990832166.66667,6034603083.333333,5.112876252078428e-05,8.235928618663202e-06,9.630201580529888e-05,1.785997258194932e-05,2.6945386813574864e-05,13584230
True,27321602,0,82347835,0,82999000,198673526,2680679000000.0,608217000000.0,1.0192045373578858e-05,0.0,3.071902118828849e-05,0.0,3.096193165985185e-05,82347835
False,10355499,0,224247705,0,31428755,266979198,2529333000000.0,568656500000.0,4.0941619786718475e-06,0.0,8.865883021334083e-05,0.0,1.2425708674974786e-05,224247705
True,14611346,0,90913929,25481828,35757875,195391547,268939500000.0,49469500000.0,5.43294904616094e-05,0.0,0.00033804602522128583,9.474929491577101e-05,0.0001329588067204706,116395757
False,8307776,0,28358014,7884662,15018849,78579417,268939500000.0,49469500000.0,3.0890873226134506e-05,0.0,0.00010544384145876675,2.9317604888831875e-05,5.584471228659234e-05,36242676
True,9279424,0,43775646,14161318,14713178,84653683,1199716917500.0,-961368100.0,7.734677959978004e-06,0.0,3.648831266897593e-05,1.1803882893899427e-05,1.2263874740267634e-05,57936964
False,8048910,0,15050311,6764880,7958097,40331136,1878072157500.0,6407153900.0,4.285729900130315e-06,0.0,8.013702210480696e-06,3.6020341247191938e-06,4.237375527995388e-06,21815191
True,6903270,0,74376936,18945828,12131443,122880533,5925805833.333333,1261102000.0,0.0011649504209483746,0.0,0.012551362311201839,0.0031971732677145035,0.002047222494493365,93322764
False,5122469,0,16809647,4298866,2522165,30803460,8436102583.333333,1894506000.0,0.0006072080026765125,0.0,0.0019925844706072853,0.0005095796260814791,0.00029897277505644366,21108513
False,8061792,1200000,17875008,11527070,12456283,65188397,290090141000.0,37733149500.0,2.7790644563821974e-05,4.1366452367645265e-06,6.161880558360651e-05,3.973616600779273e-05,4.293935311645079e-05,29402078
True,18054231,0,57699167,50056699,31835313,205217440,257498141000.0,34091649500.0,7.011402462901664e-05,0.0,0.0002240760526500267,0.00019439635100122917,0.00012363317605465743,107755866
False,7246740,4430006,9615590,4072182,4869032,41111694,62037695300.0,10083038725.0,0.00011681188291983503,7.140829424074366e-05,0.0001549959255175619,6.564044618852886e-05,7.848505616552135e-05,13687772
True,26332739,46256736,52410713,21604895,27533237,209862819,218855556275.0,36329675825.0,0.00012032017577343091,0.00021135737555539471,0.0002394762732646551,9.871759880225595e-05,0.00012580551971640822,74015608
False,7886156,1640000,21088928,0,9567450,40552203,219585722250.0,22215057550.0,3.591379220467509e-05,7.468609448718381e-06,9.603961397813513e-05,0.0,4.357045577447602e-05,21088928
True,31071002,2530000,141396450,0,50300865,227687119,909925280500.0,90073432350.0,3.414676200987252e-05,2.7804480809784467e-06,0.00015539347354136954,0.0,5.528021484616835e-05,141396450
False,6743268,3861959,91484771,0,5103924,107511766,98183590000.0,26736096250.0,6.868019391020434e-05,3.933405775853175e-05,0.0009317725192162968,0.0,5.198347300195481e-05,91484771
True,9851411,227761,229215719,0,15112537,255539738,75089150250.0,19021089250.0,0.00013119619768236755,3.033207850158086e-06,0.0030525810751201037,0.0,0.00020126126011127686,229215719
True,10391574,0,50690507,35467580,21611250,120316513,53679149150.0,11823905050.0,0.00019358678676075847,0.0,0.0009443239656864047,0.0006607329020974246,0.00040260045738821105,86158087
False,4833258,500000,20027571,5724759,5898630,38261891,49449660325.0,10604201800.0,9.774097472528998e-05,1.0111292913112644e-05,0.0004050092734383206,0.00011576943021195566,0.00011928555143214728,25752330
True,16093382,0,97318632,21916708,31369751,171087928,999803500000.0,21352000000.0,1.609654497108682e-05,0.0,9.733775886961788e-05,2.192101547954173e-05,3.137591636756623e-05,119235340
False,9708556,0,34616492,10325531,13585146,70473927,909175000000.0,20039750000.0,1.0678423845794264e-05,0.0,3.807461929771496e-05,1.1357033574394368e-05,1.494227843924437e-05,44942023
True,9967388,0,45107347,31348268,20313410,125148305,134057527350.0,19914875275.0,7.435157276903184e-05,0.0,0.000336477539841779,0.00023384190816943336,0.0001515275598584282,76455615
False,6645070,1250000,14643006,5708384,7861260,42748199,147006051675.0,22200725425.0,4.520269692495977e-05,8.503051308142686e-06,9.960818505875296e-05,3.883094563086462e-05,5.347575770131982e-05,20351390
True,10917957,1145413,123660556,0,8764015,156497632,36975383233.333336,-1006208333.3333333,0.0002952763716092455,3.097771814214516e-05,0.0033444022802857636,0.0,0.00023702296592018103,123660556
True,6759177,544583,46348143,0,4116266,59687629,33650233233.333332,868141666.6666667,0.0002008656805773482,1.6183632256686578e-05,0.0013773498293048483,0.0,0.00012232503624737135,46348143
False,6729500,0,17457270,0,6548346,34240948,65906250000.0,3251750000.0,0.00010210715979137031,0.0,0.0002648803413940256,0.0,9.935849786628733e-05,17457270
True,15149725,0,52759234,0,17968044,98384995,106677750000.0,-1157000000.0,0.00014201391574156748,0.0,0.0004945664302068613,0.0,0.00016843291126781358,52759234
True,13257307,0,75394203,0,27580000,120977478,157224223000.0,16880025125.0,8.43210209409017e-05,0.0,0.0004795329979147043,0.0,0.00017541826236279126,75394203
False,7206584,0,21402229,0,9035850,40513894,157224223000.0,16880025125.0,4.583634673138121e-05,0.0,0.00013612551928464611,0.0,5.747110609031282e-05,21402229
False,6547761,300000,15950443,3242651,7430162,35654440,178443500000.0,-4550250000.0,3.669374900178488e-05,1.6812044148427934e-06,8.938651730099443e-05,1.817186392331466e-05,4.1638737191323865e-05,19193094
