Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,45210000000.0,38666000000.0,6544000000.0,1683000000.0,-559000000.0,1898000000.0,565000000.0,112000000.0,-2016000000.0,-409000000.0,-1607000000.0,-1607000000.0,-2.55,0.1447,-0.0124,-0.0446,-0.0355,-0.0191,1758000000.0,-559000000.0,-2.5684,-2.458,-2.458,-1607000000.0,-1607000000.0,0.0389,0.025,AAL
2022-06-30 00:00:00,40717000000.0,35965000000.0,4752000000.0,1506000000.0,-894000000.0,1875000000.0,-387000000.0,47000000.0,-2468000000.0,-547000000.0,-1921000000.0,-1921000000.0,-2.97,0.1167,-0.022,-0.0606,-0.0472,-0.0417,463000000.0,-894000000.0,-3.0086,-2.9398,-2.9398,-1921000000.0,-1921000000.0,0.0114,-0.0004,AAL
2022-03-31 00:00:00,34773000000.0,32057000000.0,2716000000.0,1279000000.0,-1470000000.0,1893000000.0,-1017000000.0,504000000.0,-3062000000.0,-684000000.0,-2378000000.0,-2378000000.0,-3.67,0.0781,-0.0423,-0.0881,-0.0684,0.0223,-612000000.0,-1470000000.0,-3.6422,-3.6422,-3.6422,-2378000000.0,-2378000000.0,-0.0176,0.0493,AAL
2021-12-31 00:00:00,29882000000.0,28895000000.0,987000000.0,1098000000.0,-1059000000.0,1801000000.0,-1530000000.0,867000000.0,-2549000000.0,-556000000.0,-1993000000.0,-1993000000.0,-3.12,0.033,-0.0354,-0.0853,-0.0667,0.0231,-853000000.0,-1059000000.0,-3.0946,-3.0946,-3.0946,-1993000000.0,-1993000000.0,-0.0285,0.0236,AAL
2021-09-30 00:00:00,24482000000.0,25545000000.0,-1063000000.0,873000000.0,-2794000000.0,1709000000.0,-1856000000.0,1238000000.0,-4167000000.0,-927000000.0,-3240000000.0,-3240000000.0,-5.5,-0.0434,-0.1141,-0.1702,-0.1323,-0.0348,-3226000000.0,-2794000000.0,-5.2709,-5.2441,-5.2441,-3240000000.0,-3240000000.0,-0.1318,-0.0392,AAL
2021-06-30 00:00:00,18686000000.0,22656000000.0,-3970000000.0,652000000.0,-6260000000.0,1573000000.0,-1208000000.0,1573000000.0,-7468000000.0,-1660000000.0,-5808000000.0,-5808000000.0,-10.46,-0.2125,-0.335,-0.3997,-0.3108,-0.1106,-6260000000.0,-6260000000.0,-10.218,-10.2174,-10.2174,-5808000000.0,-5808000000.0,-0.335,-0.0976,AAL
2021-03-31 00:00:00,12830000000.0,20492000000.0,-7662000000.0,432000000.0,-9187000000.0,1341000000.0,-949000000.0,1341000000.0,-10136000000.0,-2242000000.0,-7894000000.0,-7894000000.0,-15.31,-0.5972,-0.7161,-0.79,-0.6153,-0.5355,-9187000000.0,-9187000000.0,-15.0673,-15.0673,-15.0673,-7894000000.0,-7894000000.0,-0.7161,-0.4833,AAL
2020-12-31 00:00:00,17337000000.0,22523000000.0,-5186000000.0,666000000.0,-10421000000.0,1227000000.0,-1032000000.0,1227000000.0,-11453000000.0,-2568000000.0,-8885000000.0,-8885000000.0,-18.6,-0.2991,-0.6011,-0.6606,-0.5125,-0.4701,-10421000000.0,-10421000000.0,-18.3617,-18.3617,-18.3617,-8885000000.0,-8885000000.0,-0.6011,-0.3774,AAL
2020-09-30 00:00:00,24623000000.0,24753000000.0,-130000000.0,1348000000.0,-7177000000.0,1116000000.0,-895000000.0,1116000000.0,-8072000000.0,-1779000000.0,-6293000000.0,-6293000000.0,-13.84,-0.0053,-0.2915,-0.3278,-0.2556,-0.2342,-7177000000.0,-7177000000.0,-13.8566,-13.8531,-13.8531,-6293000000.0,-6293000000.0,-0.2915,-0.1251,AAL
2020-06-30 00:00:00,33361000000.0,28321000000.0,5040000000.0,1675000000.0,-3498000000.0,,-922000000.0,1060000000.0,-4420000000.0,-951000000.0,-3469000000.0,-3469000000.0,-8.17,0.1511,-0.1049,-0.1325,-0.104,-0.0792,-3498000000.0,-3498000000.0,-8.1832,-8.1787,-8.1787,-3469000000.0,-3469000000.0,-0.1049,0.0106,AAL
