Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,16882000000.0,8918000000.0,7965000000.0,820000000.0,3314299900.0,3934401100.0,115000000.0,80000000.0,62000000.0,3913000000.0,886000000.0,3027400200.0,3027000000.0,7.23,0.4718,0.2331,0.2318,0.1793,0.1865,4455000000.0,3934401100.0,7.2186,,7.2579,,7.2579,3027400200.0,,3027000000.0,0.2639,0.2189,ADP
2022-06-30 00:00:00,16498000000.0,8768000000.0,7731000000.0,799000000.0,3206999900.0,3803201100.0,82000000.0,88000000.0,42000000.0,3804000000.0,855000000.0,2948900200.0,2949000000.0,7.01,0.4686,0.2305,0.2306,0.1787,0.1564,4318000000.0,3803201100.0,7.0029,,7.0413,,7.0413,2948900200.0,,2949000000.0,0.2617,0.1879,ADP
2022-03-31 00:00:00,16107000000.0,8774500000.0,7333500000.0,781000000.0,3133500000.0,3666500900.0,71000000.0,70400000.0,42200000.0,3698200000.0,836000000.0,2861600100.0,2862200100.0,6.78,0.4553,0.2276,0.2296,0.1777,0.1462,4432401000.0,3666500400.0,6.7729,,6.8089,,6.8089,2861600100.0,,2862200100.0,0.2752,0.1763,ADP
2021-12-31 00:00:00,15696000000.0,8710600000.0,6985400000.0,763000000.0,3079000000.0,3544100900.0,68000000.0,48700000.0,49700000.0,3574400000.0,830500000.0,2743800100.0,2743900100.0,6.47,0.445,0.2258,0.2277,0.1748,0.1676,4563801000.0,3544100400.0,6.4587,,6.492,,6.492,2743800100.0,,2743900100.0,0.2908,0.1988,ADP
2021-09-30 00:00:00,15366700000.0,8666000000.0,6700700000.0,738000000.0,3052500000.0,3459701000.0,64000000.0,45800000.0,54600000.0,3497000000.0,799600000.0,2696900100.0,2697400100.0,6.33,0.4361,0.2251,0.2276,0.1755,0.1473,4728901000.0,3459700500.0,6.3225,,6.3529,,6.3529,2696900100.0,,2697400100.0,0.3077,0.1779,ADP
2021-06-30 00:00:00,15005400000.0,8640300000.0,6365100000.0,718000000.0,3040500000.0,3324601100.0,60000000.0,36600000.0,59700000.0,3361200000.0,762700000.0,2598500100.0,2598500100.0,6.08,0.4242,0.2216,0.224,0.1732,0.1737,4840101000.0,3324600600.0,6.0698,,6.0954,,6.0954,2598500100.0,,2598500100.0,0.3226,0.2061,ADP
2021-03-31 00:00:00,14645200000.0,8501900000.0,6143300000.0,688000000.0,2965399900.0,3177900900.0,59000000.0,17400000.0,58100000.0,3195300200.0,723400000.0,2471900200.0,2471900000.0,5.77,0.4195,0.217,0.2182,0.1688,0.1795,4673400700.0,3177900400.0,5.7627,,5.784,,5.784,2471900200.0,,2471900200.0,0.3191,0.2197,ADP
2020-12-31 00:00:00,14591000000.0,8462900000.0,6128100000.0,681000000.0,2958999900.0,3169100900.0,65000000.0,36700000.0,64600000.0,3205800200.0,723700000.0,2482100200.0,2482100000.0,5.78,0.42,0.2172,0.2197,0.1701,0.1723,4648500700.0,3169100400.0,5.7683,,5.7892,,5.7892,2482100200.0,,2482100200.0,0.3186,0.2113,ADP
2020-09-30 00:00:00,14564800000.0,8434600000.0,6130200000.0,675000000.0,2957499900.0,3172700800.0,83000000.0,36000000.0,82300000.0,3208700200.0,722500000.0,2486200200.0,2486200000.0,5.78,0.4209,0.2178,0.2203,0.1707,0.171,4636900700.0,3172700300.0,5.7628,,5.7843,,5.7843,2486200200.0,,2486200200.0,0.3184,0.2111,ADP
2020-06-30 00:00:00,14589800000.0,8445100000.0,6144700000.0,,3002999900.0,3141700800.0,,40900000.0,107100000.0,3182600200.0,716100000.0,2466500200.0,2466500000.0,5.73,0.4212,0.2153,0.2181,0.1691,0.1672,4586900700.0,3141700300.0,5.7002,,5.7255,,5.7255,2466500200.0,,2466500200.0,0.3144,0.2074,ADP
