Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7456000000.0,5485000000.0,1971000000.0,2447000000.0,1436000000.0,449000000.0,206000000.0,25000000.0,1218000000.0,177000000.0,1041000000.0,1036000000.0,3.99,0.2644,0.1926,0.1634,0.1389,-0.1719,2835000000.0,1436000000.0,4.0164,,4.0342,,4.0342,1041000000.0,,1041000000.0,0.3802,0.2774,AEE
2022-06-30 00:00:00,6961000000.0,5057000000.0,1904000000.0,2427000000.0,1371000000.0,417000000.0,203000000.0,26000000.0,1183000000.0,169000000.0,1014000000.0,1009000000.0,3.89,0.2735,0.197,0.1699,0.145,-0.1751,2725000000.0,1371000000.0,3.918,,3.9368,,3.9368,1014000000.0,,1014000000.0,0.3915,0.3012,AEE
2022-03-31 00:00:00,6707000000.0,4136000000.0,2571000000.0,2341000000.0,1348000000.0,387000000.0,100000000.0,116000000.0,1177000000.0,164000000.0,1013000000.0,1009000000.0,3.9,0.3833,0.201,0.1755,0.1504,-0.1999,2682000000.0,1348000000.0,3.921,,3.9395,,3.9395,1013000000.0,,1013000000.0,0.3999,0.3107,AEE
2021-12-31 00:00:00,6394000000.0,3151000000.0,3243000000.0,2286000000.0,1333000000.0,383000000.0,-8000000.0,210000000.0,1152000000.0,157000000.0,995000000.0,990000000.0,3.85,0.5072,0.2085,0.1802,0.1548,-0.2912,2621000000.0,1333000000.0,3.8625,,3.8822,,3.8822,995000000.0,,995000000.0,0.4099,0.2598,AEE
2021-09-30 00:00:00,6177000000.0,2232000000.0,3945000000.0,2213000000.0,1347000000.0,398000000.0,-126000000.0,311000000.0,1134000000.0,149000000.0,985000000.0,980000000.0,3.84,0.6387,0.2181,0.1836,0.1587,-0.3879,2587000000.0,1347000000.0,3.8391,,3.86,,3.86,985000000.0,,985000000.0,0.4188,0.2574,AEE
2021-06-30 00:00:00,5994000000.0,1412000000.0,4582000000.0,2160000000.0,1307000000.0,414000000.0,-237000000.0,414000000.0,1070000000.0,142000000.0,928000000.0,922000000.0,3.68,0.7644,0.2181,0.1785,0.1538,-0.3859,2521000000.0,1307000000.0,3.6725,,3.6976,,3.6976,928000000.0,,928000000.0,0.4206,0.2451,AEE
2021-03-31 00:00:00,5920000000.0,1315000000.0,4605000000.0,2129000000.0,1375000000.0,426000000.0,-250000000.0,426000000.0,1125000000.0,161000000.0,964000000.0,958000000.0,3.86,0.7779,0.2323,0.19,0.1618,-0.3571,2559000000.0,1375000000.0,3.8481,,3.8737,,3.8737,964000000.0,,964000000.0,0.4323,0.2368,AEE
2020-12-31 00:00:00,5794000000.0,1275000000.0,4519000000.0,2144000000.0,1300000000.0,419000000.0,-268000000.0,419000000.0,1032000000.0,155000000.0,877000000.0,871000000.0,3.53,0.7799,0.2244,0.1781,0.1503,-0.2713,2475000000.0,1300000000.0,3.5263,,3.5506,,3.5506,877000000.0,,877000000.0,0.4272,0.2981,AEE
2020-09-30 00:00:00,5782000000.0,1303000000.0,4479000000.0,2162000000.0,1268000000.0,402000000.0,-254000000.0,402000000.0,1014000000.0,158000000.0,856000000.0,850000000.0,3.44,0.7746,0.2193,0.1754,0.147,-0.133,2439000000.0,1268000000.0,3.4464,,3.4686,,3.4686,856000000.0,,856000000.0,0.4218,0.3167,AEE
2020-06-30 00:00:00,5813000000.0,1314000000.0,4499000000.0,2181000000.0,1294000000.0,,-254000000.0,388000000.0,1040000000.0,187000000.0,853000000.0,847000000.0,3.44,0.774,0.2226,0.1789,0.1457,-0.1017,2446000000.0,1294000000.0,3.4445,,3.4637,,3.4637,853000000.0,,853000000.0,0.4208,0.3415,AEE
2020-03-31 00:00:00,5794000000.0,1326000000.0,4468000000.0,2246000000.0,1220000000.0,,-255000000.0,377000000.0,965000000.0,176000000.0,789000000.0,783000000.0,3.18,0.7711,0.2106,0.1666,0.1351,-0.082,2338000000.0,1220000000.0,3.1884,,3.2083,,3.2083,789000000.0,,789000000.0,0.4035,0.3578,AEE
2019-12-31 00:00:00,5910000000.0,1422000000.0,4488000000.0,2226000000.0,1267000000.0,,-251000000.0,381000000.0,1016000000.0,182000000.0,834000000.0,828000000.0,3.37,0.7594,0.2144,0.1719,0.1401,-0.046,2367000000.0,1267000000.0,3.3752,,3.3958,,3.3958,834000000.0,,834000000.0,0.4005,0.3672,AEE
2019-09-30 00:00:00,6013000000.0,1514000000.0,4499000000.0,2258000000.0,1254000000.0,,-272000000.0,389000000.0,982000000.0,174000000.0,808000000.0,802000000.0,3.27,0.7482,0.2085,0.1633,0.1334,-0.0422,2336000000.0,1254000000.0,3.2704,,3.2915,,3.2915,808000000.0,,808000000.0,0.3885,0.3579,AEE
2019-06-30 00:00:00,6078000000.0,1582000000.0,4496000000.0,2249000000.0,1267000000.0,,-279000000.0,394000000.0,988000000.0,187000000.0,801000000.0,795000000.0,3.25,0.7397,0.2085,0.1626,0.1308,-0.0216,2334000000.0,1267000000.0,3.2492,,3.2738,,3.2738,801000000.0,,801000000.0,0.384,0.3667,AEE
2019-03-31 00:00:00,6262000000.0,1679000000.0,4583000000.0,2242000000.0,1372000000.0,,-289000000.0,397000000.0,1083000000.0,222000000.0,861000000.0,855000000.0,3.5,0.7319,0.2191,0.1729,0.1365,-0.0021,2439000000.0,1372000000.0,3.4974,,3.5257,,3.5257,861000000.0,,861000000.0,0.3895,0.3671,AEE
2018-12-31 00:00:00,6291000000.0,1724000000.0,4567000000.0,2255000000.0,1357000000.0,,-299000000.0,401000000.0,1058000000.0,237000000.0,821000000.0,815000000.0,3.34,0.726,0.2157,0.1682,0.1296,-0.0267,2410000000.0,1357000000.0,3.3401,,3.3675,,3.3675,821000000.0,,821000000.0,0.3831,0.3449,AEE
2018-09-30 00:00:00,6271000000.0,1698000000.0,4573000000.0,2229000000.0,1403000000.0,,-289000000.0,398000000.0,1114000000.0,421000000.0,693000000.0,687000000.0,2.82,0.7292,0.2237,0.1776,0.1096,-0.029,2423000000.0,1403000000.0,2.8157,,2.8422,,2.8422,693000000.0,,693000000.0,0.3864,0.344,AEE
