Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9066000000.0,7625000000.0,9066000000.0,7045000000.0,86000000.0,101000000.0,-13000000.0,111000000.0,73000000.0,19000000.0,54000000.0,54000000.0,0.42,1.0,0.0095,0.0081,0.006,0.0542,496000000.0,86000000.0,0.433,0.4293,0.4293,54000000.0,54000000.0,0.0547,0.1696,ALK
2022-06-30 00:00:00,8191000000.0,7045000000.0,8191000000.0,6334000000.0,282000000.0,100000000.0,-29000000.0,110000000.0,253000000.0,45000000.0,208000000.0,208000000.0,1.65,1.0,0.0344,0.0309,0.0254,0.0535,687000000.0,282000000.0,1.6467,1.6627,1.6627,208000000.0,208000000.0,0.0839,0.1536,ALK
2022-03-31 00:00:00,7060000000.0,6333000000.0,7060000000.0,5618000000.0,644000000.0,113000000.0,-48000000.0,123000000.0,596000000.0,130000000.0,466000000.0,466000000.0,3.73,1.0,0.0912,0.0844,0.066,0.0848,1043000000.0,644000000.0,3.6893,3.7409,3.7409,466000000.0,466000000.0,0.1477,0.1629,ALK
2021-12-31 00:00:00,6176000000.0,5799000000.0,6176000000.0,5217000000.0,685000000.0,117000000.0,-56000000.0,128000000.0,629000000.0,151000000.0,478000000.0,478000000.0,3.82,1.0,0.1109,0.1018,0.0774,0.1198,1079000000.0,685000000.0,3.7705,3.8221,3.8221,478000000.0,478000000.0,0.1747,0.1668,ALK
2021-09-30 00:00:00,5085000000.0,5315000000.0,5085000000.0,4646000000.0,51000000.0,123000000.0,-94000000.0,135000000.0,-43000000.0,-56000000.0,13000000.0,13000000.0,0.21,1.0,0.01,-0.0085,0.0026,0.1223,445000000.0,51000000.0,-0.0129,0.057,0.057,13000000.0,13000000.0,0.0875,0.1084,ALK
2021-06-30 00:00:00,3833000000.0,4875000000.0,3833000000.0,4209000000.0,-778000000.0,126000000.0,-99000000.0,139000000.0,-877000000.0,-265000000.0,-612000000.0,-612000000.0,-4.83,1.0,-0.203,-0.2288,-0.1597,0.15,-378000000.0,-778000000.0,-5.0239,-4.9776,-4.9776,-612000000.0,-612000000.0,-0.0986,0.1179,ALK
2021-03-31 00:00:00,2727000000.0,4393000000.0,2727000000.0,3761000000.0,-1615000000.0,106000000.0,-81000000.0,117000000.0,-1696000000.0,-473000000.0,-1223000000.0,-1223000000.0,-9.75,1.0,-0.5922,-0.6219,-0.4485,0.018,-1206000000.0,-1615000000.0,-9.8899,-9.8899,-9.8899,-1223000000.0,-1223000000.0,-0.4422,-0.0367,ALK
2020-12-31 00:00:00,3566000000.0,4753000000.0,3566000000.0,4185000000.0,-1775000000.0,87000000.0,-65000000.0,98000000.0,-1840000000.0,-516000000.0,-1324000000.0,-1324000000.0,-10.59,1.0,-0.4978,-0.516,-0.3713,-0.0496,-1355000000.0,-1775000000.0,-10.725,-10.725,-10.725,-1324000000.0,-1324000000.0,-0.38,-0.0656,ALK
2020-09-30 00:00:00,4986000000.0,5361000000.0,4986000000.0,4872000000.0,-928000000.0,70000000.0,-26000000.0,82000000.0,-954000000.0,-258000000.0,-696000000.0,-696000000.0,-5.65,1.0,-0.1861,-0.1913,-0.1396,0.0225,-502000000.0,-928000000.0,-5.6586,-5.6398,-5.6398,-696000000.0,-696000000.0,-0.1007,0.0917,ALK
2020-06-30 00:00:00,6674000000.0,,6674000000.0,5542000000.0,65000000.0,,-14000000.0,66000000.0,51000000.0,-6000000.0,57000000.0,57000000.0,0.45,1.0,0.0097,0.0076,0.0085,0.076,492000000.0,65000000.0,0.4225,0.4578,0.4578,57000000.0,57000000.0,0.0737,0.1513,ALK
