Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3119600000.0,1858300000.0,1261300000.0,716100000.0,542099900.0,65400000.0,47100000.0,13800000.0,498800000.0,63200000.0,435600000.0,435400000.0,4.92,0.4043,0.1738,0.1599,0.1396,0.1011,659000000.0,542099900.0,4.9086,,4.9321,,4.9321,435600000.0,,435600000.0,0.2112,0.1197,ALLE
2022-06-30 00:00:00,2922900000.0,1729800000.0,1193100000.0,672500000.0,517599900.0,54600000.0,41000000.0,13700000.0,499600000.0,41300000.0,464600000.0,464300000.0,5.22,0.4082,0.1771,0.1709,0.1588,0.0886,606400000.0,517599900.0,5.1996,,5.2292,,5.2292,464600000.0,,464600000.0,0.2075,0.1065,ALLE
2022-03-31 00:00:00,2896700000.0,1699000000.0,1197700000.0,679700000.0,515899900.0,49800000.0,24100000.0,26000000.0,502500000.0,40600000.0,468200000.0,467900000.0,5.23,0.4135,0.1781,0.1735,0.1615,0.1151,600600000.0,515899900.0,5.2048,,5.2386,,5.2386,468200000.0,,468200000.0,0.2073,0.1316,ALLE
2021-12-31 00:00:00,2867400000.0,1661500000.0,1205900000.0,674100000.0,530199900.0,50200000.0,12800000.0,38200000.0,517700000.0,40700000.0,483300000.0,482900000.0,5.37,0.4206,0.1849,0.1805,0.1684,0.1489,615400000.0,530199900.0,5.3404,,5.3759,,5.3759,483300000.0,,483300000.0,0.2146,0.1647,ALLE
2021-09-30 00:00:00,2885499900.0,1646199900.0,1239300000.0,664200000.0,532800000.0,49300000.0,-22200000.0,37300000.0,499000000.0,41300000.0,464000000.0,463500000.0,5.13,0.4295,0.1846,0.1729,0.1606,0.1764,619900000.0,532800000.0,5.0919,,5.1257,,5.1257,464000000.0,,464000000.0,0.2148,0.1911,ALLE
2021-06-30 00:00:00,2896899900.0,1639899900.0,1257000000.0,658900000.0,554800000.0,50000000.0,-30600000.0,49900000.0,524200000.0,56900000.0,467300000.0,466900000.0,5.12,0.4339,0.1915,0.181,0.1612,0.2034,643400000.0,554800000.0,5.0863,,5.1163,,5.1163,467300000.0,,467300000.0,0.2221,0.2174,ALLE
2021-03-31 00:00:00,2739499900.0,1556399900.0,1183100000.0,633900000.0,505900000.0,50700000.0,-30000000.0,50500000.0,475900000.0,53700000.0,422200000.0,421900000.0,4.6,0.4319,0.1847,0.1737,0.154,0.1934,593900000.0,505900000.0,4.57,,4.5948,,4.5948,422200000.0,,422200000.0,0.2168,0.2085,ALLE
2020-12-31 00:00:00,2719899900.0,1541099900.0,1178800000.0,635700000.0,403500000.0,51600000.0,-38100000.0,51100000.0,365400000.0,50900000.0,314500000.0,314300000.0,3.41,0.4334,0.1484,0.1343,0.1156,0.1629,586200000.0,403500000.0,3.389,,3.4073,,3.4073,314500000.0,,314500000.0,0.2155,0.1803,ALLE
2020-09-30 00:00:00,2712100000.0,1533999900.0,1178100100.0,644200000.0,429100000.0,52600000.0,-71800000.0,52100000.0,357300000.0,55500000.0,301800000.0,301700000.0,3.26,0.4344,0.1582,0.1317,0.1112,0.1654,614600100.0,429100000.0,3.246,,3.2637,,3.2637,301800000.0,,301800000.0,0.2266,0.1837,ALLE
2020-06-30 00:00:00,2732000000.0,1537599900.0,1194400100.0,655400000.0,436800000.0,,-88700000.0,54800000.0,348100000.0,61500000.0,286600000.0,286400000.0,3.08,0.4372,0.1599,0.1274,0.1048,0.1642,620300100.0,436800000.0,3.0624,,3.0838,,3.0838,286600000.0,,286600000.0,0.227,0.1864,ALLE
