Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,25093000000.0,13341000000.0,11752000000.0,2665000000.0,1367000000.0,7808000000.0,215000000.0,60000000.0,228000000.0,7656000000.0,1010000000.0,6646000000.0,6646000000.0,7.48,0.4683,0.3112,0.3051,0.2649,0.1961,8161000000.0,7808000000.0,7.4667,7.5206,7.5206,6646000000.0,6646000000.0,0.3252,0.2268,AMAT
2022-04-30 00:00:00,24799000000.0,13050000000.0,11749000000.0,2597000000.0,1300000000.0,7897000000.0,216000000.0,-18000000.0,229000000.0,7775000000.0,1019000000.0,6756000000.0,6756000000.0,7.5,0.4738,0.3184,0.3135,0.2724,0.2101,8279000000.0,7897000000.0,7.4879,7.5517,7.5517,6756000000.0,6756000000.0,0.3338,0.2382,AMAT
2022-01-31 00:00:00,24150000000.0,12657000000.0,11493000000.0,2529000000.0,1250000000.0,7582000000.0,219000000.0,-35000000.0,232000000.0,7456000000.0,906000000.0,6550000000.0,6550000000.0,7.21,0.4759,0.314,0.3087,0.2712,0.248,7964000000.0,7582000000.0,7.1831,7.2511,7.2511,6550000000.0,6550000000.0,0.3298,0.2766,AMAT
2021-10-31 00:00:00,23054000000.0,12153000000.0,10901000000.0,2480000000.0,1225000000.0,6889000000.0,223000000.0,-83000000.0,236000000.0,6771000000.0,883000000.0,5888000000.0,5888000000.0,6.44,0.4728,0.2988,0.2937,0.2554,0.2071,7283000000.0,6889000000.0,6.4069,6.4704,6.4704,5888000000.0,5888000000.0,0.3159,0.2361,AMAT
2021-07-31 00:00:00,21626000000.0,11531000000.0,10095000000.0,2424000000.0,1202000000.0,6158000000.0,228000000.0,-130000000.0,238000000.0,6008000000.0,701000000.0,5307000000.0,5307000000.0,5.79,0.4668,0.2847,0.2778,0.2454,0.2305,6543000000.0,6158000000.0,5.7541,5.8083,5.8083,5307000000.0,5307000000.0,0.3026,0.2594,AMAT
2021-04-30 00:00:00,19827000000.0,10740000000.0,9087000000.0,2355000000.0,1167000000.0,5253000000.0,233000000.0,-185000000.0,242000000.0,5068000000.0,636000000.0,4432000000.0,4432000000.0,4.84,0.4583,0.2649,0.2556,0.2235,0.2126,5635000000.0,5253000000.0,4.7969,4.8375,4.8375,4432000000.0,4432000000.0,0.2842,0.2416,AMAT
2021-01-31 00:00:00,18202000000.0,10019000000.0,8183000000.0,2288000000.0,1137000000.0,4606000000.0,236000000.0,-205000000.0,242000000.0,4401000000.0,544000000.0,3857000000.0,3857000000.0,4.21,0.4496,0.253,0.2418,0.2119,0.2086,4982000000.0,4606000000.0,4.1802,4.212,4.212,3857000000.0,3857000000.0,0.2737,0.2328,AMAT
2020-10-31 00:00:00,17202000000.0,9510000000.0,7692000000.0,2234000000.0,1093000000.0,4365000000.0,236000000.0,-199000000.0,240000000.0,4166000000.0,547000000.0,3619000000.0,3619000000.0,3.95,0.4472,0.2537,0.2422,0.2104,0.1966,4741000000.0,4365000000.0,3.9208,3.9508,3.9508,3619000000.0,3619000000.0,0.2756,0.2211,AMAT
2020-07-31 00:00:00,16268000000.0,9072000000.0,7196000000.0,2189000000.0,1061000000.0,3946000000.0,,-183000000.0,240000000.0,3763000000.0,577000000.0,3186000000.0,3186000000.0,3.47,0.4423,0.2426,0.2313,0.1958,0.1818,4317000000.0,3946000000.0,3.4449,3.4769,3.4769,3186000000.0,3186000000.0,0.2654,0.2038,AMAT
2020-04-30 00:00:00,15435000000.0,8637000000.0,6798000000.0,2132000000.0,1026000000.0,3640000000.0,,-135000000.0,237000000.0,3505000000.0,589000000.0,2916000000.0,2916000000.0,3.16,0.4404,0.2358,0.2271,0.1889,0.1861,4006000000.0,3640000000.0,3.1422,3.1724,3.1724,2916000000.0,2916000000.0,0.2595,0.2096,AMAT
2020-01-31 00:00:00,15017000000.0,8438000000.0,6579000000.0,2090000000.0,1005000000.0,3484000000.0,,-98000000.0,236000000.0,3386000000.0,559000000.0,2827000000.0,2827000000.0,3.05,0.4381,0.232,0.2255,0.1883,0.1991,3853000000.0,3484000000.0,3.0267,3.0561,3.0561,2827000000.0,2827000000.0,0.2566,0.2264,AMAT
2019-10-31 00:00:00,14608000000.0,8222000000.0,6386000000.0,2054000000.0,982000000.0,3350000000.0,,-81000000.0,237000000.0,3269000000.0,563000000.0,2706000000.0,2706000000.0,2.89,0.4372,0.2293,0.2238,0.1852,0.1921,3713000000.0,3350000000.0,2.8635,2.8879,2.8879,2706000000.0,2706000000.0,0.2542,0.2223,AMAT
2019-07-31 00:00:00,14613000000.0,8204000000.0,6409000000.0,2058000000.0,974000000.0,3377000000.0,,-73000000.0,238000000.0,3304000000.0,539000000.0,2765000000.0,2765000000.0,3.03,0.4386,0.2311,0.2261,0.1892,0.2045,3768000000.0,3377000000.0,2.8492,2.8788,2.8788,2765000000.0,2765000000.0,0.2579,0.2394,AMAT
2019-04-30 00:00:00,15213000000.0,8497000000.0,6716000000.0,2048000000.0,1000000000.0,3668000000.0,,-69000000.0,239000000.0,3599000000.0,389000000.0,3210000000.0,3210000000.0,3.6,0.4415,0.2411,0.2366,0.211,0.1837,4080000000.0,3668000000.0,3.2507,3.2863,3.2863,3210000000.0,3210000000.0,0.2682,0.2198,AMAT
2019-01-31 00:00:00,16253000000.0,9011000000.0,7242000000.0,2049000000.0,1009000000.0,4184000000.0,,-83000000.0,235000000.0,4101000000.0,457000000.0,3644000000.0,3644000000.0,3.99,0.4456,0.2574,0.2523,0.2242,0.1602,4610000000.0,4184000000.0,3.6059,3.6483,3.6483,3644000000.0,3644000000.0,0.2836,0.1941,AMAT
2018-10-31 00:00:00,16705000000.0,9188000000.0,7517000000.0,2022000000.0,1004000000.0,4491000000.0,,-95000000.0,234000000.0,4396000000.0,1358000000.0,3038000000.0,3038000000.0,3.31,0.45,0.2688,0.2632,0.1819,0.1895,4948000000.0,4491000000.0,2.961,2.999,2.999,3038000000.0,3038000000.0,0.2962,0.2267,AMAT
2018-07-31 00:00:00,17076000000.0,9349000000.0,7727000000.0,1976000000.0,985000000.0,4766000000.0,,-86000000.0,231000000.0,4680000000.0,1332000000.0,3348000000.0,3348000000.0,3.33,0.4525,0.2791,0.2741,0.1961,0.1662,5208000000.0,4766000000.0,3.2113,3.2468,3.2468,3348000000.0,3348000000.0,0.305,0.2002,AMAT
2018-04-30 00:00:00,16658000000.0,9095000000.0,7563000000.0,1925000000.0,942000000.0,4696000000.0,,-115000000.0,231000000.0,4581000000.0,1324000000.0,3257000000.0,3257000000.0,3.01,0.454,0.2819,0.275,0.1955,0.2182,5130000000.0,4696000000.0,3.0545,3.0884,3.0884,3257000000.0,3257000000.0,0.308,0.2499,AMAT
2018-01-31 00:00:00,15625000000.0,8518000000.0,7107000000.0,1853000000.0,910000000.0,4344000000.0,,-116000000.0,219000000.0,4228000000.0,1247000000.0,2981000000.0,2981000000.0,2.67,0.4548,0.278,0.2706,0.1908,0.2547,4773000000.0,4344000000.0,2.7548,2.7838,2.7838,2981000000.0,2981000000.0,0.3055,0.2856,AMAT
2017-10-31 00:00:00,14698000000.0,8086000000.0,6612000000.0,1781000000.0,895000000.0,3936000000.0,,-120000000.0,198000000.0,3816000000.0,297000000.0,3519000000.0,3519000000.0,3.19,0.4499,0.2678,0.2596,0.2394,0.2343,4343000000.0,3936000000.0,3.2462,3.2796,3.2796,3519000000.0,3519000000.0,0.2955,0.2578,AMAT
2017-07-31 00:00:00,13865000000.0,7721000000.0,6144000000.0,1702000000.0,895000000.0,3547000000.0,,-150000000.0,179000000.0,3397000000.0,335000000.0,3062000000.0,3062000000.0,2.83,0.4431,0.2558,0.245,0.2208,0.2646,3949000000.0,3547000000.0,2.8039,2.8315,2.8315,3062000000.0,3062000000.0,0.2848,0.2868,AMAT
2017-04-30 00:00:00,12942000000.0,7306000000.0,5636000000.0,1634000000.0,882000000.0,3120000000.0,,-137000000.0,158000000.0,2983000000.0,341000000.0,2642000000.0,2642000000.0,2.44,0.4355,0.2411,0.2305,0.2041,0.2551,3517000000.0,3120000000.0,2.4118,2.4341,2.4341,2642000000.0,2642000000.0,0.2718,0.2767,AMAT
