Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10451000000.0,3194299900.0,7257001000.0,963899900.0,2786900200.0,182000000.0,55000000.0,3008000000.0,153300000.0,2854499900.0,,2903000000.0,6.3,0.6944,0.2667,0.2878,0.2778,0.1449,6011100000.0,2786900200.0,6.1906,6.2079,6.2079,2854500100.0,2855000000.0,0.5752,0.3052,AMT
2022-06-30 00:00:00,10233000000.0,3082099900.0,7152001000.0,938599900.0,2961500300.0,171000000.0,45000000.0,2930000000.0,168600000.0,2760999900.0,,2786000000.0,6.08,0.6989,0.2894,0.2863,0.2723,0.276,5899000000.0,2961500300.0,6.0237,6.0427,6.0427,2761000100.0,2761000000.0,0.5765,0.4255,AMT
2022-03-31 00:00:00,9857900000.0,2907099900.0,6951601000.0,922899900.0,3028400300.0,124500000.0,244700000.0,2852700000.0,234000000.0,2617999900.0,,2634300000.0,5.79,0.7052,0.3072,0.2894,0.2672,0.2995,5694200000.0,3028400300.0,5.7396,5.7605,5.7605,2618000100.0,2617900000.0,0.5776,0.4454,AMT
2021-12-31 00:00:00,9356400000.0,2681999900.0,6674901000.0,811599900.0,3132000200.0,-17600000.0,441700000.0,2830300000.0,261800000.0,2567599900.0,,2567300000.0,5.68,0.7134,0.3347,0.3025,0.2744,0.368,5504500000.0,3132000200.0,5.6643,5.6868,5.6868,2567600100.0,2567200000.0,0.5883,0.5151,AMT
2021-09-30 00:00:00,9033900000.0,2519100200.0,6515100000.0,792000000.0,3179700100.0,-377200000.0,625800000.0,2720999900.0,232600000.0,2487999900.0,,2479400000.0,5.51,0.7212,0.352,0.3012,0.2745,0.442,5382500000.0,3179700000.0,5.5137,5.5362,5.5362,2487999900.0,2487799900.0,0.5958,0.5837,AMT
2021-06-30 00:00:00,8592800000.0,2357400200.0,6235400000.0,762100000.0,3137300000.0,-692100000.0,807700000.0,2445199900.0,220500000.0,2224699900.0,,2220800000.0,4.98,0.7257,0.3651,0.2846,0.2584,0.3407,5202600000.0,3137299900.0,4.9621,4.984,4.984,2224699900.0,2224699900.0,0.6055,0.4815,AMT
2021-03-31 00:00:00,8206900000.0,2249500200.0,5957400000.0,743500000.0,2979400000.0,-895400000.0,791700000.0,2083999900.0,158800000.0,1925199900.0,,1920600000.0,4.33,0.7259,0.363,0.2539,0.234,0.3694,4944800000.0,2979399900.0,4.3144,4.3355,4.3355,1925199900.0,1925199900.0,0.6025,0.5086,AMT
2020-12-31 00:00:00,8041500000.0,2227200200.0,5814300000.0,778700000.0,2887499900.0,-1066400000.0,793500000.0,1821099900.0,129600000.0,1691499900.0,,1690600000.0,3.82,0.723,0.3591,0.2265,0.2102,0.3544,4802700000.0,2887499800.0,3.7917,3.8128,3.8128,1691499900.0,1691499900.0,0.5972,0.4827,AMT
2020-09-30 00:00:00,7842700000.0,2204800100.0,5637900000.0,762000000.0,2874499300.0,-1004200000.0,798300000.0,1870300000.0,-29000000.0,1899300000.0,,1888200100.0,4.27,0.7189,0.3665,0.2385,0.2408,0.358,4751300000.0,2874499700.0,4.2587,4.2853,4.2853,1899300000.0,1899300000.0,0.6058,0.4772,AMT
2020-06-30 00:00:00,7783400000.0,2202100100.0,5581300000.0,773900000.0,2817699300.0,-907600000.0,808700000.0,1910100000.0,-31600000.0,1941700000.0,,1922400100.0,4.35,0.7171,0.362,0.2454,0.247,0.3556,4663400000.0,2817699700.0,4.3546,4.3834,4.3834,1941700000.0,1941700000.0,0.5991,0.4779,AMT
2020-03-31 00:00:00,7760000000.0,2225400100.0,5534600000.0,750100000.0,2810299300.0,-895800000.0,815500000.0,1914500000.0,-13100000.0,1927600000.0,,1905400100.0,4.31,0.7132,0.3622,0.2467,0.2455,0.3586,4650000000.0,2810299700.0,4.3241,4.3543,4.3543,1927600000.0,1927600000.0,0.5992,0.4855,AMT
2019-12-31 00:00:00,7580300000.0,2216800100.0,5363500000.0,730400000.0,2688399400.0,-772000000.0,814200000.0,1916400000.0,-200000.0,1916600000.0,,1887800100.0,4.27,0.7076,0.3547,0.2528,0.249,0.3643,4492700000.0,2688399800.0,4.3019,4.333,4.333,1916600000.0,1916600000.0,0.5927,0.495,AMT
2019-09-30 00:00:00,7788500000.0,2207500000.0,5581000000.0,743300100.0,2416000300.0,-771200000.0,822100000.0,1644800000.0,4900000.0,1639900000.0,,1602700000.0,3.63,0.7166,0.3102,0.2112,0.2058,0.3845,4532600000.0,2416000000.0,3.6841,3.7116,3.7116,1639900000.0,1639900000.0,0.582,0.5164,AMT
2019-06-30 00:00:00,7620400000.0,2204300000.0,5416100000.0,733300100.0,2254900300.0,-762300000.0,830000000.0,1492600000.0,-19300000.0,1511900000.0,,1471000000.0,3.33,0.7107,0.2959,0.1959,0.193,0.3787,4377600000.0,2254900000.0,3.4002,3.4262,3.4262,1511900000.0,1511900000.0,0.5745,0.5037,AMT
2019-03-31 00:00:00,7511700000.0,2201300000.0,5310400000.0,726400100.0,2117000300.0,-770000000.0,833400000.0,1347000000.0,-45000000.0,1392000000.0,,1348600000.0,3.05,0.707,0.2818,0.1793,0.1795,0.3736,4240500000.0,2117000000.0,3.1325,3.1562,3.1562,1392000000.0,1392000000.0,0.5645,0.4981,AMT
2018-12-31 00:00:00,7440100000.0,2177800000.0,5262300000.0,733200100.0,1905000300.0,-750400000.0,825500000.0,1154600000.0,-110100000.0,1264700000.0,,1227000000.0,2.78,0.7073,0.256,0.1552,0.1649,0.3811,4037900000.0,1905000000.0,2.855,2.8769,2.8769,1264700000.0,1264700000.0,0.5427,0.5038,AMT
2018-09-30 00:00:00,7012700000.0,2163800000.0,4848900000.0,711800000.0,1845100500.0,-746400000.0,806800000.0,1098700000.0,-68100000.0,1166800000.0,,1169000000.0,2.66,0.6914,0.2631,0.1567,0.1667,0.3444,3676100500.0,1845100000.0,2.6243,2.6453,2.6453,1158100000.0,1158100000.0,0.5242,0.4669,AMT
2018-06-30 00:00:00,6907900000.0,2126900000.0,4781000000.0,681900000.0,1839000500.0,-762000000.0,786400000.0,1077000000.0,-47200000.0,1124200000.0,,1100500000.0,2.53,0.6921,0.2662,0.1559,0.1593,0.3369,3653400500.0,1839000000.0,2.5481,2.5692,2.5692,1115500000.0,1115500000.0,0.5289,0.461,AMT
2018-03-31 00:00:00,6789500000.0,2083800000.0,4705700000.0,677100000.0,1869900500.0,-698800000.0,765500000.0,1171100000.0,-27200000.0,1198300000.0,,1138000000.0,2.65,0.6931,0.2754,0.1725,0.1676,0.3248,3631000500.0,1869900000.0,2.7431,2.7663,2.7663,1189600000.0,1189600000.0,0.5348,0.4476,AMT
2017-12-31 00:00:00,6663900000.0,2056600000.0,4607300000.0,637000000.0,1998400400.0,-742300000.0,749600000.0,1256100000.0,30700000.0,1225400000.0,,1151500000.0,2.7,0.6914,0.2999,0.1885,0.1728,0.3184,3734300400.0,1998399900.0,2.8387,2.8619,2.8619,1225400000.0,1225400000.0,0.5604,0.439,AMT
2017-09-30 00:00:00,6498981000.0,2017707100.0,4481274000.0,604214000.0,2158667400.0,-750244000.0,745523900.0,1408423100.0,144929000.0,1263494000.0,,1134326000.0,2.67,0.6895,0.3322,0.2167,0.1745,0.3227,3814369300.0,2158667100.0,2.9516,2.9751,2.9751,1272194000.0,1272194000.0,0.5869,0.44,AMT
2017-06-30 00:00:00,6333126000.0,1989144100.0,4343982000.0,587751000.0,2076641400.0,-750546000.0,746883900.0,1326095100.0,133566000.0,1192529000.0,,1073654000.0,2.53,0.6859,0.3279,0.2094,0.1695,0.3361,3698042200.0,2076641100.0,2.7917,2.8152,2.8152,1201229000.0,1201229000.0,0.5839,0.4521,AMT
2017-03-31 00:00:00,6112853000.0,1931655100.0,4181198100.0,572885000.0,1932547400.0,-782878000.0,740919900.0,1149669100.0,153176000.0,996493000.0,,890222000.0,2.1,0.684,0.3161,0.1881,0.1456,0.3468,3555313200.0,1932547100.0,2.3378,2.359,2.359,1005193000.0,1005193000.0,0.5816,0.4607,AMT
2016-12-31 00:00:00,5785700000.0,1790400100.0,3995300100.0,543400000.0,1853000500.0,-727100000.0,717099900.0,1125900100.0,155500000.0,970400000.0,,849300000.0,2.01,0.6905,0.3203,0.1946,0.1468,0.349,3396300400.0,1853000200.0,2.2604,2.2826,2.2826,970400000.0,970400000.0,0.587,0.467,AMT
2016-09-30 00:00:00,5526144000.0,1658706000.0,3867438000.0,548426000.0,1765867800.0,-686166000.0,680748000.0,1079702000.0,120608000.0,959094000.0,,852784000.0,2.02,0.6998,0.3195,0.1954,0.1543,0.3467,3262493900.0,1765867800.0,2.2335,2.2555,2.2555,959094000.0,959094000.0,0.5904,0.4708,AMT
2016-06-30 00:00:00,5249209000.0,1532858000.0,3716351000.0,531721000.0,1687718800.0,-701814000.0,640375000.0,985905000.0,192806000.0,793099000.0,,691274000.0,1.64,0.708,0.3215,0.1878,0.1317,0.3247,3127442000.0,1687718800.0,1.8489,1.8666,1.8666,793099000.0,793099000.0,0.5958,0.4652,AMT
2016-03-31 00:00:00,4981357000.0,1395605000.0,3585751900.0,509825000.0,1644686800.0,-723620000.0,607846000.0,921067000.0,163252000.0,757815000.0,,659780000.0,1.57,0.7198,0.3302,0.1849,0.1324,0.3004,3015001000.0,1644686800.0,1.7685,1.785,1.785,757815000.0,757815000.0,0.6053,0.4458,AMT
