Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3813300000.0,2480800000.0,1332500000.0,686200000.0,655399800.0,7400000.0,-5300000.0,7400000.0,648400000.0,153000000.0,495400000.0,495400000.0,3.15,0.3494,0.1719,0.17,0.1299,0.1045,722700000.0,655400100.0,3.1396,3.1627,3.1627,495400000.0,495400000.0,0.1895,0.1256,AOS
2022-06-30 00:00:00,3853700000.0,2477900000.0,1375800000.0,708300000.0,668599800.0,6000000.0,9000000.0,6000000.0,670100000.0,152900000.0,517200000.0,517200000.0,3.26,0.357,0.1735,0.1739,0.1342,0.1101,744700000.0,668600100.0,3.2509,3.2773,3.2773,517200000.0,517200000.0,0.1932,0.1296,AOS
2022-03-31 00:00:00,3747600000.0,2384100000.0,1363500000.0,714700000.0,649199800.0,4800000.0,11200000.0,4800000.0,656100000.0,146900000.0,509200000.0,509200000.0,3.18,0.3638,0.1732,0.1751,0.1359,0.1287,727500000.0,649200100.0,3.176,3.2043,3.2043,509200000.0,509200000.0,0.1941,0.1476,AOS
2021-12-31 00:00:00,3538900000.0,2228300000.0,1310600000.0,701400000.0,609499800.0,4300000.0,18800000.0,4300000.0,625600000.0,138500000.0,487100000.0,487100000.0,3.02,0.3703,0.1722,0.1768,0.1376,0.1599,687100000.0,609500100.0,3.0195,3.0462,3.0462,487100000.0,487100000.0,0.1942,0.1812,AOS
2021-09-30 00:00:00,3377900000.0,2103699900.0,1274200100.0,688400000.0,586000000.0,3900000.0,10900000.0,3900000.0,595700000.0,128200000.0,467500000.0,467500000.0,2.89,0.3772,0.1735,0.1764,0.1384,0.1608,663100000.0,586000100.0,2.8873,2.9114,2.9114,467500000.0,467500000.0,0.1963,0.1801,AOS
2021-06-30 00:00:00,3223300000.0,1992099900.0,1231200100.0,670200000.0,559400000.0,4500000.0,7200000.0,4500000.0,566600000.0,125300000.0,441300000.0,441300000.0,2.72,0.382,0.1735,0.1758,0.1369,0.1601,638400000.0,559400100.0,2.7167,2.7377,2.7377,441300000.0,441300000.0,0.1981,0.1796,AOS
2021-03-31 00:00:00,3027400000.0,1870099900.0,1157300100.0,653000000.0,496600100.0,6100000.0,5700000.0,6100000.0,502300000.0,111400000.0,390900000.0,390900000.0,2.41,0.3823,0.164,0.1659,0.1291,0.1821,576000100.0,496600200.0,2.404,2.4207,2.4207,390900000.0,390900000.0,0.1903,0.2023,AOS
2020-12-31 00:00:00,2895300000.0,1787099900.0,1108200100.0,660300000.0,440200100.0,7300000.0,3700000.0,7300000.0,443900000.0,99000000.0,344900000.0,344900000.0,2.13,0.3828,0.152,0.1533,0.1191,0.1745,520200100.0,440200200.0,2.1212,2.1352,2.1352,344900000.0,344900000.0,0.1797,0.1941,AOS
2020-09-30 00:00:00,2811700000.0,1732600000.0,1079100000.0,669000000.0,402400000.0,8800000.0,5100000.0,8800000.0,407500000.0,91300000.0,316200000.0,316200000.0,1.95,0.3838,0.1431,0.1449,0.1125,0.1621,483300000.0,402399900.0,1.9407,1.9538,1.9538,316200000.0,316200000.0,0.1719,0.1802,AOS
2020-06-30 00:00:00,2779900000.0,1713700000.0,1066200000.0,681900000.0,378200000.0,,4800000.0,10300000.0,383000000.0,84900000.0,298100000.0,298100000.0,1.83,0.3835,0.136,0.1378,0.1072,0.158,458100000.0,378199900.0,1.8194,1.8322,1.8322,298100000.0,298100000.0,0.1648,0.1769,AOS
