Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12411000000.0,8479000000.0,3932000000.0,1392400000.0,2512599600.0,121000000.0,34000000.0,120200000.0,2399000000.0,535000000.0,1863399900.0,1861000000.0,2.98,0.3168,0.2024,0.1933,0.1499,0.1264,2946000000.0,2512599600.0,2.9645,3.1405,3.093,1863399900.0,1864000000.0,0.2374,0.1563,APH
2022-06-30 00:00:00,11935000000.0,8173000000.0,3762000000.0,1344500000.0,2402699500.0,117000000.0,-10000000.0,116400000.0,2290000000.0,506000000.0,1784599900.0,1791000000.0,2.86,0.3152,0.2013,0.1919,0.1501,0.1159,2816000000.0,2402699500.0,2.8345,3.0181,2.963,1784599900.0,1785000000.0,0.2359,0.1445,APH
2022-03-31 00:00:00,11451900000.0,7850700000.0,3601200000.0,1300700000.0,2230099500.0,115000000.0,-41100000.0,115000000.0,2116100000.0,439100000.0,1677499900.0,1687800000.0,2.72,0.3145,0.1947,0.1848,0.1474,0.106,2654799900.0,2230099500.0,2.6645,2.8415,2.783,1677499900.0,1680600000.0,0.2318,0.1371,APH
2021-12-31 00:00:00,10877000000.0,7475300000.0,3401700100.0,1226600000.0,2105099700.0,116000000.0,-72000000.0,115500000.0,1989000000.0,409200000.0,1580099900.0,1591400000.0,2.59,0.3127,0.1935,0.1829,0.1463,0.1088,2515300000.0,2105099700.0,2.51,2.6785,2.62,1580099900.0,1583400000.0,0.2312,0.1416,APH
2021-09-30 00:00:00,10276000000.0,7049700000.0,3226300700.0,1159100000.0,2000500700.0,115000000.0,-115200000.0,115100000.0,1885100000.0,403200000.0,1482600000.0,1483400000.0,2.445,0.314,0.1947,0.1834,0.1444,0.1137,2364700600.0,2000500400.0,2.3748,2.4974,2.4656,1482600000.0,1485500000.0,0.2301,0.147,APH
2021-06-30 00:00:00,9780400000.0,6709200000.0,3071200600.0,1099200000.0,1905100600.0,114000000.0,-113200000.0,114100000.0,1791900000.0,381500000.0,1410400000.0,1403000000.0,2.345,0.314,0.1948,0.1832,0.1435,0.1256,2248900600.0,1905100300.0,2.2648,2.3639,2.3456,1410400000.0,1413000000.0,0.2299,0.1583,APH
2021-03-31 00:00:00,9114000000.0,6282200000.0,2831800600.0,1034000000.0,1786300600.0,115000000.0,-113000000.0,115200000.0,1673300000.0,371400000.0,1301900000.0,1290900000.0,2.16,0.3107,0.196,0.1836,0.1416,0.1368,2099000700.0,1786300300.0,2.0948,2.181,2.1656,1301900000.0,1301900000.0,0.2303,0.1677,APH
2020-12-31 00:00:00,8598900000.0,5934800000.0,2664100500.0,1014200000.0,1638400600.0,115000000.0,-111800000.0,115400000.0,1526600000.0,313300000.0,1213300000.0,1203400000.0,2.015,0.3098,0.1905,0.1775,0.1399,0.1544,1946500600.0,1638400300.0,1.96,2.0354,2.02,1213300000.0,1213300000.0,0.2264,0.1851,APH
2020-09-30 00:00:00,8323900000.0,5746700000.0,2577199600.0,997200000.0,1579999900.0,115000000.0,-110800000.0,115200000.0,1469200100.0,295100000.0,1174100000.0,1165200000.0,1.955,0.3096,0.1898,0.1765,0.14,0.1573,1874700000.0,1580000300.0,1.8874,1.9724,1.9421,1174100000.0,1174100100.0,0.2252,0.1892,APH
2020-06-30 00:00:00,8101100000.0,5596900000.0,2504199800.0,986400000.0,1517800100.0,,-123300000.0,116900000.0,1394500100.0,287600000.0,1106900000.0,1098900000.0,1.85,0.3091,0.1874,0.1721,0.1356,0.1628,1810100100.0,1517800500.0,1.7884,1.8634,1.838,1106900000.0,1106900100.0,0.2234,0.1961,APH
2020-03-31 00:00:00,8128900000.0,5580900000.0,2547999900.0,979200000.0,1559900200.0,,-124300000.0,116700000.0,1435600100.0,298300000.0,1137300000.0,1129600000.0,1.9,0.3134,0.1919,0.1766,0.139,0.1557,1858500200.0,1559900600.0,1.8396,1.9124,1.8961,1137300000.0,1137300100.0,0.2286,0.1898,APH
2019-12-31 00:00:00,8225400000.0,5609400000.0,2615999900.0,971400000.0,1619200300.0,,-123300000.0,117600000.0,1495900100.0,331900000.0,1164000000.0,1155000000.0,1.945,0.318,0.1969,0.1819,0.1404,0.1477,1931300300.0,1619200700.0,1.8801,1.9563,1.94,1164000000.0,1164000100.0,0.2348,0.1826,APH
2019-09-30 00:00:00,8299100000.0,5646800000.0,2652300700.0,971500000.0,1646900600.0,,-121900000.0,115800000.0,1525000000.0,340700000.0,1184300000.0,1174200000.0,1.975,0.3196,0.1984,0.1838,0.1415,0.1373,1987500700.0,1646900200.0,1.9191,1.9849,1.9849,1184300000.0,1184300100.0,0.2395,0.1755,APH
2019-06-30 00:00:00,8327500000.0,5648900000.0,2678600600.0,967200000.0,1677500500.0,,-107000000.0,110900000.0,1570500000.0,348900000.0,1221600000.0,1210500000.0,2.025,0.3217,0.2014,0.1886,0.1454,0.128,2018400500.0,1677500100.0,1.9696,2.0408,2.0408,1221600000.0,1221600100.0,0.2424,0.1661,APH
2019-03-31 00:00:00,8293600000.0,5617800000.0,2675800500.0,964600000.0,1686200500.0,,-103000000.0,106900000.0,1583200000.0,364700000.0,1218500000.0,1206900000.0,2.015,0.3226,0.2033,0.1909,0.1455,0.1211,2011000500.0,1686200100.0,1.9592,2.0311,2.0311,1218500000.0,1218500100.0,0.2425,0.1599,APH
2018-12-31 00:00:00,8202000000.0,5547100000.0,2654900500.0,959500000.0,1686900400.0,,-98500000.0,101700000.0,1588400000.0,371500000.0,1216900000.0,1205000000.0,2.0,0.3237,0.2057,0.1937,0.1469,0.0984,1986600400.0,1686900000.0,1.9464,2.0201,2.0201,1216900000.0,1216900100.0,0.2422,0.1357,APH
2018-09-30 00:00:00,7921200000.0,5346000000.0,2575200200.0,946500000.0,1628700400.0,,-93700000.0,100300000.0,1535000000.0,759800100.0,775200000.0,763600000.0,1.265,0.3251,0.2056,0.1938,0.0964,0.1123,1881500300.0,1628700100.0,1.2363,1.2877,1.2877,775200000.0,775200000.0,0.2375,0.1467,APH
2018-06-30 00:00:00,7633000000.0,5139900000.0,2493100300.0,930700000.0,1562400500.0,,-88600000.0,100100000.0,1473800000.0,737900100.0,735900000.0,724500000.0,1.195,0.3266,0.2047,0.1931,0.0949,0.1003,1800800500.0,1562400200.0,1.1687,1.2154,1.2154,735900000.0,735900000.0,0.2359,0.1338,APH
2018-03-31 00:00:00,7318100000.0,4917200000.0,2400900300.0,906500000.0,1490400400.0,,-81700000.0,97500000.0,1408700000.0,707000100.0,701700000.0,691200000.0,1.13,0.3281,0.2037,0.1925,0.0945,0.1105,1723600400.0,1490400100.0,1.109,1.1517,1.1517,701700000.0,701700000.0,0.2355,0.1416,APH
2017-12-31 00:00:00,7011300000.0,4701400000.0,2309900300.0,878300000.0,1427600400.0,,-75200000.0,92300000.0,1352400000.0,691700100.0,660700000.0,650500000.0,1.06,0.3295,0.2036,0.1929,0.0928,0.1315,1654400400.0,1427600100.0,1.0437,1.0807,1.0807,660700000.0,660700000.0,0.236,0.1632,APH
2017-09-30 00:00:00,6718500000.0,4497700000.0,2220800300.0,849400000.0,1367400100.0,,-69100000.0,85700000.0,1298300000.0,298700000.0,999600000.0,989400000.0,1.61,0.3306,0.2035,0.1932,0.1473,0.128,1589300000.0,1367399900.0,1.5824,1.6316,1.6316,999600000.0,999600000.0,0.2366,0.1586,APH
