Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2495604000.0,754518000.0,1741085900.0,175940000.0,588225900.0,-365759000.0,111543000.0,453048000.0,373165000.0,19453000.0,6888000.0,262107000.0,3.29,0.6977,0.2357,0.1495,0.105,-2.0811,1507283000.0,588226000.0,2.9022,,4.2166,,2.9097,463789000.0,,395100000.0,0.604,0.4579,ARE
2022-06-30 00:00:00,2383511000.0,719324000.0,1664186900.0,163913000.0,567440900.0,-361922000.0,124237000.0,,177866000.0,81526000.0,,21932000.0,1.85,0.6982,0.2381,0.0746,0.0092,-2.4817,1451144900.0,567441000.0,1.3497,1.3468,2.668,1.3468,1.3611,204779000.0,224275000.0,137464000.0,0.6088,0.4567,ARE
2022-03-31 00:00:00,2249366000.0,666995000.0,1582370900.0,158396000.0,543167900.0,-98451000.0,135138000.0,,273004000.0,390883000.0,10626000.0,133215000.0,2.79,0.7035,0.2415,0.1214,0.0592,-3.1176,1377229900.0,543168000.0,3.5297,,3.5253,,3.5455,514136000.0,,235536000.0,0.6123,0.4398,ARE
2021-12-31 00:00:00,2114150000.0,623555000.0,1490594900.0,151461000.0,518072900.0,63473000.0,142165000.0,281852000.0,679372000.0,527712000.0,,560731000.0,3.79,0.7051,0.2451,0.3213,0.2652,-3.1844,1293753900.0,518073000.0,4.4371,,4.4533,,4.4533,654282000.0,,650301000.0,0.6119,0.4778,ARE
2021-09-30 00:00:00,2000947000.0,584605000.0,1416342000.0,142497000.0,514288100.0,390352000.0,144841000.0,156433000.0,884868000.0,850806000.0,7290000.0,925959000.0,6.58,0.7078,0.257,0.4422,0.4628,-2.4402,1230315100.0,514288000.0,7.3249,,7.3656,,7.3454,1008840000.0,,1009736000.0,0.6149,0.4669,ARE
2021-06-30 00:00:00,1998230000.0,559053000.0,1439177000.0,141479000.0,572152100.0,247312000.0,152481000.0,,819464000.0,819464000.0,,904021000.0,6.55,0.7202,0.2863,0.4101,0.4524,-2.5027,1253192100.0,572152000.0,7.2652,,7.3077,,7.2875,980206000.0,,982985000.0,0.6272,0.4708,ARE
2021-03-31 00:00:00,1925567000.0,539009000.0,1386558000.0,135374000.0,547663100.0,110842000.0,162337000.0,157342000.0,658505000.0,658505000.0,8976000.0,750058000.0,5.76,0.7201,0.2844,0.342,0.3895,-2.0747,1205613100.0,547663000.0,6.4527,0.0352,6.4926,0.0352,6.4724,819247000.0,9884000.0,822026000.0,0.6261,0.4691,ARE
2020-12-31 00:00:00,1885637000.0,530224000.0,1355413000.0,133341000.0,523968100.0,149114000.0,171609000.0,154833000.0,673082000.0,673082000.0,,760791000.0,5.86,0.7188,0.2779,0.357,0.4035,-1.3582,1171767100.0,523968000.0,6.5393,,6.5593,,6.5593,827171000.0,,827171000.0,0.6214,0.468,ARE
2020-09-30 00:00:00,1830031000.0,515309000.0,1314722100.0,130433000.0,523417100.0,61098000.0,179564000.0,,584515100.0,584515100.0,8390000.0,523606000.0,4.35,0.7184,0.286,0.3194,0.2861,-1.8794,1137959100.0,523417000.0,4.8683,,4.8863,,4.8863,586091100.0,,586091000.0,0.6218,0.4848,ARE
2020-06-30 00:00:00,1675473000.0,491316000.0,1184157100.0,121450000.0,443096100.0,14981000.0,182449000.0,,458077100.0,458077100.0,,394507000.0,3.27,0.7068,0.2645,0.2734,0.2355,-1.81,1023851100.0,443096000.0,3.7859,,3.7982,,3.7982,454289100.0,,454289000.0,0.6111,0.4591,ARE
