Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,94714000000.0,10853000000.0,92478000000.0,61588000000.0,30890000000.0,1120000000.0,30890000000.0,3481000000.0,27409000000.0,25884000000.0,3.16,0.9764,0.0,0.3261,0.2733,0.8311,3.3502,3.3688,3.3688,27409000000.0,27409000000.0,0.0,0.8311,BAC
2022-06-30 00:00:00,93852000000.0,6239000000.0,90742000000.0,59203000000.0,31539000000.0,679000000.0,31539000000.0,3521000000.0,28018000000.0,26565000000.0,3.2,0.9669,0.0,0.3361,0.2831,0.6166,3.388,3.4076,3.4076,28018000000.0,28018000000.0,0.0,0.6166,BAC
2022-03-31 00:00:00,92820000000.0,4862000000.0,89520000000.0,56831000000.0,32689000000.0,236000000.0,32689000000.0,1694000000.0,30995000000.0,29597000000.0,3.51,0.9644,0.0,0.3522,0.3189,0.3329,3.6786,3.7084,3.7084,30995000000.0,30995000000.0,0.0,0.3329,BAC
2021-12-31 00:00:00,93044000000.0,4738000000.0,89113000000.0,55137000000.0,33976000000.0,164000000.0,33976000000.0,1998000000.0,31978000000.0,30557000000.0,3.58,0.9578,0.0,0.3652,0.3284,-0.3744,3.7364,3.7652,3.7652,31978000000.0,31978000000.0,0.0,-0.3744,BAC
2021-09-30 00:00:00,90960000000.0,4802000000.0,87152000000.0,54875000000.0,32277000000.0,261000000.0,32277000000.0,1842000000.0,30435000000.0,28992000000.0,3.36,0.9581,0.0,0.3548,0.3187,0.0167,3.5035,3.5338,3.5338,30435000000.0,30435000000.0,0.0,0.0167,BAC
2021-06-30 00:00:00,89639000000.0,4917000000.0,84722000000.0,56849000000.0,27873000000.0,831000000.0,27873000000.0,248000000.0,27625000000.0,26172000000.0,3.02,0.9451,0.0,0.3109,0.292,-0.4427,3.154,3.1804,3.1804,27625000000.0,27625000000.0,0.0,-0.4427,BAC
2021-03-31 00:00:00,91037000000.0,5455000000.0,85582000000.0,61952000000.0,23630000000.0,833000000.0,23630000000.0,1696000000.0,21934000000.0,20492000000.0,2.36,0.9401,0.0,0.2596,0.2251,-0.3666,2.501,2.5146,2.5146,21934000000.0,21934000000.0,0.0,-0.3666,BAC
2020-12-31 00:00:00,93753000000.0,8225000000.0,85528000000.0,66533000000.0,18995000000.0,823000000.0,18995000000.0,1101000000.0,17894000000.0,16473000000.0,1.89,0.9123,0.0,0.2026,0.1757,0.4052,2.0341,2.0442,2.0442,17894000000.0,17894000000.0,0.0,0.4052,BAC
2020-09-30 00:00:00,99581000000.0,11803000000.0,87778000000.0,66733000000.0,21045000000.0,860000000.0,21045000000.0,1627000000.0,19418000000.0,18013000000.0,2.04,0.8815,0.0,0.2113,0.1809,0.4268,2.183,2.1948,2.1948,19418000000.0,19418000000.0,0.0,0.4268,BAC
2020-06-30 00:00:00,106424000000.0,16175000000.0,90249000000.0,66891000000.0,23358000000.0,123000000.0,23358000000.0,3044000000.0,20314000000.0,18845000000.0,2.1,0.848,0.0,0.2195,0.1771,0.6525,2.2446,2.2568,2.2568,20314000000.0,20314000000.0,0.0,0.6525,BAC
2020-03-31 00:00:00,111525000000.0,20518000000.0,91007000000.0,62489000000.0,28518000000.0,-110000000.0,28518000000.0,4389000000.0,24129000000.0,22670000000.0,2.47,0.816,0.0,0.2557,0.2033,0.5893,2.6104,2.6242,2.6242,24129000000.0,24129000000.0,0.0,0.5893,BAC
2019-12-31 00:00:00,113589000000.0,22345000000.0,91244000000.0,58490000000.0,32754000000.0,-293000000.0,32754000000.0,5324000000.0,27430000000.0,25998000000.0,2.78,0.8033,0.0,0.2884,0.2289,0.5439,2.9049,2.921,2.921,27430000000.0,27430000000.0,0.0,0.5439,BAC
2019-09-30 00:00:00,114463000000.0,22891000000.0,91572000000.0,58289000000.0,33283000000.0,,33283000000.0,5569000000.0,27714000000.0,26289000000.0,2.74,0.8,0.0,0.2908,0.2297,-0.0983,2.8597,2.8811,2.8811,27714000000.0,27714000000.0,0.0,-0.0983,BAC
2019-06-30 00:00:00,113555000000.0,22066000000.0,91489000000.0,56071000000.0,35418000000.0,,35418000000.0,6314000000.0,29104000000.0,27718000000.0,2.84,0.8057,0.0,0.3119,0.2441,0.1238,2.9467,2.9746,2.9746,29104000000.0,29104000000.0,0.0,0.1238,BAC
2019-03-31 00:00:00,111526000000.0,20572000000.0,90954000000.0,55997000000.0,34957000000.0,,34957000000.0,6417000000.0,28540000000.0,27075000000.0,2.73,0.8155,0.0,0.3134,0.2428,0.1279,2.836,2.8693,2.8693,28540000000.0,28540000000.0,0.0,0.1279,BAC
2018-12-31 00:00:00,109627000000.0,18607000000.0,91020000000.0,56436000000.0,34584000000.0,,34584000000.0,6437000000.0,28147000000.0,26696000000.0,2.65,0.8303,0.0,0.3155,0.2435,0.3605,2.7496,2.7878,2.7878,28147000000.0,28147000000.0,0.0,0.3605,BAC
2018-09-30 00:00:00,104860000000.0,16307000000.0,88553000000.0,56506000000.0,32047000000.0,,32047000000.0,8813000000.0,23234000000.0,21736000000.0,2.14,0.8445,0.0,0.3056,0.2073,0.4419,2.2501,2.2689,2.2689,23234000000.0,23234000000.0,0.0,0.4419,BAC
2018-06-30 00:00:00,102567000000.0,14899000000.0,87668000000.0,57004000000.0,30664000000.0,,30664000000.0,9173000000.0,21491000000.0,19994000000.0,1.97,0.8547,0.0,0.299,0.1949,0.4586,2.0501,2.0864,2.0864,21491000000.0,21491000000.0,0.0,0.4586,BAC
2018-03-31 00:00:00,101466000000.0,13518000000.0,87948000000.0,57661000000.0,30287000000.0,,30287000000.0,10474000000.0,19813000000.0,18273000000.0,1.82,0.8668,0.0,0.2985,0.1801,0.6229,1.8634,1.93,1.93,19813000000.0,19813000000.0,0.0,0.6229,BAC
2017-12-31 00:00:00,99466000000.0,12340000000.0,87126000000.0,57913000000.0,29213000000.0,,29213000000.0,10981000000.0,18232000000.0,16618000000.0,1.62,0.8759,0.0,0.2937,0.1671,0.0992,1.6915,1.7882,1.7882,18232000000.0,18232000000.0,0.0,0.0992,BAC
2017-09-30 00:00:00,98787000000.0,11881000000.0,86906000000.0,58485000000.0,28421000000.0,,28975000000.0,8496000000.0,20479000000.0,18790000000.0,1.85,0.8797,0.0,0.2933,0.1902,0.0762,1.8823,2.0219,2.0219,20479000000.0,20479000000.0,0.0,0.0762,BAC
2017-06-30 00:00:00,97496000000.0,10794000000.0,86702000000.0,58407000000.0,28114000000.0,,28668000000.0,8658000000.0,20010000000.0,18283000000.0,1.78,0.8893,0.0,0.294,0.1875,-0.1257,1.828,1.9734,1.9734,20010000000.0,20010000000.0,0.0,-0.1257,BAC
2017-03-31 00:00:00,95249000000.0,10090000000.0,85159000000.0,57982000000.0,26810000000.0,,27364000000.0,7677000000.0,19687000000.0,17960000000.0,1.67,0.8941,0.0,0.2873,0.1886,-0.0694,1.7892,1.9266,1.9266,19687000000.0,19687000000.0,0.0,-0.0694,BAC
2016-12-31 00:00:00,93662000000.0,9961000000.0,83701000000.0,58680000000.0,24467000000.0,,25021000000.0,7199000000.0,17822000000.0,16140000000.0,1.45,0.8936,0.0,0.2671,0.1723,0.1845,1.6133,1.733,1.733,17822000000.0,17822000000.0,0.0,0.1845,BAC
2016-09-30 00:00:00,93099000000.0,10285000000.0,82814000000.0,59394000000.0,22866000000.0,,23498000000.0,7228000000.0,16270000000.0,14619000000.0,1.31,0.8895,0.0,0.2524,0.157,0.3481,1.4674,1.5758,1.5758,16270000000.0,16270000000.0,0.0,0.3481,BAC
2016-06-30 00:00:00,92543000000.0,10372000000.0,82171000000.0,59782000000.0,21809000000.0,,22441000000.0,6507000000.0,15934000000.0,14345000000.0,1.27,0.8879,0.0,0.2425,0.155,0.6232,1.4295,1.5347,1.5347,15934000000.0,15934000000.0,0.0,0.6232,BAC
2016-03-31 00:00:00,93401000000.0,10560000000.0,82841000000.0,60025000000.0,22210000000.0,,22842000000.0,6557000000.0,16285000000.0,14727000000.0,1.37,0.8869,0.0,0.2446,0.1577,0.4181,1.4538,1.5611,1.5611,16285000000.0,16285000000.0,0.0,0.4181,BAC
2015-12-31 00:00:00,93514000000.0,10549000000.0,82965000000.0,60778000000.0,21555000000.0,,22187000000.0,6277000000.0,15910000000.0,14427000000.0,1.44,0.8872,0.0,0.2373,0.1543,0.3037,1.4159,1.5207,1.5207,15910000000.0,15910000000.0,0.0,0.3037,BAC
2015-09-30 00:00:00,94404000000.0,10170000000.0,84234000000.0,60169000000.0,23205000000.0,,23205000000.0,6618000000.0,16587000000.0,15122000000.0,1.41,0.8923,0.0,0.2458,0.1602,0.2442,1.5105,1.5809,1.5809,16587000000.0,16587000000.0,0.0,0.2442,BAC
2015-06-30 00:00:00,94764000000.0,10313000000.0,84451000000.0,66175000000.0,17389000000.0,,17389000000.0,5653000000.0,11736000000.0,10474000000.0,1.01,0.8912,0.0,0.1835,0.1105,0.0022,1.0759,1.1165,1.1165,11736000000.0,11736000000.0,0.0,0.0022,BAC
2015-03-31 00:00:00,94839000000.0,10597000000.0,84242000000.0,70366000000.0,12966000000.0,,12966000000.0,4073000000.0,8893000000.0,7705000000.0,0.72,0.8883,0.0,0.1367,0.0812,0.0877,0.8225,0.8448,0.8448,8893000000.0,8893000000.0,0.0,0.0877,BAC
2014-12-31 00:00:00,96829000000.0,10935000000.0,85894000000.0,76995000000.0,7963000000.0,,7963000000.0,2443000000.0,5520000000.0,4476000000.0,0.39,0.8871,0.0,0.0822,0.0462,0.318,0.5215,0.5243,0.5243,5520000000.0,5520000000.0,0.0,0.318,BAC
2014-09-30 00:00:00,98353000000.0,11343000000.0,87010000000.0,79646000000.0,6390000000.0,,6390000000.0,1168000000.0,5222000000.0,4234000000.0,0.43,0.8847,0.0,0.065,0.043,0.422,0.4514,0.4922,0.4922,5222000000.0,5222000000.0,0.0,0.4315,BAC
2014-06-30 00:00:00,99151000000.0,11820000000.0,87331000000.0,75517000000.0,10804000000.0,,10804000000.0,2853000000.0,7951000000.0,6922000000.0,0.65,0.8808,0.0,0.109,0.0698,0.4726,0.691,0.7473,0.7473,7951000000.0,7951000000.0,0.0,0.4813,BAC
2014-03-31 00:00:00,100479000000.0,12168000000.0,88311000000.0,73755000000.0,13507000000.0,,13507000000.0,3835000000.0,9672000000.0,8458000000.0,0.79,0.8789,0.0,0.1344,0.0842,0.8803,0.8357,0.9018,0.9018,9672000000.0,9672000000.0,0.0,0.8865,BAC
2013-12-31 00:00:00,101697000000.0,12755000000.0,88942000000.0,71684000000.0,16172000000.0,,16172000000.0,4741000000.0,11431000000.0,10082000000.0,1.05,0.8746,0.0,0.159,0.0991,0.9127,0.9947,1.0652,1.0652,11431000000.0,11431000000.0,0.0,0.9127,BAC
2013-09-30 00:00:00,99590000000.0,13476000000.0,86114000000.0,74562000000.0,10423000000.0,,10423000000.0,1699000000.0,8724000000.0,7267000000.0,0.78,0.8647,0.0,0.1047,0.073,0.547,0.7795,0.8109,0.8109,8724000000.0,8724000000.0,0.0,0.5491,BAC
2013-06-30 00:00:00,99410000000.0,14398000000.0,85012000000.0,77150000000.0,6688000000.0,,6688000000.0,121000000.0,6567000000.0,5016000000.0,0.57,0.8552,0.0,0.0673,0.0505,0.5543,0.5936,0.6095,0.6095,6567000000.0,6567000000.0,0.0,0.556,BAC
2013-03-31 00:00:00,99819000000.0,15566000000.0,84253000000.0,78695000000.0,4337000000.0,,4337000000.0,-681000000.0,5018000000.0,3543000000.0,0.43,0.8441,0.0,0.0434,0.0355,0.2606,0.4586,0.4658,0.4658,5018000000.0,5018000000.0,0.0,0.2606,BAC
2012-12-31 00:00:00,100078000000.0,16744000000.0,83334000000.0,78998000000.0,3072000000.0,,3072000000.0,-1116000000.0,4188000000.0,2760000000.0,0.25,0.8327,0.0,0.0307,0.0276,-0.1604,0.3864,0.3898,0.3898,4188000000.0,4188000000.0,0.0,-0.1604,BAC
