Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,8243000000.0,8275300000.0,6219400000.0,1773900400.0,120700000.0,98200000.0,1729000000.0,396200000.0,1333200000.0,1247000000.0,2.52,1.0039,0.2152,0.2098,0.1513,0.0,,1773900400.0,2.7222,2.7257,2.7257,1333200000.0,1288000000.0,0.0,0.0,BEN
2022-06-30 00:00:00,8500000000.0,8517300000.0,6302000000.0,1956900300.0,272000000.0,73100000.0,2213000000.0,342900000.0,1870299700.0,1653000000.0,3.36,1.002,0.2302,0.2604,0.1945,0.1786,2360800200.0,1956900100.0,3.816,3.8219,3.8219,1870299700.0,1798000000.0,0.2777,0.1903,BEN
2022-03-31 00:00:00,8676900000.0,8658900000.0,6394000000.0,2030300000.0,264300000.0,69900000.0,2455400000.0,337200000.0,2118299700.0,1827000000.0,3.72,0.9979,0.234,0.283,0.2106,0.1012,2416199900.0,2030299800.0,4.3203,4.3272,4.3272,2118299700.0,2057600000.0,0.2785,0.1128,BEN
2021-12-31 00:00:00,8695400000.0,8654400000.0,6398700000.0,2023599900.0,348500000.0,62900000.0,2602900000.0,358200000.0,2244599700.0,1856900000.0,3.78,0.9953,0.2327,0.2993,0.2135,0.1232,2412499800.0,2023599700.0,4.577,4.5839,4.5839,2244599700.0,2199000000.0,0.2774,0.1326,BEN
2021-09-30 00:00:00,8440500000.0,8425500000.0,6318500000.0,1874999800.0,419700000.0,73300000.0,2444200000.0,349600000.0,2094599700.0,1753600000.0,3.57,0.9982,0.2221,0.2896,0.2078,0.1368,2263799800.0,1874999600.0,4.2694,4.2755,4.2755,2094599700.0,2067800000.0,0.2682,0.1462,BEN
2021-06-30 00:00:00,7949500000.0,7949500000.0,6288200000.0,1447099900.0,458700000.0,89700000.0,1905800000.0,427500000.0,1478300000.0,1188400000.0,2.42,1.0,0.182,0.2397,0.1495,0.1342,1827199900.0,1447099800.0,3.0134,3.017,3.017,1478300000.0,1478300000.0,0.2299,0.1409,BEN
2021-03-31 00:00:00,6937700000.0,6937700000.0,5575300000.0,1201500000.0,418700000.0,69200000.0,1620200000.0,359800000.0,1260400000.0,1055600000.0,2.15,1.0,0.1732,0.2335,0.1522,0.2072,1517900000.0,1201499900.0,2.5678,2.5703,2.5703,1260400000.0,1260400000.0,0.2188,0.2146,BEN
2020-12-31 00:00:00,6172400000.0,6172400000.0,4979900000.0,1085100100.0,24500000.0,57000000.0,1109600000.0,275800000.0,833800000.0,768000000.0,1.57,1.0,0.1758,0.1798,0.1244,0.2027,1345800100.0,1085100000.0,1.6986,1.7003,1.7003,833800000.0,833800000.0,0.218,0.2175,BEN
2020-09-30 00:00:00,5566500000.0,5566500000.0,4463600000.0,1048900100.0,-31000000.0,33400000.0,1017900000.0,230800000.0,787100000.0,783600000.0,1.6,1.0,0.1884,0.1829,0.1408,0.176,1257700100.0,1048900000.0,1.5985,1.6001,1.6001,787100000.0,787100000.0,0.2259,0.1946,BEN
2020-06-30 00:00:00,5208900000.0,5208900000.0,3934000000.0,1246300200.0,-32200000.0,19700000.0,1214100000.0,244200000.0,969900000.0,1014200100.0,2.06,1.0,0.2393,0.2331,0.1947,0.1316,1430500300.0,1246300100.0,1.9585,1.9612,1.9612,969900000.0,969900000.0,0.2746,0.1539,BEN
2020-03-31 00:00:00,5524500000.0,5524500000.0,4111900000.0,1388700100.0,-30900000.0,20100000.0,1357800000.0,387000000.0,970800000.0,971300100.0,1.95,1.0,0.2514,0.2458,0.1758,-0.0488,1578000200.0,1388700000.0,1.9484,1.9515,1.9515,970800000.0,970800000.0,0.2856,-0.0063,BEN
2019-12-31 00:00:00,5647100000.0,5647100000.0,4199300000.0,1428300100.0,319100000.0,22100000.0,1747400000.0,453800000.0,1293600000.0,1257700100.0,2.51,1.0,0.2529,0.3094,0.2227,-0.0333,1612600200.0,1428300000.0,2.5843,2.588,2.588,1293600000.0,1293600000.0,0.2856,0.008,BEN
2019-09-30 00:00:00,5669400000.0,5669400000.0,4187800000.0,1466900000.0,180900000.0,22400000.0,1647800000.0,442300000.0,1205500000.0,1184800100.0,2.35,1.0,0.2587,0.2906,0.209,0.0061,1646100100.0,1466899900.0,2.3905,2.3938,2.3938,1205500000.0,1205500000.0,0.2903,0.0474,BEN
2019-06-30 00:00:00,5734600000.0,5734600000.0,4178600000.0,1554200000.0,181100000.0,21100000.0,1735300000.0,362800000.0,1372500000.0,1369600000.0,2.7,1.0,0.271,0.3026,0.2388,0.1139,1719600000.0,1554200000.0,2.639,2.6409,2.6409,1372500000.0,1372500000.0,0.2999,0.1553,BEN
2019-03-31 00:00:00,5816500000.0,5816500000.0,4132300000.0,1682400100.0,86600000.0,37600000.0,1769000000.0,295700000.0,1473300000.0,1525000000.0,2.97,1.0,0.2892,0.3041,0.2622,0.2823,1842300100.0,1682400100.0,2.7983,2.8001,2.8001,1473300000.0,1473300000.0,0.3167,0.3055,BEN
2018-12-31 00:00:00,6000500000.0,6000500000.0,4140100000.0,1858600200.0,51000000.0,41900000.0,1909600000.0,335000000.0,1574600000.0,1604500000.0,3.04,1.0,0.3097,0.3182,0.2674,0.3418,2017700200.0,1858600200.0,2.928,2.9301,2.9301,1574600000.0,1574600000.0,0.3363,0.3607,BEN
2018-09-30 00:00:00,6204500000.0,6204500000.0,4174500000.0,2028200300.0,187000000.0,46300000.0,2215200000.0,1472500000.0,742700000.0,746800000.0,1.44,1.0,0.3269,0.357,0.1204,0.3422,2185300300.0,2028200300.0,1.3805,1.3821,1.3821,742700000.0,742700000.0,0.3522,0.3594,BEN
2018-06-30 00:00:00,6408800000.0,6408800000.0,4211200000.0,2197600500.0,192700000.0,55600000.0,2390300100.0,1647400100.0,742900000.0,680400000.0,1.24,1.0,0.3429,0.373,0.1062,0.2478,2353900500.0,2197600400.0,1.3718,1.3737,1.3737,742900000.0,742899900.0,0.3673,0.263,BEN
