Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,4003000000.0,1574000000.0,2429000000.0,1155000000.0,1258000000.0,80000000.0,-69000000.0,6000000.0,1171000000.0,276000000.0,895000000.0,895000000.0,1.86,0.6068,0.3143,0.2925,0.2236,0.1906,1354000000.0,1258000000.0,1.8626,1.8685,1.8685,895000000.0,895000000.0,0.3382,0.2308,BF.B
2022-04-30 00:00:00,3916000000.0,1542000000.0,2374000000.0,1128000000.0,1204000000.0,82000000.0,-89000000.0,5000000.0,1114000000.0,276000000.0,838000000.0,838000000.0,1.74,0.6062,0.3075,0.2845,0.214,0.2038,1325000000.0,1204000000.0,1.7437,1.7498,1.7498,838000000.0,838000000.0,0.3384,0.239,BF.B
2022-01-31 00:00:00,3740000000.0,1486000000.0,2254000000.0,1138000000.0,1126000000.0,81000000.0,-29000000.0,23000000.0,1045000000.0,238000000.0,807000000.0,807000000.0,1.68,0.6027,0.3011,0.2794,0.2158,0.2254,1197000000.0,1126000000.0,1.6789,1.6851,1.6851,807000000.0,807000000.0,0.3201,0.2481,BF.B
2021-10-31 00:00:00,3621000000.0,1432000000.0,2189000000.0,1137000000.0,1060000000.0,82000000.0,-54000000.0,43000000.0,976000000.0,209000000.0,767000000.0,767000000.0,1.6,0.6045,0.2927,0.2695,0.2118,0.2207,1141000000.0,1060000000.0,1.5955,1.6019,1.6019,767000000.0,767000000.0,0.3151,0.24,BF.B
2021-07-31 00:00:00,3615000000.0,1432000000.0,2183000000.0,1118000000.0,1068000000.0,82000000.0,-77000000.0,62000000.0,984000000.0,213000000.0,771000000.0,771000000.0,1.61,0.6039,0.2954,0.2722,0.2133,0.234,1152000000.0,1068000000.0,1.6036,1.6107,1.6107,771000000.0,771000000.0,0.3187,0.252,BF.B
2021-04-30 00:00:00,3461000000.0,1367000000.0,2094000000.0,1070000000.0,1166000000.0,81000000.0,-85000000.0,81000000.0,1081000000.0,178000000.0,903000000.0,903000000.0,1.89,0.605,0.3369,0.3123,0.2609,0.2173,1243000000.0,1166000000.0,1.8786,1.8871,1.8871,903000000.0,903000000.0,0.3591,0.2361,BF.B
2021-01-31 00:00:00,3358000000.0,1309000000.0,2049000000.0,1092000000.0,1185000000.0,81000000.0,-85000000.0,81000000.0,1100000000.0,189000000.0,911000000.0,911000000.0,1.91,0.6102,0.3529,0.3276,0.2713,0.2126,1262000000.0,1185000000.0,1.8957,1.9042,1.9042,911000000.0,911000000.0,0.3758,0.2344,BF.B
2020-10-31 00:00:00,3346000000.0,1290000000.0,2056000000.0,1071000000.0,1208000000.0,80000000.0,-83000000.0,80000000.0,1125000000.0,202000000.0,923000000.0,923000000.0,1.93,0.6145,0.361,0.3362,0.2759,0.2164,1285000000.0,1208000000.0,1.9207,1.93,1.93,923000000.0,923000000.0,0.384,0.2451,BF.B
2020-07-31 00:00:00,3350000000.0,1256000000.0,2094000000.0,979000000.0,1230000000.0,,-83000000.0,81000000.0,1147000000.0,182000000.0,965000000.0,965000000.0,2.02,0.6251,0.3672,0.3424,0.2881,0.1881,1305000000.0,1230000000.0,2.0084,2.0188,2.0188,965000000.0,965000000.0,0.3896,0.2218,BF.B
2020-04-30 00:00:00,3363000000.0,1236000000.0,2127000000.0,1025000000.0,1091000000.0,,-82000000.0,82000000.0,1009000000.0,182000000.0,827000000.0,827000000.0,1.73,0.6325,0.3244,0.3,0.2459,0.1799,1165000000.0,1091000000.0,1.7214,1.731,1.731,827000000.0,827000000.0,0.3464,0.2153,BF.B
