Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9653000000.0,2893000000.0,6760000000.0,2054000000.0,2558700100.0,3353800800.0,258000000.0,2752000000.0,43000000.0,3393000000.0,1022000000.0,2371200000.0,,2865000000.0,19.64,0.7003,0.3474,0.3515,0.2968,0.2853,2672000000.0,3353800400.0,16.4784,16.5247,16.5247,2391500000.0,2392000000.0,0.2768,0.2484,BIIB
2022-06-30 00:00:00,10009000000.0,2948000000.0,7061000000.0,2206000000.0,2649400100.0,2832700800.0,264000000.0,1746000000.0,22000000.0,2313000000.0,760000000.0,1553300000.0,21400000.0,2059000000.0,14.02,0.7055,0.283,0.2311,0.2057,0.2331,2743000000.0,2832700400.0,10.7813,10.8146,10.8146,1574700000.0,1575000000.0,0.2741,0.254,BIIB
2022-03-31 00:00:00,10378000000.0,2788700000.0,7589300000.0,2330100000.0,2714100100.0,2477500700.0,254000000.0,-483600000.0,12000000.0,1625100000.0,133900000.0,1491700000.0,49800000.0,1449500000.0,9.78,0.7313,0.2387,0.1566,0.1397,0.2707,2999500000.0,2477500300.0,10.3719,10.4087,10.4087,1541500000.0,1541500000.0,0.289,0.2922,BIIB
2021-12-31 00:00:00,10698000000.0,2369800000.0,8328200000.0,2369300000.0,2674200100.0,2840700600.0,253000000.0,-875500000.0,12000000.0,1745100000.0,52100000.0,1692700000.0,34900000.0,1555700000.0,10.42,0.7785,0.2655,0.1631,0.1454,0.3144,3610300000.0,2840700200.0,11.5481,11.5869,11.5869,1727600000.0,1727100000.0,0.3375,0.3402,BIIB
2021-09-30 00:00:00,10970600000.0,2073500000.0,8897100000.0,3462400000.0,2692500100.0,1922900000.0,243000000.0,-126000000.0,13000000.0,1692899900.0,-377500000.0,2070399900.0,35300000.0,1545600100.0,10.25,0.811,0.1753,0.1543,0.1409,0.1937,3080700100.0,1922899400.0,14.2956,14.351,14.351,2105700100.0,2105600100.0,0.2808,0.2219,BIIB
2021-06-30 00:00:00,11697700000.0,1877600000.0,9820100000.0,3966300000.0,2611600100.0,2215300000.0,233000000.0,144400000.0,16000000.0,2359699900.0,-110700000.0,2470399900.0,21100000.0,1918100100.0,12.5,0.8395,0.1894,0.2017,0.164,0.2104,3455100100.0,2215299400.0,16.6327,16.688,16.688,2491500100.0,2491500100.0,0.2954,0.2402,BIIB
2021-03-31 00:00:00,12604300000.0,1829000000.0,10775300000.0,4028800000.0,2529400100.0,3704100000.0,234000000.0,111000000.0,21000000.0,3815099900.0,744500000.0,3070599900.0,1900000.0,3011700100.0,19.1,0.8549,0.2939,0.3027,0.2389,0.2498,4398000100.0,3704099400.0,19.7851,19.8407,19.8407,3072500100.0,3072500100.0,0.3489,0.2802,BIIB
2020-12-31 00:00:00,13444600000.0,1805200000.0,11639400000.0,3990900000.0,2504500100.0,4550100000.0,213000000.0,497400000.0,42000000.0,5047499900.0,992300000.0,4055199900.0,5300000.0,4000600100.0,24.5,0.8657,0.3384,0.3754,0.2976,0.2791,5217000100.0,4550099400.0,25.1736,25.2361,25.2361,4060500100.0,4060500100.0,0.388,0.3146,BIIB
2020-09-30 00:00:00,14263301000.0,1761600100.0,12501700000.0,2956500100.0,2363200000.0,6658499000.0,203000000.0,-235400000.0,67000000.0,6423100000.0,1255000000.0,5168100000.0,-25400000.0,5082400000.0,30.27,0.8765,0.4668,0.4503,0.3563,0.467,7138299000.0,6658500000.0,30.5385,30.6021,30.6021,5142700000.0,5142700000.0,0.5005,0.4597,BIIB
2020-06-30 00:00:00,14487301000.0,1742500100.0,12744800000.0,2356000100.0,2344600000.0,7378399000.0,,-134100000.0,,7244300000.0,1225500000.0,6018800000.0,-34100000.0,5926800000.0,34.2,0.8797,0.5093,0.5,0.4091,0.4434,8053699000.0,7378400000.0,34.4533,34.5174,34.5174,5984700000.0,5984700000.0,0.5559,0.4881,BIIB
2020-03-31 00:00:00,14422401000.0,1807700100.0,12614700000.0,2193200100.0,2377100000.0,7359799000.0,,-394500000.0,,6965300000.0,1027500000.0,5937800000.0,-65500000.0,5878800000.0,32.45,0.8747,0.5103,0.483,0.4076,0.4408,8039199000.0,7359800000.0,32.316,32.3656,32.3656,5872300000.0,5872300000.0,0.5574,0.4913,BIIB
2019-12-31 00:00:00,14377901000.0,1955400100.0,12422500000.0,2280600100.0,2374700000.0,7042599000.0,,83300000.0,,7125900000.0,1158000000.0,5967900000.0,-79400000.0,5888500000.0,31.52,0.864,0.4898,0.4956,0.4096,0.4458,7723199000.0,7042600000.0,31.4222,31.4724,31.4724,5888500000.0,5888500000.0,0.5372,0.4923,BIIB
2019-09-30 00:00:00,14232900000.0,1996800000.0,12236100000.0,2200500000.0,2300900200.0,6708001000.0,,104000000.0,,6812000000.0,1351500000.0,5460500100.0,-66800000.0,5395600200.0,28.16,0.8597,0.4713,0.4786,0.3791,0.3962,7239201000.0,6708001000.0,28.0906,28.131,28.131,5393700100.0,5393700100.0,0.5086,0.4928,BIIB
2019-06-30 00:00:00,14071800000.0,2027600000.0,12044200000.0,2168000000.0,2244100200.0,6599301000.0,,246400000.0,,6845700000.0,1510000000.0,5335700100.0,-51800000.0,5294100200.0,26.93,0.8559,0.469,0.4865,0.3762,0.4514,7147501000.0,6599301000.0,26.8447,26.8938,26.8937,5290700100.0,5290700100.0,0.5079,0.5013,BIIB
2019-03-31 00:00:00,13811600000.0,1972300000.0,11839300000.0,2664200000.0,2172700200.0,5856601000.0,,409300000.0,,6265900000.0,1525600000.0,4740300000.0,-40400000.0,4666600200.0,23.26,0.8572,0.424,0.4537,0.3379,0.3971,6459301000.0,5856601000.0,23.4114,23.4607,23.4606,4711600000.0,4711600100.0,0.4677,0.4482,BIIB
2018-12-31 00:00:00,13452900000.0,1816300000.0,11636600000.0,2597200000.0,2106300200.0,5888601000.0,,11000000.0,,5899600000.0,1425600000.0,4474000000.0,,4430700200.0,21.64,0.865,0.4377,0.4385,0.3293,0.3976,6539101000.0,5888601000.0,21.7925,21.8351,21.835,4474000000.0,4474000100.0,0.4861,0.46,BIIB
2018-09-30 00:00:00,13233601000.0,1837000000.0,11396601000.0,2573200100.0,2087199900.0,5911701000.0,,-26800000.0,,5884900000.0,2522100000.0,3362799600.0,,3186500200.0,15.49,0.8612,0.4467,0.4447,0.2408,0.3716,6807601000.0,5911701000.0,16.3114,16.3434,16.3433,3362799600.0,3362800100.0,0.5144,0.4391,BIIB
2018-06-30 00:00:00,12872401000.0,1746200000.0,11126201000.0,2511700100.0,2022899900.0,5868001000.0,,-185900000.0,,5682100000.0,2536100000.0,3145999600.0,,2968200200.0,14.12,0.8643,0.4559,0.4414,0.2306,0.3681,6594801000.0,5868001000.0,14.9538,14.9789,14.9789,3145999600.0,3146000100.0,0.5123,0.443,BIIB
