Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,18187000000.0,18642000000.0,7954000000.0,6997000000.0,-344000000.0,126000000.0,6748000000.0,1429000000.0,5319000000.0,5562000000.0,36.29,1.025,0.3847,0.371,0.3058,0.2213,7415000000.0,6997000000.0,34.7058,35.1271,35.1271,5319000000.0,5319000000.0,0.4077,0.2502,BLK
2022-06-30 00:00:00,19200000000.0,19381000000.0,8199000000.0,7406000000.0,-316000000.0,99000000.0,7328000000.0,1617000000.0,5711000000.0,5837000000.0,37.93,1.0094,0.3857,0.3817,0.304,0.218,7822000000.0,7406000000.0,37.1129,37.6152,37.6152,5711000000.0,5711000000.0,0.4074,0.2402,BLK
2022-03-31 00:00:00,19937000000.0,19675000000.0,8264000000.0,7669000000.0,301000000.0,130000000.0,8208000000.0,1913000000.0,6295000000.0,6138000000.0,39.91,0.9869,0.3847,0.4117,0.3079,0.2211,8087000000.0,7669000000.0,40.8145,41.3982,41.3982,6295000000.0,6295000000.0,0.4056,0.2432,BLK
2021-12-31 00:00:00,19780000000.0,19374000000.0,8264000000.0,7450000000.0,346000000.0,167000000.0,8173000000.0,1968000000.0,6205000000.0,5901000000.0,38.42,0.9795,0.3766,0.4132,0.2983,0.2215,7865000000.0,7450000000.0,40.1869,40.7592,40.7592,6205000000.0,6205000000.0,0.3976,0.2388,BLK
2021-09-30 00:00:00,19070000000.0,18746000000.0,7956000000.0,7259000000.0,664000000.0,175000000.0,8230000000.0,1917000000.0,6313000000.0,5806000000.0,37.94,0.983,0.3807,0.4316,0.3045,0.2469,7667000000.0,7259000000.0,40.8299,41.3494,41.3494,6313000000.0,6313000000.0,0.402,0.261,BLK
2021-06-30 00:00:00,18065000000.0,18065000000.0,7690000000.0,7081000000.0,859000000.0,215000000.0,7940000000.0,1863000000.0,6077000000.0,5489000000.0,35.99,1.0,0.392,0.4395,0.3038,0.2189,7469000000.0,7081000000.0,39.3361,39.7724,39.7724,6077000000.0,6077000000.0,0.4135,0.234,BLK
2021-03-31 00:00:00,16893000000.0,16893000000.0,7221000000.0,6556000000.0,946000000.0,214000000.0,7502000000.0,1570000000.0,5932000000.0,5325000000.0,34.85,1.0,0.3881,0.4441,0.3152,0.2319,6929000000.0,6556000000.0,38.3798,38.744,38.744,5932000000.0,5932000000.0,0.4102,0.2432,BLK
2020-12-31 00:00:00,16205000000.0,16205000000.0,7506000000.0,5695000000.0,829000000.0,205000000.0,6524000000.0,1238000000.0,5286000000.0,4932000000.0,32.18,1.0,0.3514,0.4026,0.3044,0.219,6053000000.0,5695000000.0,34.1382,34.4389,34.4389,5286000000.0,5286000000.0,0.3735,0.231,BLK
2020-09-30 00:00:00,15704000000.0,15704000000.0,7418000000.0,5385000000.0,606000000.0,202000000.0,5991000000.0,1111000000.0,4880000000.0,4685000000.0,30.41,1.0,0.3429,0.3815,0.2983,0.1774,5642000000.0,5385000000.0,31.3982,31.6927,31.6927,4880000000.0,4880000000.0,0.3593,0.1923,BLK
2020-06-30 00:00:00,15027000000.0,15027000000.0,7042000000.0,5130000000.0,340000000.0,202000000.0,5470000000.0,988000000.0,4482000000.0,4440000000.0,28.68,1.0,0.3414,0.364,0.2955,0.1801,5405000000.0,5130000000.0,28.6836,28.9507,28.9507,4482000000.0,4482000000.0,0.3597,0.1967,BLK
