Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Investment Gain/Loss (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,11787000000.0,8922000000.0,2865000000.0,1924300000.0,1018700300.0,382000000.0,669000000.0,3000000.0,174300000.0,637000000.0,235000000.0,400699900.0,575000000.0,1.19,0.2431,0.0864,0.054,0.0488,0.0749,2078000000.0,1018700600.0,1.192,,1.1974,,1.1974,575000000.0,,575000000.0,0.1763,0.1101,CAG
2022-05-31 00:00:00,11536000000.0,8684000000.0,2852000000.0,1477700000.0,1413300400.0,379000000.0,317000000.0,2000000.0,145300000.0,1034000000.0,291000000.0,742899900.0,888000000.0,1.84,0.2472,0.1225,0.0896,0.077,0.0635,2098000000.0,1413300700.0,1.842,,1.8493,,1.8493,888200000.0,,889000000.0,0.1819,0.1021,CAG
2022-02-28 00:00:00,11365500000.0,8503800000.0,2861699700.0,1413700000.0,1479899600.0,376000000.0,58600000.0,99400000.0,131200000.0,1098300000.0,188800000.0,909200100.0,1038500000.0,2.15,0.2518,0.1302,0.0966,0.0914,0.0613,1907799500.0,1479900300.0,2.1581,,2.1674,,2.1674,1040400100.0,,1040900000.0,0.1679,0.1012,CAG
2021-11-30 00:00:00,11222600000.0,8295500000.0,2927099800.0,1385400000.0,1566999700.0,384000000.0,-89000000.0,199000000.0,104600000.0,1179100000.0,180400000.0,998600100.0,1101900000.0,2.28,0.2608,0.1396,0.1051,0.0982,0.064,1983799600.0,1567000400.0,2.2818,,2.2916,,2.2916,1103200100.0,,1103600000.0,0.1768,0.1059,CAG
2021-08-31 00:00:00,11158800000.0,8091800000.0,3066999700.0,1397700000.0,1686399600.0,396000000.0,-245700000.0,306700000.0,98100000.0,1285300000.0,177100000.0,1108700100.0,1204800000.0,2.48,0.2749,0.1511,0.1152,0.108,0.0727,2099499500.0,1686400300.0,2.4824,,2.4929,,2.4929,1206800100.0,,1207100000.0,0.1881,0.1186,CAG
2021-05-31 00:00:00,11184700000.0,8005500000.0,3179199700.0,1403000000.0,1830699500.0,416000000.0,-420400000.0,420400000.0,84400000.0,1410300000.0,193800000.0,1216500100.0,1298800000.0,2.66,0.2842,0.1637,0.1261,0.1161,0.0862,2218399500.0,1830700200.0,2.6669,,2.6778,,2.6778,1300900100.0,,1300900000.0,0.1983,0.1313,CAG
2021-02-28 00:00:00,11733101000.0,8352800000.0,3380300800.0,1499700000.0,1894501200.0,448000000.0,-447300000.0,447300000.0,73900000.0,1447200000.0,328800000.0,1118400100.0,1190699900.0,2.43,0.2881,0.1615,0.1233,0.1015,0.1288,2280501200.0,1894501000.0,2.4353,,2.4442,,2.4442,1192300000.0,,1192300000.0,0.1944,0.171,CAG
2020-11-30 00:00:00,11517001000.0,8210700000.0,3306300700.0,1509900000.0,1813001000.0,464000000.0,-464400000.0,464400000.0,62800000.0,1348600000.0,296100000.0,1052500100.0,1113699900.0,2.27,0.2871,0.1574,0.1171,0.0967,0.1301,2201501000.0,1813000800.0,2.2764,,2.2842,,2.2842,1115300000.0,,1115300000.0,0.1912,0.1699,CAG
2020-08-31 00:00:00,11342601000.0,8127300000.0,3215300800.0,1522000000.0,1707501200.0,,-478100000.0,478100000.0,67400000.0,1229400000.0,299500000.0,929900100.0,995299900.0,2.03,0.2835,0.1505,0.1084,0.0877,0.1345,2094901300.0,1707501000.0,2.0388,,2.0449,,2.0449,997300000.0,,997300000.0,0.1847,0.1693,CAG
2020-05-31 00:00:00,11054401000.0,7984800000.0,3069600800.0,1622500000.0,1457001200.0,,-487100000.0,487100000.0,73200000.0,969900000.0,201300000.0,768600100.0,840099900.0,1.72,0.2777,0.1318,0.0877,0.076,0.1345,1845901300.0,1457001000.0,1.7228,,1.7275,,1.7275,841800000.0,,841800000.0,0.167,0.1667,CAG
2020-02-29 00:00:00,10379701000.0,7524900000.0,2854801100.0,1485200100.0,1412200700.0,,-492700000.0,492700000.0,59500000.0,919500000.0,213300000.0,706200000.0,765200000.0,1.57,0.275,0.1361,0.0886,0.0737,0.0873,1805100800.0,1412200300.0,1.5693,,1.5734,,1.5698,765700000.0,,765700000.0,0.1739,0.1229,CAG
2019-11-30 00:00:00,10531801000.0,7609100000.0,2922701100.0,1499400100.0,1459300800.0,,-505900000.0,505900000.0,61800000.0,953400000.0,211600000.0,741800000.0,802800000.0,1.65,0.2775,0.1386,0.0905,0.0762,0.0853,1845400900.0,1459300400.0,1.6505,,1.6524,,1.6498,803600000.0,,803600000.0,0.1752,0.1226,CAG
2019-08-31 00:00:00,10094701000.0,7292700000.0,2802001100.0,1616900100.0,1219500600.0,,-465100000.0,465100000.0,71900000.0,754400000.0,149900000.0,604500000.0,673900000.0,1.43,0.2776,0.1208,0.0747,0.0668,0.0862,1585500600.0,1219500200.0,1.435,,1.4311,,1.4332,676400000.0,,674500000.0,0.1571,0.1226,CAG
2019-05-31 00:00:00,9538401000.0,6885400000.0,2653001100.0,1473400100.0,1214700600.0,,-391400000.0,391400000.0,75800000.0,823300000.0,218800000.0,604500000.0,678300000.0,1.52,0.2781,0.1273,0.0863,0.0711,0.0833,1547700600.0,1214700200.0,1.53,,1.5279,0.0254,1.53,680300000.0,,678400000.0,0.1623,0.118,CAG
