Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,42171000000.0,30980000000.0,11243000000.0,3290000000.0,8027000000.0,-372000000.0,542000000.0,7459000000.0,1317000000.0,6142000000.0,6142000000.0,14.35,0.2666,0.1903,0.1769,0.1456,0.2934,8584000000.0,8027000000.0,14.3403,14.4707,14.4707,6142000000.0,6142000000.0,0.2036,0.2934,CB
2022-06-30 00:00:00,40862000000.0,29798000000.0,11140000000.0,3213000000.0,8950000000.0,-517000000.0,514000000.0,8433000000.0,1270000000.0,7163000000.0,7163000000.0,16.58,0.2726,0.219,0.2064,0.1753,0.3013,9567000000.0,8950000000.0,16.5859,16.732,16.732,7163000000.0,7163000000.0,0.2341,0.3013,CB
2022-03-31 00:00:00,40603000000.0,29381000000.0,11280000000.0,3170000000.0,10009000000.0,-502000000.0,502000000.0,9507000000.0,1294000000.0,8213000000.0,8213000000.0,18.78,0.2778,0.2465,0.2341,0.2023,0.3072,10642000000.0,10009000000.0,18.7862,18.9391,18.9391,8213000000.0,8213000000.0,0.2621,0.3072,CB
2021-12-31 00:00:00,40936000000.0,29597000000.0,11366000000.0,3136000000.0,10308000000.0,-492000000.0,492000000.0,9816000000.0,1277000000.0,8539000000.0,8539000000.0,19.29,0.2777,0.2518,0.2398,0.2086,0.2914,10927000000.0,10308000000.0,19.2668,19.4082,19.4082,8539000000.0,8539000000.0,0.2669,0.2914,CB
2021-09-30 00:00:00,40304000000.0,29073000000.0,11255000000.0,3103000000.0,10515000000.0,-492000000.0,492000000.0,10023000000.0,1207000000.0,8816000000.0,8816000000.0,19.68,0.2793,0.2609,0.2487,0.2187,0.2815,11133000000.0,10515000000.0,19.6466,19.7605,19.7605,8816000000.0,8816000000.0,0.2762,0.2815,CB
2021-06-30 00:00:00,38947000000.0,28193000000.0,10754000000.0,3030000000.0,9808000000.0,-500000000.0,500000000.0,9308000000.0,1131000000.0,8177000000.0,8177000000.0,18.13,0.2761,0.2518,0.239,0.21,0.2905,10420000000.0,9808000000.0,18.1001,18.1926,18.1926,8177000000.0,8177000000.0,0.2675,0.2905,CB
2021-03-31 00:00:00,38268000000.0,29697000000.0,8571000000.0,2982000000.0,6839000000.0,-506000000.0,506000000.0,6333000000.0,752000000.0,5581000000.0,5581000000.0,12.34,0.224,0.1787,0.1655,0.1458,0.266,7484000000.0,6839000000.0,12.3105,12.3705,12.3705,5581000000.0,5581000000.0,0.1956,0.266,CB
2020-12-31 00:00:00,35994000000.0,29041000000.0,6953000000.0,2979000000.0,4678000000.0,-516000000.0,516000000.0,4162000000.0,629000000.0,3533000000.0,3533000000.0,7.79,0.1932,0.13,0.1156,0.0982,0.2719,5335000000.0,4678000000.0,7.7914,7.8232,7.8232,3533000000.0,3533000000.0,0.1482,0.2719,CB
2020-09-30 00:00:00,34884000000.0,28932000000.0,5952000000.0,3011000000.0,3290000000.0,-538000000.0,524000000.0,2752000000.0,464000000.0,2288000000.0,2288000000.0,5.02,0.1706,0.0943,0.0789,0.0656,0.2485,3964000000.0,3290000000.0,5.0271,5.0568,5.0568,2288000000.0,2288000000.0,0.1136,0.2485,CB
2020-06-30 00:00:00,34465000000.0,28067000000.0,6398000000.0,3030000000.0,3285000000.0,-548000000.0,532000000.0,2737000000.0,552000000.0,2185000000.0,2185000000.0,4.77,0.1856,0.0953,0.0794,0.0634,0.2127,3960000000.0,3285000000.0,4.7742,4.8119,4.8119,2185000000.0,2185000000.0,0.1149,0.2127,CB
2020-03-31 00:00:00,34007000000.0,26094000000.0,7913000000.0,3061000000.0,5052000000.0,-564000000.0,544000000.0,4488000000.0,822000000.0,3666000000.0,3666000000.0,8.0,0.2327,0.1486,0.132,0.1078,0.198,5718000000.0,5052000000.0,8.0066,8.0604,8.0604,3666000000.0,3666000000.0,0.1681,0.198,CB
2019-12-31 00:00:00,34186000000.0,25623000000.0,8563000000.0,3030000000.0,5824000000.0,-575000000.0,552000000.0,5249000000.0,795000000.0,4454000000.0,4454000000.0,9.7,0.2505,0.1704,0.1535,0.1303,0.1855,6524000000.0,5824000000.0,9.7055,9.7695,9.7695,4454000000.0,4454000000.0,0.1908,0.1855,CB
2019-09-30 00:00:00,33074000000.0,25243000000.0,7831000000.0,2948000000.0,5021000000.0,-600000000.0,571000000.0,4421000000.0,785000000.0,3636000000.0,3636000000.0,7.89,0.2368,0.1518,0.1337,0.1099,0.1964,5768000000.0,5021000000.0,7.9123,7.9622,7.9622,3636000000.0,3636000000.0,0.1744,0.1964,CB
2019-06-30 00:00:00,32779000000.0,24929000000.0,7850000000.0,2915000000.0,5154000000.0,-640000000.0,597000000.0,4514000000.0,738000000.0,3776000000.0,3776000000.0,8.15,0.2395,0.1572,0.1377,0.1152,0.1828,5966000000.0,5154000000.0,8.1725,8.2232,8.2232,3776000000.0,3776000000.0,0.182,0.1828,CB
2019-03-31 00:00:00,32762000000.0,24610000000.0,8152000000.0,2904000000.0,5344000000.0,-676000000.0,624000000.0,4668000000.0,748000000.0,3920000000.0,3920000000.0,8.41,0.2488,0.1631,0.1425,0.1197,0.1908,6229000000.0,5344000000.0,8.4361,8.4891,8.4891,3920000000.0,3920000000.0,0.1901,0.1908,CB
2018-12-31 00:00:00,32717000000.0,24569000000.0,8148000000.0,2886000000.0,5357000000.0,-700000000.0,641000000.0,4657000000.0,695000000.0,3962000000.0,3962000000.0,8.46,0.249,0.1637,0.1423,0.1211,0.1675,6288000000.0,5357000000.0,8.4875,8.5457,8.5457,3962000000.0,3962000000.0,0.1922,0.1675,CB
2018-09-30 00:00:00,33106000000.0,24212000000.0,8894000000.0,2895000000.0,6054000000.0,-760000000.0,644000000.0,5294000000.0,154000000.0,5140000000.0,5140000000.0,10.97,0.2687,0.1829,0.1599,0.1553,0.1507,6995000000.0,6054000000.0,10.9752,11.059,11.059,5140000000.0,5140000000.0,0.2113,0.1507,CB
2018-06-30 00:00:00,32966000000.0,25617000000.0,7349000000.0,2890000000.0,4505000000.0,-780000000.0,630000000.0,3725000000.0,-114000000.0,3839000000.0,3839000000.0,8.18,0.2229,0.1367,0.113,0.1165,0.1535,5458000000.0,4505000000.0,8.1836,8.25,8.25,3839000000.0,3839000000.0,0.1656,0.1535,CB
2018-03-31 00:00:00,32564000000.0,25274000000.0,7290000000.0,2849000000.0,4537000000.0,-819000000.0,610000000.0,3718000000.0,-132000000.0,3850000000.0,3850000000.0,8.19,0.2239,0.1393,0.1142,0.1182,0.1241,5483000000.0,4537000000.0,8.1866,8.2575,8.2575,3850000000.0,3850000000.0,0.1684,0.1241,CB
2017-12-31 00:00:00,32243000000.0,24911000000.0,7332000000.0,2833000000.0,4639000000.0,-917000000.0,607000000.0,3722000000.0,-139000000.0,3861000000.0,3861000000.0,8.2,0.2274,0.1439,0.1154,0.1197,0.1397,5593000000.0,4639000000.0,8.194,8.2651,8.2651,3861000000.0,3861000000.0,0.1735,0.1397,CB
2017-09-30 00:00:00,32396000000.0,24449000000.0,7947000000.0,2804000000.0,5409000000.0,-969000000.0,605000000.0,4440000000.0,502000000.0,3938000000.0,3938000000.0,8.34,0.2453,0.167,0.1371,0.1216,0.1502,6471000000.0,5409000000.0,8.4006,8.4689,8.4689,3938000000.0,3938000000.0,0.1997,0.1502,CB
2017-06-30 00:00:00,32313000000.0,22483000000.0,9830000000.0,2862000000.0,7268000000.0,-1036000000.0,607000000.0,6232000000.0,864000000.0,5368000000.0,5368000000.0,11.37,0.3042,0.2249,0.1929,0.1661,0.1479,8594000000.0,7268000000.0,11.4357,11.5249,11.5249,5368000000.0,5368000000.0,0.266,0.1479,CB
2017-03-31 00:00:00,32102000000.0,22685000000.0,9417000000.0,2985000000.0,6676000000.0,-1068000000.0,613000000.0,5608000000.0,819000000.0,4789000000.0,4789000000.0,10.14,0.2933,0.208,0.1747,0.1492,0.1646,8495000000.0,6676000000.0,10.2109,10.2886,10.2886,4789000000.0,4789000000.0,0.2646,0.1646,CB
2016-12-31 00:00:00,31469000000.0,22544000000.0,8925000000.0,3081000000.0,6047000000.0,-1097000000.0,605000000.0,4950000000.0,815000000.0,4135000000.0,4135000000.0,8.81,0.2836,0.1922,0.1573,0.1314,0.1682,8362000000.0,6047000000.0,8.8743,8.9403,8.9403,4135000000.0,4135000000.0,0.2657,0.1682,CB
2016-09-30 00:00:00,27980000000.0,20308000000.0,7672000000.0,2943000000.0,4760000000.0,-929000000.0,544000000.0,3831000000.0,623000000.0,3208000000.0,3208000000.0,7.48,0.2742,0.1701,0.1369,0.1147,0.1788,6947000000.0,4760000000.0,7.4868,7.5473,7.5473,3208000000.0,3208000000.0,0.2483,0.1788,CB
2016-06-30 00:00:00,24324000000.0,17873000000.0,6451000000.0,2739000000.0,3593000000.0,-739000000.0,460000000.0,2854000000.0,478000000.0,2376000000.0,2376000000.0,6.22,0.2652,0.1477,0.1173,0.0977,0.1696,5322000000.0,3593000000.0,6.2156,6.27,6.27,2376000000.0,2376000000.0,0.2188,0.1696,CB
2016-03-31 00:00:00,21475000000.0,15210000000.0,6265000000.0,2488000000.0,3617000000.0,-559000000.0,378000000.0,3058000000.0,466000000.0,2592000000.0,2592000000.0,7.55,0.2917,0.1684,0.1424,0.1207,0.1774,4654000000.0,3617000000.0,7.5407,7.612,7.612,2592000000.0,2592000000.0,0.2167,0.1774,CB
2015-12-31 00:00:00,18987000000.0,12968000000.0,6019000000.0,2270000000.0,3629000000.0,-333000000.0,300000000.0,3296000000.0,462000000.0,2834000000.0,2834000000.0,8.62,0.317,0.1911,0.1736,0.1493,0.2035,3958000000.0,3629000000.0,8.6183,8.7042,8.7042,2834000000.0,2834000000.0,0.2085,0.2035,CB
2015-09-30 00:00:00,19045000000.0,13085000000.0,5960000000.0,2290000000.0,3616000000.0,-283000000.0,274000000.0,3333000000.0,627000000.0,2706000000.0,2706000000.0,8.2,0.3129,0.1899,0.175,0.1421,0.2086,3760000000.0,3616000000.0,8.1949,8.28,8.28,2706000000.0,2706000000.0,0.1974,0.2086,CB
2015-06-30 00:00:00,19374000000.0,13216000000.0,6158000000.0,2276000000.0,3910000000.0,-276000000.0,276000000.0,3634000000.0,671000000.0,2963000000.0,2963000000.0,8.9,0.3178,0.2018,0.1876,0.1529,0.2215,4054000000.0,3910000000.0,8.9058,8.9984,8.9984,2963000000.0,2963000000.0,0.2092,0.2215,CB
2015-03-31 00:00:00,19141000000.0,13209000000.0,5932000000.0,2264000000.0,3738000000.0,-277000000.0,277000000.0,3461000000.0,661000000.0,2800000000.0,2800000000.0,8.31,0.3099,0.1953,0.1808,0.1463,0.2257,3909000000.0,3738000000.0,8.3234,8.4099,8.4099,2800000000.0,2800000000.0,0.2042,0.2257,CB
2014-12-31 00:00:00,19171000000.0,13241000000.0,5930000000.0,2245000000.0,3767000000.0,-280000000.0,280000000.0,3487000000.0,634000000.0,2853000000.0,2853000000.0,8.4,0.3093,0.1965,0.1819,0.1488,0.2345,3955000000.0,3767000000.0,8.4162,8.501,8.501,2853000000.0,2853000000.0,0.2063,0.2345,CB
2014-09-30 00:00:00,19508000000.0,13282000000.0,6226000000.0,2225000000.0,4069000000.0,-283000000.0,283000000.0,3786000000.0,490000000.0,3296000000.0,3296000000.0,9.64,0.3192,0.2086,0.1941,0.169,0.2311,4289000000.0,4069000000.0,9.6493,9.7462,9.7462,3296000000.0,3296000000.0,0.2199,0.2311,CB
2014-06-30 00:00:00,19480000000.0,13119000000.0,6361000000.0,2234000000.0,4181000000.0,-285000000.0,285000000.0,3896000000.0,469000000.0,3427000000.0,3427000000.0,9.98,0.3265,0.2146,0.2,0.1759,0.2213,4430000000.0,4181000000.0,9.9888,10.0863,10.0863,3427000000.0,3427000000.0,0.2274,0.2213,CB
2014-03-31 00:00:00,19370000000.0,12854000000.0,6516000000.0,2232000000.0,4276000000.0,-286000000.0,286000000.0,3990000000.0,451000000.0,3539000000.0,3539000000.0,10.29,0.3364,0.2208,0.206,0.1827,0.225,4531000000.0,4276000000.0,10.2946,10.393,10.393,3539000000.0,3539000000.0,0.2339,0.225,CB
2013-12-31 00:00:00,19261000000.0,12522000000.0,6739000000.0,2211000000.0,4513000000.0,-275000000.0,275000000.0,4238000000.0,480000000.0,3758000000.0,3758000000.0,10.92,0.3499,0.2343,0.22,0.1951,0.2088,4781000000.0,4513000000.0,10.9198,11.0235,11.0235,3758000000.0,3758000000.0,0.2482,0.2088,CB
2013-09-30 00:00:00,18874000000.0,12628000000.0,6246000000.0,2194000000.0,4050000000.0,-268000000.0,268000000.0,3782000000.0,257000000.0,3525000000.0,3525000000.0,10.24,0.3309,0.2146,0.2004,0.1868,0.1964,4316000000.0,4050000000.0,10.2484,10.3381,10.3381,3525000000.0,3525000000.0,0.2287,0.1964,CB
2013-06-30 00:00:00,18840000000.0,12943000000.0,5897000000.0,2150000000.0,3757000000.0,-259000000.0,259000000.0,3498000000.0,249000000.0,3249000000.0,3249000000.0,9.44,0.313,0.1994,0.1857,0.1725,0.2346,4008000000.0,3757000000.0,9.4508,9.5322,9.5322,3249000000.0,3249000000.0,0.2127,0.2346,CB
2013-03-31 00:00:00,18061000000.0,12758000000.0,5303000000.0,2100000000.0,3216000000.0,-248000000.0,248000000.0,2968000000.0,282000000.0,2686000000.0,2686000000.0,7.81,0.2936,0.1781,0.1643,0.1487,0.2401,3457000000.0,3216000000.0,7.8186,7.8851,7.8851,2686000000.0,2686000000.0,0.1914,0.2401,CB
2012-12-31 00:00:00,17936000000.0,12620000000.0,5316000000.0,2096000000.0,3226000000.0,-250000000.0,250000000.0,2976000000.0,270000000.0,2706000000.0,2706000000.0,7.88,0.2964,0.1799,0.1659,0.1509,0.2227,3446000000.0,3226000000.0,7.8951,7.9625,7.9625,2706000000.0,2706000000.0,0.1921,0.2227,CB
