Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,6876000000.0,2072000000.0,4804000000.0,738000000.0,2335000000.0,67000000.0,493000000.0,1629000000.0,15000000.0,1614000000.0,1614000000.0,3.72,0.6987,0.3396,0.2369,0.2347,0.2202,4040000000.0,2335000000.0,3.72,,3.7294,,3.73,1614000000.0,,1614000000.0,0.5876,0.4031,CCI
2022-06-30 00:00:00,6748000000.0,2060000000.0,4688000000.0,718000000.0,2259000000.0,63000000.0,655000000.0,1565000000.0,19000000.0,1546000000.0,1546000000.0,3.56,0.6947,0.3348,0.2319,0.2291,0.2298,3948000000.0,2259000000.0,3.56,,3.5742,,3.57,1546000000.0,,1546000000.0,0.5851,0.4083,CCI
2022-03-31 00:00:00,6597000000.0,2040000000.0,4557000000.0,697000000.0,2171000000.0,-113000000.0,651000000.0,1478000000.0,20000000.0,1458000000.0,1459000000.0,3.36,0.6908,0.3291,0.224,0.2212,0.2357,3841000000.0,2171000000.0,3.36,,3.375,,3.37,1458000000.0,,1459000000.0,0.5822,0.4188,CCI
2021-12-31 00:00:00,6340000000.0,1993000000.0,4347000000.0,680000000.0,2001000000.0,-473000000.0,657000000.0,1179000000.0,21000000.0,1158000000.0,1096000000.0,2.67,0.6856,0.3156,0.186,0.1729,0.2461,3658000000.0,2001000000.0,2.67,-0.1484,2.537,-0.1484,2.68,1158000000.0,,1096000000.0,0.577,0.4399,CCI
2021-09-30 00:00:00,6179000000.0,1990000000.0,4189000000.0,685000000.0,2161000000.0,-655000000.0,662000000.0,1337000000.0,24000000.0,1313000000.0,1250000000.0,3.03,0.6779,0.3497,0.2164,0.2023,0.2852,3802000000.0,2161000000.0,3.04,,2.9103,,3.05,1313000000.0,,1251000000.0,0.6153,0.492,CCI
2021-06-30 00:00:00,6047000000.0,1965000000.0,4082000000.0,672000000.0,2069000000.0,-922000000.0,667000000.0,1147000000.0,22000000.0,1125000000.0,1062000000.0,2.6,0.675,0.3422,0.1897,0.1756,0.272,3701000000.0,2069000000.0,2.61,-0.1577,2.4795,-0.1577,2.62,1125000000.0,-64181000.0,1063000000.0,0.612,0.4989,CCI
2021-03-31 00:00:00,5904000000.0,1957000000.0,3947000000.0,667000000.0,1947000000.0,-933000000.0,684000000.0,1014000000.0,22000000.0,992000000.0,900000000.0,2.24,0.6685,0.3298,0.1717,0.1524,0.2553,3572000000.0,1947000000.0,2.25,2.79,2.186,2.8,2.26,992000000.0,922671000.0,929000000.0,0.605,0.5058,CCI
2020-12-31 00:00:00,5840000000.0,1969000000.0,3871000000.0,678000000.0,1863000000.0,-787000000.0,689000000.0,1076000000.0,20000000.0,1056000000.0,999000000.0,2.34,0.6628,0.319,0.1842,0.1711,0.245,3477000000.0,1863000000.0,2.35,,2.4964,,2.36,1056000000.0,,1056000000.0,0.5954,0.5231,CCI
2020-09-30 00:00:00,5773000000.0,1931000000.0,3842000000.0,650000000.0,1561000000.0,-782000000.0,694000000.0,779000000.0,22000000.0,757000000.0,672000000.0,1.6,0.6655,0.2704,0.1349,0.1164,0.194,3169000000.0,1561000000.0,1.4015,,1.8073,,1.404,757000000.0,,757000000.0,0.5489,0.4985,CCI
2020-06-30 00:00:00,5769000000.0,1959000000.0,3810000000.0,646000000.0,1550000000.0,-692000000.0,699000000.0,858000000.0,22000000.0,836000000.0,723000000.0,1.81,0.6604,0.2687,0.1487,0.1253,0.1664,3139000000.0,1550000000.0,1.6004,,2.0073,,1.6057,836000000.0,,836000000.0,0.5441,0.4992,CCI
