Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,9600000000.0,6907000000.0,2693000000.0,98000000.0,725000000.0,1839000000.0,258000000.0,262000000.0,37000000.0,2048000000.0,378000000.0,1670000000.0,1651000000.0,15.13,0.2805,0.1916,0.2133,0.172,0.1353,2281000000.0,1839000000.0,15.15,-0.21,15.2664,-0.22,15.28,1670000000.0,-24000000.0,1670000000.0,0.2376,0.194,CE
2022-06-30 00:00:00,9565000000.0,6707000000.0,2858000000.0,94000000.0,706000000.0,2067000000.0,133000000.0,267000000.0,5000000.0,2349000000.0,353000000.0,1996000000.0,1966000000.0,17.94,0.2988,0.2161,0.2456,0.2055,0.1501,2458000000.0,2067000000.0,18.06,-0.24,18.0733,-0.25,18.21,1996000000.0,-27000000.0,1996000000.0,0.257,0.2051,CE
2022-03-31 00:00:00,9277000000.0,6363000000.0,2914000000.0,90000000.0,670000000.0,2151000000.0,109000000.0,279000000.0,28000000.0,2455000000.0,357000000.0,2098000000.0,2070000000.0,18.75,0.3141,0.2319,0.2646,0.2231,0.1558,2529000000.0,2151000000.0,18.84,,18.8597,,18.98,2098000000.0,,2094000000.0,0.2726,0.211,CE
2021-12-31 00:00:00,8537000000.0,5872000000.0,2665000000.0,86000000.0,633000000.0,1946000000.0,99000000.0,302000000.0,52000000.0,2248000000.0,330000000.0,1918000000.0,1890000000.0,16.98,0.3122,0.2279,0.2633,0.2214,0.1511,2304000000.0,1946000000.0,17.06,-0.2,17.0466,-0.2,17.19,1918000000.0,-22000000.0,1913000000.0,0.2699,0.2058,CE
2021-09-30 00:00:00,7853000000.0,5521000000.0,2332000000.0,83000000.0,600000000.0,1632000000.0,104000000.0,1629000000.0,77000000.0,3262000000.0,420000000.0,2842000000.0,2819000000.0,24.75,0.297,0.2078,0.4154,0.359,0.1347,1989000000.0,1632000000.0,24.59,-0.16,24.6124,-0.16,24.74,2842000000.0,-18000000.0,2837000000.0,0.2533,0.1843,CE
2021-06-30 00:00:00,6998000000.0,5049000000.0,1949000000.0,81000000.0,541000000.0,1280000000.0,103000000.0,1601000000.0,103000000.0,2881000000.0,348000000.0,2533000000.0,2520000000.0,21.94,0.2785,0.1829,0.4117,0.3601,0.127,1645000000.0,1280000000.0,21.68,-0.06,21.796,-0.06,21.81,2533000000.0,-7000000.0,2526000000.0,0.2351,0.1783,CE
2021-03-31 00:00:00,5993000000.0,4563000000.0,1430000000.0,77000000.0,494000000.0,796000000.0,106000000.0,1572000000.0,106000000.0,2368000000.0,267000000.0,2101000000.0,2089000000.0,18.05,0.2386,0.1328,0.3951,0.3486,0.144,1157000000.0,796000000.0,17.8,-0.05,17.9083,-0.05,17.91,2101000000.0,-6000000.0,2095000000.0,0.1931,0.2002,CE
2020-12-31 00:00:00,5655000000.0,4362000000.0,1293000000.0,74000000.0,482000000.0,664000000.0,109000000.0,1587000000.0,109000000.0,2251000000.0,247000000.0,2004000000.0,1985000000.0,17.04,0.2286,0.1174,0.3981,0.351,0.1731,1020000000.0,664000000.0,16.85,-0.1,16.9076,-0.1,16.95,2004000000.0,-12000000.0,1992000000.0,0.1804,0.2375,CE
2020-09-30 00:00:00,5496000000.0,4263000000.0,1233000000.0,71000000.0,470000000.0,529000000.0,111000000.0,192000000.0,111000000.0,721000000.0,127000000.0,594000000.0,575000000.0,4.84,0.2243,0.0963,0.1312,0.1046,0.1769,885000000.0,529000000.0,4.98,-0.09,4.9739,-0.1,5.01,594000000.0,-11000000.0,583000000.0,0.161,0.2538,CE
2020-06-30 00:00:00,5671000000.0,4351000000.0,1320000000.0,69000000.0,484000000.0,605000000.0,,198000000.0,110000000.0,803000000.0,150000000.0,653000000.0,631000000.0,5.23,0.2328,0.1067,0.1416,0.1113,0.1636,966000000.0,605000000.0,5.39,-0.12,5.3631,-0.12,5.42,653000000.0,-14000000.0,639000000.0,0.1703,0.24,CE
