Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7428000000.0,567000000.0,7541000000.0,5030000000.0,2511000000.0,2511000000.0,561000000.0,1950000000.0,1837000000.0,4.0,1.0152,0.0,0.338,0.2473,0.2303,4.2484,4.2664,4.2664,1950000000.0,1950000000.0,0.0,0.2581,CFG
2022-06-30 00:00:00,6955000000.0,340000000.0,7023000000.0,4644000000.0,2379000000.0,2379000000.0,535000000.0,1844000000.0,1730000000.0,3.95,1.0098,0.0,0.3421,0.2487,-0.0098,4.2088,4.2271,4.2271,1844000000.0,1844000000.0,0.0,0.0115,CFG
2022-03-31 00:00:00,6635000000.0,306000000.0,6633000000.0,3901000000.0,2732000000.0,2732000000.0,604000000.0,2128000000.0,2014000000.0,4.73,0.9997,0.0,0.4118,0.3035,0.4059,4.9865,5.0078,5.0078,2128000000.0,2128000000.0,0.0,0.4307,CFG
2021-12-31 00:00:00,6771000000.0,339000000.0,6647000000.0,3670000000.0,2977000000.0,2977000000.0,658000000.0,2319000000.0,2206000000.0,5.18,0.9817,0.0,0.4397,0.3258,0.205,5.4255,5.4479,5.4479,2319000000.0,2319000000.0,0.0,0.2233,CFG
2021-09-30 00:00:00,6899000000.0,383000000.0,6634000000.0,3770000000.0,2864000000.0,2864000000.0,619000000.0,2245000000.0,2132000000.0,5.0,0.9616,0.0,0.4151,0.309,0.2257,5.2466,5.2665,5.2665,2245000000.0,2245000000.0,0.0,0.2515,CFG
2021-06-30 00:00:00,7215000000.0,449000000.0,6766000000.0,4208000000.0,2558000000.0,2558000000.0,529000000.0,2029000000.0,1917000000.0,4.5,0.9378,0.0,0.3545,0.2657,0.1825,4.7415,4.7582,4.7582,2029000000.0,2029000000.0,0.0,0.196,CFG
2021-03-31 00:00:00,7459000000.0,552000000.0,6907000000.0,4873000000.0,2034000000.0,2034000000.0,400000000.0,1634000000.0,1526000000.0,3.58,0.926,0.0,0.2727,0.2046,0.0853,3.8176,3.8299,3.8299,1634000000.0,1634000000.0,0.0,0.1003,CFG
2020-12-31 00:00:00,7676000000.0,771000000.0,6905000000.0,5607000000.0,1298000000.0,1298000000.0,241000000.0,1057000000.0,950000000.0,2.23,0.8996,0.0,0.1691,0.1238,-0.0009,2.4688,2.475,2.475,1057000000.0,1057000000.0,0.0,0.0145,CFG
2020-09-30 00:00:00,7844000000.0,1009000000.0,6835000000.0,5567000000.0,1268000000.0,1268000000.0,217000000.0,1051000000.0,953000000.0,2.22,0.8714,0.0,0.1617,0.1215,-0.0096,2.4343,2.4415,2.4415,1051000000.0,1051000000.0,0.0,-0.0036,CFG
2020-06-30 00:00:00,7941000000.0,1259000000.0,6682000000.0,5225000000.0,1457000000.0,1457000000.0,271000000.0,1186000000.0,1096000000.0,2.51,0.8415,0.0,0.1835,0.138,-0.0543,2.7048,2.7133,2.7133,1186000000.0,1186000000.0,0.0,-0.0369,CFG
