Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,11118000000.0,5460000000.0,5658000000.0,259000000.0,5315000000.0,413000000.0,217000000.0,57000000.0,4926000000.0,1139000000.0,3787000000.0,,3191000000.0,15.24,0.5089,0.4781,0.4431,0.287,0.3872,6281000000.0,5315000000.0,18.0725,18.1556,18.1556,3787000000.0,3787000000.0,0.5649,0.4276,CF
2022-06-30 00:00:00,10159000000.0,4988000000.0,5171000000.0,245000000.0,4468000000.0,413000000.0,657000000.0,91000000.0,4096000000.0,938000000.0,3158000000.0,,2568000000.0,12.2,0.509,0.4398,0.4032,0.2528,0.3929,5788000000.0,4468000000.0,14.9711,15.0448,15.0448,3158000000.0,3158000000.0,0.5697,0.4381,CF
2022-03-31 00:00:00,8358000000.0,4667000000.0,3691000000.0,232000000.0,3140000000.0,377000000.0,471000000.0,129000000.0,2802000000.0,666000000.0,2136000000.0,,1649000000.0,7.76,0.4416,0.3757,0.3352,0.1973,0.3807,4351000000.0,3140000000.0,10.0248,10.0845,10.0845,2136000000.0,2136000000.0,0.5206,0.441,CF
2021-12-31 00:00:00,6538000000.0,4206000000.0,2332000000.0,223000000.0,1729000000.0,184000000.0,436000000.0,141000000.0,1543000000.0,283000000.0,1260000000.0,,917000000.0,4.25,0.3567,0.2645,0.236,0.1403,0.361,3012000000.0,1729000000.0,5.8279,5.8604,5.8604,1260000000.0,1260000000.0,0.4607,0.4394,CF
2021-09-30 00:00:00,5100000000.0,3700000000.0,1400000000.0,219000000.0,756000000.0,178000000.0,369000000.0,178000000.0,575000000.0,55000000.0,520000000.0,,299000000.0,1.38,0.2745,0.1482,0.1127,0.0586,0.2349,2106000000.0,756000000.0,2.403,2.4157,2.4157,520000000.0,520000000.0,0.4129,0.33,CF
2021-06-30 00:00:00,4585000000.0,3530000000.0,1055000000.0,216000000.0,893000000.0,180000000.0,-190000000.0,180000000.0,703000000.0,88000000.0,615000000.0,,456000000.0,2.11,0.2301,0.1948,0.1533,0.0995,0.1854,1782000000.0,893000000.0,2.8452,2.8579,2.8579,615000000.0,615000000.0,0.3887,0.2659,CF
2021-03-31 00:00:00,4201000000.0,3315000000.0,886000000.0,207000000.0,723000000.0,183000000.0,-171000000.0,183000000.0,552000000.0,36000000.0,516000000.0,,400000000.0,1.86,0.2109,0.1721,0.1314,0.0952,0.2871,1608000000.0,723000000.0,2.3975,2.4032,2.4032,516000000.0,516000000.0,0.3828,0.3611,CF
2020-12-31 00:00:00,4124000000.0,3323000000.0,801000000.0,206000000.0,623000000.0,179000000.0,-160000000.0,179000000.0,463000000.0,31000000.0,432000000.0,,317000000.0,1.47,0.1942,0.1511,0.1123,0.0769,0.2241,1515000000.0,623000000.0,2.0074,2.0102,2.0102,432000000.0,432000000.0,0.3674,0.2985,CF
2020-09-30 00:00:00,4071000000.0,3223000000.0,848000000.0,217000000.0,642000000.0,196000000.0,-189000000.0,196000000.0,453000000.0,46000000.0,407000000.0,,285000000.0,1.33,0.2083,0.1577,0.1113,0.07,0.2287,1516000000.0,642000000.0,1.8883,1.8939,1.8939,407000000.0,407000000.0,0.3724,0.3053,CF
2020-06-30 00:00:00,4262000000.0,3269000000.0,993000000.0,224000000.0,790000000.0,,-195000000.0,211000000.0,595000000.0,78000000.0,517000000.0,,378000000.0,1.75,0.233,0.1854,0.1396,0.0887,0.274,1675000000.0,790000000.0,2.3861,2.3957,2.3957,517000000.0,517000000.0,0.393,0.359,CF
