Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,26131000000.0,24167000000.0,1966000000.0,2291189800.0,1390153300.0,71000000.0,-23398000.0,75939000.0,1314000000.0,240000000.0,1074429000.0,1074000000.0,8.24,0.0752,0.0532,0.0503,0.0411,0.0343,1482000000.0,1390154800.0,8.2354,8.3461,8.3461,1074429000.0,1074000000.0,0.0567,0.0365,CHRW
2022-06-30 00:00:00,26380000000.0,24420000000.0,1960000000.0,1825604800.0,1413313400.0,67000000.0,-45060000.0,76629000.0,1336000000.0,241000000.0,1095684000.0,1095000000.0,8.31,0.0743,0.0536,0.0506,0.0415,0.0054,1504000000.0,1413314900.0,8.3116,8.4132,8.4132,1095684000.0,1095000000.0,0.057,0.0096,CHRW
2022-03-31 00:00:00,25114726000.0,22991550000.0,2122176300.0,1752228800.0,1204252400.0,63000000.0,-48557000.0,62731000.0,1141107000.0,200318000.0,941288000.0,940789000.0,7.09,0.0845,0.048,0.0454,0.0375,0.0022,1294541500.0,1204253900.0,7.0772,7.1557,7.1557,941288000.0,940789000.0,0.0515,0.0055,CHRW
2021-12-31 00:00:00,23102595000.0,20770039000.0,2331556700.0,1670557800.0,1082107900.0,59000000.0,-59817000.0,59817000.0,1022176000.0,178082000.0,844245000.0,844094000.0,6.33,0.1009,0.0468,0.0442,0.0365,0.001,1173149100.0,1082109400.0,6.3082,6.3725,6.3725,844245000.0,844094000.0,0.0508,0.0041,CHRW
2021-09-30 00:00:00,21150048000.0,18612912000.0,2536136500.0,1535398800.0,1001505800.0,53000000.0,-53452000.0,53452000.0,947945000.0,186044000.0,761954000.0,761901000.0,5.68,0.1199,0.0474,0.0448,0.036,0.0054,1094611800.0,1001505800.0,5.6524,5.7035,5.7035,761954000.0,761901000.0,0.0518,0.0086,CHRW
2021-06-30 00:00:00,19110848000.0,16429439000.0,2681409200.0,1822432800.0,858975600.0,43000000.0,-44255000.0,44255000.0,814719000.0,163289000.0,651430000.0,651430000.0,4.84,0.1403,0.0449,0.0426,0.0341,0.0014,956766600.0,858975600.0,4.7965,4.836,4.836,651430000.0,651430000.0,0.0501,0.0045,CHRW
2021-03-31 00:00:00,17205968000.0,14659282000.0,2546685800.0,1759526800.0,787158000.0,40000000.0,-40969000.0,40969000.0,746188000.0,144608000.0,601580000.0,601580000.0,4.46,0.148,0.0457,0.0434,0.035,0.0192,887770000.0,787158000.0,4.4209,4.448,4.448,601580000.0,601580000.0,0.0516,0.0223,CHRW
2020-12-31 00:00:00,16207107000.0,13794848000.0,2412258500.0,1738988800.0,673268600.0,44000000.0,-44937000.0,44937000.0,628331000.0,121910000.0,506421000.0,506421000.0,3.75,0.1488,0.0415,0.0388,0.0312,0.0275,774995600.0,673268600.0,3.7189,3.7364,3.7364,506421000.0,506421000.0,0.0478,0.0308,CHRW
2020-09-30 00:00:00,15450980000.0,13100438000.0,2350542000.0,1747270000.0,603271600.0,43000000.0,-43688000.0,,559584100.0,101864000.0,457720100.0,457720100.0,3.39,0.1521,0.039,0.0362,0.0296,0.0316,705665600.0,603271300.0,3.3642,3.3781,3.3781,457720100.0,457720100.0,0.0457,0.0355,CHRW
2020-06-30 00:00:00,15082312000.0,12687612000.0,2394700500.0,1758582000.0,636118000.0,,-49403000.0,,586715100.0,118630000.0,468085100.0,468085100.0,3.46,0.1588,0.0422,0.0389,0.031,0.0544,737076000.0,636117700.0,3.4371,3.4489,3.4489,468085100.0,468085100.0,0.0489,0.0586,CHRW
2020-03-31 00:00:00,15363306000.0,12887843000.0,2475463700.0,1800597000.0,674866300.0,,-45807000.0,,629059100.0,135733000.0,493326100.0,493326100.0,3.62,0.1611,0.0439,0.0409,0.0321,0.0368,775148300.0,674866000.0,3.5994,3.616,3.616,493326100.0,493326100.0,0.0505,0.0415,CHRW
2019-12-31 00:00:00,15309508000.0,12723198000.0,2586310400.0,1796334000.0,789975900.0,,-47719000.0,,742257100.0,165289000.0,576968100.0,576968100.0,4.21,0.1689,0.0516,0.0485,0.0377,0.05,890424900.0,789975600.0,4.189,4.2128,4.2128,576968100.0,576968100.0,0.0582,0.0546,CHRW
