Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,53560000000.0,30704000000.0,22856000000.0,,11878000000.0,4363000000.0,628000000.0,4363000000.0,7716000000.0,1418000000.0,6298000000.0,5469000000.0,31.99,0.4267,0.2218,0.1441,0.1021,0.1276,21055000000.0,11878000000.0,36.4425,37.3935,37.3935,6298000000.0,6298000000.0,0.3931,0.2869,CHTR
2022-06-30 00:00:00,53156000000.0,30873000000.0,22283000000.0,,11881000000.0,4219000000.0,145000000.0,4219000000.0,7743000000.0,1405000000.0,6338000000.0,5501000000.0,31.11,0.4192,0.2235,0.1457,0.1035,0.1484,20940000000.0,11881000000.0,35.4501,36.474,36.474,6338000000.0,6338000000.0,0.3939,0.2986,CHTR
2022-03-31 00:00:00,52360000000.0,31024000000.0,21336000000.0,5096000000.0,11229000000.0,4114000000.0,-946000000.0,4114000000.0,6985000000.0,1197000000.0,5788000000.0,5050000000.0,27.79,0.4075,0.2145,0.1334,0.0964,0.1617,20464000000.0,11229000000.0,31.0449,32.2911,32.2911,5788000000.0,5788000000.0,0.3908,0.3082,CHTR
2021-12-31 00:00:00,51682000000.0,31009000000.0,20673000000.0,7268000000.0,10526000000.0,4037000000.0,-1877000000.0,4037000000.0,6388000000.0,1068000000.0,5320000000.0,4654000000.0,25.12,0.4,0.2037,0.1236,0.0901,0.1665,19907000000.0,10526000000.0,27.5586,28.9652,28.9652,5320000000.0,5320000000.0,0.3852,0.3142,CHTR
2021-09-30 00:00:00,51094000000.0,31097000000.0,19997000000.0,9573000000.0,10032000000.0,3968000000.0,-2761000000.0,3968000000.0,5985000000.0,1098000000.0,4887000000.0,4290000000.0,22.53,0.3914,0.1963,0.1171,0.084,0.158,19497000000.0,10032000000.0,24.5602,25.7555,25.7555,4887000000.0,4887000000.0,0.3816,0.3163,CHTR
2021-06-30 00:00:00,49987000000.0,30794000000.0,19193000000.0,9373000000.0,9277000000.0,3898000000.0,-3937000000.0,3898000000.0,5340000000.0,928000000.0,4412000000.0,3887000000.0,20.04,0.384,0.1856,0.1068,0.0778,0.1464,18851000000.0,9277000000.0,21.5081,22.6165,22.6165,4412000000.0,4412000000.0,0.3771,0.3113,CHTR
2021-03-31 00:00:00,48881000000.0,30209000000.0,18672000000.0,9052000000.0,8671000000.0,3851000000.0,-3728000000.0,3851000000.0,4943000000.0,813000000.0,4130000000.0,3633000000.0,18.28,0.382,0.1774,0.1011,0.0743,0.1402,18319000000.0,8671000000.0,19.8448,20.6449,20.6449,4130000000.0,4130000000.0,0.3748,0.3088,CHTR
2020-12-31 00:00:00,48097000000.0,29930000000.0,18167000000.0,8874000000.0,8405000000.0,3848000000.0,-4103000000.0,3848000000.0,4302000000.0,626000000.0,3676000000.0,3222000000.0,15.97,0.3777,0.1748,0.0894,0.067,0.1389,18109000000.0,8405000000.0,17.5656,18.0801,18.0801,3676000000.0,3676000000.0,0.3765,0.3028,CHTR
2020-09-30 00:00:00,47234000000.0,29521000000.0,17713000000.0,8582000000.0,7902000000.0,3847000000.0,-4323000000.0,3847000000.0,3579000000.0,482000000.0,3097000000.0,2690000000.0,13.0,0.375,0.1673,0.0758,0.057,0.1299,17658000000.0,7902000000.0,14.5131,14.8897,14.8897,3097000000.0,3097000000.0,0.3738,0.2915,CHTR
2020-06-30 00:00:00,46645000000.0,29473000000.0,17172000000.0,6704000000.0,7316000000.0,,-4253000000.0,3864000000.0,3063000000.0,431000000.0,2632000000.0,2263000000.0,10.76,0.3681,0.1568,0.0657,0.0485,0.1239,17117000000.0,7316000000.0,12.148,12.432,12.432,2632000000.0,2632000000.0,0.367,0.2798,CHTR
2020-03-31 00:00:00,46296000000.0,29420000000.0,16876000000.0,4990000000.0,6888000000.0,,-4397000000.0,3852000000.0,2491000000.0,349000000.0,2142000000.0,1811000000.0,8.45,0.3645,0.1488,0.0538,0.0391,0.1143,16761000000.0,6888000000.0,9.7029,9.9107,9.9107,2142000000.0,2142000000.0,0.362,0.2653,CHTR
2019-12-31 00:00:00,45764000000.0,29224000000.0,16540000000.0,3192000000.0,6511000000.0,,-4080000000.0,3797000000.0,2431000000.0,439000000.0,1992000000.0,1668000000.0,7.67,0.3614,0.1423,0.0531,0.0364,0.0995,16437000000.0,6511000000.0,8.9013,9.0749,9.0749,1992000000.0,1992000000.0,0.3592,0.2567,CHTR
2019-09-30 00:00:00,45234000000.0,29054000000.0,16180000000.0,,5991000000.0,,-4130000000.0,3743000000.0,1861000000.0,331000000.0,1530000000.0,1250000000.0,5.62,0.3577,0.1324,0.0411,0.0276,0.0931,15990000000.0,5991000000.0,6.7421,6.8475,6.8475,1530000000.0,1530000000.0,0.3535,0.2555,CHTR
2019-06-30 00:00:00,44676000000.0,28631000000.0,16045000000.0,,5785000000.0,,-3824000000.0,3681000000.0,1961000000.0,314000000.0,1647000000.0,1356000000.0,5.99,0.3591,0.1295,0.0439,0.0304,0.0807,15851000000.0,5785000000.0,7.1418,7.2432,7.2432,1647000000.0,1647000000.0,0.3548,0.2556,CHTR
2019-03-31 00:00:00,44183000000.0,28260000000.0,15923000000.0,,5604000000.0,,-3733000000.0,3614000000.0,1871000000.0,271000000.0,1600000000.0,1315000000.0,5.75,0.3604,0.1268,0.0423,0.0298,0.0712,15762000000.0,5604000000.0,6.8633,6.9547,6.9547,1600000000.0,1600000000.0,0.3567,0.266,CHTR
2018-12-31 00:00:00,43634000000.0,27860000000.0,15774000000.0,,5221000000.0,,-3535000000.0,3540000000.0,1686000000.0,180000000.0,1506000000.0,1230000000.0,5.33,0.3615,0.1197,0.0386,0.0282,0.0605,15539000000.0,5221000000.0,6.3942,6.4814,6.4814,1506000000.0,1506000000.0,0.3561,0.2697,CHTR
