Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,7041000000.0,4564000000.0,2477000000.0,131000000.0,1667000000.0,703000000.0,99000000.0,-5000000.0,103000000.0,538000000.0,123000000.0,415000000.0,405000000.0,3.28,0.3518,0.0998,0.0764,0.0575,0.0963,905000000.0,703000000.0,3.3505,,3.3684,,3.3684,415000000.0,,415000000.0,0.1285,0.1311,CLX
2022-06-30 00:00:00,7107000000.0,4585000000.0,2522000000.0,132000000.0,1663000000.0,750000000.0,97000000.0,-23000000.0,106000000.0,607000000.0,136000000.0,471000000.0,462000000.0,3.73,0.3549,0.1055,0.0854,0.065,0.0753,951000000.0,750000000.0,3.8012,,3.8258,,3.8258,471000000.0,,471000000.0,0.1338,0.1106,CLX
2022-03-31 00:00:00,7108000000.0,4576000000.0,2532000000.0,143000000.0,1696000000.0,706000000.0,90000000.0,-48000000.0,94000000.0,579000000.0,112000000.0,467000000.0,458000000.0,3.7,0.3562,0.0993,0.0815,0.0644,0.0792,914000000.0,706000000.0,3.8024,,3.8092,,3.8092,467000000.0,,467000000.0,0.1286,0.1173,CLX
2021-12-31 00:00:00,7080000000.0,4420000000.0,2660000000.0,144000000.0,1747000000.0,450000000.0,92000000.0,-75000000.0,98000000.0,320000000.0,135000000.0,256000000.0,247000000.0,2.0,0.3757,0.0636,0.0452,0.0349,0.0819,986000000.0,450000000.0,2.1057,,2.1055,,2.1055,256000000.0,,256000000.0,0.1393,0.1227,CLX
2021-09-30 00:00:00,7231000000.0,4287000000.0,2944000000.0,150000000.0,1795000000.0,675000000.0,93000000.0,-88000000.0,99000000.0,559000000.0,223000000.0,445000000.0,437000000.0,3.5,0.4071,0.0933,0.0773,0.0604,0.0857,1214000000.0,675000000.0,3.5615,,3.5883,,3.5883,445000000.0,,445000000.0,0.1679,0.1292,CLX
2021-06-30 00:00:00,7341000000.0,4142000000.0,3199000000.0,149000000.0,1794000000.0,927000000.0,93000000.0,-27000000.0,99000000.0,900000000.0,266000000.0,719000000.0,710000000.0,5.64,0.4358,0.1263,0.1226,0.0967,0.1287,1467000000.0,927000000.0,5.6481,,5.726,,5.726,719000000.0,,719000000.0,0.1998,0.1738,CLX
2021-03-31 00:00:00,7522000000.0,4062000000.0,3460000000.0,146000000.0,1803000000.0,1182000000.0,93000000.0,12000000.0,99000000.0,1194000000.0,,929000000.0,923000000.0,7.3,0.46,0.1571,0.1587,0.1227,0.1735,1715000000.0,1182000000.0,7.218,,7.3552,,7.3552,929000000.0,,929000000.0,0.228,0.2171,CLX
2020-12-31 00:00:00,7524000000.0,4006000000.0,3518000000.0,153000000.0,1819000000.0,1546000000.0,92000000.0,4000000.0,98000000.0,1550000000.0,321000000.0,1229000000.0,1225000000.0,9.71,0.4676,0.2055,0.206,0.1628,0.1838,1742000000.0,1546000000.0,9.5804,,9.7428,,9.7428,1229000000.0,,1229000000.0,0.2315,0.2229,CLX
2020-09-30 00:00:00,7131000000.0,3811000000.0,3320000000.0,147000000.0,1713000000.0,1460000000.0,93000000.0,-7000000.0,99000000.0,1453000000.0,300000000.0,1153000000.0,1151000000.0,9.13,0.4656,0.2047,0.2038,0.1614,0.1948,1647000000.0,1460000000.0,9.0016,,9.1497,,9.1497,1153000000.0,,1153000000.0,0.231,0.2325,CLX
2020-06-30 00:00:00,6721000000.0,3658000000.0,3063000000.0,145000000.0,1644000000.0,1274000000.0,,-89000000.0,99000000.0,1185000000.0,246000000.0,939000000.0,939000000.0,7.46,0.4557,0.1896,0.1763,0.1397,0.1922,1454000000.0,1274000000.0,7.3548,,7.4626,,7.4626,939000000.0,,939000000.0,0.2163,0.23,CLX
2020-03-31 00:00:00,6365000000.0,3497000000.0,2868000000.0,141000000.0,1535000000.0,1192000000.0,,-110000000.0,99000000.0,1082000000.0,212000000.0,870000000.0,870000000.0,6.92,0.4506,0.1873,0.17,0.1367,0.1518,1372000000.0,1192000000.0,6.8106,,6.9051,,6.9051,870000000.0,,870000000.0,0.2156,0.1877,CLX
2019-12-31 00:00:00,6133000000.0,3424000000.0,2709000000.0,136000000.0,1459000000.0,1114000000.0,,-89000000.0,99000000.0,1025000000.0,209000000.0,816000000.0,816000000.0,6.46,0.4417,0.1816,0.1671,0.1331,0.1321,1294000000.0,1114000000.0,6.3534,,6.4435,,6.4435,816000000.0,,816000000.0,0.211,0.1697,CLX
2019-09-30 00:00:00,6157000000.0,3444000000.0,2713000000.0,134000000.0,1465000000.0,1114000000.0,,-100000000.0,98000000.0,1014000000.0,201000000.0,813000000.0,813000000.0,6.4,0.4406,0.1809,0.1647,0.132,0.1267,1294000000.0,1114000000.0,6.2943,,6.3898,,6.3898,813000000.0,,813000000.0,0.2102,0.1631,CLX
2019-06-30 00:00:00,6214000000.0,3486000000.0,2728000000.0,136000000.0,1468000000.0,1124000000.0,,-100000000.0,97000000.0,1024000000.0,204000000.0,820000000.0,820000000.0,6.44,0.439,0.1809,0.1648,0.132,0.1265,1304000000.0,1124000000.0,6.3178,,6.4196,,6.4196,820000000.0,,820000000.0,0.2098,0.1596,CLX
2019-03-31 00:00:00,6278000000.0,3540000000.0,2738000000.0,135000000.0,1458000000.0,1145000000.0,,-107000000.0,96000000.0,1038000000.0,242000000.0,796000000.0,796000000.0,6.22,0.4361,0.1824,0.1653,0.1268,0.1274,1323000000.0,1145000000.0,6.1053,,6.2011,,6.196,796000000.0,,796000000.0,0.2107,0.1598,CLX
2018-12-31 00:00:00,6244000000.0,3530000000.0,2714000000.0,133000000.0,1439000000.0,1142000000.0,,-102000000.0,92000000.0,1040000000.0,250000000.0,790000000.0,790000000.0,6.15,0.4347,0.1829,0.1666,0.1265,0.1457,1315000000.0,1142000000.0,6.0398,,6.1404,,6.1297,790000000.0,,790000000.0,0.2106,0.1763,CLX
2018-09-30 00:00:00,6187000000.0,3507000000.0,2680000000.0,132000000.0,1420000000.0,1128000000.0,,-85000000.0,88000000.0,1043000000.0,202000000.0,841000000.0,841000000.0,6.54,0.4332,0.1823,0.1686,0.1359,0.1283,1298000000.0,1128000000.0,6.4108,,6.5205,,6.5186,841000000.0,,841000000.0,0.2098,0.1576,CLX
2018-06-30 00:00:00,6124000000.0,3449000000.0,2675000000.0,132000000.0,1407000000.0,1136000000.0,,-82000000.0,85000000.0,1054000000.0,231000000.0,823000000.0,823000000.0,6.38,0.4368,0.1855,0.1721,0.1344,0.1277,1302000000.0,1136000000.0,6.2547,,6.3655,,6.3654,823000000.0,,823000000.0,0.2126,0.1594,CLX
