Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3349000000.0,85000000.0,3264000000.0,1945000000.0,1319000000.0,,1319000000.0,290000000.0,1029000000.0,1001000000.0,7.65,0.9746,0.0,0.3938,0.2989,-0.0839,7.7687,7.8847,7.8847,1029000000.0,1029000000.0,0.0,-0.0606,CMA
2022-06-30 00:00:00,3090000000.0,56000000.0,3034000000.0,1838000000.0,1196000000.0,,1196000000.0,256000000.0,940000000.0,913000000.0,6.94,0.9819,0.0,0.3871,0.2955,0.0657,7.0648,7.1752,7.1752,940000000.0,940000000.0,0.0,0.0903,CMA
2022-03-31 00:00:00,3008000000.0,54000000.0,2954000000.0,1674000000.0,1280000000.0,,1280000000.0,273000000.0,1007000000.0,979000000.0,7.35,0.982,0.0,0.4255,0.3255,-0.1011,7.4643,7.5946,7.5946,1007000000.0,1007000000.0,0.0,-0.0781,CMA
2021-12-31 00:00:00,3024000000.0,57000000.0,2967000000.0,1477000000.0,1490000000.0,,1490000000.0,322000000.0,1168000000.0,1140000000.0,8.42,0.9812,0.0,0.4927,0.377,0.1865,8.5255,8.6519,8.6519,1168000000.0,1168000000.0,0.0,0.2097,CMA
2021-09-30 00:00:00,3015000000.0,64000000.0,2951000000.0,1464000000.0,1487000000.0,37000000.0,1487000000.0,326000000.0,1161000000.0,1134000000.0,8.23,0.9788,0.0,0.4932,0.3761,0.3343,8.3838,8.4656,8.4656,1161000000.0,1161000000.0,0.0,0.3602,CMA
2021-06-30 00:00:00,2982000000.0,76000000.0,2906000000.0,1484000000.0,1422000000.0,27000000.0,1422000000.0,306000000.0,1116000000.0,1088000000.0,7.76,0.9745,0.0,0.4769,0.3649,0.0342,7.9786,8.0569,8.0569,1116000000.0,1116000000.0,0.0,0.0627,CMA
2021-03-31 00:00:00,2977000000.0,102000000.0,2875000000.0,1728000000.0,1147000000.0,17000000.0,1147000000.0,241000000.0,906000000.0,884000000.0,6.22,0.9657,0.0,0.3853,0.2969,0.1028,6.4507,6.494,6.494,906000000.0,906000000.0,0.0,0.1303,CMA
2020-12-31 00:00:00,3094000000.0,182000000.0,2912000000.0,2291000000.0,621000000.0,17000000.0,621000000.0,124000000.0,497000000.0,482000000.0,3.3,0.9412,0.0,0.2007,0.1558,0.2744,3.55,3.5756,3.5756,497000000.0,497000000.0,0.0,0.2999,CMA
2020-09-30 00:00:00,3265000000.0,277000000.0,2988000000.0,2296000000.0,692000000.0,17000000.0,692000000.0,143000000.0,549000000.0,538000000.0,3.67,0.9152,0.0,0.2119,0.1648,0.2652,3.9013,3.9125,3.9125,549000000.0,549000000.0,0.0,0.2882,CMA
2020-06-30 00:00:00,3496000000.0,376000000.0,3120000000.0,2323000000.0,797000000.0,-2000000.0,797000000.0,173000000.0,624000000.0,619000000.0,4.2,0.8924,0.0,0.228,0.1771,0.3784,4.3243,4.3377,4.3377,624000000.0,624000000.0,0.0,0.403,CMA
