Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,121211000000.0,52216000000.0,68995000000.0,8557000000.0,14333000000.0,3915000000.0,8129000000.0,4041000000.0,9499000000.0,4468000000.0,5032000000.0,5404000000.0,1.15,0.5692,0.1182,0.0784,0.0446,0.1215,36845000000.0,14333000000.0,1.0671,1.0867,1.0867,5032000000.0,5032000000.0,0.304,0.2328,CMCSA
2022-06-30 00:00:00,121660000000.0,53807000000.0,67853000000.0,17467000000.0,22208000000.0,4005000000.0,-266000000.0,4131000000.0,18317000000.0,4689000000.0,13629000000.0,14037000000.0,3.07,0.5577,0.1825,0.1506,0.1154,0.1193,36282000000.0,22208000000.0,2.9758,3.0093,3.0095,13629000000.0,13628000000.0,0.2982,0.225,CMCSA
2022-03-31 00:00:00,120190000000.0,59257000000.0,60933000000.0,17122000000.0,21348000000.0,4130000000.0,341000000.0,4256000000.0,19445000000.0,5428000000.0,14018000000.0,14379000000.0,3.11,0.507,0.1776,0.1618,0.1196,0.1321,35337000000.0,21348000000.0,3.0295,3.0711,3.0713,14018000000.0,14017000000.0,0.294,0.2384,CMCSA
2021-12-31 00:00:00,116385000000.0,62327000000.0,54058000000.0,16676000000.0,20817000000.0,4155000000.0,-342000000.0,4281000000.0,19092000000.0,5259000000.0,13834000000.0,14159000000.0,3.04,0.4645,0.1789,0.164,0.1217,0.1384,34620000000.0,20817000000.0,2.9726,3.0178,3.018,13834000000.0,13833000000.0,0.2975,0.2504,CMCSA
2021-09-30 00:00:00,113757000000.0,67454000000.0,46303000000.0,16393000000.0,19913000000.0,4205000000.0,157000000.0,4205000000.0,19623000000.0,5333000000.0,14290000000.0,14482000000.0,3.11,0.407,0.175,0.1725,0.1273,0.1157,33388000000.0,19913000000.0,3.0657,3.1128,3.1128,14290000000.0,14290000000.0,0.2935,0.2329,CMCSA
2021-06-30 00:00:00,108991000000.0,70205000000.0,38786000000.0,6929000000.0,18540000000.0,4375000000.0,-1313000000.0,4375000000.0,17227000000.0,4837000000.0,12390000000.0,12466000000.0,2.68,0.3559,0.1701,0.1581,0.1144,0.1095,31857000000.0,18540000000.0,2.6619,2.6997,2.6997,12390000000.0,12390000000.0,0.2923,0.2351,CMCSA
2021-03-31 00:00:00,104160000000.0,66863000000.0,37297000000.0,6419000000.0,17680000000.0,4394000000.0,-2128000000.0,4394000000.0,15552000000.0,3783000000.0,11769000000.0,11716000000.0,2.53,0.3581,0.1697,0.1493,0.1125,0.1252,30878000000.0,17680000000.0,2.5382,2.5691,2.5691,11769000000.0,11769000000.0,0.2964,0.256,CMCSA
2020-12-31 00:00:00,103564000000.0,66230000000.0,37334000000.0,6741000000.0,17493000000.0,4588000000.0,-3428000000.0,4588000000.0,14065000000.0,3364000000.0,10701000000.0,10534000000.0,2.28,0.3605,0.1689,0.1358,0.1017,0.1076,30593000000.0,17493000000.0,2.3142,2.3395,2.3395,10701000000.0,10701000000.0,0.2954,0.2389,CMCSA
2020-09-30 00:00:00,104254000000.0,65673000000.0,38581000000.0,6734000000.0,18822000000.0,4657000000.0,-5112000000.0,4657000000.0,13710000000.0,3246000000.0,10464000000.0,10316000000.0,2.23,0.3701,0.1805,0.1315,0.099,0.1193,31847000000.0,18822000000.0,2.266,2.2911,2.2911,10464000000.0,10464000000.0,0.3055,0.2487,CMCSA
2020-06-30 00:00:00,105549000000.0,65455000000.0,40094000000.0,7123000000.0,20086000000.0,,-5083000000.0,4604000000.0,15003000000.0,3282000000.0,11721000000.0,11514000000.0,2.49,0.3799,0.1903,0.1421,0.1091,0.117,32971000000.0,20086000000.0,2.5389,2.5699,2.5699,11721000000.0,11721000000.0,0.3124,0.2453,CMCSA
