Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,141554000000.0,125111000000.0,16443000000.0,11647000000.0,2203000000.0,1903000000.0,653000000.0,2615000000.0,601000000.0,2014000000.0,2014000000.0,3.43,0.1162,0.0156,0.0185,0.0142,0.0529,3759000000.0,2203000000.0,3.4382,,3.4733,,3.4733,2014000000.0,,2014000000.0,0.0266,0.0601,CNC
2022-06-30 00:00:00,138095000000.0,121968000000.0,16127000000.0,11338000000.0,2272000000.0,1644000000.0,654000000.0,2326000000.0,471000000.0,1855000000.0,1860000000.0,3.15,0.1168,0.0165,0.0168,0.0135,0.0433,3818000000.0,2272000000.0,3.1473,,3.1802,,3.1802,1855000000.0,,1855000000.0,0.0276,0.0506,CNC
2022-03-31 00:00:00,133184000000.0,118248000000.0,14936000000.0,10677000000.0,1983000000.0,55000000.0,655000000.0,2020000000.0,529000000.0,1491000000.0,1497000000.0,2.52,0.1121,0.0149,0.0152,0.0112,0.0326,3488000000.0,1983000000.0,2.5223,,2.5552,,2.5552,1491000000.0,,1491000000.0,0.0262,0.0399,CNC
2021-12-31 00:00:00,125982000000.0,111783000000.0,14199000000.0,10166000000.0,1784000000.0,-156000000.0,665000000.0,1813000000.0,477000000.0,1336000000.0,1347000000.0,2.28,0.1127,0.0142,0.0144,0.0107,0.0262,3260000000.0,1784000000.0,2.2625,,2.2923,,2.2923,1336000000.0,,1336000000.0,0.0259,0.0334,CNC
2021-09-30 00:00:00,121702000000.0,107833000000.0,13869000000.0,9631000000.0,1196000000.0,-274000000.0,680000000.0,1045000000.0,321000000.0,724000000.0,736000000.0,1.25,0.114,0.0098,0.0086,0.006,0.0464,2637000000.0,1196000000.0,1.2558,,1.2847,,1.2847,724000000.0,,724000000.0,0.0217,0.0535,CNC
2021-06-30 00:00:00,118386000000.0,104265000000.0,14121000000.0,9601000000.0,1512000000.0,-415000000.0,694000000.0,1097000000.0,389000000.0,708000000.0,720000000.0,1.24,0.1193,0.0128,0.0093,0.0061,0.0242,2870000000.0,1512000000.0,1.2331,,1.2635,,1.2635,708000000.0,,708000000.0,0.0242,0.0317,CNC
2021-03-31 00:00:00,115073000000.0,99396000000.0,15677000000.0,9717000000.0,3948000000.0,-365000000.0,718000000.0,3583000000.0,1138000000.0,2445000000.0,2461000000.0,4.24,0.1362,0.0343,0.0311,0.0214,0.0426,5280000000.0,3948000000.0,4.1971,,4.2568,,4.2568,2445000000.0,,2445000000.0,0.0459,0.0503,CNC
2020-12-31 00:00:00,111115000000.0,95899000000.0,15216000000.0,9867000000.0,3082000000.0,-309000000.0,728000000.0,2773000000.0,979000000.0,1794000000.0,1808000000.0,3.12,0.1369,0.0277,0.025,0.0163,0.0417,4341000000.0,3082000000.0,3.0977,,3.1434,,3.1434,1794000000.0,,1794000000.0,0.0391,0.0495,CNC
2020-09-30 00:00:00,101690000000.0,87704000000.0,13986000000.0,8879000000.0,3344000000.0,-237000000.0,664000000.0,3107000000.0,1092000000.0,2015000000.0,2029000000.0,3.64,0.1375,0.0329,0.0306,0.02,0.0099,4428000000.0,3344000000.0,3.5664,,3.6214,,3.6214,2015000000.0,,2015000000.0,0.0435,0.0184,CNC
2020-06-30 00:00:00,91576000000.0,79369000000.0,12207000000.0,7989000000.0,2659000000.0,-149000000.0,579000000.0,2510000000.0,964000000.0,1546000000.0,1556000000.0,2.89,0.1333,0.029,0.0274,0.017,0.0209,3607000000.0,2659000000.0,2.8341,,2.8785,,2.8785,1546000000.0,,1546000000.0,0.0394,0.0297,CNC
2020-03-31 00:00:00,82220000000.0,72581000000.0,9639000000.0,7308000000.0,1284000000.0,-56000000.0,493000000.0,1228000000.0,392000000.0,836000000.0,845000000.0,2.01,0.1172,0.0156,0.0149,0.0103,-0.0098,2060000000.0,1284000000.0,1.9604,,1.9934,,1.9934,836000000.0,,836000000.0,0.0251,-0.0009,CNC
2019-12-31 00:00:00,74639000000.0,65796000000.0,8843000000.0,6533000000.0,1781000000.0,-30000000.0,412000000.0,1782000000.0,473000000.0,1309000000.0,1321000000.0,3.19,0.1185,0.0239,0.0239,0.0177,0.0101,2424000000.0,1781000000.0,3.1135,,3.1658,,3.1658,1309000000.0,,1309000000.0,0.0325,0.0199,CNC
2019-09-30 00:00:00,72335000000.0,63383000000.0,8952000000.0,6356000000.0,1892000000.0,-30000000.0,397000000.0,1879000000.0,531000000.0,1348000000.0,1353000000.0,3.275,0.1238,0.0262,0.026,0.0187,0.0108,2508000000.0,1892000000.0,3.1418,,3.1947,,3.1947,1348000000.0,,1348000000.0,0.0347,0.0207,CNC
2019-06-30 00:00:00,69541000000.0,60500000000.0,9041000000.0,6673000000.0,1757000000.0,-44000000.0,395000000.0,1728000000.0,460000000.0,1268000000.0,1277000000.0,3.09,0.13,0.0253,0.0248,0.0184,0.0215,2350000000.0,1757000000.0,2.9514,,3.0016,,3.0016,1268000000.0,,1268000000.0,0.0338,0.0309,CNC
2019-03-31 00:00:00,65366000000.0,56652000000.0,8714000000.0,6336000000.0,1603000000.0,,374000000.0,1540000000.0,465000000.0,1075000000.0,1082000000.0,2.655,0.1333,0.0245,0.0236,0.0166,0.0011,2149000000.0,1603000000.0,2.5287,,2.576,,2.576,1075000000.0,,1075000000.0,0.0329,0.0108,CNC
2018-12-31 00:00:00,60116000000.0,51695000000.0,8421000000.0,6043000000.0,1458000000.0,-90000000.0,343000000.0,1368000000.0,474000000.0,894000000.0,900000000.0,2.37,0.1401,0.0243,0.0228,0.015,0.0093,1953000000.0,1458000000.0,2.2434,,2.2908,,2.2908,894000000.0,,894000000.0,0.0325,0.0205,CNC
2018-09-30 00:00:00,56363000000.0,48645000000.0,7718000000.0,5747000000.0,1251000000.0,-72000000.0,311000000.0,1179000000.0,303000000.0,876000000.0,889000000.0,2.45,0.1369,0.0222,0.0209,0.0158,0.0303,1702000000.0,1251000000.0,2.3676,,2.4211,,2.4211,876000000.0,,876000000.0,0.0302,0.0411,CNC
2018-06-30 00:00:00,52079000000.0,45171000000.0,6908000000.0,4843000000.0,1550000000.0,-69000000.0,279000000.0,1481000000.0,420000000.0,1061000000.0,1075000000.0,3.0,0.1326,0.0298,0.0284,0.0206,0.0243,1953000000.0,1550000000.0,2.8975,,2.9647,,2.9647,1061000000.0,,1061000000.0,0.0375,0.0358,CNC
2018-03-31 00:00:00,49852000000.0,43356000000.0,6496000000.0,4671000000.0,1499000000.0,-71000000.0,261000000.0,1428000000.0,414000000.0,1014000000.0,1029000000.0,2.97,0.1303,0.0301,0.0286,0.0206,0.0307,1878000000.0,1499000000.0,2.8621,,2.9311,,2.9311,1014000000.0,,1014000000.0,0.0377,0.0419,CNC
2017-12-31 00:00:00,48382000000.0,42581000000.0,5801000000.0,4446000000.0,1199000000.0,-65000000.0,255000000.0,1134000000.0,326000000.0,808000000.0,828000000.0,2.4,0.1199,0.0248,0.0234,0.0171,0.0221,1560000000.0,1199000000.0,2.2863,,2.343,,2.343,808000000.0,,808000000.0,0.0322,0.0308,CNC
2017-09-30 00:00:00,47487000000.0,41400000000.0,6087000000.0,4248000000.0,1542000000.0,-93000000.0,264000000.0,1449000000.0,608000000.0,841000000.0,859000000.0,2.5,0.1282,0.0325,0.0305,0.0181,0.0471,1895000000.0,1542000000.0,2.5182,,2.5861,,2.5801,841000000.0,,844000000.0,0.0399,0.0554,CNC
2017-06-30 00:00:00,46435000000.0,40302000000.0,6133000000.0,4158000000.0,1544000000.0,-103000000.0,256000000.0,1441000000.0,652000000.0,789000000.0,801000000.0,2.33,0.1321,0.0333,0.031,0.0172,0.0565,1884000000.0,1544000000.0,2.3701,,2.4368,,2.4325,789000000.0,,791000000.0,0.0406,0.065,CNC
2017-03-31 00:00:00,45378000000.0,39288000000.0,6090000000.0,4042000000.0,1483000000.0,-106000000.0,246000000.0,1377000000.0,670000000.0,707000000.0,717000000.0,2.09,0.1342,0.0327,0.0303,0.0158,0.0564,1812000000.0,1483000000.0,2.1459,,2.2012,,2.2015,707000000.0,,708000000.0,0.0399,0.064,CNC
2016-12-31 00:00:00,40607000000.0,35063000000.0,5544000000.0,3673000000.0,1263000000.0,-103000000.0,217000000.0,1160000000.0,599000000.0,561000000.0,562000000.0,1.615,0.1365,0.0311,0.0286,0.0138,0.038,1541000000.0,1263000000.0,1.7106,,1.7579,,1.7579,561000000.0,,561000000.0,0.0379,0.0456,CNC
2016-09-30 00:00:00,34998000000.0,30429000000.0,4569000000.0,3122000000.0,959000000.0,-65000000.0,153000000.0,894000000.0,477000000.0,417000000.0,412000000.0,1.315,0.1306,0.0274,0.0255,0.0118,0.0057,1187000000.0,959000000.0,1.3,-0.0178,1.334,-0.0179,1.345,417000000.0,-4000000.0,413000000.0,0.0339,0.0131,CNC
2016-06-30 00:00:00,29973000000.0,26157000000.0,3816000000.0,2640000000.0,800000000.0,-44000000.0,107000000.0,756000000.0,395000000.0,361000000.0,358000000.0,1.28,0.1273,0.0267,0.0252,0.0119,-0.0049,1007000000.0,800000000.0,1.255,-0.01,1.2953,-0.0079,1.295,361000000.0,-2000000.0,359000000.0,0.0336,0.0013,CNC
2016-03-31 00:00:00,24582000000.0,21598000000.0,2984000000.0,2128000000.0,596000000.0,-25000000.0,66000000.0,571000000.0,292000000.0,279000000.0,276000000.0,1.155,0.1214,0.0242,0.0232,0.0112,0.0261,753000000.0,596000000.0,1.125,-0.01,1.1696,-0.01,1.165,279000000.0,-2000000.0,278000000.0,0.0306,0.0329,CNC
2015-12-31 00:00:00,22760000000.0,20014000000.0,2746000000.0,1802000000.0,705000000.0,-8000000.0,43000000.0,697000000.0,339000000.0,358000000.0,355000000.0,1.49,0.1207,0.031,0.0306,0.0156,0.0223,854000000.0,705000000.0,1.445,0.0,1.4987,0.005,1.495,358000000.0,0.0,357000000.0,0.0375,0.0289,CNC
2015-09-30 00:00:00,21182000000.0,18639000000.0,2543000000.0,1638000000.0,678000000.0,-8000000.0,42000000.0,673000000.0,323000000.0,350000000.0,351000000.0,1.48,0.1201,0.032,0.0318,0.0166,0.0327,812000000.0,678000000.0,1.435,0.015,1.4844,0.015,1.475,350000000.0,2000000.0,351000000.0,0.0383,0.039,CNC
2015-06-30 00:00:00,19713000000.0,17397000000.0,2316000000.0,1514000000.0,603000000.0,-7000000.0,40000000.0,598000000.0,263000000.0,335000000.0,340000000.0,1.4425,0.1175,0.0306,0.0303,0.0172,0.0551,703000000.0,603000000.0,1.395,,1.4268,,1.435,335000000.0,,336000000.0,0.0357,0.0612,CNC
