Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,33279000000.0,2543000000.0,33328000000.0,22515000000.0,10755000000.0,,10755000000.0,2201000000.0,8554000000.0,8179000000.0,20.19,1.0015,0.0,0.3232,0.2458,0.2523,20.3,-0.0056,21.2939,-0.0056,20.37,8554000000.0,,8459000000.0,0.0,0.2775,COF
2022-06-30 00:00:00,32405000000.0,1728000000.0,32353000000.0,19753000000.0,12554000000.0,,12554000000.0,2590000000.0,9964000000.0,9550000000.0,22.77,0.9984,0.0,0.3874,0.2947,0.2743,22.88,,23.9493,,22.97,9964000000.0,-1000000.0,9864000000.0,0.0,0.2984,COF
2022-03-31 00:00:00,31949000000.0,1546000000.0,31495000000.0,16900000000.0,14558000000.0,,14558000000.0,3088000000.0,11470000000.0,11047000000.0,25.46,0.9858,0.0,0.4557,0.3458,0.32,25.54,,26.6049,,25.64,11470000000.0,-2000000.0,11394000000.0,0.0,0.3435,COF
2021-12-31 00:00:00,31372000000.0,1598000000.0,30435000000.0,14597000000.0,15809000000.0,221000000.0,15809000000.0,3415000000.0,12394000000.0,11965000000.0,26.9,0.9701,0.0,0.5039,0.3814,0.3858,26.95,-0.0099,27.9999,-0.01,27.05,12394000000.0,-4000000.0,12344000000.0,0.0,0.4081,COF
2021-09-30 00:00:00,31108000000.0,1735000000.0,29654000000.0,13816000000.0,15814000000.0,227000000.0,15814000000.0,3278000000.0,12536000000.0,12154000000.0,26.85,0.9533,0.0,0.5084,0.3907,0.4135,26.87,-0.0143,27.7826,-0.0144,26.96,12536000000.0,-5000000.0,12505000000.0,0.0,0.435,COF
2021-06-30 00:00:00,31218000000.0,2013000000.0,29205000000.0,13842000000.0,15330000000.0,241000000.0,15330000000.0,3492000000.0,11838000000.0,11486000000.0,25.14,0.9355,0.0,0.4911,0.3679,0.3994,25.15,-0.0143,25.9644,-0.0144,25.22,11838000000.0,-5000000.0,11833000000.0,0.0,0.4221,COF
2021-03-31 00:00:00,30862000000.0,2475000000.0,28387000000.0,19041000000.0,9302000000.0,217000000.0,9302000000.0,1918000000.0,7384000000.0,7031000000.0,15.28,0.9198,0.0,0.3014,0.2278,0.395,15.32,-0.0143,16.107,-0.0144,15.36,7384000000.0,-5000000.0,7379000000.0,0.0,0.4188,COF
2020-12-31 00:00:00,31643000000.0,3120000000.0,28523000000.0,25260000000.0,3203000000.0,261000000.0,3203000000.0,486000000.0,2717000000.0,2375000000.0,5.12,0.9014,0.0,0.1012,0.0751,0.5053,5.19,-0.0142,5.9284,-0.0143,5.2,2717000000.0,-3000000.0,2714000000.0,0.0,0.5277,COF
2020-09-30 00:00:00,32419000000.0,3806000000.0,28613000000.0,26946000000.0,1587000000.0,304000000.0,1587000000.0,260000000.0,1327000000.0,931000000.0,2.02,0.8826,0.0,0.049,0.0287,0.4748,2.01,0.0036,2.8789,0.0035,2.02,1327000000.0,-3000000.0,1324000000.0,0.0,0.4995,COF
2020-06-30 00:00:00,32675000000.0,4484000000.0,28191000000.0,28311000000.0,-211000000.0,200000000.0,-211000000.0,-461000000.0,250000000.0,-118000000.0,-0.34,0.8628,0.0,-0.0065,-0.0036,0.487,-0.37,0.0236,0.4625,0.0235,-0.35,250000000.0,1000000.0,251000000.0,0.0,0.5125,COF
2020-03-31 00:00:00,33715000000.0,4956000000.0,28759000000.0,25403000000.0,3252000000.0,-4000000.0,3252000000.0,469000000.0,2783000000.0,2424000000.0,5.13,0.853,0.0,0.0965,0.0719,0.4837,5.06,,5.9242,,5.1,2783000000.0,11000000.0,2794000000.0,0.0,0.5092,COF
2019-12-31 00:00:00,33766000000.0,5173000000.0,28593000000.0,21607000000.0,6874000000.0,-169000000.0,6874000000.0,1341000000.0,5533000000.0,5192000000.0,11.1,0.8468,0.0,0.2036,0.1538,0.4665,11.02,0.03,11.8606,0.03,11.07,5533000000.0,13000000.0,5546000000.0,0.0,0.4928,COF
2019-09-30 00:00:00,33376000000.0,5197000000.0,28179000000.0,21383000000.0,6669000000.0,,6669000000.0,1050000000.0,5619000000.0,5323000000.0,11.33,0.8443,0.0,0.1998,0.1595,0.4681,11.27,0.0242,11.9957,0.0243,11.33,5619000000.0,12000000.0,5631000000.0,0.0,0.4931,COF
2019-06-30 00:00:00,33150000000.0,4968000000.0,28182000000.0,21150000000.0,6886000000.0,,6886000000.0,1095000000.0,5791000000.0,5493000000.0,11.63,0.8501,0.0,0.2077,0.1657,0.4693,11.58,0.0142,12.3001,0.0143,11.64,5791000000.0,9000000.0,5800000000.0,0.0,0.4947,COF
2019-03-31 00:00:00,32933000000.0,4683000000.0,28250000000.0,20715000000.0,7375000000.0,,7375000000.0,1283000000.0,6092000000.0,5774000000.0,12.11,0.8578,0.0,0.2239,0.1753,0.4676,12.09,-0.0258,12.7776,-0.0257,12.16,6092000000.0,-11000000.0,6081000000.0,0.0,0.4935,COF
2018-12-31 00:00:00,32377000000.0,4301000000.0,28076000000.0,20584000000.0,7318000000.0,,7318000000.0,1293000000.0,6025000000.0,5710000000.0,11.88,0.8672,0.0,0.226,0.1764,0.3738,11.84,-0.02,12.5339,-0.02,11.92,6025000000.0,-10000000.0,6015000000.0,0.0,0.4008,COF
2018-09-30 00:00:00,31940000000.0,3864000000.0,28076000000.0,20501000000.0,7383000000.0,,7383000000.0,3484000000.0,3899000000.0,3495000000.0,7.22,0.879,0.0,0.2312,0.1094,0.3825,7.42,-0.23,7.8276,-0.24,7.47,3899000000.0,-116000000.0,3783000000.0,0.0,0.4111,COF
2018-06-30 00:00:00,31574000000.0,3475000000.0,28099000000.0,20843000000.0,7047000000.0,,7047000000.0,3512000000.0,3535000000.0,3102000000.0,6.37,0.8899,0.0,0.2232,0.0982,0.3763,6.63,-0.29,6.9669,-0.3,6.68,3535000000.0,-147000000.0,3388000000.0,0.0,0.4069,COF
