Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,3219500100.0,1114600000.0,2104900100.0,106700000.0,1295900000.0,532700200.0,43900000.0,-8200000.0,39500000.0,524500000.0,93900100.0,430599800.0,430599800.0,8.65,0.6538,0.1655,0.1629,0.1337,0.1628,869200200.0,532700000.0,8.5662,8.6734,8.6734,430599800.0,430599800.0,0.27,0.2287,COO
2022-04-30 00:00:00,3139500100.0,1070600000.0,2068900100.0,102800000.0,1305700000.0,492700200.0,35200000.0,8500000.0,28000000.0,501200000.0,-446799900.0,947999800.0,947999800.0,19.04,0.659,0.1569,0.1596,0.302,0.1551,826400200.0,492700000.0,18.9478,19.1684,19.1684,947999800.0,947999800.0,0.2632,0.2217,COO
2022-01-31 00:00:00,3029200100.0,1005700000.0,2023500100.0,97500000.0,1269100000.0,503200200.0,31100000.0,-29300000.0,23300000.0,473900000.0,-464999900.0,938899800.0,938899800.0,18.85,0.668,0.1661,0.1564,0.3099,0.1787,821000200.0,503200000.0,18.7647,18.9886,18.9886,938899800.0,938899800.0,0.271,0.2499,COO
2021-10-31 00:00:00,2922500100.0,966700000.0,1955800100.0,92700000.0,1211200000.0,505800200.0,31100000.0,-14300000.0,23100000.0,491500000.0,-2453199900.0,2944699800.0,2944699800.0,59.25,0.6692,0.1731,0.1682,1.0076,0.1794,817100200.0,505800000.0,59.1306,59.8517,59.8517,2944699800.0,2944699800.0,0.2796,0.2527,COO
2021-07-31 00:00:00,2844999900.0,967100000.0,1877899900.0,92700000.0,1163700000.0,477299800.0,30800000.0,-13700000.0,24800000.0,463600000.0,-2452000000.0,2915600000.0,2915600000.0,58.68,0.6601,0.1678,0.163,1.0248,0.1849,786799800.0,477299700.0,58.6439,59.3256,59.3256,2915600000.0,2915600000.0,0.2766,0.275,COO
2021-04-30 00:00:00,2659799900.0,937200000.0,1722599900.0,89700000.0,1044000000.0,448699800.0,29000000.0,-12700000.0,24900000.0,436000000.0,-1919000000.0,2355000000.0,2355000000.0,47.43,0.6476,0.1687,0.1639,0.8854,0.1555,749899800.0,448699700.0,47.3936,47.9589,47.9589,2355000000.0,2355000000.0,0.2819,0.2524,COO
2021-01-31 00:00:00,2465199900.0,906200000.0,1558999900.0,92500000.0,995400000.0,334099800.0,33700000.0,-25500000.0,31600000.0,308600000.0,-1940400000.0,2249000000.0,2249000000.0,45.3,0.6324,0.1355,0.1252,0.9123,0.0841,626599800.0,334099700.0,45.2613,45.8044,45.8044,2249000000.0,2249000000.0,0.2542,0.2047,COO
2020-10-31 00:00:00,2430899900.0,896100000.0,1534799900.0,93300000.0,992500000.0,311799800.0,36800000.0,-45300000.0,36800000.0,266500000.0,28100000.0,238400000.0,238400000.0,4.81,0.6314,0.1283,0.1096,0.0981,0.0725,599399800.0,311799700.0,4.8065,4.8553,4.8553,238400000.0,238400000.0,0.2466,0.2002,COO
2020-07-31 00:00:00,2440900000.0,875099900.0,1565800000.0,91000000.0,977900000.0,358400000.0,,-57100000.0,44700000.0,301300000.0,23100000.0,278200000.0,278200000.0,5.59,0.6415,0.1468,0.1234,0.114,0.0737,639000000.0,358400000.0,5.5887,5.6512,5.6512,278200000.0,278200000.0,0.2618,0.1918,COO
2020-04-30 00:00:00,2542100000.0,886399900.0,1655700000.0,90700000.0,994900000.0,428600000.0,,-66700000.0,55700000.0,361900000.0,18800000.0,343100000.0,343100000.0,6.87,0.6513,0.1686,0.1424,0.135,0.0919,709300000.0,428600000.0,6.8707,6.9533,6.9533,343100000.0,343100000.0,0.279,0.2172,COO
