Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,229187000000.0,201785000000.0,27402000000.0,19511000000.0,7891000000.0,158000000.0,147000000.0,87000000.0,7971000000.0,2029000000.0,5942000000.0,5873000000.0,13.21,0.1196,0.0344,0.0348,0.0256,0.0234,10102000000.0,7891000000.0,13.3582,13.3912,13.3912,5942000000.0,5942000000.0,0.0441,0.0234,COST
2022-05-31 00:00:00,207459000000.0,182179000000.0,25280000000.0,18193000000.0,7087000000.0,,154000000.0,55000000.0,7151000000.0,1742000000.0,5409000000.0,5329000000.0,11.99,0.1219,0.0342,0.0345,0.0257,0.0115,9071000000.0,7087000000.0,12.1599,12.1934,12.1934,5409000000.0,5409000000.0,0.0437,0.0295,COST
2022-04-30 00:00:00,217538000000.0,190557000000.0,26981000000.0,19375000000.0,7571000000.0,162000000.0,139000000.0,32000000.0,7615000000.0,1884000000.0,5731000000.0,5646000000.0,12.7,0.124,0.0348,0.035,0.026,0.036,9808000000.0,7571000000.0,12.8879,12.9235,12.9235,5731000000.0,5731000000.0,0.0451,0.036,COST
2022-02-28 00:00:00,210219000000.0,183617000000.0,26602000000.0,19124000000.0,7443000000.0,167000000.0,61000000.0,66000000.0,7438000000.0,1846000000.0,5592000000.0,5513000000.0,12.41,0.1265,0.0354,0.0354,0.0262,0.0287,9549000000.0,7443000000.0,12.5802,12.6143,12.6143,5592000000.0,5592000000.0,0.0454,0.0472,COST
2021-11-30 00:00:00,203592000000.0,177515000000.0,26077000000.0,18681000000.0,6971000000.0,171000000.0,108000000.0,68000000.0,7287000000.0,1782000000.0,5243000000.0,5434000000.0,12.24,0.1281,0.0342,0.0358,0.0267,0.0448,9425000000.0,6971000000.0,11.7978,11.83,11.83,5243000000.0,5505000000.0,0.0463,0.0632,COST
2021-08-31 00:00:00,197998000000.0,172641000000.0,25357000000.0,18314000000.0,6708000000.0,171000000.0,53000000.0,100000000.0,6910000000.0,1779000000.0,5079000000.0,5061000000.0,11.41,0.1281,0.0339,0.0349,0.0256,0.0306,8984000000.0,6708000000.0,11.4302,11.4627,11.4627,5079000000.0,5131000000.0,0.0454,0.0487,COST
2021-05-31 00:00:00,178531000000.0,155366000000.0,23165000000.0,17002000000.0,6362000000.0,,22000000.0,127000000.0,6039000000.0,1421000000.0,4789000000.0,4557000000.0,10.28,0.1298,0.0356,0.0338,0.0255,0.0336,7852000000.0,6362000000.0,10.7792,10.8114,10.8114,4789000000.0,4618000000.0,0.044,0.0524,COST
2021-04-30 00:00:00,186637000000.0,162352000000.0,24285000000.0,17885000000.0,,170000000.0,-25000000.0,138000000.0,6258000000.0,1469000000.0,,4726000000.0,10.67,0.1301,0.0,0.0335,0.0253,0.055,8221000000.0,,,,,,4789000000.0,0.044,0.055,COST
2021-02-28 00:00:00,178626000000.0,155186000000.0,23440000000.0,17583000000.0,5878000000.0,167000000.0,-107000000.0,167000000.0,5771000000.0,1363000000.0,4408000000.0,4344000000.0,9.82,0.1312,0.0329,0.0323,0.0243,0.0325,7585000000.0,5878000000.0,9.9225,9.9546,9.9546,4408000000.0,4408000000.0,0.0425,0.0494,COST
2020-11-30 00:00:00,172929000000.0,150164000000.0,22765000000.0,16975000000.0,5804000000.0,161000000.0,-75000000.0,161000000.0,5729000000.0,1345000000.0,4384000000.0,4324000000.0,9.77,0.1316,0.0336,0.0331,0.025,0.0371,7484000000.0,5804000000.0,9.8722,9.9058,9.9058,4384000000.0,4384000000.0,0.0433,0.0544,COST
2020-08-31 00:00:00,166761000000.0,144939000000.0,21822000000.0,16387000000.0,5435000000.0,,-68000000.0,160000000.0,5367000000.0,1308000000.0,4059000000.0,4002000000.0,9.05,0.1309,0.0326,0.0322,0.024,0.0363,7080000000.0,5435000000.0,9.1439,9.177,9.177,4059000000.0,4059000000.0,0.0425,0.0531,COST
2020-05-31 00:00:00,160876000000.0,139848000000.0,21028000000.0,15989000000.0,4969000000.0,,21000000.0,154000000.0,4990000000.0,1225000000.0,3765000000.0,3710000000.0,8.4,0.1307,0.0309,0.031,0.0231,0.0245,6582000000.0,4969000000.0,8.4844,8.5307,8.5307,3765000000.0,3765000000.0,0.0409,0.043,COST
2020-02-29 00:00:00,158350000000.0,137832000000.0,20518000000.0,15530000000.0,4912000000.0,,38000000.0,152000000.0,4950000000.0,1121000000.0,3829000000.0,3778000000.0,8.56,0.1296,0.031,0.0313,0.0239,0.0264,6479000000.0,4912000000.0,8.6343,8.687,8.687,3829000000.0,3829000000.0,0.0409,0.045,COST
2019-11-30 00:00:00,154674000000.0,134496000000.0,20178000000.0,15251000000.0,4849000000.0,,39000000.0,152000000.0,4888000000.0,1105000000.0,3783000000.0,3736000000.0,8.48,0.1305,0.0313,0.0316,0.0242,0.0213,6379000000.0,4849000000.0,8.537,8.591,8.591,3783000000.0,3783000000.0,0.0412,0.0406,COST
2019-08-31 00:00:00,152703000000.0,132886000000.0,19817000000.0,14994000000.0,4737000000.0,,28000000.0,150000000.0,4765000000.0,1061000000.0,3704000000.0,3659000000.0,8.32,0.1298,0.031,0.0312,0.024,0.022,6229000000.0,4737000000.0,8.3626,8.4229,8.4229,3704000000.0,3704000000.0,0.0408,0.0416,COST
