Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-10-31 00:00:00,3584161000.0,2008236000.0,1575925000.0,234295000.0,1356379400.0,,16951000.0,,1328231000.0,252616000.0,1075615000.0,1075615000.0,,0.4397,0.3784,0.3706,0.3001,0.21,,1356379200.0,2.2304,2.2631,2.2631,1075615000.0,1075615000.0,0.0,0.3277,CPRT
2022-07-31 00:00:00,3500921000.0,1914772000.0,1586149000.0,225901000.0,1374997300.0,16688000.0,16163000.0,16688000.0,1340954000.0,250824000.0,1090130000.0,1090130000.0,2.27,0.4531,0.3928,0.383,0.3114,0.2406,1512977000.0,1374997100.0,2.2602,2.2958,2.2958,1090130000.0,1090130000.0,0.4322,0.3358,CPRT
2022-04-30 00:00:00,3366163000.0,1802397000.0,1563766000.0,222008000.0,1351704100.0,19052000.0,3878000.0,19052000.0,1336530000.0,254161000.0,1082368900.0,1082369000.0,2.25,0.4646,0.4016,0.397,0.3215,0.2255,1483015000.0,1351704100.0,2.2461,2.2827,2.2827,1082368900.0,1082369000.0,0.4406,0.3243,CPRT
2022-01-31 00:00:00,3160132000.0,1646369000.0,1513763000.0,211716000.0,1307060100.0,19906000.0,-2040000.0,19906000.0,1290460000.0,199915000.0,1090544900.0,1090545000.0,2.275,0.479,0.4136,0.4084,0.3451,0.2253,1434035000.0,1307060100.0,2.2644,2.3027,2.3027,1090544900.0,1090545000.0,0.4538,0.3306,CPRT
2021-10-31 00:00:00,2909703000.0,1486771000.0,1422932000.0,204979000.0,1217953000.0,20322000.0,-6969000.0,20322000.0,1200857000.0,204284000.0,996572900.0,996573000.0,2.085,0.489,0.4186,0.4127,0.3425,0.2295,1343296000.0,1217953000.0,2.0711,2.1064,2.1064,996572900.0,996573000.0,0.4617,0.3592,CPRT
2021-07-31 00:00:00,2692511000.0,1352517000.0,1339994000.0,203568000.0,1136426000.0,20247000.0,-9560000.0,20247000.0,1121846000.0,185351000.0,936494900.0,936495000.0,1.97,0.4977,0.4221,0.4167,0.3478,0.1971,1259231000.0,1136426000.0,1.9487,1.982,1.982,936494900.0,936495000.0,0.4677,0.3682,CPRT
2021-04-30 00:00:00,2469540000.0,1233501000.0,1236039000.0,195398000.0,1040641100.0,20129000.0,-15956000.0,20030000.0,1024685000.0,178631000.0,846054000.0,846054000.0,1.79,0.5005,0.4214,0.4149,0.3426,0.2273,1161283100.0,1040641000.0,1.7633,1.7921,1.7921,846054000.0,846054000.0,0.4702,0.4167,CPRT
2021-01-31 00:00:00,2285990000.0,1188679000.0,1097311000.0,189680000.0,907631100.0,20586000.0,-14681000.0,20262000.0,892950000.0,186205000.0,706745000.0,706745000.0,1.5,0.48,0.397,0.3906,0.3092,0.21,1024689100.0,907631000.0,1.4754,1.5005,1.5005,706745000.0,706745000.0,0.4482,0.4173,CPRT
2020-10-31 00:00:00,2244099000.0,1194397000.0,1049702000.0,190400000.0,859302100.0,20651000.0,-13730000.0,19877000.0,845572000.0,163560000.0,682012000.0,682012000.0,1.455,0.4678,0.3829,0.3768,0.3039,0.16,969082100.0,859302000.0,1.4266,1.4534,1.4534,682012000.0,682012000.0,0.4318,0.4296,CPRT
2020-07-31 00:00:00,2205583000.0,1197781000.0,1007802000.0,191703000.0,816099100.0,,-15260000.0,18871000.0,800839000.0,100932000.0,699907000.0,699907000.0,1.5,0.4569,0.37,0.3631,0.3173,0.1489,920356100.0,816099000.0,1.4664,1.5006,1.5006,699907000.0,699907000.0,0.4173,0.4162,CPRT
