Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3781267000.0,2513028000.0,1268239000.0,609570000.0,659972200.0,95806000.0,27335000.0,746000.0,541708000.0,98379000.0,443329000.0,436394000.0,8.49,0.3354,0.1745,0.1433,0.1154,0.074,976343000.0,659972100.0,8.6294,,8.7547,,8.7547,443329000.0,,443329000.0,0.2582,0.1624,CRL
2022-06-30 00:00:00,3688047000.0,2449665000.0,1238382000.0,565397000.0,664798200.0,88570000.0,30511000.0,761000.0,541871000.0,90995000.0,450876000.0,443347000.0,8.62,0.3358,0.1803,0.1469,0.1202,0.0918,983078000.0,664798100.0,8.7656,,8.9213,,8.9213,450876000.0,,450876000.0,0.2666,0.1779,CRL
2022-03-31 00:00:00,3629523000.0,2367675000.0,1261848000.0,605187000.0,614937200.0,,59952000.0,16763000.0,525254000.0,95126000.0,430128000.0,422474000.0,8.25,0.3477,0.1694,0.1447,0.1164,0.1135,923537000.0,614937100.0,8.3593,,8.5316,,8.5316,430128000.0,,430128000.0,0.2545,0.191,CRL
2021-12-31 00:00:00,3540160000.0,2268286000.0,1271874000.0,610887000.0,589862100.0,108041000.0,-23701000.0,46355000.0,480710000.0,81873000.0,398837000.0,390982000.0,7.67,0.3593,0.1666,0.1358,0.1104,0.1503,875559900.0,589862000.0,7.7557,,7.9303,,7.9303,398837000.0,,398837000.0,0.2473,0.2149,CRL
2021-09-30 00:00:00,3426100100.0,2171558900.0,1254541100.0,609808000.0,545982100.0,104499000.0,-15686000.0,79193000.0,489495000.0,86295000.0,403200000.0,396595000.0,7.88,0.3662,0.1594,0.1429,0.1158,0.1319,814088100.0,545982100.0,7.8729,,8.0613,,8.0613,403200000.0,,403200000.0,0.2376,0.1955,CRL
2021-06-30 00:00:00,3273463100.0,2033921900.0,1239541100.0,598556000.0,522933100.0,101863000.0,-21432000.0,97923000.0,501501000.0,100849000.0,400652000.0,396078000.0,7.94,0.3787,0.1597,0.1532,0.121,0.1479,773002100.0,522933100.0,7.8571,,8.0403,,8.0403,400652000.0,,400652000.0,0.2361,0.2054,CRL
2021-03-31 00:00:00,3041440100.0,1911681900.0,1129758100.0,554767000.0,462151100.0,99670000.0,-4194000.0,101085000.0,457957000.0,79553000.0,378404000.0,375065000.0,7.54,0.3715,0.152,0.1506,0.1233,0.1576,701323100.0,462151100.0,7.4522,,7.6182,,7.6182,378404000.0,,378404000.0,0.2306,0.2131,CRL
2020-12-31 00:00:00,2923933100.0,1850391900.0,1073541100.0,528935000.0,432729200.0,77108000.0,14385000.0,86433000.0,447114000.0,81808000.0,365306000.0,364304000.0,7.34,0.3672,0.148,0.1529,0.1246,0.13,667653200.0,432729200.0,7.2178,,7.3725,,7.3725,365306000.0,,365306000.0,0.2283,0.1869,CRL
2020-09-30 00:00:00,2824081200.0,1788194100.0,1035887100.0,515500000.0,412591200.0,80765000.0,-32339000.0,77648000.0,380252000.0,78624000.0,301628000.0,301461000.0,6.1,0.3668,0.1461,0.1346,0.1067,0.158,638472200.0,412591100.0,6.003,,6.1129,,6.1129,301628000.0,,301628000.0,0.2261,0.2085,CRL
2020-06-30 00:00:00,2748732200.0,1756003100.0,992729100.0,516720000.0,372640200.0,,-54429000.0,64479000.0,318211000.0,45642000.0,272569000.0,271362000.0,5.52,0.3612,0.1356,0.1158,0.0987,0.1513,590699200.0,372640100.0,5.4587,,5.5551,,5.5551,272569000.0,,272569000.0,0.2149,0.2064,CRL
2020-03-31 00:00:00,2723716200.0,1725121100.0,998595100.0,524949000.0,375640200.0,,-82387000.0,65962000.0,293253000.0,44043000.0,249210000.0,247655000.0,5.06,0.3666,0.1379,0.1077,0.0909,0.1414,585637200.0,375640100.0,5.0042,,5.098,,5.098,249210000.0,,249210000.0,0.215,0.1963,CRL
2019-12-31 00:00:00,2621226200.0,1662915100.0,958311100.0,517622000.0,351151200.0,,-47067000.0,60882000.0,304084000.0,50023000.0,254061000.0,252019000.0,5.17,0.3656,0.134,0.116,0.0961,0.1299,549246200.0,351151100.0,5.1127,,5.2137,,5.2137,254061000.0,,254061000.0,0.2095,0.1835,CRL
2019-09-30 00:00:00,2531618000.0,1609203900.0,922414100.0,494942000.0,344844100.0,,-71277000.0,53261000.0,273567000.0,39820000.0,233747000.0,231336000.0,4.77,0.3644,0.1362,0.1081,0.0914,0.1165,532687200.0,344844100.0,4.7276,,4.8316,,4.8244,233747000.0,,233747000.0,0.2104,0.1739,CRL
2019-06-30 00:00:00,2448962000.0,1556463900.0,892498100.0,478466000.0,336404100.0,,-62767000.0,64760000.0,273637000.0,52540000.0,221097000.0,218894000.0,4.53,0.3644,0.1374,0.1117,0.0894,0.1098,516081200.0,336404100.0,4.4681,,4.5856,,4.5677,221097000.0,,221097000.0,0.2107,0.164,CRL
2019-03-31 00:00:00,2376695000.0,1506319900.0,870375100.0,463056000.0,333346100.0,,-48415000.0,62568000.0,284931000.0,55293000.0,229638000.0,228875000.0,4.74,0.3662,0.1403,0.1199,0.0963,0.1123,507273200.0,333346100.0,4.6359,0.0309,4.8053,0.0309,4.7392,229638000.0,,231167000.0,0.2134,0.1666,CRL
2018-12-31 00:00:00,2266096000.0,1426028900.0,840067100.0,443854000.0,331383100.0,,-49702000.0,63772000.0,281681000.0,54463000.0,227218000.0,226373000.0,4.7,0.3707,0.1462,0.1243,0.0999,0.1329,493162200.0,331383100.0,4.59,,4.7704,,4.69,227218000.0,1483000.0,228724000.0,0.2176,0.1947,CRL
2018-09-30 00:00:00,2143042900.0,1361999000.0,781043900.0,431045000.0,291728900.0,,-16043000.0,54755000.0,275686000.0,137710000.0,137976000.0,136859000.0,2.83,0.3645,0.1361,0.1286,0.0639,0.1519,445410900.0,291729000.0,2.72,,2.8943,,2.8,137976000.0,,139459000.0,0.2078,0.1985,CRL
2018-06-30 00:00:00,2021979900.0,1280289000.0,741690900.0,410440000.0,281428900.0,,-6109000.0,45225000.0,275320000.0,145252000.0,130068000.0,128965000.0,2.69,0.3668,0.1392,0.1362,0.0638,0.1326,424983900.0,281429000.0,2.59,0.0301,2.7496,0.0301,2.66,130068000.0,1444000.0,131512000.0,0.2102,0.1818,CRL
2018-03-31 00:00:00,1905807900.0,1194773000.0,711034900.0,383729000.0,286404900.0,,-4457000.0,33985000.0,281948000.0,150057000.0,131891000.0,129208000.0,2.71,0.3731,0.1503,0.1479,0.0678,0.1311,418362900.0,286405000.0,2.65,0.0001,2.7687,0.0001,2.72,131891000.0,-156000.0,131735000.0,0.2195,0.1806,CRL
2017-12-31 00:00:00,1857600900.0,1156683000.0,700917900.0,371266000.0,288281900.0,,8673000.0,29777000.0,296955000.0,171369000.0,125586000.0,123355000.0,2.59,0.3773,0.1552,0.1599,0.0664,0.1269,419440900.0,288282000.0,2.54,0.0,2.6421,0.0,2.6,125586000.0,-137000.0,125449000.0,0.2258,0.1712,CRL
2017-09-30 00:00:00,1845913000.0,1135215000.0,710698000.0,372798000.0,294678100.0,,-3051000.0,29563000.0,291627000.0,91722000.0,199905000.0,197884000.0,4.17,0.385,0.1596,0.158,0.1072,0.1262,427895100.0,294678000.0,4.11,-0.0006,4.2099,-0.0006,4.17,199905000.0,-162000.0,199743000.0,0.2318,0.1693,CRL
2017-06-30 00:00:00,1807401000.0,1117280000.0,690121000.0,366020000.0,279411100.0,,-7467000.0,28975000.0,271944000.0,87342000.0,184602000.0,183145000.0,3.86,0.3818,0.1546,0.1505,0.1013,0.1428,413271100.0,279411000.0,3.8,0.0102,3.9004,0.0102,3.85,184602000.0,219000.0,184821000.0,0.2287,0.18,CRL
2017-03-31 00:00:00,1772327000.0,1097784000.0,674543000.0,372673000.0,255786100.0,,-6368000.0,30481000.0,249418000.0,83944000.0,165474000.0,164400000.0,3.48,0.3806,0.1443,0.1407,0.0928,0.1366,390200100.0,255786000.0,3.41,0.0105,3.5087,0.0105,3.46,165474000.0,302000.0,165776000.0,0.2202,0.1721,CRL
2016-12-31 00:00:00,1681432000.0,1037473000.0,643959000.0,364708000.0,237552100.0,,-14631000.0,27709000.0,222921000.0,66835000.0,156086000.0,154765000.0,3.3,0.383,0.1413,0.1326,0.092,0.1556,364210100.0,237552000.0,3.22,0.0101,3.326,0.01,3.28,156086000.0,280000.0,156366000.0,0.2166,0.1885,CRL
2016-09-30 00:00:00,1568493000.0,961134000.0,607359000.0,350528000.0,220597000.0,,-11409000.0,24020000.0,209188000.0,65114000.0,144074000.0,141969000.0,3.04,0.3872,0.1406,0.1334,0.0905,0.1666,335294000.0,220597000.0,2.97,0.0098,3.0675,0.0097,3.05,144074000.0,-574000.0,143500000.0,0.2138,0.2035,CRL
2016-06-30 00:00:00,1492238000.0,903074000.0,589164000.0,341103000.0,217242000.0,,-8154000.0,20792000.0,209088000.0,64804000.0,144284000.0,141613000.0,3.05,0.3948,0.1456,0.1401,0.0949,0.1853,322043000.0,217242000.0,2.98,-0.0002,3.079,-0.0003,3.07,144284000.0,-950000.0,143334000.0,0.2158,0.2246,CRL
2016-03-31 00:00:00,1397756000.0,845556000.0,552200000.0,311961000.0,214916000.0,,110000.0,16259000.0,215026000.0,57035000.0,157991000.0,154915000.0,3.34,0.3951,0.1538,0.1538,0.1108,0.2007,311661000.0,214916000.0,3.27,-0.0005,3.3785,-0.0006,3.36,157991000.0,-969000.0,157022000.0,0.223,0.2443,CRL
2015-12-31 00:00:00,1363302000.0,832210000.0,531092000.0,300414000.0,206449000.0,,-11021000.0,15072000.0,195428000.0,43391000.0,152037000.0,149313000.0,3.21,0.3896,0.1514,0.1433,0.1095,0.1787,301330000.0,206449000.0,3.15,,3.2494,,3.23,152037000.0,-950000.0,151087000.0,0.221,0.2251,CRL
2015-09-30 00:00:00,1339000000.0,828537000.0,510463000.0,290987000.0,194947100.0,,-9325000.0,14030000.0,185622000.0,38312000.0,147310000.0,144595000.0,3.1,0.3812,0.1456,0.1386,0.108,0.1671,292684100.0,194947000.0,3.07,-0.02,3.1453,-0.02,3.13,147310000.0,-912000.0,146398000.0,0.2186,0.2134,CRL
2015-06-30 00:00:00,1317102000.0,826446000.0,490656000.0,279238000.0,185679100.0,,-9331000.0,13176000.0,176348000.0,34639000.0,141709000.0,139252000.0,2.99,0.3725,0.141,0.1339,0.1057,0.1544,285717100.0,185679000.0,2.96,-0.02,3.0304,-0.02,3.02,141709000.0,-826000.0,140883000.0,0.2169,0.2007,CRL
2015-03-31 00:00:00,1318708000.0,835201000.0,483507000.0,275663000.0,180969100.0,,-14408000.0,12173000.0,166561000.0,37644000.0,128917000.0,126007000.0,2.7,0.3667,0.1372,0.1263,0.0956,0.1354,281445100.0,180969000.0,2.69,-0.03,2.7383,-0.03,2.74,128917000.0,-1463000.0,127454000.0,0.2134,0.1781,CRL
2014-12-31 00:00:00,1297662000.0,825002000.0,472660000.0,269033000.0,177670100.0,,-75000.0,11950000.0,177595000.0,47671000.0,129924000.0,126698000.0,2.71,0.3642,0.1369,0.1369,0.0976,0.1504,275840100.0,177670000.0,2.7,-0.04,2.7495,-0.04,2.76,129924000.0,-1726000.0,128198000.0,0.2126,0.1943,CRL
2014-09-30 00:00:00,1257341900.0,816432000.0,440909900.0,255673000.0,161509900.0,,-995000.0,11997000.0,160515000.0,39601000.0,120914000.0,118631000.0,2.54,0.3507,0.1285,0.1277,0.0944,0.136,262979900.0,161509900.0,2.5,-0.0277,2.5684,-0.0276,2.56,120914000.0,-944000.0,119970000.0,0.2092,0.1708,CRL
2014-06-30 00:00:00,1221903900.0,799336000.0,422567900.0,246100000.0,156180900.0,,3178000.0,11319000.0,159359000.0,39409000.0,119950000.0,117462000.0,2.48,0.3458,0.1278,0.1304,0.0961,0.1408,258482900.0,156180900.0,2.46,-0.03,2.517,-0.03,2.51,119950000.0,-1109000.0,118841000.0,0.2115,0.1764,CRL
2014-03-31 00:00:00,1173657900.0,774154000.0,399503900.0,233263000.0,148343900.0,,-2679000.0,15490000.0,145665000.0,33547000.0,112118000.0,109482000.0,2.3,0.3404,0.1264,0.1241,0.0933,0.1394,250458900.0,148343900.0,2.29,-0.04,2.328,-0.04,2.33,112118000.0,-1380000.0,110738000.0,0.2134,0.1768,CRL
2013-12-31 00:00:00,1165527900.0,770626000.0,394901900.0,225695000.0,151400900.0,,-13074000.0,20969000.0,138327000.0,32911000.0,105416000.0,102828000.0,2.16,0.3388,0.1299,0.1187,0.0882,0.1458,257597900.0,151400900.0,2.15,-0.03,2.1816,-0.03,2.18,105416000.0,-1265000.0,104151000.0,0.221,0.1794,CRL
