Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,29320000000.0,8030000000.0,21290000000.0,5141000000.0,16074000000.0,75000000.0,297000000.0,179000000.0,,254000000.0,-282000000.0,536000000.0,536000000.0,0.55,0.7261,0.0026,0.0087,0.0183,0.2201,5284000000.0,75000000.0,0.5163,0.5259,0.5259,536000000.0,536000000.0,0.1802,0.2445,CRM
2022-04-30 00:00:00,27940000000.0,7516000000.0,20424000000.0,4832000000.0,15378000000.0,214000000.0,261000000.0,685000000.0,,899000000.0,-104000000.0,1003000000.0,1003000000.0,1.05,0.731,0.0077,0.0322,0.0359,0.233,5161000000.0,214000000.0,1.0116,1.0311,1.0311,1003000000.0,1003000000.0,0.1847,0.2589,CRM
2022-01-31 00:00:00,26492000000.0,7026000000.0,19466000000.0,4465000000.0,14453000000.0,548000000.0,220000000.0,984000000.0,,1532000000.0,88000000.0,1444000000.0,1444000000.0,1.53,0.7348,0.0207,0.0578,0.0545,0.2215,5194000000.0,548000000.0,1.4825,1.512,1.512,1444000000.0,1444000000.0,0.1961,0.2486,CRM
2021-10-31 00:00:00,24983000000.0,6491000000.0,18492000000.0,4113000000.0,13462000000.0,917000000.0,196000000.0,1237000000.0,,2154000000.0,415000000.0,1739000000.0,1739000000.0,1.85,0.7402,0.0367,0.0862,0.0696,0.2355,5435000000.0,917000000.0,1.8014,1.8439,1.8439,1739000000.0,1739000000.0,0.2175,0.2635,CRM
2021-07-31 00:00:00,23539000000.0,6041000000.0,17498000000.0,3812000000.0,12583000000.0,1103000000.0,149000000.0,2002000000.0,,3105000000.0,753000000.0,2352000000.0,2352000000.0,2.56,0.7434,0.0469,0.1319,0.0999,0.2409,5255000000.0,1103000000.0,2.4851,2.5529,2.5529,2352000000.0,2352000000.0,0.2232,0.2688,CRM
2021-04-30 00:00:00,22350000000.0,5739000000.0,16611000000.0,3690000000.0,11972000000.0,949000000.0,134000000.0,2169000000.0,,3118000000.0,-1324000000.0,4442000000.0,4442000000.0,4.89,0.7432,0.0425,0.1395,0.1987,0.2511,4947000000.0,949000000.0,4.769,4.8833,4.8833,4442000000.0,4442000000.0,0.2213,0.2761,CRM
2021-01-31 00:00:00,21252000000.0,5438000000.0,15814000000.0,3598000000.0,11761000000.0,455000000.0,126000000.0,2106000000.0,,2561000000.0,-1511000000.0,4072000000.0,4072000000.0,4.49,0.7441,0.0214,0.1205,0.1916,0.1925,4359000000.0,455000000.0,4.3785,4.4846,4.4846,4072000000.0,4072000000.0,0.2051,0.2259,CRM
2020-10-31 00:00:00,20286000000.0,5179000000.0,15107000000.0,3490000000.0,11391000000.0,226000000.0,105000000.0,1906000000.0,91000000.0,2132000000.0,-1425000000.0,3557000000.0,3557000000.0,3.92,0.7447,0.0111,0.1051,0.1753,0.1756,3833000000.0,226000000.0,3.7701,3.8512,3.8512,3557000000.0,3557000000.0,0.1889,0.2099,CRM
2020-07-31 00:00:00,19380000000.0,4919000000.0,14461000000.0,3362000000.0,11032000000.0,67000000.0,,879000000.0,188000000.0,946000000.0,-1421000000.0,2367000000.0,2367000000.0,2.61,0.7462,0.0035,0.0488,0.1221,0.1793,3562000000.0,67000000.0,2.4949,2.5406,2.5406,2367000000.0,2367000000.0,0.1838,0.2176,CRM
2020-04-30 00:00:00,18226000000.0,4575000000.0,13651000000.0,3071000000.0,10467000000.0,-53000000.0,,324000000.0,210000000.0,271000000.0,438000000.0,-167000000.0,-167000000.0,-0.17,0.749,-0.0029,0.0149,-0.0092,0.1875,3217000000.0,-53000000.0,-0.2377,-0.2459,-0.2459,-167000000.0,-167000000.0,0.1765,0.2318,CRM
2020-01-31 00:00:00,17098000000.0,4235000000.0,12863000000.0,2766000000.0,9634000000.0,297000000.0,,409000000.0,204000000.0,706000000.0,580000000.0,126000000.0,126000000.0,0.23,0.7523,0.0174,0.0413,0.0074,0.2157,3308000000.0,297000000.0,0.1482,0.152,0.152,126000000.0,126000000.0,0.1935,0.2533,CRM
2019-10-31 00:00:00,15850000000.0,3961000000.0,11889000000.0,2453000000.0,8800000000.0,470000000.0,,479000000.0,,949000000.0,213000000.0,736000000.0,736000000.0,0.98,0.7501,0.0297,0.0599,0.0464,0.2117,3070000000.0,470000000.0,0.9408,0.9694,0.9694,736000000.0,736000000.0,0.1937,0.2543,CRM
2019-07-31 00:00:00,14729000000.0,3716000000.0,11013000000.0,2160000000.0,8190000000.0,497000000.0,,516000000.0,,1013000000.0,63000000.0,950000000.0,950000000.0,1.24,0.7477,0.0337,0.0688,0.0645,0.2196,2715000000.0,497000000.0,1.1986,1.2316,1.2316,950000000.0,950000000.0,0.1843,0.2631,CRM
2019-04-30 00:00:00,14013000000.0,3598000000.0,10415000000.0,2016000000.0,7845000000.0,554000000.0,,526000000.0,,1080000000.0,-78000000.0,1158000000.0,1158000000.0,1.52,0.7432,0.0395,0.0771,0.0826,0.233,2534000000.0,554000000.0,1.4704,1.5146,1.5146,1158000000.0,1158000000.0,0.1808,0.2781,CRM
2019-01-31 00:00:00,13282000000.0,3451000000.0,9831000000.0,1886000000.0,7410000000.0,535000000.0,,448000000.0,197000000.0,983000000.0,-127000000.0,1110000000.0,1110000000.0,1.48,0.7402,0.0403,0.074,0.0836,0.211,2254000000.0,535000000.0,1.4323,1.4781,1.4781,1110000000.0,1110000000.0,0.1697,0.2558,CRM
2018-10-31 00:00:00,12544000000.0,3243000000.0,9301000000.0,1764000000.0,6928000000.0,609000000.0,,356000000.0,105000000.0,965000000.0,11000000.0,954000000.0,954000000.0,1.1,0.7415,0.0485,0.0769,0.0761,0.2035,2214000000.0,609000000.0,1.2566,1.2986,1.2986,954000000.0,954000000.0,0.1765,0.2486,CRM
