Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,8123963000.0,4366361000.0,3757602200.0,2124212900.0,1633389300.0,95000000.0,-94369000.0,94710000.0,1539020000.0,282753000.0,1256266900.0,1256511900.0,12.19,0.4625,0.2011,0.1894,0.1547,0.1615,2035187200.0,1633389300.0,11.9273,,12.2389,,12.1812,1256266900.0,,1256267000.0,0.2505,0.1937,CTAS
2022-05-31 00:00:00,7854459000.0,4222213000.0,3632246100.0,2044875900.0,1587370200.0,89000000.0,-88602000.0,88844000.0,1498768000.0,263011000.0,1235756900.0,1235756900.0,11.93,0.4624,0.2021,0.1908,0.1573,0.1671,1987071100.0,1587370200.0,11.65,,11.9776,,11.9199,1235756900.0,,1235757000.0,0.253,0.1958,CTAS
2022-02-28 00:00:00,7615434000.0,4070332900.0,3545101000.0,2005721100.0,1539379600.0,91000000.0,-90071000.0,90337000.0,1449309000.0,240291000.0,1209018000.0,1208086000.0,11.59,0.4655,0.2021,0.1903,0.1586,0.164,1934832500.0,1539379700.0,11.2977,,11.6444,,11.571,1209018000.0,,1209018000.0,0.2541,0.1895,CTAS
2021-11-30 00:00:00,7431948000.0,3975484900.0,3456463000.0,1998220100.0,1458242600.0,94000000.0,-92562000.0,92859000.0,1365681000.0,213727000.0,1151954000.0,1150709000.0,10.99,0.4651,0.1962,0.1838,0.1548,0.164,1850178500.0,1458242700.0,10.7042,,11.0479,,10.9745,1151954000.0,,1151954000.0,0.2489,0.1859,CTAS
2021-08-31 00:00:00,7266715000.0,3875508900.0,3391206000.0,1961319100.0,1429886500.0,97000000.0,-95055000.0,95514000.0,1334832000.0,192690000.0,1142142000.0,1140377000.0,10.85,0.4667,0.1968,0.1837,0.1569,0.1646,1819607400.0,1429886600.0,10.5655,,10.9179,,10.8445,1142142000.0,,1142142000.0,0.2504,0.1804,CTAS
2021-05-31 00:00:00,7116340000.0,3801688900.0,3314651100.0,1929159100.0,1385491600.0,100000000.0,-97743000.0,98210000.0,1287749000.0,176781000.0,1110968000.0,1110968000.0,10.52,0.4658,0.1947,0.181,0.1561,0.1755,1773442500.0,1385491700.0,10.2399,,10.5934,,10.52,1110968000.0,,1110968000.0,0.2492,0.1912,CTAS
2021-02-28 00:00:00,6900263000.0,3736842100.0,3163421100.0,1926941000.0,1236480400.0,101000000.0,-99046000.0,99611000.0,1137434000.0,149603000.0,987831000.0,990233000.0,9.37,0.4584,0.1792,0.1648,0.1435,0.1671,1622861400.0,1236480200.0,9.1687,0.0,9.445,0.0,9.4069,987831000.0,-375000.0,987508000.0,0.2352,0.1829,CTAS
2020-11-30 00:00:00,6933855000.0,3755555100.0,3178300000.0,1953636000.0,1224664400.0,102000000.0,-100177000.0,101002000.0,1124487000.0,160520000.0,963967000.0,966070000.0,9.16,0.4584,0.1766,0.1622,0.1393,0.1651,1610041400.0,1224664200.0,8.9362,0.0,9.2401,0.0,9.1823,963967000.0,,963644000.0,0.2322,0.1865,CTAS
2020-08-31 00:00:00,7020556000.0,3809749100.0,3210807000.0,2004551000.0,1206256500.0,,-101732000.0,102622000.0,1104524000.0,178971000.0,925553000.0,927246000.0,8.82,0.4573,0.1718,0.1573,0.1321,0.1629,1589494500.0,1206256300.0,8.5682,,8.8977,,8.8193,925553000.0,,925230000.0,0.2264,0.189,CTAS
2020-05-31 00:00:00,7085120000.0,3851372100.0,3233748000.0,2071052000.0,1162696500.0,,-104405000.0,105393000.0,1058291000.0,181931000.0,876360000.0,876037000.0,8.36,0.4564,0.1641,0.1494,0.1236,0.1517,1541749500.0,1162696300.0,8.11,0.0,8.4384,0.0,8.36,876360000.0,,876037000.0,0.2176,0.1823,CTAS
2020-02-29 00:00:00,7259266000.0,3909773000.0,3349493100.0,2078906000.0,1269672700.0,,-104160000.0,105223000.0,1165513100.0,207567000.0,957946100.0,951260000.0,9.11,0.4614,0.1749,0.1606,0.131,0.1501,1645929800.0,1269672900.0,8.8422,0.02,9.1786,0.02,9.1323,957946000.0,2036000.0,957894000.0,0.2267,0.1834,CTAS
