Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,17246000000.0,11305000000.0,5941000000.0,622000000.0,1784000000.0,2653000000.0,505000000.0,-414000000.0,505000000.0,2239000000.0,519000000.0,1720000000.0,1846000000.0,3.64,0.3445,0.1538,0.1298,0.107,0.0852,3911000000.0,2653000000.0,3.2,1.39,4.7034,1.4,3.2,1720000000.0,185000000.0,1905000000.0,0.2268,0.0774,DD
2022-06-30 00:00:00,17128000000.0,11242000000.0,5886000000.0,630000000.0,1839000000.0,2475000000.0,492000000.0,-395000000.0,492000000.0,2080000000.0,460000000.0,1620000000.0,1870000000.0,3.66,0.3436,0.1445,0.1214,0.1092,0.1112,3832000000.0,2475000000.0,2.99,1.61,4.7252,1.62,2.99,1620000000.0,313000000.0,1933000000.0,0.2237,0.1026,DD
2022-03-31 00:00:00,16910000000.0,11052000000.0,5858000000.0,622000000.0,1849000000.0,2492000000.0,499000000.0,-402000000.0,499000000.0,2090000000.0,440000000.0,1650000000.0,1561000000.0,3.0,0.3464,0.1474,0.1236,0.0923,0.1212,3901000000.0,2492000000.0,3.01,0.93,4.0718,0.94,3.02,1650000000.0,-25000000.0,1625000000.0,0.2307,0.1249,DD
2021-12-31 00:00:00,16653000000.0,10803000000.0,5850000000.0,618000000.0,1855000000.0,2627000000.0,525000000.0,-431000000.0,525000000.0,2196000000.0,392000000.0,1804000000.0,6467000000.0,10.97,0.3513,0.1577,0.1319,0.3883,0.1313,4085000000.0,2627000000.0,3.23,8.66,12.0049,8.68,3.24,1804000000.0,4711000000.0,6515000000.0,0.2453,0.137,DD
2021-09-30 00:00:00,13070000000.0,8326000000.0,4744000000.0,568000000.0,1603000000.0,3490000000.0,584000000.0,-463000000.0,545000000.0,1595000000.0,108000000.0,1487000000.0,6485000000.0,10.87,0.363,0.267,0.122,0.4962,0.1754,5364000000.0,3490000000.0,2.44,8.4,10.9345,8.43,2.45,1487000000.0,5032000000.0,6519000000.0,0.4104,0.2265,DD
2021-06-30 00:00:00,13500000000.0,8711000000.0,4789000000.0,571000000.0,1595000000.0,3036000000.0,666000000.0,-506000000.0,595000000.0,1464000000.0,150000000.0,1314000000.0,6015000000.0,10.01,0.3547,0.2249,0.1084,0.4456,0.2368,5491000000.0,3036000000.0,2.07,7.92,10.0618,7.94,2.08,1314000000.0,4729000000.0,6043000000.0,0.4067,0.2513,DD
2021-03-31 00:00:00,13685000000.0,9050000000.0,4635000000.0,591000000.0,1614000000.0,137000000.0,730000000.0,-476000000.0,647000000.0,-1405000000.0,65000000.0,-1470000000.0,3059000000.0,5.74,0.3387,0.01,-0.1027,0.2235,0.2474,5531000000.0,137000000.0,-1.92,7.64,5.7771,7.66,-1.92,-1470000000.0,4555000000.0,3085000000.0,0.4042,0.2744,DD
2020-12-31 00:00:00,14338000000.0,9508000000.0,4830000000.0,625000000.0,1701000000.0,-1761000000.0,767000000.0,-485000000.0,672000000.0,-2246000000.0,160000000.0,-2406000000.0,-2951000000.0,-4.01,0.3369,-0.1228,-0.1566,-0.2058,0.2744,4547000000.0,-1761000000.0,-3.31,-0.7,-3.9741,-0.7,-3.31,-2406000000.0,-517000000.0,-2923000000.0,0.3171,0.2856,DD
2020-09-30 00:00:00,9716000000.0,6412000000.0,3304000000.0,431000000.0,1985000000.0,-606000000.0,748000000.0,-568000000.0,691000000.0,-2092000000.0,80000000.0,-2172000000.0,-2997000000.0,-4.07,0.3401,-0.0624,-0.2153,-0.3085,0.3234,5214000000.0,-606000000.0,-3.01,-1.06,-4.0364,-1.07,-3.01,-2172000000.0,-793000000.0,-2965000000.0,0.5366,0.3471,DD
2020-06-30 00:00:00,11513000000.0,7526000000.0,3987000000.0,516000000.0,2227000000.0,0.0,,-566000000.0,703000000.0,-1850000000.0,36000000.0,-1886000000.0,-2546000000.0,-3.46,0.3463,0.0,-0.1607,-0.2211,0.1923,5356000000.0,0.0,-2.63,-0.84,-3.4327,-0.84,-2.63,-1886000000.0,-630000000.0,-2516000000.0,0.4652,0.2588,DD
2020-03-31 00:00:00,13692000000.0,8724000000.0,4968000000.0,595000000.0,2455000000.0,-880000000.0,,-603000000.0,687000000.0,-417000000.0,183000000.0,-600000000.0,-639000000.0,-0.85,0.3628,-0.0643,-0.0305,-0.0467,0.0667,3070000000.0,-880000000.0,-0.85,-0.01,-0.7846,-0.01,-0.85,-600000000.0,18000000.0,-582000000.0,0.2242,0.1534,DD
