Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,48246000000.0,33957000000.0,14289000000.0,1786000000.0,3607000000.0,7854000000.0,770000000.0,767000000.0,7855000000.0,1695000000.0,6160000000.0,10000000.0,6168000000.0,20.01,0.2962,0.1819,0.1628,0.1278,0.1029,10511000000.0,8776000000.0,20.0208,20.1441,20.1441,6170000000.0,6170000000.0,0.2179,0.0794,DE
2022-04-30 00:00:00,45676000000.0,32236000000.0,13440000000.0,1699000000.0,3489000000.0,7465000000.0,728000000.0,853000000.0,7466000000.0,1532000000.0,5934000000.0,18000000.0,5951000000.0,19.17,0.2942,0.1825,0.1635,0.1303,0.1187,10141000000.0,8335000000.0,19.1737,19.3056,19.3056,5952000000.0,5952000000.0,0.222,0.0915,DE
2022-01-31 00:00:00,44395000000.0,31326000000.0,13069000000.0,1623000000.0,3395000000.0,7225000000.0,809000000.0,372000000.0,7226000000.0,1601000000.0,5625000000.0,20000000.0,5643000000.0,18.08,0.2944,0.1842,0.1628,0.1271,0.1409,10002000000.0,8176000000.0,18.0464,18.1796,18.1796,5645000000.0,5645000000.0,0.2253,0.1133,DE
2021-10-31 00:00:00,43951000000.0,29979000000.0,13972000000.0,1587000000.0,3383000000.0,7602000000.0,995000000.0,371000000.0,7603000000.0,1659000000.0,5944000000.0,21000000.0,5964000000.0,19.06,0.3179,0.1956,0.173,0.1357,0.2041,10632000000.0,8595000000.0,18.9968,19.1431,19.1431,5965000000.0,5965000000.0,0.2419,0.1758,DE
2021-07-31 00:00:00,42430000000.0,28043000000.0,14387000000.0,1580000000.0,3458000000.0,7106000000.0,1203000000.0,217000000.0,7106000000.0,1659000000.0,5447000000.0,-8000000.0,5438000000.0,17.35,0.3391,0.1925,0.1675,0.1282,0.2122,10255000000.0,8168000000.0,17.2583,17.3986,17.3986,5439000000.0,5439000000.0,0.2417,0.1824,DE
2021-04-30 00:00:00,39826000000.0,26039000000.0,13787000000.0,1556000000.0,3369000000.0,6226000000.0,1108000000.0,335000000.0,6226000000.0,1625000000.0,4601000000.0,-18000000.0,4582000000.0,14.62,0.3462,0.1842,0.1563,0.1151,0.2433,9439000000.0,7334000000.0,14.5073,14.6296,14.6296,4583000000.0,4583000000.0,0.237,0.2133,DE
2021-01-31 00:00:00,37021000000.0,24405000000.0,12616000000.0,1585000000.0,3437000000.0,4842000000.0,1182000000.0,-600000000.0,4842000000.0,1340000000.0,3502000000.0,-43000000.0,3458000000.0,11.03,0.3408,0.1627,0.1308,0.0934,0.2498,8142000000.0,6024000000.0,10.9347,11.0335,11.0335,3459000000.0,3459000000.0,0.2199,0.2197,DE
2020-10-31 00:00:00,35540000000.0,23677000000.0,11863000000.0,1644000000.0,3477000000.0,3883000000.0,1247000000.0,-692000000.0,3883000000.0,1082000000.0,2801000000.0,-48000000.0,2751000000.0,8.78,0.3338,0.1443,0.1093,0.0774,0.2376,7248000000.0,5130000000.0,8.6955,8.7815,8.7815,2753000000.0,2753000000.0,0.2039,0.2106,DE
2020-07-31 00:00:00,35705000000.0,23941000000.0,11764000000.0,1689000000.0,3411000000.0,3592000000.0,1356000000.0,,3592000000.0,856000000.0,2736000000.0,-19000000.0,2715000000.0,8.67,0.3295,0.1386,0.1006,0.076,0.2211,7059000000.0,4948000000.0,8.5802,8.6713,8.6713,2717000000.0,2717000000.0,0.1977,0.1979,DE
2020-04-30 00:00:00,36816000000.0,24976000000.0,11840000000.0,1750000000.0,3555000000.0,3435000000.0,1440000000.0,,3435000000.0,620000000.0,2815000000.0,-10000000.0,2803000000.0,8.92,0.3216,0.1324,0.0933,0.0761,0.1721,6945000000.0,4875000000.0,8.8232,8.926,8.926,2805000000.0,2805000000.0,0.1886,0.1544,DE
