Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,13074000000.0,1335000000.0,12541000000.0,6792000000.0,5749000000.0,5749000000.0,1323000000.0,4426000000.0,4339000000.0,15.26,0.9592,0.0,0.4397,0.3319,0.4651,15.7393,15.7528,15.7528,4426000000.0,4401000000.0,0.0,0.4824,DFS
2022-06-30 00:00:00,12502000000.0,1090000000.0,11839000000.0,6006000000.0,5833000000.0,5833000000.0,1322000000.0,4511000000.0,4427000000.0,15.27,0.947,0.0,0.4666,0.3541,0.489,15.7289,15.7289,15.7289,4511000000.0,4488000000.0,0.0,0.5046,DFS
2022-03-31 00:00:00,12978000000.0,1075000000.0,12194000000.0,5591000000.0,6603000000.0,6603000000.0,1505000000.0,5098000000.0,5010000000.0,16.87,0.9396,0.0,0.5088,0.386,0.4655,17.3323,17.3323,17.3323,5098000000.0,5081000000.0,0.0,0.4812,DFS
2021-12-31 00:00:00,12999000000.0,1134000000.0,12087000000.0,5023000000.0,7064000000.0,7064000000.0,1615000000.0,5449000000.0,5351000000.0,17.68,0.9298,0.0,0.5434,0.4116,0.4481,18.1633,18.1633,18.1633,5449000000.0,5438000000.0,0.0,0.463,DFS
2021-09-30 00:00:00,13131000000.0,1258000000.0,11975000000.0,5257000000.0,6718000000.0,6718000000.0,1537000000.0,5181000000.0,5089000000.0,16.73,0.912,0.0,0.5116,0.3876,0.4652,17.0332,17.0332,17.0332,5181000000.0,5175000000.0,0.0,0.4805,DFS
2021-06-30 00:00:00,13317000000.0,1405000000.0,11912000000.0,5637000000.0,6275000000.0,6275000000.0,1414000000.0,4861000000.0,4785000000.0,15.64,0.8945,0.0,0.4712,0.3593,0.434,15.8917,15.8917,15.8917,4861000000.0,4861000000.0,0.0,0.4494,DFS
2021-03-31 00:00:00,12592000000.0,1597000000.0,10995000000.0,7403000000.0,3592000000.0,3592000000.0,797000000.0,2795000000.0,2728000000.0,8.88,0.8732,0.0,0.2853,0.2166,0.4591,9.1036,9.1036,9.1036,2795000000.0,2795000000.0,0.0,0.4784,DFS
2020-12-31 00:00:00,12953000000.0,1865000000.0,11088000000.0,9653000000.0,1435000000.0,1435000000.0,294000000.0,1141000000.0,1104000000.0,3.59,0.856,0.0,0.1108,0.0852,0.4582,3.7166,3.7166,3.7166,1141000000.0,1141000000.0,0.0,0.4783,DFS
2020-09-30 00:00:00,13305000000.0,2097000000.0,11208000000.0,9864000000.0,1344000000.0,1344000000.0,294000000.0,1050000000.0,1011000000.0,3.25,0.8424,0.0,0.101,0.076,0.4321,3.3858,3.3786,3.3786,1050000000.0,1050000000.0,0.0,0.453,DFS
2020-06-30 00:00:00,13713000000.0,2319000000.0,11394000000.0,10015000000.0,1379000000.0,1379000000.0,330000000.0,1049000000.0,1009000000.0,3.16,0.8309,0.0,0.1006,0.0736,0.3839,3.2952,3.288,3.288,1049000000.0,1049000000.0,0.0,0.4047,DFS
2020-03-31 00:00:00,14066000000.0,2482000000.0,11584000000.0,8757000000.0,2827000000.0,2827000000.0,657000000.0,2170000000.0,2125000000.0,6.68,0.8235,0.0,0.201,0.1511,0.3754,6.8291,6.8291,6.8291,2170000000.0,2170000000.0,0.0,0.3939,DFS
2019-12-31 00:00:00,13989000000.0,2530000000.0,11459000000.0,7624000000.0,3835000000.0,3835000000.0,878000000.0,2957000000.0,2908000000.0,9.08,0.8191,0.0,0.2741,0.2079,0.4226,9.2406,9.2406,9.2406,2957000000.0,2957000000.0,0.0,0.4429,DFS
2019-09-30 00:00:00,13842000000.0,2520000000.0,11322000000.0,7514000000.0,3808000000.0,3808000000.0,872000000.0,2936000000.0,2882000000.0,8.87,0.8179,0.0,0.2751,0.2082,0.376,9.0178,9.0419,9.0419,2936000000.0,2936000000.0,0.0,0.3968,DFS
2019-06-30 00:00:00,13586000000.0,2440000000.0,11146000000.0,7365000000.0,3781000000.0,3781000000.0,895000000.0,2886000000.0,2832000000.0,8.56,0.8204,0.0,0.2783,0.2084,0.4411,8.6941,8.7243,8.7243,2886000000.0,2886000000.0,0.0,0.4622,DFS
2019-03-31 00:00:00,13199000000.0,2302000000.0,10897000000.0,7226000000.0,3671000000.0,3671000000.0,869000000.0,2802000000.0,2748000000.0,8.15,0.8256,0.0,0.2781,0.2082,0.4553,8.2852,8.3082,8.3082,2802000000.0,2802000000.0,0.0,0.4764,DFS
2018-12-31 00:00:00,12848000000.0,2139000000.0,10709000000.0,7112000000.0,3597000000.0,3597000000.0,855000000.0,2742000000.0,2689000000.0,7.82,0.8335,0.0,0.28,0.2093,0.3843,7.9479,7.9709,7.9709,2742000000.0,2742000000.0,0.0,0.404,DFS
2018-09-30 00:00:00,12486000000.0,1970000000.0,10516000000.0,6917000000.0,3599000000.0,3599000000.0,1157000000.0,2442000000.0,2367000000.0,6.77,0.8422,0.0,0.2882,0.1896,0.4661,6.9917,6.9978,6.9978,2442000000.0,2442000000.0,0.0,0.4849,DFS
2018-06-30 00:00:00,12155000000.0,1838000000.0,10317000000.0,6782000000.0,3535000000.0,3535000000.0,1211000000.0,2324000000.0,2257000000.0,6.31,0.8488,0.0,0.2908,0.1857,0.4745,6.509,6.509,6.509,2324000000.0,2324000000.0,0.0,0.4936,DFS
2018-03-31 00:00:00,11864000000.0,1731000000.0,10133000000.0,6608000000.0,3525000000.0,3525000000.0,1324000000.0,2201000000.0,2126000000.0,5.81,0.8541,0.0,0.2971,0.1792,0.4386,6.0272,6.0272,6.0272,2201000000.0,2201000000.0,0.0,0.4579,DFS
2017-12-31 00:00:00,11545000000.0,1648000000.0,9897000000.0,6360000000.0,3537000000.0,3537000000.0,1438000000.0,2099000000.0,2031000000.0,5.42,0.8573,0.0,0.3064,0.1759,0.4322,5.6122,5.6122,5.6122,2099000000.0,2099000000.0,0.0,0.4511,DFS
2017-09-30 00:00:00,11219000000.0,1578000000.0,9641000000.0,6120000000.0,3521000000.0,3521000000.0,1246000000.0,2275000000.0,2222000000.0,5.83,0.8593,0.0,0.3138,0.1981,0.4161,5.9512,5.9621,5.9621,2275000000.0,2275000000.0,0.0,0.4346,DFS
2017-06-30 00:00:00,10928000000.0,1511000000.0,9417000000.0,5838000000.0,3579000000.0,3579000000.0,1267000000.0,2312000000.0,2258000000.0,5.8,0.8617,0.0,0.3275,0.2066,0.4068,5.9182,5.9291,5.9291,2312000000.0,2312000000.0,0.0,0.4247,DFS
2017-03-31 00:00:00,10664000000.0,1450000000.0,9214000000.0,5604000000.0,3610000000.0,3610000000.0,1228000000.0,2382000000.0,2328000000.0,5.86,0.864,0.0,0.3385,0.2183,0.3845,5.9764,5.9909,5.9909,2382000000.0,2382000000.0,0.0,0.4014,DFS
2016-12-31 00:00:00,10497000000.0,1398000000.0,9099000000.0,5443000000.0,3656000000.0,3656000000.0,1263000000.0,2393000000.0,2339000000.0,5.78,0.8668,0.0,0.3483,0.2228,0.4045,5.8942,5.9087,5.9087,2393000000.0,2393000000.0,0.0,0.4215,DFS
2016-09-30 00:00:00,10307000000.0,1361000000.0,8946000000.0,5385000000.0,3561000000.0,3561000000.0,1231000000.0,2330000000.0,2277000000.0,5.53,0.868,0.0,0.3455,0.2209,0.3877,5.6382,5.6475,5.6475,2330000000.0,2330000000.0,0.0,0.4053,DFS
2016-06-30 00:00:00,10158000000.0,1325000000.0,8833000000.0,5259000000.0,3574000000.0,3574000000.0,1271000000.0,2303000000.0,2251000000.0,5.35,0.8696,0.0,0.3518,0.2216,0.3782,5.4587,5.4713,5.4713,2303000000.0,2303000000.0,0.0,0.3945,DFS
2016-03-31 00:00:00,10089000000.0,1297000000.0,8792000000.0,5174000000.0,3618000000.0,3618000000.0,1332000000.0,2286000000.0,2235000000.0,5.21,0.8714,0.0,0.3586,0.2215,0.3744,5.3151,5.3272,5.3272,2286000000.0,2286000000.0,0.0,0.3914,DFS
2015-12-31 00:00:00,10002000000.0,1263000000.0,8739000000.0,5127000000.0,3612000000.0,3612000000.0,1315000000.0,2297000000.0,2246000000.0,5.14,0.8737,0.0,0.3611,0.2246,0.3686,5.2442,5.2563,5.2563,2297000000.0,2297000000.0,0.0,0.3853,DFS
2015-09-30 00:00:00,9807000000.0,1236000000.0,8571000000.0,5099000000.0,3472000000.0,3472000000.0,1271000000.0,2201000000.0,2150000000.0,4.86,0.874,0.0,0.354,0.2192,0.3721,4.9777,4.9862,4.9862,2201000000.0,2201000000.0,0.0,0.3885,DFS
