Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10294000000.0,6593000000.0,3701000000.0,1775000000.0,1829000000.0,148000000.0,-201000000.0,143000000.0,1628000000.0,382000000.0,1246000000.0,66000000.0,1235000000.0,10.36,0.3595,0.1777,0.1582,0.12,0.1422,2256000000.0,1829000000.0,10.1087,,11.1218,,10.3318,1312000000.0,,1312000000.0,0.2192,0.1812,DGX
2022-06-30 00:00:00,10582000000.0,6645000000.0,3937000000.0,1738000000.0,2089000000.0,149000000.0,-158000000.0,148000000.0,1931000000.0,454000000.0,1477000000.0,86000000.0,1484000000.0,12.27,0.372,0.1974,0.1825,0.1402,0.1467,2509000000.0,2089000000.0,11.9857,,13.0271,,12.2371,1563000000.0,,1563000000.0,0.2371,0.1818,DGX
2022-03-31 00:00:00,10679000000.0,6599000000.0,4080000000.0,1745000000.0,2234000000.0,151000000.0,191000000.0,150000000.0,2425000000.0,554000000.0,1871000000.0,92000000.0,1881000000.0,15.32,0.3821,0.2092,0.2271,0.1761,0.15,2647000000.0,2234000000.0,15.003,,16.0903,,15.3003,1963000000.0,,1963000000.0,0.2479,0.1856,DGX
2021-12-31 00:00:00,10788000000.0,6579000000.0,4209000000.0,1727000000.0,2381000000.0,152000000.0,218000000.0,151000000.0,2599000000.0,597000000.0,2002000000.0,78000000.0,1995000000.0,15.87,0.3902,0.2207,0.2409,0.1849,0.1696,2789000000.0,2381000000.0,15.55,,16.64,,15.85,2080000000.0,,2080000000.0,0.2585,0.207,DGX
2021-09-30 00:00:00,11046000000.0,6594000000.0,4452000000.0,1710000000.0,2640000000.0,154000000.0,215000000.0,153000000.0,2855000000.0,674000000.0,2181000000.0,95000000.0,2184000000.0,16.96,0.403,0.239,0.2585,0.1977,0.1695,3040000000.0,2640000000.0,16.9155,,17.7462,,17.1797,2276000000.0,,2276000000.0,0.2752,0.2076,DGX
2021-06-30 00:00:00,11058000000.0,6504000000.0,4554000000.0,1679000000.0,2706000000.0,158000000.0,248000000.0,157000000.0,2954000000.0,698000000.0,2256000000.0,84000000.0,2247000000.0,17.05,0.4118,0.2447,0.2671,0.2032,0.1963,3094000000.0,2706000000.0,17.0134,,17.8394,,17.2729,2340000000.0,,2340000000.0,0.2798,0.2346,DGX
2021-03-31 00:00:00,10335000000.0,6160000000.0,4175000000.0,1610000000.0,2456000000.0,162000000.0,-64000000.0,160000000.0,2392000000.0,587000000.0,1805000000.0,78000000.0,1801000000.0,13.38,0.404,0.2376,0.2314,0.1743,0.2001,2833000000.0,2456000000.0,13.3144,,14.0797,,13.5132,1883000000.0,,1883000000.0,0.2741,0.2408,DGX
2020-12-31 00:00:00,9437000000.0,5804000000.0,3633000000.0,1550000000.0,1971000000.0,166000000.0,-87000000.0,163000000.0,1884000000.0,460000000.0,1424000000.0,75000000.0,1431000000.0,10.6,0.385,0.2089,0.1996,0.1516,0.1682,2332000000.0,1971000000.0,10.47,,11.1865,,10.62,1499000000.0,,1499000000.0,0.2471,0.2125,DGX
2020-09-30 00:00:00,8361000000.0,5335000000.0,3026000000.0,1452000000.0,1539000000.0,170000000.0,-85000000.0,166000000.0,1454000000.0,341000000.0,1113000000.0,42000000.0,1105000000.0,8.2,0.3619,0.1841,0.1739,0.1322,0.1655,1884000000.0,1539000000.0,8.2841,,8.6124,,8.3957,1155000000.0,,1155000000.0,0.2253,0.2167,DGX
2020-06-30 00:00:00,7531000000.0,5019000000.0,2512000000.0,1418000000.0,1134000000.0,,-163000000.0,168000000.0,971000000.0,226000000.0,745000000.0,45000000.0,752000000.0,5.59,0.3336,0.1506,0.1289,0.0999,0.1084,1472000000.0,1134000000.0,5.5302,,5.9087,,5.6079,790000000.0,,790000000.0,0.1955,0.1658,DGX
2020-03-31 00:00:00,7657000000.0,5063000000.0,2594000000.0,1420000000.0,1158000000.0,,-177000000.0,172000000.0,981000000.0,223000000.0,758000000.0,58000000.0,793000000.0,5.88,0.3388,0.1512,0.1281,0.1036,0.1017,1488000000.0,1158000000.0,5.6211,,6.2388,,5.6876,816000000.0,,836000000.0,0.1943,0.1587,DGX
2019-12-31 00:00:00,7726000000.0,5037000000.0,2689000000.0,1457000000.0,1231000000.0,,-155000000.0,175000000.0,1076000000.0,247000000.0,829000000.0,57000000.0,858000000.0,6.36,0.348,0.1593,0.1393,0.1111,0.1091,1560000000.0,1231000000.0,6.13,,6.7612,,6.21,886000000.0,,906000000.0,0.2019,0.1609,DGX
