Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-07-31 00:00:00,35346000000.0,24239000000.0,11105000000.0,7984425000.0,3121836900.0,161000000.0,-160478000.0,160478000.0,2960000000.0,646000000.0,2315150900.0,2315000000.0,10.04,0.3142,0.0883,0.0837,0.0655,0.0365,3801000000.0,3121839800.0,10.0471,10.104,10.104,2315150900.0,2315000000.0,0.1075,0.0706,DG
2022-04-30 00:00:00,34570000000.0,23775000000.0,10795000000.0,7737628000.0,3057979500.0,157000000.0,-156810000.0,156810000.0,2900000000.0,627000000.0,2274139900.0,2274000000.0,9.75,0.3123,0.0885,0.0839,0.0658,0.0446,3718000000.0,3057982400.0,9.7608,9.8194,9.8194,2274139900.0,2274000000.0,0.1075,0.0756,DG
2022-01-31 00:00:00,34219964000.0,23407296000.0,10812668000.0,7592240000.0,3220672900.0,157000000.0,-157526000.0,157526000.0,3062458000.0,663709000.0,2399231900.0,2398749000.0,10.18,0.316,0.0941,0.0895,0.0701,0.0526,3861996000.0,3220675800.0,10.1743,10.2416,10.2416,2399231900.0,2398749000.0,0.1129,0.0838,DG
2021-10-31 00:00:00,33983487000.0,23134125000.0,10849362000.0,7553140000.0,3296228100.0,158000000.0,-159288000.0,159288000.0,3136413800.0,691922000.0,2444541700.0,2444492000.0,10.25,0.3193,0.097,0.0923,0.0719,0.0475,3920989000.0,3296230000.0,10.2198,10.292,10.292,2444541700.0,2444492000.0,0.1154,0.08,DG
2021-07-31 00:00:00,33665112000.0,22867510000.0,10798602000.0,7394399000.0,3403770600.0,159000000.0,-160388000.0,160388000.0,3243245800.0,711494000.0,2531770600.0,2531752000.0,10.49,0.3208,0.1011,0.0963,0.0752,0.0347,4011968400.0,3403772500.0,10.4444,10.5209,10.5209,2531770600.0,2531752000.0,0.1192,0.0679,DG
2021-04-30 00:00:00,33699353000.0,22820516000.0,10878837000.0,7282007000.0,3596829200.0,159000000.0,-160284000.0,160284000.0,3436546800.0,754194000.0,2682352600.0,2682353000.0,10.95,0.3228,0.1067,0.102,0.0796,0.0515,4187557400.0,3596831100.0,10.8728,10.9562,10.9562,2682352600.0,2682353000.0,0.1243,0.0844,DG
2021-01-31 00:00:00,33746838000.0,23027977000.0,10718861000.0,7164097000.0,3554763300.0,149000000.0,-150385000.0,150385000.0,3404379800.0,749330000.0,2655049600.0,2655050000.0,10.69,0.3176,0.1053,0.1009,0.0787,0.0845,4129000400.0,3554765200.0,10.617,10.6985,10.6985,2655049600.0,2655050000.0,0.1224,0.1149,DG
2020-10-31 00:00:00,32489957000.0,22235028000.0,10254929000.0,6851514000.0,3403419000.0,135000000.0,-135684000.0,135684000.0,3267731900.0,719988000.0,2547743700.0,2547744100.0,10.16,0.3156,0.1048,0.1006,0.0784,0.0923,3960310900.0,3403417600.0,10.0856,10.1605,10.1605,2547743700.0,2547744100.0,0.1219,0.1219,DG
2020-07-31 00:00:00,31281725000.0,21529950000.0,9751775000.0,6630073000.0,3121705600.0,,-119650000.0,119650000.0,3002052900.0,663019000.0,2339033800.0,2339034100.0,9.27,0.3117,0.0998,0.096,0.0748,0.0991,3659218500.0,3121704200.0,9.1984,9.2645,9.2645,2339033800.0,2339034100.0,0.117,0.1283,DG
2020-04-30 00:00:00,29579237000.0,20496761000.0,9082476000.0,6425626000.0,2656853500.0,,-105134000.0,105134000.0,2551716900.0,573729000.0,1977987800.0,1977988100.0,7.77,0.3071,0.0898,0.0863,0.0669,0.0868,3176827400.0,2656852100.0,7.7217,7.7722,7.7722,1977987800.0,1977988100.0,0.1074,0.1149,DG
