Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,33479900000.0,22975800000.0,10504100000.0,2933600000.0,7570500000.0,59300000.0,,7629800000.0,1734100000.0,5895700000.0,5857600000.0,16.68,0.3137,0.2261,0.2279,0.175,0.0124,7652200000.0,7570500000.0,16.6426,16.7838,16.7838,5895700000.0,5895700000.0,0.2286,0.0168,DHI
2022-06-30 00:00:00,31949799000.0,21918099000.0,10031700000.0,2794700000.0,7237002000.0,53400000.0,,7290400000.0,1697400000.0,5593000000.0,5564700000.0,15.72,0.314,0.2265,0.2282,0.1742,-0.0047,7315702000.0,7237001000.0,15.6269,15.7752,15.7752,5593000000.0,5593000000.0,0.229,0.0002,DHI
2022-03-31 00:00:00,30446299000.0,21251399000.0,9194900000.0,2709800000.0,6467002000.0,55700000.0,,6522700000.0,1472500000.0,5050200000.0,5032400000.0,14.12,0.302,0.2124,0.2142,0.1653,-0.009,6544302000.0,6467001000.0,13.995,14.1492,14.1492,5050200000.0,5050200000.0,0.2149,-0.0048,DHI
2021-12-31 00:00:00,28894199000.0,20472399000.0,8421800000.0,2636200000.0,5767502000.0,51800000.0,,5819300000.0,1277500000.0,4541800000.0,4525600000.0,12.62,0.2915,0.1996,0.2014,0.1566,0.0146,5846102000.0,5767501000.0,12.4903,12.6422,12.6422,4541800000.0,4541800000.0,0.2023,0.0212,DHI
2021-09-30 00:00:00,27774199000.0,19899199000.0,7875000000.0,2556200000.0,5300702000.0,55600000.0,,5356300000.0,1165100000.0,4191200100.0,4175800000.0,11.58,0.2835,0.1908,0.1929,0.1503,0.011,5382802000.0,5300701000.0,11.4576,11.6068,11.6068,4191200100.0,4191200000.0,0.1938,0.0192,DHI
2021-06-30 00:00:00,26065299000.0,18949500000.0,7115799000.0,2460800000.0,4636900000.0,48900000.0,,4685800000.0,1009100000.0,3676700100.0,3665800100.0,10.12,0.273,0.1779,0.1798,0.1406,0.0211,4725900000.0,4636900000.0,10.0028,10.1398,10.1398,3676700100.0,3676700000.0,0.1813,0.0306,DHI
2021-03-31 00:00:00,24170699000.0,17821600000.0,6349099000.0,2332600000.0,4016499800.0,36100000.0,,4052600000.0,859500000.0,3193100100.0,3181000100.0,8.75,0.2627,0.1662,0.1677,0.1316,0.0564,4106599800.0,4016499800.0,8.6567,8.7755,8.7755,3193100100.0,3193100000.0,0.1699,0.0688,DHI
2020-12-31 00:00:00,22223799000.0,16621500000.0,5602299000.0,2177900000.0,3424399700.0,69600000.0,,3494000000.0,750800000.0,2743200100.0,2734200100.0,7.5,0.2521,0.1541,0.1572,0.123,0.0483,3515799700.0,3424399700.0,7.4212,7.5209,7.5209,2743200100.0,2743200000.0,0.1582,0.0577,DHI
2020-09-30 00:00:00,20311099000.0,15373200000.0,4937899000.0,2047800000.0,2890099700.0,92900000.0,,2983000000.0,602500000.0,2380500000.0,2373700100.0,6.5,0.2431,0.1423,0.1469,0.1169,0.0623,2980699700.0,2890099700.0,6.4303,6.513,6.513,2380500000.0,2380500000.0,0.1468,0.07,DHI
2020-06-30 00:00:00,18949600000.0,14501200000.0,4448400000.0,1955600000.0,2492799100.0,94300000.0,,2587100000.0,533800000.0,2053300100.0,2049900000.0,5.59,0.2347,0.1315,0.1365,0.1082,0.0658,2580399100.0,2492799800.0,5.527,5.5954,5.5954,2053300100.0,2053300000.0,0.1362,0.0739,DHI
