Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,31250000000.0,12297000000.0,18953000000.0,1787000000.0,8620000000.0,8546000000.0,204000000.0,577000000.0,13000000.0,8184000000.0,1419000000.0,6765000000.0,6640000000.0,9.05,0.6065,0.2735,0.2619,0.2125,0.2265,10790000000.0,8546000000.0,9.053,,9.3761,,9.2018,6765000000.0,86000000.0,6765000000.0,0.3453,0.266,DHR
2022-06-30 00:00:00,30816000000.0,12088000000.0,18728000000.0,1808000000.0,8505000000.0,7840000000.0,225000000.0,923000000.0,7000000.0,7640000000.0,1289000000.0,6351000000.0,6206000000.0,8.49,0.6077,0.2544,0.2479,0.2014,0.2291,10673000000.0,7840000000.0,8.493,,8.8376,,8.6318,6351000000.0,,6351000000.0,0.3463,0.2705,DHR
2022-03-31 00:00:00,30283000000.0,11879000000.0,18404000000.0,1803000000.0,8386000000.0,7640000000.0,237000000.0,798000000.0,67000000.0,7614000000.0,1244000000.0,6370000000.0,6292000000.0,8.68,0.6077,0.2523,0.2514,0.2078,0.2366,10446000000.0,7640000000.0,8.523,,9.0241,,8.6718,6370000000.0,,6456000000.0,0.3449,0.2792,DHR
2021-12-31 00:00:00,29453000000.0,11501000000.0,17952000000.0,1742000000.0,8170000000.0,7465000000.0,241000000.0,782000000.0,124000000.0,7598000000.0,1251000000.0,6347000000.0,6269000000.0,8.7,0.6095,0.2535,0.258,0.2128,0.2403,10237000000.0,7465000000.0,8.5,,9.0023,,8.65,6347000000.0,,6433000000.0,0.3476,0.2838,DHR
2021-09-30 00:00:00,28065000000.0,11102000000.0,16963000000.0,1643000000.0,7833000000.0,6912000000.0,256000000.0,542000000.0,195000000.0,7055000000.0,1255000000.0,5800000000.0,5722000000.0,8.0,0.6044,0.2463,0.2514,0.2039,0.2519,9645000000.0,6912000000.0,7.7848,,8.2567,,7.933,5800000000.0,86000000.0,5886000000.0,0.3437,0.2938,DHR
2021-06-30 00:00:00,26720000000.0,10890000000.0,15830000000.0,1544000000.0,7595000000.0,6691000000.0,269000000.0,-2000000.0,270000000.0,6689000000.0,1164000000.0,5525000000.0,5447000000.0,7.64,0.5924,0.2504,0.2503,0.2039,0.2579,9007000000.0,6691000000.0,7.4048,0.9079,7.8794,0.9279,7.553,5525000000.0,568300000.0,5611000000.0,0.3371,0.297,DHR
2021-03-31 00:00:00,24799000000.0,10514000000.0,14285000000.0,1441000000.0,7314000000.0,5530000000.0,284000000.0,337000000.0,286000000.0,5867000000.0,1114000000.0,4753000000.0,4595000000.0,6.47,0.576,0.223,0.2366,0.1853,0.2566,7996000000.0,5530000000.0,6.3648,,6.6958,,6.503,4753000000.0,,4753000000.0,0.3224,0.2928,DHR
2020-12-31 00:00:00,22284000000.0,9809000000.0,12475000000.0,1348000000.0,6896000000.0,4231000000.0,273000000.0,264000000.0,275000000.0,4495000000.0,849000000.0,3646000000.0,3510000000.0,4.97,0.5598,0.1899,0.2017,0.1575,0.2432,6463000000.0,4231000000.0,4.89,,5.1628,,4.97,3646000000.0,,3646000000.0,0.29,0.2786,DHR
2020-09-30 00:00:00,20392300000.0,9167400000.0,11224900000.0,1245800000.0,6387800000.0,3591299800.0,245000000.0,336900000.0,246800000.0,3928200000.0,730600000.0,3197600000.0,3565700000.0,5.03,0.5504,0.1761,0.1926,0.1749,0.218,5574500000.0,3591299800.0,4.3105,,5.197,,4.3934,3197600000.0,519600000.0,3679900000.0,0.2734,0.25,DHR
2020-06-30 00:00:00,18886300000.0,8446000000.0,10440300000.0,1186400000.0,5974300000.0,3279599800.0,,414200000.0,192800000.0,3693800000.0,748500000.0,2945300000.0,3372100000.0,4.75,0.5528,0.1736,0.1956,0.1785,0.1966,4846200000.0,3279599800.0,3.9905,,4.8842,,4.0634,2945300000.0,574500000.0,3464900000.0,0.2566,0.2299,DHR
2020-03-31 00:00:00,18033800000.0,7961700000.0,10072100000.0,1145500000.0,5679300000.0,3247299800.0,,48700000.0,134500000.0,3296000000.0,601300000.0,2694700000.0,3188700000.0,4.47,0.5585,0.1801,0.1828,0.1768,0.1914,4437200000.0,3247299800.0,3.6505,,4.5886,,3.7034,2694700000.0,,3269200000.0,0.246,0.2256,DHR
2019-12-31 00:00:00,17911000000.0,7927000000.0,9984000000.0,1126000000.0,5589000000.0,3269000000.0,,36000000.0,108000000.0,3305000000.0,873000000.0,2432000000.0,2940000000.0,4.1,0.5574,0.1825,0.1845,0.1641,0.1859,4458000000.0,3269000000.0,3.26,0.79,4.2069,0.81,3.31,2432000000.0,576000000.0,3008000000.0,0.2489,0.2206,DHR
2019-09-30 00:00:00,15562200000.0,6928300000.0,8633901000.0,979600000.0,4732800000.0,2921501000.0,,20800000.0,77600000.0,2942300000.0,801000000.0,2141300000.0,2431200000.0,3.41,0.5548,0.1877,0.1891,0.1562,0.2246,4012400800.0,2921500000.0,2.8977,0.5521,3.4844,0.5621,2.9304,2141300000.0,391300000.0,2480000000.0,0.2578,0.262,DHR
2019-06-30 00:00:00,16037300000.0,7154300000.0,8883001000.0,998200000.0,4908900000.0,2975901200.0,,-18900000.0,94900000.0,2957000000.0,782700000.0,2174300000.0,2446500000.0,3.46,0.5539,0.1856,0.1844,0.1526,0.2158,4092900800.0,2975900200.0,2.9917,0.5321,3.5014,0.5421,3.0267,2174300000.0,354000000.0,2475700000.0,0.2552,0.2514,DHR
2019-03-31 00:00:00,16573800000.0,7357500000.0,9216301000.0,1027800000.0,5156800000.0,3031701200.0,,-62800000.0,118400000.0,2968900000.0,797200000.0,2171700000.0,2411700000.0,3.43,0.5561,0.1829,0.1791,0.1455,0.2001,4185000800.0,3031700200.0,3.0414,0.4521,3.4446,0.4621,3.079,2171700000.0,299100000.0,2418200000.0,0.2525,0.2351,DHR
2018-12-31 00:00:00,17049000000.0,7544000000.0,9505001000.0,1059000000.0,5391000000.0,3055001000.0,,-93000000.0,137000000.0,2962000000.0,556000000.0,2406000000.0,2651000000.0,3.78,0.5575,0.1792,0.1737,0.1555,0.202,4233000800.0,3055000000.0,3.39,,3.784,,3.4301,2406000000.0,,2651000000.0,0.2483,0.2359,DHR
2018-09-30 00:00:00,16804299000.0,7435200000.0,9369099000.0,1038100000.0,5370400100.0,2960600100.0,,-27700000.0,142800000.0,2932899800.0,469800000.0,2463100000.0,2760700200.0,3.95,0.5575,0.1762,0.1745,0.1643,0.1818,4134199900.0,2960599900.0,3.4723,,3.9492,,3.5197,2463100100.0,,2760700000.0,0.246,0.2154,DHR
2018-06-30 00:00:00,16479399000.0,7264000000.0,9215399000.0,1016100000.0,5310200100.0,2889100100.0,,-27700000.0,141400000.0,2861399800.0,489900000.0,2371500000.0,2669100200.0,3.82,0.5592,0.1753,0.1736,0.162,0.1954,4052599900.0,2889099900.0,3.3483,,3.8246,,3.3934,2371500100.0,,2669100000.0,0.2459,0.2289,DHR
2018-03-31 00:00:00,16008499000.0,7127900000.0,8880599000.0,987700000.0,5194600100.0,2698300100.0,,-27200000.0,138900000.0,2671099800.0,416100000.0,2255000000.0,2552600200.0,3.66,0.5547,0.1686,0.1669,0.1595,0.2017,3830399800.0,2698299900.0,3.1886,,3.6637,,3.2311,2255000100.0,,2552600000.0,0.2393,0.234,DHR
2017-12-31 00:00:00,15518799000.0,6947500000.0,8571299000.0,956400000.0,5042600100.0,2572300100.0,,-29100000.0,140100000.0,2543199800.0,371000000.0,2172200000.0,2492100200.0,3.58,0.5523,0.1658,0.1639,0.1606,0.1894,3689199800.0,2572299900.0,3.08,0.43,3.5815,0.44,3.12,2172200100.0,319900000.0,2492100000.0,0.2377,0.2241,DHR
2017-09-30 00:00:00,17828300000.0,7974900000.0,9853401000.0,1097900000.0,5989700000.0,2765801100.0,,-109600000.0,153200000.0,2656200100.0,296000000.0,2360200200.0,2382499900.0,3.43,0.5527,0.1551,0.149,0.1336,0.1522,3991600900.0,2765801300.0,3.36,,3.429,,3.41,2360199900.0,22300000.0,2382499900.0,0.2239,0.1847,DHR
2017-06-30 00:00:00,17432200000.0,7829600000.0,9602601000.0,1059800000.0,5837100000.0,2705701000.0,,-302600000.0,157000000.0,2403100100.0,212400000.0,2190700200.0,2201999900.0,3.18,0.5509,0.1552,0.1379,0.1263,0.1405,3897301000.0,2705701200.0,3.12,,3.173,,3.17,2190699900.0,11300000.0,2201999900.0,0.2236,0.1743,DHR
2017-03-31 00:00:00,17164000000.0,7662400000.0,9501601000.0,1016400000.0,5746100000.0,2739100900.0,,-326200000.0,171800000.0,2412900100.0,361500000.0,2051400200.0,2301399900.0,3.33,0.5536,0.1596,0.1406,0.1341,0.157,3905100900.0,2739101100.0,2.93,0.35,3.3221,0.36,2.97,2051399900.0,250000000.0,2301399900.0,0.2275,0.1928,DHR
2016-12-31 00:00:00,16882400000.0,7547800000.0,9334601000.0,975100000.0,5624300000.0,2735201000.0,,-123900000.0,184400000.0,2611300100.0,457900000.0,2153400200.0,2553699900.0,3.7,0.5529,0.162,0.1547,0.1513,0.1743,3863301000.0,2735201200.0,3.08,0.57,3.6946,0.58,3.12,2153399900.0,400300000.0,2553699900.0,0.2288,0.2086,DHR
2016-09-30 00:00:00,13564700000.0,5964599900.0,7600099800.0,752300000.0,4832800100.0,2014999600.0,,-150400000.0,194500000.0,1864600000.0,364900000.0,1499699900.0,2495299900.0,3.62,0.5603,0.1485,0.1375,0.184,0.2646,3109499500.0,2014999800.0,2.17,1.39,3.6025,1.41,2.18,1499699900.0,995599900.0,2495299900.0,0.2292,0.3026,DHR
2016-06-30 00:00:00,12944800000.0,5737299900.0,7207499800.0,723400000.0,4688200100.0,1795899500.0,,45900000.0,189900000.0,1841800000.0,364800000.0,1476999900.0,3506999900.0,5.09,0.5568,0.1387,0.1423,0.2709,0.2913,2749499400.0,1795899700.0,2.14,2.87,5.075,2.92,2.15,1476999900.0,2029999900.0,3506999900.0,0.2124,0.3275,DHR
2016-03-31 00:00:00,13663100000.0,6192899900.0,7470199800.0,788100000.0,4661900100.0,2020199700.0,,74700000.0,163400000.0,2094900000.0,320400000.0,1774499900.0,3545999900.0,5.12,0.5467,0.1479,0.1533,0.2595,0.263,2933199600.0,2020199900.0,2.53,2.5,5.105,2.54,2.56,1774499900.0,1771499900.0,3545999900.0,0.2147,0.2965,DHR
2015-12-31 00:00:00,14433700000.0,6662599900.0,7771099800.0,861400000.0,4747500100.0,2162199900.0,,-122800000.0,139800000.0,2039400000.0,292700000.0,1746699900.0,3357399900.0,4.83,0.5384,0.1498,0.1413,0.2326,0.232,3042999800.0,2162200100.0,2.47,2.27,4.8093,2.31,2.5,1746699900.0,1610699900.0,3357399900.0,0.2108,0.2634,DHR
2015-09-30 00:00:00,18584300000.0,8775000000.0,9809300000.0,1152300000.0,5600200000.0,3056800200.0,,-2700000.0,123900000.0,3054100000.0,739000000.0,2315100000.0,3330500000.0,4.77,0.5278,0.1645,0.1643,0.1792,0.1831,3719200100.0,3056800200.0,3.2321,2.791,4.7632,2.851,3.2888,2315100000.0,1975800000.0,3330500000.0,0.2001,0.205,DHR
2015-06-30 00:00:00,19779200000.0,9411000000.0,10368200000.0,1228200000.0,5697000000.0,3443000200.0,,35600000.0,114400000.0,3478600000.0,862100000.0,2616500000.0,2607800000.0,3.7,0.5242,0.1741,0.1759,0.1318,0.1736,4173500100.0,3443000200.0,3.6421,1.33,3.6937,1.36,3.7088,2616500000.0,951700000.0,2607800000.0,0.211,0.1958,DHR
2015-03-31 00:00:00,19782600000.0,9438200000.0,10344400000.0,1260000000.0,5686500000.0,3397900400.0,,52000000.0,118600000.0,3449900000.0,872500000.0,2577400000.0,2588500000.0,3.68,0.5229,0.1718,0.1744,0.1308,0.1678,4126800100.0,3397900400.0,3.5973,1.49,3.6778,1.52,3.6634,2577400000.0,971500000.0,2588500000.0,0.2086,0.1906,DHR
2014-12-31 00:00:00,19750600000.0,9421500000.0,10329100000.0,1274000000.0,5623400000.0,3431700500.0,,51400000.0,121800000.0,3483100000.0,884000000.0,2599100000.0,2598400000.0,3.7,0.523,0.1738,0.1764,0.1316,0.1667,4149799800.0,3431700500.0,3.6283,1.48,3.7001,1.51,3.7034,2599100000.0,959700000.0,2598400000.0,0.2101,0.1903,DHR
2014-09-30 00:00:00,19600100000.0,9363000000.0,10237100000.0,1270100000.0,5534600000.0,3432400700.0,,145300000.0,127600000.0,3577700000.0,851000000.0,2726700000.0,2726000000.0,3.89,0.5223,0.1751,0.1825,0.1391,0.1552,4285800000.0,3432400700.0,3.812,0.149,3.8905,0.149,3.8938,2726700000.0,92200000.0,2726000000.0,0.2187,0.1835,DHR
