Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,59407000000.0,49985000000.0,9422000000.0,851000000.0,1725000000.0,6858000000.0,643000000.0,1512000000.0,125000000.0,7343000000.0,1589000000.0,5754000000.0,5675000000.0,7.71,0.1586,0.1154,0.1236,0.0955,0.0922,9605000000.0,6858000000.0,7.6518,7.8781,7.7046,5754000000.0,5724000000.0,0.1617,0.1342,DOW
2022-06-30 00:00:00,60129000000.0,49145000000.0,10984000000.0,870000000.0,1772000000.0,8267000000.0,665000000.0,1797000000.0,98000000.0,8590000000.0,1890000000.0,6700000000.0,6615000000.0,8.92,0.1827,0.1375,0.1429,0.11,0.1052,11158000000.0,8267000000.0,8.8682,9.1056,8.9321,6700000000.0,6666000000.0,0.1856,0.1456,DOW
2022-03-31 00:00:00,58350000000.0,46784000000.0,11566000000.0,881000000.0,1777000000.0,8594000000.0,686000000.0,1546000000.0,249000000.0,8877000000.0,1926000000.0,6951000000.0,6864000000.0,9.19,0.1982,0.1473,0.1521,0.1176,0.1135,11663000000.0,8594000000.0,9.1363,9.3755,9.202,6951000000.0,6926000000.0,0.1999,0.1526,DOW
2021-12-31 00:00:00,54968000000.0,44415000000.0,10553000000.0,857000000.0,1645000000.0,7881000000.0,689000000.0,1191000000.0,417000000.0,8145000000.0,1740000000.0,6405000000.0,6294000000.0,8.4,0.192,0.1434,0.1482,0.1145,0.0871,10670000000.0,7881000000.0,8.3801,8.6135,8.44,6405000000.0,6388000000.0,0.1941,0.1275,DOW
2021-09-30 00:00:00,51310000000.0,41654000000.0,9656000000.0,846000000.0,1617000000.0,6821000000.0,772000000.0,2045000000.0,607000000.0,7843000000.0,1945000000.0,5898000000.0,5803000000.0,7.74,0.1882,0.1329,0.1529,0.1131,0.1039,9728000000.0,6821000000.0,7.7697,7.9223,7.8148,5898000000.0,5890000000.0,0.1896,0.1182,DOW
2021-06-30 00:00:00,46185000000.0,38308000000.0,7877000000.0,829000000.0,1586000000.0,4304000000.0,797000000.0,1333000000.0,795000000.0,5637000000.0,1446000000.0,4191000000.0,4103000000.0,5.47,0.1706,0.0932,0.1221,0.0888,0.1039,7216000000.0,4304000000.0,5.4936,5.6294,5.5219,4191000000.0,4191000000.0,0.1562,0.1106,DOW
2021-03-31 00:00:00,40654000000.0,35178000000.0,5476000000.0,783000000.0,1503000000.0,2002000000.0,812000000.0,996000000.0,808000000.0,2998000000.0,956000000.0,2042000000.0,1977000000.0,2.63,0.1347,0.0492,0.0737,0.0486,0.1097,4869000000.0,2002000000.0,2.634,2.7496,2.6421,2042000000.0,2042000000.0,0.1198,0.1155,DOW
2020-12-31 00:00:00,38542000000.0,33346000000.0,5196000000.0,768000000.0,1471000000.0,1609000000.0,879000000.0,462000000.0,827000000.0,2071000000.0,777000000.0,1294000000.0,1225000000.0,1.63,0.1348,0.0417,0.0537,0.0318,0.1529,4483000000.0,1609000000.0,1.64,1.7475,1.64,1294000000.0,1294000000.0,0.1163,0.1615,DOW
2020-09-30 00:00:00,38040000000.0,32929000000.0,5111000000.0,727000000.0,1395000000.0,-1253000000.0,853000000.0,-688000000.0,839000000.0,-1941000000.0,329000000.0,-2270000000.0,-2334000000.0,-3.17,0.1344,-0.0329,-0.051,-0.0614,0.1402,1608000000.0,-1253000000.0,-3.0772,-3.054,-3.0763,-2270000000.0,-2270000000.0,0.0423,0.1721,DOW
2020-06-30 00:00:00,39092000000.0,33935000000.0,5157000000.0,728000000.0,1411000000.0,-855000000.0,,-691000000.0,870000000.0,-1546000000.0,376000000.0,-1922000000.0,-1976000000.0,-2.68,0.1319,-0.0219,-0.0395,-0.0505,0.1238,2021000000.0,-855000000.0,-2.6258,-2.5836,-2.6249,-1922000000.0,-1922000000.0,0.0517,0.1664,DOW
2020-03-31 00:00:00,41752000000.0,35745000000.0,6007000000.0,754000000.0,1476000000.0,-461000000.0,,-687000000.0,907000000.0,-1148000000.0,467000000.0,-1615000000.0,-1676000000.0,-2.27,0.1439,-0.011,-0.0275,-0.0401,0.0935,2458000000.0,-461000000.0,-2.2323,-2.1689,-2.2314,-1615000000.0,-1615000000.0,0.0589,0.1386,DOW
2019-12-31 00:00:00,42951000000.0,36657000000.0,6294000000.0,765000000.0,1590000000.0,-762000000.0,,-485000000.0,933000000.0,-1247000000.0,470000000.0,-1717000000.0,-1359000000.0,-1.85,0.1465,-0.0177,-0.029,-0.0316,0.0924,2176000000.0,-762000000.0,-2.42,-1.7132,-2.42,-1717000000.0,-1272000000.0,0.0507,0.1381,DOW
2019-09-30 00:00:00,45381000000.0,38395000000.0,6986000000.0,785000000.0,1667000000.0,2404000000.0,,-461000000.0,969000000.0,1943000000.0,636000000.0,1307000000.0,1977000000.0,,0.1539,0.053,0.0428,0.0436,0.0639,5361000000.0,2404000000.0,1.62,2.7984,1.62,1307000000.0,2087000000.0,0.1181,0.1179,DOW
2019-06-30 00:00:00,47406000000.0,39558000000.0,7848000000.0,812000000.0,1764000000.0,3133000000.0,,-568000000.0,997000000.0,2565000000.0,795000000.0,1770000000.0,2977000000.0,,0.1655,0.0661,0.0541,0.0628,0.037,5351000000.0,3133000000.0,2.22,4.1549,2.22,1770000000.0,3104000000.0,0.1129,0.0919,DOW
2019-03-31 00:00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,DOW
