Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4488000000.0,2846000000.0,1643000000.0,901144900.0,741795000.0,198000000.0,-35000000.0,1000000.0,579000000.0,129000000.0,449646000.0,450000000.0,12.36,0.3661,0.1653,0.129,0.1003,0.0904,821000000.0,741794900.0,12.3456,12.4868,12.4868,449646000.0,450000000.0,0.1829,0.1114,DPZ
2022-06-30 00:00:00,4417000000.0,2772000000.0,1646000000.0,791746900.0,745623000.0,199000000.0,-35000000.0,0.0,582000000.0,112000000.0,469544000.0,469000000.0,12.81,0.3727,0.1688,0.1318,0.1062,0.0948,823000000.0,745622900.0,12.8013,12.9582,12.9582,469544000.0,469000000.0,0.1863,0.116,DPZ
2022-03-31 00:00:00,4384472000.0,2717782000.0,1667690100.0,800383900.0,758411100.0,200000000.0,-80809000.0,45877000.0,594093000.0,109474000.0,483670000.0,483619000.0,13.05,0.3804,0.173,0.1355,0.1103,0.1118,838313100.0,758411000.0,13.0365,13.2068,13.2068,483670000.0,483619000.0,0.1912,0.1323,DPZ
2021-12-31 00:00:00,4357170000.0,2669329000.0,1687841100.0,798913900.0,780408100.0,192000000.0,-117709000.0,85299000.0,625731000.0,114351000.0,510467000.0,510380000.0,13.55,0.3874,0.1791,0.1436,0.1171,0.1285,858519100.0,780408000.0,13.5434,13.723,13.723,510467000.0,510380000.0,0.197,0.1501,DPZ
2021-09-30 00:00:00,4370737000.0,2653631900.0,1717105300.0,806621000.0,801764300.0,185000000.0,-137188000.0,139663000.0,619296000.0,112019000.0,506679000.0,506277000.0,13.15,0.3929,0.1834,0.1417,0.1158,0.1416,879158300.0,801764200.0,13.1538,13.3292,13.3292,506679000.0,506277000.0,0.2011,0.1618,DPZ
2021-06-30 00:00:00,4340456000.0,2646369900.0,1694086300.0,910421000.0,783665300.0,178000000.0,-175596000.0,178268000.0,608069000.0,122663000.0,485406000.0,485406000.0,12.4,0.3903,0.1805,0.1401,0.1118,0.1356,860944300.0,783665200.0,12.4023,12.5678,12.5678,485406000.0,485406000.0,0.1984,0.1558,DPZ
2021-03-31 00:00:00,4275984000.0,2735587900.0,1540396200.0,784633000.0,756346200.0,172000000.0,-130787000.0,132391000.0,586976000.0,119189000.0,487455000.0,467787000.0,11.83,0.3602,0.1769,0.1373,0.1094,0.1414,827631200.0,756346100.0,12.329,12.5037,12.5037,487455000.0,467787000.0,0.1936,0.1619,DPZ
2020-12-31 00:00:00,4212309000.0,2703972900.0,1508336200.0,775528000.0,725642200.0,172000000.0,-132974000.0,132696000.0,561834000.0,93140000.0,491296000.0,468694000.0,11.82,0.3581,0.1723,0.1334,0.1113,0.1347,803049200.0,725642100.0,12.3937,12.6057,12.6057,491296000.0,468694000.0,0.1906,0.1557,DPZ
2020-09-30 00:00:00,3728844000.0,2415615000.0,1313229000.0,668631000.0,685548900.0,,-117033000.0,117802000.0,489565000.0,51166000.0,468726000.0,438399000.0,11.04,0.3522,0.1839,0.1313,0.1176,0.1173,707567000.0,685549000.0,11.6667,11.9109,11.9109,468726000.0,438399000.0,0.1898,0.1419,DPZ
2020-08-31 00:00:00,3911477000.0,2512940900.0,1398536000.0,712168100.0,,166000000.0,-125306000.0,127343000.0,523062000.0,54465000.0,,468597000.0,11.67,0.3575,0.0,0.1337,0.1198,0.1388,753139900.0,,,,,,468597000.0,0.1925,0.1388,DPZ
