Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,9770000000.0,8204000000.0,1566000000.0,448100000.0,1125800600.0,77000000.0,16000000.0,72900000.0,1052000000.0,137000000.0,916600000.0,915000000.0,7.21,0.1603,0.1152,0.1077,0.0937,0.1112,1503000000.0,1125800200.0,7.2,-0.0047,7.2538,-0.01,7.27,916600000.0,-2500000.0,917000000.0,0.1538,0.1548,DRI
2022-05-31 00:00:00,9630000000.0,8005000000.0,1625000000.0,472500000.0,1162200600.0,73000000.0,7000000.0,68700000.0,1093000000.0,139000000.0,954700000.0,953000000.0,7.4,0.1687,0.1207,0.1135,0.099,0.0906,1530000000.0,1162200200.0,7.4,-0.0099,7.4555,-0.01,7.47,954700000.0,,955000000.0,0.1589,0.1313,DRI
2022-02-28 00:00:00,9306200000.0,7587800000.0,1718400300.0,490000000.0,1147899900.0,68000000.0,-17400000.0,66900000.0,1080000000.0,38000000.0,1042000000.0,1039500000.0,7.98,0.1847,0.1233,0.1161,0.1117,0.107,1501500000.0,1147899900.0,7.97,-0.0255,8.0377,-0.0208,8.06,1042000000.0,-2400000.0,1041500000.0,0.1613,0.1463,DRI
2021-11-30 00:00:00,8590200000.0,6940400000.0,1649800200.0,477800000.0,994899900.0,65000000.0,-33100000.0,64600000.0,929300000.0,6100000.0,923300000.0,921200000.0,7.04,0.1921,0.1158,0.1082,0.1072,0.1058,1350700000.0,994899900.0,7.02,-0.0223,7.079,-0.0146,7.1,923300000.0,-2000000.0,922200000.0,0.1572,0.1448,DRI
2021-08-31 00:00:00,7974700000.0,6365500000.0,1609200200.0,473200000.0,872700100.0,63000000.0,-52100000.0,62500000.0,809000000.0,-18100000.0,826800000.0,824200000.0,6.3,0.2018,0.1094,0.1014,0.1034,0.108,1219400100.0,872700100.0,6.28,-0.0308,6.3204,-0.02,6.34,826800000.0,-2700000.0,825200000.0,0.1529,0.1464,DRI
2021-05-31 00:00:00,7196100000.0,5702600000.0,1493500200.0,487300000.0,648700200.0,64000000.0,-72200000.0,63500000.0,576500000.0,-55900000.0,632400000.0,629300000.0,4.83,0.2075,0.0901,0.0801,0.0875,0.129,999600200.0,648700200.0,4.8,-0.03,4.826,-0.02,4.85,632400000.0,-3100000.0,629300000.0,0.1389,0.1659,DRI
2021-02-28 00:00:00,6187000000.0,5222400000.0,964599900.0,482000000.0,-266799700.0,67000000.0,-73000000.0,66300000.0,-339800000.0,-123500000.0,-216300000.0,-219200000.0,-1.85,0.1559,-0.0431,-0.0549,-0.0354,0.0431,89400300.0,-266799900.0,-1.89,-0.033,-1.9317,-0.0225,-1.91,-216300000.0,-2900000.0,-219200000.0,0.0144,0.0874,DRI
2020-11-30 00:00:00,6800500000.0,5635300000.0,1165200000.0,555800000.0,-136499700.0,65000000.0,-70500000.0,64300000.0,-207000000.0,-94800000.0,-112200000.0,-115600000.0,-0.92,0.1713,-0.0201,-0.0304,-0.017,0.0562,219200400.0,-136499900.0,-0.97,-0.0392,-1.0028,-0.0269,-0.98,-112200000.0,-3400000.0,-115600000.0,0.0322,0.1034,DRI
2020-08-31 00:00:00,7200400000.0,5945100000.0,1255299900.0,604800000.0,-96999800.0,,-221900000.0,62800000.0,-318900000.0,-135200000.0,-183700000.0,-186900000.0,-1.46,0.1743,-0.0135,-0.0443,-0.026,0.0372,260300300.0,-97000000.0,-1.5,-0.0392,-1.5375,-0.03,-1.51,-183700000.0,-3200000.0,-186900000.0,0.0362,0.0931,DRI
2020-05-31 00:00:00,7806900000.0,6398500000.0,1408399800.0,614400000.0,47900100.0,,-208900000.0,57300000.0,-161000000.0,-111800000.0,-49200000.0,-52400000.0,-0.35,0.1804,0.0061,-0.0206,-0.0067,0.0306,403800200.0,47899900.0,-0.4,-0.04,-0.4271,-0.03,-0.4,-49200000.0,-3200000.0,-52400000.0,0.0517,0.0919,DRI
