Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19351000000.0,16966000000.0,2385000000.0,2924000000.0,1701000000.0,639000000.0,883000000.0,32000000.0,1112000000.0,-6000000.0,1118000000.0,1121000000.0,5.78,0.1232,0.0879,0.0575,0.0579,-0.0692,3434000000.0,1701000000.0,5.76,,5.8293,,5.78,1118000000.0,,1115000000.0,0.1775,0.1098,DTE
2022-06-30 00:00:00,17967000000.0,15663000000.0,2304000000.0,2926000000.0,1561000000.0,624000000.0,2112000000.0,28000000.0,655000000.0,-131000000.0,786000000.0,760000000.0,3.92,0.1282,0.0869,0.0365,0.0423,-0.0626,3251000000.0,1561000000.0,4.07,,3.9381,,4.08,786000000.0,,784000000.0,0.1809,0.1282,DTE
2022-03-31 00:00:00,16166000000.0,12934000000.0,3232000000.0,2888000000.0,1620000000.0,653000000.0,1522000000.0,186000000.0,755000000.0,-108000000.0,863000000.0,902000000.0,4.65,0.1999,0.1002,0.0467,0.0558,-0.0642,3272000000.0,1620000000.0,4.48,,4.6739,,4.49,863000000.0,,926000000.0,0.2024,0.1749,DTE
2021-12-31 00:00:00,14935000000.0,11112000000.0,3823000000.0,2851000000.0,1495000000.0,680000000.0,445000000.0,333000000.0,656000000.0,-130000000.0,786000000.0,906000000.0,4.67,0.256,0.1001,0.0439,0.0607,-0.0465,2999000000.0,1495000000.0,4.1,0.57,4.6788,0.57,4.11,786000000.0,117000000.0,930000000.0,0.2008,0.2058,DTE
2021-09-30 00:00:00,13196000000.0,8671000000.0,4525000000.0,2777000000.0,1243000000.0,715000000.0,701000000.0,425000000.0,379000000.0,-163000000.0,542000000.0,876000000.0,4.52,0.3429,0.0942,0.0287,0.0664,-0.0283,2858000000.0,1243000000.0,2.8635,1.64,4.4961,1.64,2.856,542000000.0,331000000.0,906000000.0,0.2166,0.2492,DTE
2021-06-30 00:00:00,12420000000.0,7117000000.0,5303000000.0,2712000000.0,1317000000.0,737000000.0,-483000000.0,568000000.0,834000000.0,-23000000.0,857000000.0,1327000000.0,6.85,0.427,0.106,0.0671,0.1068,0.0189,2858000000.0,1317000000.0,4.4835,2.35,6.8536,2.35,4.486,857000000.0,471000000.0,1328000000.0,0.2301,0.3166,DTE
2021-03-31 00:00:00,11982000000.0,6543000000.0,5439000000.0,2684000000.0,1442000000.0,726000000.0,-440000000.0,581000000.0,1002000000.0,-18000000.0,1020000000.0,1425000000.0,7.37,0.4539,0.1203,0.0836,0.1189,0.0305,2939000000.0,1442000000.0,5.3187,1.7,7.3688,1.7,5.3287,1020000000.0,350000000.0,1426000000.0,0.2453,0.3082,DTE
2020-12-31 00:00:00,11423000000.0,5839000000.0,5584000000.0,2700000000.0,1555000000.0,720000000.0,-473000000.0,601000000.0,1082000000.0,37000000.0,1045000000.0,1368000000.0,7.09,0.4888,0.1361,0.0947,0.1198,-0.0129,3035000000.0,1555000000.0,5.45,1.31,7.1037,1.31,5.46,1045000000.0,271000000.0,1371000000.0,0.2657,0.3236,DTE
2020-09-30 00:00:00,11332000000.0,5818000000.0,5514000000.0,2674000000.0,1530000000.0,705000000.0,-478000000.0,603000000.0,1052000000.0,25000000.0,1027000000.0,1360000000.0,7.07,0.4866,0.135,0.0928,0.12,-0.0168,2966000000.0,1530000000.0,5.3613,0.21,7.0785,0.21,5.3619,1027000000.0,51000000.0,1364000000.0,0.2617,0.3114,DTE
2020-06-30 00:00:00,11371000000.0,5846000000.0,5525000000.0,2707000000.0,1501000000.0,,-476000000.0,616000000.0,1025000000.0,51000000.0,974000000.0,1203000000.0,6.34,0.4859,0.132,0.0901,0.1058,-0.0578,2909000000.0,1501000000.0,5.1641,,6.3392,,5.1641,974000000.0,,1204000000.0,0.2558,0.2606,DTE
2020-03-31 00:00:00,11676000000.0,6301000000.0,5375000000.0,2711000000.0,1434000000.0,,-492000000.0,591000000.0,942000000.0,66000000.0,876000000.0,1108000000.0,5.89,0.4603,0.1228,0.0807,0.0949,-0.0475,2812000000.0,1434000000.0,4.7017,,5.8746,,4.6995,876000000.0,,1106000000.0,0.2408,0.2533,DTE
2019-12-31 00:00:00,12168000000.0,6833000000.0,5335000000.0,2722000000.0,1430000000.0,,-417000000.0,568000000.0,1013000000.0,71000000.0,942000000.0,1169000000.0,6.32,0.4384,0.1175,0.0833,0.0961,-0.0286,2753000000.0,1430000000.0,5.1499,,6.3351,,5.16,942000000.0,,1172000000.0,0.2262,0.2177,DTE
2019-09-30 00:00:00,13271000000.0,7515000000.0,5756000000.0,2878000000.0,1624000000.0,,-425000000.0,615000000.0,1199000000.0,99000000.0,1100000000.0,1093000000.0,5.97,0.4337,0.1224,0.0903,0.0824,-0.0421,2896000000.0,1624000000.0,6.0074,,6.0344,,6.0344,1100000000.0,,1100000000.0,0.2182,0.1909,DTE
2019-06-30 00:00:00,13702000000.0,7993000000.0,5709000000.0,2892000000.0,1603000000.0,,-399000000.0,595000000.0,1204000000.0,86000000.0,1118000000.0,1108000000.0,6.08,0.4167,0.117,0.0879,0.0809,-0.0247,2825000000.0,1603000000.0,6.1253,,6.1429,,6.1429,1118000000.0,,1118000000.0,0.2062,0.1908,DTE
2019-03-31 00:00:00,13973000000.0,8252000000.0,5721000000.0,2920000000.0,1632000000.0,,-373000000.0,576000000.0,1259000000.0,84000000.0,1175000000.0,1160000000.0,6.38,0.4094,0.1168,0.0901,0.083,-0.0186,2816000000.0,1632000000.0,6.4564,,6.4687,,6.4687,1175000000.0,,1175000000.0,0.2015,0.1856,DTE
2018-12-31 00:00:00,14212000000.0,8611000000.0,5601000000.0,2856000000.0,1594000000.0,,-378000000.0,559000000.0,1216000000.0,98000000.0,1118000000.0,1120000000.0,6.19,0.3941,0.1122,0.0856,0.0788,-0.0023,2763000000.0,1594000000.0,6.1769,,6.1769,,6.1769,1118000000.0,,1118000000.0,0.1944,0.1886,DTE
2018-09-30 00:00:00,13733000000.0,8243000000.0,5490000000.0,2716000000.0,1634000000.0,,-377000000.0,544000000.0,1257000000.0,55000000.0,1202000000.0,1216000000.0,6.74,0.3998,0.119,0.0915,0.0885,0.0114,2787000000.0,1634000000.0,6.6588,,6.6588,,6.6588,1202000000.0,,1202000000.0,0.2029,0.1903,DTE
2018-06-30 00:00:00,13428000000.0,8014000000.0,5414000000.0,2654000000.0,1639000000.0,,-414000000.0,548000000.0,1225000000.0,95000000.0,1130000000.0,1152000000.0,6.41,0.4032,0.1221,0.0912,0.0858,-0.0003,2778000000.0,1639000000.0,6.2874,,6.2874,,6.2874,1130000000.0,,1130000000.0,0.2069,0.1763,DTE
2018-03-31 00:00:00,13124000000.0,7781000000.0,5343000000.0,2613000000.0,1630000000.0,,-428000000.0,546000000.0,1202000000.0,133000000.0,1069000000.0,1095000000.0,6.11,0.4071,0.1242,0.0916,0.0834,-0.0041,2748000000.0,1630000000.0,5.9612,,5.9612,,5.9612,1069000000.0,,1069000000.0,0.2094,0.1652,DTE
2017-12-31 00:00:00,12607000000.0,7164000000.0,5443000000.0,2661000000.0,1711000000.0,,-424000000.0,536000000.0,1287000000.0,175000000.0,1112000000.0,1134000000.0,6.33,0.4317,0.1357,0.1021,0.09,-0.0105,2794000000.0,1711000000.0,6.2123,,6.2123,,6.2123,1112000000.0,,1112000000.0,0.2216,0.1679,DTE
2017-09-30 00:00:00,12210000000.0,6780000000.0,5430000000.0,2702000000.0,1681000000.0,,-456000000.0,535000000.0,1225000000.0,269000000.0,956000000.0,978000000.0,5.46,0.4447,0.1377,0.1003,0.0801,-0.0334,2764000000.0,1681000000.0,5.3629,,5.3408,,5.3408,956000000.0,,956000000.0,0.2264,0.1529,DTE
2017-06-30 00:00:00,11893000000.0,6411000000.0,5482000000.0,2715000000.0,1754000000.0,,-431000000.0,503000000.0,1323000000.0,305000000.0,1018000000.0,1046000000.0,5.83,0.4609,0.1475,0.1112,0.088,-0.0193,2809000000.0,1754000000.0,5.6992,,5.6871,,5.6871,1018000000.0,,1018000000.0,0.2362,0.1674,DTE
2017-03-31 00:00:00,11300000000.0,5898000000.0,5402000000.0,2709000000.0,1690000000.0,,-404000000.0,484000000.0,1286000000.0,298000000.0,988000000.0,1021000000.0,5.68,0.4781,0.1496,0.1138,0.0904,-0.0044,2741000000.0,1690000000.0,5.5271,,5.5195,,5.5195,988000000.0,,988000000.0,0.2426,0.1881,DTE
2016-12-31 00:00:00,10630000000.0,5530000000.0,5100000000.0,2631000000.0,1486000000.0,,-381000000.0,472000000.0,1105000000.0,271000000.0,834000000.0,868000000.0,4.83,0.4798,0.1398,0.104,0.0817,0.0037,2520000000.0,1486000000.0,4.6593,,4.6592,,4.6592,834000000.0,,834000000.0,0.2371,0.196,DTE
2016-09-30 00:00:00,10243000000.0,5342000000.0,4901000000.0,2598000000.0,1278000000.0,,-268000000.0,450000000.0,1010000000.0,223000000.0,787000000.0,817000000.0,4.55,0.4785,0.1248,0.0986,0.0798,0.0227,2257000000.0,1278000000.0,4.3743,,4.3881,,4.3881,787000000.0,,787000000.0,0.2203,0.2158,DTE
2016-06-30 00:00:00,9913000000.0,5133000000.0,4780000000.0,2577000000.0,1211000000.0,,-270000000.0,452000000.0,941000000.0,215000000.0,726000000.0,744000000.0,4.14,0.4822,0.1222,0.0949,0.0751,0.001,2153000000.0,1211000000.0,4.0354,,4.0474,,4.0474,726000000.0,,726000000.0,0.2172,0.203,DTE
2016-03-31 00:00:00,9919000000.0,5205000000.0,4714000000.0,2567000000.0,1159000000.0,,-282000000.0,453000000.0,877000000.0,191000000.0,686000000.0,701000000.0,3.91,0.4752,0.1168,0.0884,0.0707,-0.0139,2079000000.0,1159000000.0,3.8164,,3.8239,,3.8239,686000000.0,,686000000.0,0.2096,0.193,DTE
2015-12-31 00:00:00,10337000000.0,5562000000.0,4775000000.0,2578000000.0,1239000000.0,,-289000000.0,450000000.0,950000000.0,230000000.0,720000000.0,727000000.0,4.06,0.4619,0.1199,0.0919,0.0703,-0.0101,2137000000.0,1239000000.0,4.0224,,4.0224,,4.0224,720000000.0,,720000000.0,0.2067,0.1854,DTE
