Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,19143000000.0,2687000000.0,16456000000.0,6419000000.0,8213000000.0,344000000.0,-1760000000.0,23000000.0,7884000000.0,1539000000.0,6345000000.0,6320000000.0,9.55,0.8596,0.429,0.4118,0.3301,0.1814,10359000000.0,8213000000.0,9.5757,,9.6709,,9.5979,6345000000.0,,6345000000.0,0.5411,0.4303,DVN
2022-06-30 00:00:00,17177000000.0,2507000000.0,14670000000.0,6078000000.0,6712000000.0,345000000.0,-1215000000.0,5000000.0,6383000000.0,1094000000.0,5289000000.0,5265000000.0,7.9,0.854,0.3908,0.3716,0.3065,0.3256,8856000000.0,6712000000.0,7.9224,,8.0168,,7.9438,5289000000.0,,5289000000.0,0.5156,0.4513,DVN
2022-03-31 00:00:00,13968000000.0,2291000000.0,11677000000.0,5349000000.0,4521000000.0,349000000.0,-834000000.0,8000000.0,4192000000.0,580000000.0,3612000000.0,3589000000.0,5.34,0.836,0.3237,0.3001,0.2569,0.3004,6675000000.0,4521000000.0,5.3704,,5.457,,5.384,3612000000.0,,3612000000.0,0.4779,0.4404,DVN
2021-12-31 00:00:00,12206000000.0,2131000000.0,10075000000.0,4872000000.0,3227000000.0,361000000.0,-709000000.0,,2898000000.0,65000000.0,2833000000.0,2813000000.0,4.19,0.8254,0.2644,0.2374,0.2305,0.2434,5358000000.0,3227000000.0,4.19,,4.273,,4.2,2833000000.0,,2833000000.0,0.439,0.4014,DVN
2021-09-30 00:00:00,9213000000.0,1797000000.0,7416000000.0,4211000000.0,1330000000.0,345000000.0,16000000.0,9000000.0,1126000000.0,-122000000.0,1248000000.0,1205000000.0,1.68,0.8049,0.1444,0.1222,0.1308,0.2199,3199000000.0,1330000000.0,1.7492,,1.7051,,1.755,1248000000.0,,1223000000.0,0.3472,0.3981,DVN
2021-06-30 00:00:00,6814000000.0,1513000000.0,5301000000.0,3418000000.0,239000000.0,329000000.0,339000000.0,,-31000000.0,-332000000.0,301000000.0,275000000.0,0.19,0.778,0.0351,-0.0045,0.0404,0.1626,1844000000.0,239000000.0,0.2162,,0.2197,,0.2183,301000000.0,,289000000.0,0.2706,0.3625,DVN
2021-03-31 00:00:00,4791000000.0,1263000000.0,3528000000.0,2766000000.0,-745000000.0,310000000.0,836000000.0,13000000.0,-1015000000.0,-378000000.0,-637000000.0,-651000000.0,-1.97,0.7364,-0.1555,-0.2119,-0.1359,0.066,638000000.0,-745000000.0,-1.9682,,-1.9377,,-1.9672,-637000000.0,,-640000000.0,0.1332,0.3187,DVN
2020-12-31 00:00:00,4828000000.0,1123000000.0,3705000000.0,2485000000.0,-2820000000.0,282000000.0,2405000000.0,,-3090000000.0,-547000000.0,-2543000000.0,-2680000000.0,-7.12,0.7674,-0.5841,-0.64,-0.5551,0.0698,-1488000000.0,-2820000000.0,-6.78,-0.34,-7.0848,-0.34,-6.78,-2543000000.0,-128000000.0,-2671000000.0,-0.3082,0.3032,DVN
2020-09-30 00:00:00,5137000000.0,1176000000.0,3961000000.0,2569000000.0,-2745000000.0,276000000.0,2419000000.0,140000000.0,-3001000000.0,-543000000.0,-2458000000.0,-3220000000.0,-8.55,0.7711,-0.5344,-0.5842,-0.6268,0.0788,-1332000000.0,-2745000000.0,-6.6,-1.86,-8.4529,-1.87,-6.6,-2458000000.0,-755000000.0,-3213000000.0,-0.2593,0.328,DVN
2020-06-30 00:00:00,5816000000.0,1199000000.0,4617000000.0,2807000000.0,-2368000000.0,,2425000000.0,245000000.0,-2618000000.0,-399000000.0,-2219000000.0,-3019000000.0,-8.03,0.7938,-0.4072,-0.4501,-0.5191,0.0438,-873000000.0,-2368000000.0,-5.97,-1.97,-7.9361,-1.98,-5.97,-2219000000.0,-795000000.0,-3014000000.0,-0.1501,0.3188,DVN
