Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,2792800100.0,978400000.0,1814400100.0,604800000.0,941300000.0,266400200.0,39100000.0,-85300000.0,100100000.0,181100000.0,-800000.0,181900000.0,181900000.0,0.59,0.6497,0.0954,0.0648,0.0651,0.0936,418100200.0,266400200.0,0.4503,0.4649,0.4649,181900000.0,181900000.0,0.1497,0.2302,DXCM
2022-06-30 00:00:00,2673400100.0,906300000.0,1767100100.0,623300000.0,905200000.0,237200200.0,59600000.0,-90300000.0,100100000.0,146900000.0,-21100000.0,168000000.0,168000000.0,0.5125,0.661,0.0887,0.0549,0.0628,0.0806,375200200.0,237200200.0,0.4155,0.4306,0.4306,168000000.0,168000000.0,0.1403,0.2233,DXCM
2022-03-31 00:00:00,2572300100.0,837600000.0,1734700100.0,630700000.0,842800000.0,261200100.0,80100000.0,-92500000.0,100200000.0,168700000.0,-26800000.0,195500000.0,195500000.0,0.545,0.6744,0.1015,0.0656,0.076,0.0368,379100100.0,261200100.0,0.4783,0.5035,0.5035,195500000.0,195500000.0,0.1474,0.1888,DXCM
2021-12-31 00:00:00,2448500100.0,768000000.0,1680500100.0,604200000.0,810500000.0,265800100.0,100300000.0,-91900000.0,100300000.0,173900000.0,19200000.0,154700000.0,154700000.0,0.4,0.6863,0.1086,0.071,0.0632,0.0218,367800100.0,265800100.0,0.3864,0.3999,0.3999,154700000.0,154700000.0,0.1502,0.1807,DXCM
2021-09-30 00:00:00,2319199900.0,712200000.0,1606999900.0,486500000.0,749500000.0,369200000.0,99700000.0,-37500000.0,38700000.0,331700000.0,-245700000.0,577400000.0,577400000.0,1.375,0.6929,0.1592,0.143,0.249,0.0602,459500000.0,369200000.0,1.4335,1.5158,1.5158,577400000.0,577400000.0,0.1981,0.2193,DXCM
2021-06-30 00:00:00,2169899900.0,669400000.0,1500499900.0,445400000.0,709600000.0,345000000.0,99000000.0,-50200000.0,58500000.0,294800000.0,-267500000.0,562300000.0,562300000.0,1.38,0.6915,0.159,0.1359,0.2591,0.0463,428200000.0,345000000.0,1.412,1.4789,1.4789,562300000.0,562300000.0,0.1973,0.1885,DXCM
2021-03-31 00:00:00,2026599900.0,659100000.0,1367499900.0,396200000.0,659500000.0,311800000.0,94100000.0,-67900000.0,74000000.0,243900000.0,-286300000.0,530200000.0,530200000.0,1.34,0.6748,0.1539,0.1203,0.2616,0.1165,386800000.0,311800000.0,1.3477,1.3997,1.3997,530200000.0,530200000.0,0.1909,0.2475,DXCM
2020-12-31 00:00:00,1926699900.0,646600000.0,1280099900.0,359900000.0,620700000.0,299500000.0,84700000.0,-74500000.0,84700000.0,225000000.0,-268600000.0,493600000.0,493600000.0,1.29,0.6644,0.1554,0.1168,0.2562,0.1436,366600000.0,299500000.0,1.2656,1.3072,1.3072,493600000.0,493600000.0,0.1903,0.2468,DXCM
2020-09-30 00:00:00,1820599900.0,630300000.0,1190299900.0,319500000.0,573800000.0,297000000.0,75400000.0,-59000000.0,75400000.0,238000000.0,6900000.0,231100000.0,231100000.0,0.6175,0.6538,0.1631,0.1307,0.1269,0.1452,358000000.0,297000100.0,0.6069,0.6213,0.6213,231100000.0,231100000.0,0.1966,0.2457,DXCM
2020-06-30 00:00:00,1715999900.0,619200000.0,1096799900.0,298500000.0,539400000.0,258900000.0,,-50200000.0,66100000.0,208700000.0,4000000.0,204700000.0,204700000.0,0.555,0.6392,0.1509,0.1216,0.1193,0.1218,314400000.0,258900100.0,0.5493,0.5583,0.5583,204700000.0,204700000.0,0.1832,0.2297,DXCM
