Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Minority Interest,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,13882000000.0,8542000000.0,5339000000.0,3599600000.0,1550999800.0,193000000.0,234000000.0,7000000.0,1371000000.0,227000000.0,1144700000.0,,1128000000.0,3.93,0.3846,0.1117,0.0988,0.0813,0.0607,2368000000.0,1550999500.0,3.9345,,4.0076,,3.9618,1144700000.0,,1145000000.0,0.1706,0.1131,ECL
2022-06-30 00:00:00,13534000000.0,8214000000.0,5319000000.0,3619700000.0,1533799800.0,208000000.0,296000000.0,7000000.0,1361000000.0,241000000.0,1121300000.0,,1106000000.0,3.84,0.393,0.1133,0.1006,0.0817,0.0779,2404000000.0,1533799500.0,3.8412,,3.9194,,3.8736,1121300000.0,,1122000000.0,0.1776,0.1298,ECL
2022-03-31 00:00:00,13115700000.0,7848000000.0,5267700000.0,3532900000.0,1555799800.0,210000000.0,222900000.0,51600000.0,1371700000.0,250100000.0,1122200000.0,,1108800000.0,3.85,0.4016,0.1186,0.1046,0.0845,0.096,2464199800.0,1555799500.0,3.836,,3.9191,,3.8733,1122200000.0,,1122600000.0,0.1879,0.1477,ECL
2021-12-31 00:00:00,12733700000.0,7539000000.0,5194700000.0,3481100000.0,1598599800.0,216000000.0,97200000.0,101300000.0,1414300000.0,270200000.0,1144000000.0,,1130400000.0,3.93,0.4079,0.1255,0.1111,0.0888,0.1124,2438699900.0,1598599500.0,3.91,-7.48,3.9958,-7.57,3.95,1144000000.0,-2172500100.0,1144100000.0,0.1915,0.1619,ECL
2021-09-30 00:00:00,12433999000.0,7295300000.0,5138700000.0,3422800000.0,1626998900.0,284000000.0,-34900000.0,147700000.0,1442300100.0,299300000.0,1143600000.0,,1129700100.0,3.94,0.4133,0.1309,0.116,0.0909,0.1235,2461299000.0,1626999400.0,3.9425,,3.9988,,3.9809,1153300000.0,,1153700000.0,0.1979,0.1665,ECL
2021-06-30 00:00:00,12131599000.0,7105900000.0,5025700000.0,3328400000.0,1572599000.0,258000000.0,-240600000.0,280500000.0,1332000100.0,267700000.0,1064300000.0,14200000.0,1050900100.0,3.68,0.4143,0.1296,0.1098,0.0866,0.117,2409699100.0,1572599500.0,3.6563,,3.725,,3.6936,1074000000.0,,1074000000.0,0.1986,0.1566,ECL
2021-03-31 00:00:00,11654599000.0,6897600000.0,4757000000.0,3263700000.0,1316799400.0,263000000.0,-236100000.0,293600000.0,1080700100.0,195700000.0,885000000.0,15700000.0,-1294899900.0,-4.47,0.4082,0.113,0.0927,-0.1111,0.1154,2145999500.0,1316799900.0,3.0104,,-4.4326,,3.0471,889300000.0,,-1274600000.0,0.1841,0.153,ECL
2020-12-31 00:00:00,11790199000.0,6905800000.0,4884400000.0,3309100000.0,1395699600.0,258000000.0,-234300000.0,290200000.0,1161400100.0,176600000.0,984800000.0,,-1205099900.0,-4.17,0.4143,0.1184,0.0985,-0.1022,0.1167,2208399600.0,1395700100.0,3.33,-7.2,-4.1384,-7.3,3.37,984800000.0,-2092700100.0,-1187700000.0,0.1873,0.1578,ECL
2020-09-30 00:00:00,11388400000.0,6520500000.0,4867900000.0,3272800100.0,1444201100.0,252000000.0,-228100000.0,287800000.0,1216100100.0,181300000.0,1034800000.0,17200000.0,-1075800000.0,-3.73,0.4274,0.1268,0.1068,-0.0945,0.1269,2245701100.0,1444200800.0,3.4623,,-3.6705,,3.5277,1033400000.0,,-1059300000.0,0.1972,0.1784,ECL
2020-06-30 00:00:00,11593800000.0,6531800000.0,5062000000.0,3339400100.0,1581801000.0,,-133700000.0,199100000.0,1448100100.0,222300000.0,1225800000.0,18000000.0,-857800000.0,-2.98,0.4366,0.1364,0.1249,-0.074,0.1403,2368601000.0,1581800700.0,4.1023,-7.07,-2.9328,-7.17,4.1777,1220000000.0,-2064400000.0,-844400000.0,0.2043,0.1951,ECL
2020-03-31 00:00:00,12077200000.0,6676400000.0,5400800000.0,3450800100.0,1854200900.0,,-118400000.0,189600000.0,1735800100.0,297000000.0,1438800000.0,,1545800000.0,5.36,0.4472,0.1535,0.1437,0.128,0.1432,2589401000.0,1854200600.0,4.8423,0.43,5.4099,0.43,4.9177,1434500000.0,124700000.0,1559200000.0,0.2144,0.1999,ECL
2019-12-31 00:00:00,12562000000.0,7045800000.0,5516200000.0,3550800100.0,1845200400.0,,-113700000.0,190700000.0,1731500100.0,288600000.0,1442900000.0,,1558900000.0,5.41,0.4391,0.1469,0.1378,0.1241,0.1351,2620500500.0,1845200100.0,4.87,,5.4709,,4.95,1442900000.0,,1576200000.0,0.2086,0.1927,ECL
2019-09-30 00:00:00,11212899000.0,6117000400.0,5095899000.0,3263500100.0,1743798800.0,,-114600000.0,197400000.0,1629200000.0,315400000.0,1313800000.0,,1524400000.0,5.29,0.4545,0.1555,0.1453,0.136,0.1591,2352798900.0,1743799000.0,4.4203,,5.3389,,4.4703,1305500100.0,,1537800000.0,0.2098,0.2164,ECL
2019-06-30 00:00:00,11736099000.0,6526800400.0,5209299000.0,3359000100.0,1710998800.0,,-124000000.0,207000000.0,1587000000.0,275200000.0,1311800000.0,,1495600000.0,5.19,0.4439,0.1458,0.1352,0.1274,0.1456,2360298900.0,1710999000.0,4.4242,,5.2454,,4.478,1307900100.0,,1511900000.0,0.2011,0.2053,ECL
2019-03-31 00:00:00,12256599000.0,6892600400.0,5363999000.0,3495800100.0,1741198600.0,,-132400000.0,214100000.0,1608800000.0,290700000.0,1318100000.0,,1478300000.0,5.13,0.4376,0.1421,0.1313,0.1206,0.1171,2479298600.0,1741198800.0,4.4498,,5.1882,,4.5124,1318100100.0,,1496900000.0,0.2023,0.1769,ECL
