Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,5177000000.0,2714000000.0,2464000000.0,1331700000.0,1132099900.0,168000000.0,209000000.0,166900000.0,927000000.0,212000000.0,714200000.0,711000000.0,5.76,0.476,0.2187,0.1791,0.1373,0.042,1698000000.0,1132099900.0,5.7816,,5.8392,,5.8392,714200000.0,,714000000.0,0.328,0.1578,EFX
2022-06-30 00:00:00,5156000000.0,2637000000.0,2520000000.0,1357700000.0,1162399900.0,156000000.0,190000000.0,154800000.0,972000000.0,218000000.0,753900000.0,750000000.0,6.08,0.4888,0.2254,0.1885,0.1455,0.0614,1704000000.0,1162399900.0,6.0982,,6.1704,,6.1704,753900000.0,,754000000.0,0.3305,0.1669,EFX
2022-03-31 00:00:00,5073800000.0,2438000000.0,2636800000.0,1355900000.0,1163799900.0,149000000.0,91100000.0,148100000.0,984100000.0,216200000.0,768400000.0,764100000.0,6.22,0.5197,0.2294,0.194,0.1506,0.0956,1682700000.0,1163799900.0,6.213,,6.2976,,6.2976,768400000.0,,768900000.0,0.3316,0.1957,EFX
2021-12-31 00:00:00,4923800000.0,2230300000.0,2693500000.0,1324400000.0,1138000000.0,146000000.0,-14000000.0,145600000.0,948600000.0,200800000.0,748500000.0,743700000.0,6.08,0.547,0.2311,0.1927,0.151,0.1768,1634000000.0,1138000000.0,6.0559,,6.1402,,6.1402,748500000.0,,748800000.0,0.3319,0.2711,EFX
2021-09-30 00:00:00,4789300000.0,2053100000.0,2736200000.0,1347800000.0,1055299900.0,144000000.0,-149100000.0,144000000.0,905000000.0,202500000.0,703100000.0,696200000.0,5.7,0.5713,0.2203,0.189,0.1454,0.1675,1514599900.0,1055300100.0,5.6988,,5.7704,,5.7704,703100000.0,,703500000.0,0.3162,0.2603,EFX
2021-06-30 00:00:00,4634600000.0,1880300000.0,2754300000.0,1333800000.0,986499900.0,146000000.0,-40400000.0,146400000.0,946100000.0,220300000.0,725800000.0,719700000.0,5.88,0.5943,0.2129,0.2041,0.1553,0.1621,1430099900.0,986500100.0,5.8928,,5.9628,,5.9628,725800000.0,,725800000.0,0.3086,0.2622,EFX
2021-03-31 00:00:00,4382600000.0,1806600000.0,2576000000.0,1315300000.0,847299900.0,148000000.0,-49900000.0,148100000.0,797400000.0,187100000.0,610300000.0,604800000.0,4.9,0.5878,0.1933,0.1819,0.138,0.1398,1268999900.0,847300100.0,4.9629,,5.0172,,5.0172,610300000.0,,610300000.0,0.2896,0.2416,EFX
2020-12-31 00:00:00,4127500000.0,1737400000.0,2390100000.0,1322500000.0,676599900.0,142000000.0,8600000.0,141600000.0,685200000.0,159000000.0,526200000.0,520100000.0,4.17,0.5791,0.1639,0.166,0.126,0.1272,1075899900.0,676600100.0,4.285,,4.3308,,4.3308,526200000.0,,526200000.0,0.2607,0.2292,EFX
2020-09-30 00:00:00,3914800200.0,1639399900.0,2275400200.0,1344899900.0,554200200.0,134000000.0,79800000.0,134100000.0,634000000.0,160000000.0,474000100.0,469500000.0,3.64,0.5812,0.1416,0.1619,0.1199,0.1217,937900200.0,554200000.0,3.8771,,3.9122,,3.9122,474000100.0,,474000000.0,0.2396,0.2247,EFX
2020-06-30 00:00:00,3722200200.0,1580699900.0,2141500200.0,1310399900.0,471400200.0,,-47000000.0,124700000.0,424400000.0,97200000.0,327200100.0,322100000.0,2.47,0.5753,0.1266,0.114,0.0865,-0.0097,837700200.0,471400000.0,2.6875,,2.7068,,2.7068,327200100.0,,327200000.0,0.2251,0.0934,EFX
