Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,10865000000.0,8608000000.0,2257000000.0,267000000.0,762000000.0,1106000000.0,172000000.0,519000000.0,49000000.0,1478000000.0,304000000.0,1174000000.0,1170000000.0,9.1,0.2077,0.1018,0.136,0.1077,0.0262,1716000000.0,1106000000.0,9.0865,,9.2113,,9.2113,1174000000.0,,1174000000.0,0.1579,0.0873,EMN
2022-06-30 00:00:00,10894000000.0,8506000000.0,2388000000.0,265000000.0,790000000.0,1209000000.0,175000000.0,443000000.0,48000000.0,1518000000.0,291000000.0,1227000000.0,1220000000.0,9.2,0.2192,0.111,0.1393,0.112,0.0566,1827000000.0,1209000000.0,9.2092,,9.3401,,9.3401,1227000000.0,,1227000000.0,0.1677,0.1137,EMN
2022-03-31 00:00:00,10773000000.0,8330000000.0,2443000000.0,261000000.0,807000000.0,1214000000.0,187000000.0,-194000000.0,54000000.0,1030000000.0,204000000.0,826000000.0,818000000.0,6.1,0.2268,0.1127,0.0956,0.0759,0.0765,1907000000.0,1214000000.0,6.1164,,6.2212,,6.2212,826000000.0,,826000000.0,0.177,0.1318,EMN
2021-12-31 00:00:00,10473000000.0,7974000000.0,2499000000.0,254000000.0,795000000.0,1281000000.0,192000000.0,-281000000.0,103000000.0,1082000000.0,215000000.0,867000000.0,857000000.0,6.31,0.2386,0.1223,0.1033,0.0818,0.0994,2039000000.0,1281000000.0,6.3238,,6.427,,6.427,867000000.0,,867000000.0,0.1947,0.1546,EMN
2021-09-30 00:00:00,9968000000.0,7510000000.0,2458000000.0,244000000.0,761000000.0,1329000000.0,195000000.0,-659000000.0,153000000.0,578000000.0,57000000.0,521000000.0,511000000.0,3.73,0.2466,0.1333,0.058,0.0513,0.1148,1846000000.0,1329000000.0,3.7841,,3.8479,,3.8479,521000000.0,,521000000.0,0.1852,0.16,EMN
2021-06-30 00:00:00,9370000000.0,7064000000.0,2306000000.0,234000000.0,725000000.0,1142000000.0,199000000.0,-695000000.0,204000000.0,447000000.0,115000000.0,332000000.0,321000000.0,2.36,0.2461,0.1219,0.0477,0.0343,0.1157,1725000000.0,1142000000.0,2.4108,,2.451,,2.451,332000000.0,,332000000.0,0.1841,0.159,EMN
2021-03-31 00:00:00,8641000000.0,6645000000.0,1996000000.0,223000000.0,678000000.0,758000000.0,203000000.0,-205000000.0,208000000.0,553000000.0,47000000.0,506000000.0,494000000.0,3.63,0.231,0.0877,0.064,0.0572,0.1282,1342000000.0,758000000.0,3.6908,,3.7323,,3.7323,506000000.0,,506000000.0,0.1553,0.1736,EMN
2020-12-31 00:00:00,8473000000.0,6498000000.0,1975000000.0,226000000.0,654000000.0,741000000.0,205000000.0,-211000000.0,210000000.0,530000000.0,41000000.0,489000000.0,478000000.0,3.52,0.2331,0.0875,0.0626,0.0564,0.125,1315000000.0,741000000.0,3.5825,,3.6088,,3.6088,489000000.0,,489000000.0,0.1552,0.1717,EMN
2020-09-30 00:00:00,8492000000.0,6546000000.0,1946000000.0,229000000.0,656000000.0,730000000.0,207000000.0,-216000000.0,212000000.0,514000000.0,32000000.0,482000000.0,472000000.0,3.48,0.2292,0.086,0.0605,0.0556,0.1553,1308000000.0,730000000.0,3.5463,,3.564,,3.564,482000000.0,,482000000.0,0.154,0.2025,EMN
2020-06-30 00:00:00,8695000000.0,6676000000.0,2019000000.0,232000000.0,654000000.0,854000000.0,,-217000000.0,214000000.0,637000000.0,53000000.0,584000000.0,577000000.0,4.24,0.2322,0.0982,0.0733,0.0664,0.145,1434000000.0,854000000.0,4.2733,,4.2963,,4.2963,584000000.0,,584000000.0,0.1649,0.1948,EMN
