Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,12392000000.0,4193000000.0,8198000000.0,,247946000.0,2855567900.0,270000000.0,5215000000.0,202025000.0,2456000000.0,585000000.0,1869657000.0,1860000000.0,4.52,0.6616,0.2304,0.1982,0.1501,0.1759,9657000000.0,2855567900.0,4.5462,,4.9964,,4.9964,1869657000.0,,1869000000.0,0.7793,0.2883,EQT
2022-06-30 00:00:00,10487000000.0,4167000000.0,6319000000.0,,229715000.0,-678544000.0,290000000.0,6802000000.0,217396000.0,-1026000000.0,-230000000.0,-794016000.0,-804000000.0,-2.72,0.6026,-0.0647,-0.0978,-0.0767,0.115,7797000000.0,-678544000.0,-2.6947,,-2.4005,,-2.4005,-794016000.0,,-798000000.0,0.7435,0.2356,EQT
2022-03-31 00:00:00,6853884000.0,3627341000.0,3226543000.0,,220292000.0,-3258086000.0,301000000.0,5741008000.0,223665000.0,-3507633000.0,-884311000.0,-2621562000.0,-2628260000.0,-8.26,0.4708,-0.4754,-0.5118,-0.3835,0.1738,4284044000.0,-3258086000.0,-8.2336,,-8.1616,,-8.1616,-2621562000.0,,-2625322000.0,0.6251,0.3332,EQT
2021-12-31 00:00:00,5304807000.0,3111304000.0,2193503000.0,,196202000.0,-1360975000.0,308000000.0,2358263000.0,226236000.0,-1578533000.0,-431270000.0,-1144920000.0,-1149687000.0,-4.36,0.4135,-0.2566,-0.2976,-0.2167,0.1149,2851347000.0,-1360975000.0,-4.3215,,-4.2495,,-4.2495,-1144920000.0,,-1148263000.0,0.5375,0.3134,EQT
2021-09-30 00:00:00,3734392000.0,2498426000.0,1235966000.0,,188695000.0,-3672239000.0,306000000.0,3051938000.0,292522000.0,-3911775000.0,-1025190000.0,-2883796000.0,-2886999000.0,-8.82,0.331,-0.9834,-1.0475,-0.7731,-0.0135,1225997000.0,-3672239000.0,-8.7858,,-8.7843,,-8.7843,-2883796000.0,,-2887585000.0,0.3283,0.2404,EQT
2021-06-30 00:00:00,2114519000.0,1952947000.0,161572000.0,,191349000.0,-1822908000.0,295000000.0,-273264000.0,286167000.0,-2096172000.0,-587947000.0,-1508225000.0,-1507639000.0,-5.62,0.0764,-0.8621,-0.9913,-0.713,0.023,-304071100.0,-1822908000.0,-5.597,,-5.5955,,-5.5955,-1508225000.0,,-1508225000.0,-0.1438,0.489,EQT
2021-03-31 00:00:00,2901709000.0,1884447000.0,1017262000.0,,184837000.0,-992179000.0,283000000.0,-190438000.0,279299000.0,-1182617000.0,-344639000.0,-837978000.0,-837454000.0,-3.3,0.3506,-0.3419,-0.4076,-0.2886,0.1813,479856900.0,-992179000.0,-3.2832,,-3.2817,,-3.2817,-837978000.0,,-837978000.0,0.1654,0.4953,EQT
2020-12-31 00:00:00,3058843000.0,1871621000.0,1187222000.0,,174769000.0,-877666000.0,270000000.0,-388368000.0,271200000.0,-1266034000.0,-298858000.0,-967176000.0,-967166000.0,-3.8,0.3881,-0.2869,-0.4139,-0.3162,0.2032,579218900.0,-877666000.0,-3.8014,,-3.7999,,-3.7999,-967176000.0,,-967176000.0,0.1894,0.5027,EQT
2020-09-30 00:00:00,2817741000.0,1872186000.0,945555000.0,,85982000.0,-2485816000.0,240806000.0,-384432000.0,241980000.0,-2870248000.0,-662470000.0,-2207778000.0,-2207778000.0,-8.64,0.3356,-0.8822,-1.0186,-0.7835,0.1168,-1020884100.0,-2485816000.0,-8.6469,,-8.6481,,-8.6481,-2207778000.0,,-2207778000.0,-0.3623,0.4789,EQT
2020-06-30 00:00:00,3597190000.0,1880920000.0,1716270000.0,,113704000.0,-1887150000.0,,-604072000.0,220535000.0,-2491222000.0,-523056000.0,-1968166000.0,-1968166000.0,-7.7,0.4771,-0.5246,-0.6925,-0.5471,0.0684,-377620000.0,-1887150000.0,-7.7114,,-7.7126,,-7.7126,-1968166000.0,,-1968166000.0,-0.105,0.4125,EQT
2020-03-31 00:00:00,4380368000.0,1911236000.0,2469132000.0,,156571000.0,-1204208000.0,,-756505000.0,205652000.0,-1960713000.0,-381188000.0,-1579525000.0,-1579525000.0,-6.18,0.5637,-0.2749,-0.4476,-0.3606,-0.0016,355977000.0,-1204208000.0,-6.1898,,-6.1908,,-6.1908,-1579525000.0,,-1579525000.0,0.0813,0.338,EQT
2019-12-31 00:00:00,4416484000.0,1913760000.0,2502724000.0,,170611000.0,-1152110100.0,,-445361000.0,199851000.0,-1597471000.0,-375776000.0,-1221695000.0,-1221695000.0,-4.78,0.5667,-0.2609,-0.3617,-0.2766,0.0564,445846900.0,-1152110100.0,-4.7884,,-4.7883,,-4.7883,-1221695000.0,,-1221695000.0,0.101,0.4193,EQT
2019-09-30 00:00:00,4650139000.0,1916436000.0,2733703300.0,,292515000.0,-260733900.0,,-491131000.0,212532000.0,-751864900.0,-109032000.0,-642832900.0,-444048000.0,-2.67,0.5879,-0.0561,-0.1617,-0.0955,-0.1711,1396114100.0,-260734100.0,-2.5554,,-3.17,,-2.5541,-642833000.0,,-806743900.0,0.3002,0.4655,EQT
2019-06-30 00:00:00,4748609000.0,1904258000.0,2844351300.0,,264955000.0,-246655800.0,,-257146000.0,221003000.0,-503801900.0,-94650000.0,-409151900.0,-122713000.0,-1.41,0.599,-0.0519,-0.1061,-0.0258,-0.0483,1442737100.0,-246656000.0,-1.6309,,-1.5111,,-1.6296,-409152000.0,,-382267900.0,0.3038,0.5791,EQT
2019-03-31 00:00:00,4389005000.0,1906686000.0,2482319300.0,,241706000.0,-657335800.0,,-182797000.0,227620000.0,-840132900.0,-228437000.0,-611695900.0,-230473000.0,-1.83,0.5656,-0.1498,-0.1914,-0.0525,-0.1255,1061324100.0,-657336000.0,-2.4129,,-1.4888,,-2.4118,-611696000.0,,-371487900.0,0.2418,0.6706,EQT
2018-12-31 00:00:00,4557868000.0,1899541000.0,2658327300.0,,232543000.0,-2783123700.0,,-294307000.0,228958000.0,-3077430900.0,-696511000.0,-2380919900.0,-2007158000.0,-8.57,0.5832,-0.6106,-0.6752,-0.4404,-0.2179,-1009049800.0,-2783123900.0,-9.12,0.52,-7.6923,0.52,-9.12,-2380920000.0,373762000.0,-2007157900.0,-0.2214,0.653,EQT
2018-09-30 00:00:00,4161426000.0,2244754000.0,1916671900.0,,172686000.0,-2549352000.0,,-229516000.0,202072000.0,-2778868000.0,-1904232000.0,-874636000.0,-327810000.0,-0.22,0.4606,-0.6126,-0.6678,-0.0788,0.1407,-886513200.0,-2549352000.0,-2.1087,0.6707,2.4577,0.6707,-2.1023,-874636000.0,537272000.0,134150000.0,-0.213,0.6901,EQT
2018-06-30 00:00:00,3770793000.0,1955845000.0,1814947900.0,,206722000.0,-2263874100.0,,-221510000.0,196269000.0,-2485384000.0,-1843552000.0,-641832000.0,-264777000.0,0.06,0.4813,-0.6004,-0.6591,-0.0702,0.0187,-792745200.0,-2263874100.0,-1.0115,0.3407,2.8212,0.3407,-1.0044,-641832000.0,348353000.0,176159000.0,-0.2102,0.6285,EQT
2018-03-31 00:00:00,3508887000.0,1660835000.0,1848051900.0,,214748000.0,-1959097100.0,,-202033000.0,183227000.0,-2161130000.0,-1718921000.0,-442209000.0,-241457000.0,0.23,0.5267,-0.5583,-0.6159,-0.0688,-0.1662,-668763200.0,-1959097100.0,-0.0149,-0.02,3.0137,-0.02,-0.0074,-442209000.0,134925000.0,162458000.0,-0.1906,0.5778,EQT
2017-12-31 00:00:00,3091020000.0,1363697000.0,1727322900.0,,263707000.0,382211900.0,,-183599000.0,167971000.0,198613000.0,-1188416000.0,1387029000.0,1508529000.0,7.17,0.5588,0.1237,0.0643,0.488,-0.148,1444776800.0,382211900.0,7.39,,9.9164,,7.4,1387029000.0,,1858142000.0,0.4674,0.5298,EQT
2017-09-30 00:00:00,2400052000.0,1212385100.0,1187666900.0,,267792000.0,52937000.0,,-175195000.0,159800000.0,-122258000.0,-91850000.0,-30408000.0,36500000.0,0.21,0.4949,0.0221,-0.0509,0.0152,-0.619,1017204000.0,52936900.0,-0.3054,,2.0916,,-0.3035,-30408000.0,,370022000.0,0.4238,0.6283,EQT
2017-06-30 00:00:00,2297365000.0,1165770100.0,1131594900.0,,261568000.0,23367000.0,,-156613000.0,145407000.0,-133246000.0,-67485000.0,-65761000.0,5144000.0,0.03,0.4926,0.0102,-0.058,0.0022,-0.8489,978162000.0,23366900.0,-0.5071,,1.8892,,-0.5059,-65761000.0,,334669000.0,0.4258,0.6006,EQT
2017-03-31 00:00:00,1736154000.0,1116884100.0,619269900.0,13763000.0,284288000.0,-491252000.0,,-147501000.0,137634000.0,-638753000.0,-269540000.0,-369213000.0,-294627000.0,-1.76,0.3567,-0.283,-0.3679,-0.1697,-0.7073,449161000.0,-491252100.0,-2.2977,,0.0982,,-2.2969,-369213000.0,,31217000.0,0.2587,0.7455,EQT
2016-12-31 00:00:00,1387054000.0,1059024100.0,328029900.0,,270633000.0,-755028000.0,,-139234000.0,131159000.0,-894262000.0,-362769000.0,-531493000.0,-452983000.0,-2.67,0.2365,-0.5443,-0.6447,-0.3266,-1.1073,172891900.0,-755028100.0,-3.1801,,-0.785,,-3.1801,-531493000.0,,-131063000.0,0.1246,0.7673,EQT
2016-09-30 00:00:00,1830706900.0,567379000.0,1263327900.0,,286281000.0,-43543200.0,,-117541000.0,144404000.0,-161084000.0,-75544000.0,-85540000.0,-395604000.0,-2.44,0.6901,-0.0238,-0.088,-0.2161,-0.5725,858829700.0,-43543100.0,-0.5319,,-0.5321,,-0.5321,-85540000.0,,-85540000.0,0.4691,0.5924,EQT
2016-06-30 00:00:00,1857958900.0,548504000.0,1309454900.0,,299671000.0,18054800.0,,-126158000.0,144967000.0,-108103000.0,-52692000.0,-55411000.0,-346801000.0,-2.12,0.7048,0.0097,-0.0582,-0.1867,-0.4492,891566700.0,18054900.0,-0.2817,,-0.2806,,-0.2806,-55411000.0,,-55411000.0,0.4799,0.5675,EQT
2016-03-31 00:00:00,2170015900.0,527085000.0,1642930900.0,,303431000.0,375580800.0,,-131641000.0,145495000.0,243940000.0,54797000.0,189143000.0,-82620000.0,-0.53,0.7571,0.1731,0.1124,-0.0381,-0.5127,1221282700.0,375580900.0,1.2193,,1.2215,,1.2215,189143000.0,,189143000.0,0.5628,0.4833,EQT
2015-12-31 00:00:00,2339761900.0,515253000.0,1824508900.0,,319685000.0,563138800.0,,-136578000.0,146531000.0,426561000.0,104675000.0,321886000.0,85171000.0,0.57,0.7798,0.2407,0.1823,0.0364,-0.5202,1382354800.0,563138900.0,2.1047,,2.112,,2.112,321886000.0,,321886000.0,0.5908,0.5201,EQT
2015-09-30 00:00:00,2441574800.0,491057000.0,1950517900.0,,324384000.0,558177700.0,,-140567000.0,147575000.0,417611000.0,2565000.0,415046000.0,205046000.0,1.35,0.7989,0.2286,0.171,0.084,-0.5399,1352358700.0,558177800.0,2.4206,,2.7239,,2.4298,415046000.0,,414645000.0,0.5539,0.4804,EQT
2015-06-30 00:00:00,2436319800.0,464946000.0,1971373900.0,,316441000.0,619625700.0,,-141394000.0,146745000.0,478232000.0,31125000.0,447107000.0,262814000.0,1.73,0.8092,0.2543,0.1963,0.1079,-0.4872,1381157700.0,619625800.0,2.4149,,2.9398,,2.4228,447107000.0,,446706000.0,0.5669,0.5358,EQT
2015-03-31 00:00:00,2522899800.0,443733000.0,2079166900.0,,309846000.0,811362800.0,,-136544000.0,141785000.0,674819000.0,155071000.0,519748000.0,368199000.0,2.42,0.8241,0.3216,0.2675,0.1459,-0.428,1533294800.0,811362900.0,2.7179,,3.4329,,2.7247,519748000.0,,521223000.0,0.6078,0.5517,EQT
2014-12-31 00:00:00,2469709800.0,411162000.0,2058547900.0,,292662000.0,853394800.0,,-129684000.0,136537000.0,723711000.0,214092000.0,509619000.0,386965000.0,2.55,0.8335,0.3455,0.293,0.1567,-0.3462,1532692800.0,853394900.0,2.53,0.34,3.3717,0.33,2.54,509619000.0,50323000.0,510990000.0,0.6206,0.5728,EQT
2014-09-30 00:00:00,2259945000.0,329654000.0,1930291000.0,,332765000.0,994146200.0,,-122812000.0,131556000.0,871334000.0,308759000.0,562575000.0,516874000.0,3.41,0.8541,0.4399,0.3856,0.2287,-0.1007,1662283200.0,994146100.0,3.06,,4.052,,3.07,562575000.0,,613299000.0,0.7355,0.5915,EQT
2014-06-30 00:00:00,2160828000.0,312083000.0,1848745000.0,,321763000.0,929707200.0,,-121343000.0,131393000.0,808364000.0,277764000.0,530600000.0,506575000.0,3.35,0.8556,0.4303,0.3741,0.2344,-0.0197,1597914200.0,929707100.0,2.98,0.3493,3.8601,0.3493,2.99,530600000.0,53015000.0,583615000.0,0.7395,0.6161,EQT
2014-03-31 00:00:00,2107753000.0,290777000.0,1816976000.0,11804000.0,309782000.0,866916100.0,,-127392000.0,136904000.0,739524000.0,256753000.0,482771000.0,482510000.0,3.2,0.862,0.4113,0.3509,0.2289,0.0641,1546481100.0,866916000.0,2.8,0.3693,3.5742,0.3793,2.81,482771000.0,56698000.0,539469000.0,0.7337,0.6355,EQT
