Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,20166000000.0,13532000000.0,6634000000.0,660000000.0,3182000000.0,2779000000.0,,413000000.0,110000000.0,2684000000.0,391000000.0,2293000000.0,2291000000.0,5.71,0.329,0.1378,0.1331,0.1136,0.0856,4031000000.0,2779000000.0,5.7159,5.7495,5.7495,2293000000.0,2293000000.0,0.1999,0.1062,ETN
2022-06-30 00:00:00,19776000000.0,13331000000.0,6445000000.0,647000000.0,2990000000.0,2588000000.0,76000000.0,1070000000.0,132000000.0,3077000000.0,762000000.0,2315000000.0,2313000000.0,5.76,0.3259,0.1309,0.1556,0.117,0.059,3932000000.0,2588000000.0,5.7646,5.8027,5.8027,2315000000.0,2315000000.0,0.1988,0.0833,ETN
2022-03-31 00:00:00,19779000000.0,13386000000.0,6393000000.0,633000000.0,3038000000.0,2517000000.0,193000000.0,906000000.0,138000000.0,2977000000.0,757000000.0,2220000000.0,2218000000.0,5.53,0.3232,0.1273,0.1505,0.1121,0.0695,3779000000.0,2517000000.0,5.5253,5.5652,5.5652,2220000000.0,2220000000.0,0.1911,0.0983,ETN
2021-12-31 00:00:00,19628000000.0,13299000000.0,6329000000.0,616000000.0,3043000000.0,2463000000.0,331000000.0,792000000.0,144000000.0,2896000000.0,750000000.0,2146000000.0,2144000000.0,5.36,0.3224,0.1255,0.1475,0.1092,0.0809,3644000000.0,2463000000.0,5.3437,5.3824,5.3824,2146000000.0,2146000000.0,0.1857,0.1102,ETN
2021-09-30 00:00:00,19517000000.0,13248000000.0,6269000000.0,594000000.0,3057000000.0,2408000000.0,380000000.0,699000000.0,148000000.0,2824000000.0,753000000.0,2071000000.0,2068000000.0,5.18,0.3212,0.1234,0.1447,0.106,0.0938,3510000000.0,2408000000.0,5.1645,5.1973,5.1973,2071000000.0,2071000000.0,0.1798,0.1184,ETN
2021-06-30 00:00:00,19120000000.0,12958000000.0,6162000000.0,574000000.0,3190000000.0,2398000000.0,459000000.0,-162000000.0,152000000.0,2236000000.0,348000000.0,1888000000.0,1885000000.0,4.72,0.3223,0.1254,0.1169,0.0986,0.1212,3249000000.0,2398000000.0,4.708,4.7344,4.7344,1888000000.0,1888000000.0,0.1699,0.1444,ETN
2021-03-31 00:00:00,17761000000.0,12290000000.0,5471000000.0,546000000.0,3005000000.0,1920000000.0,,-257000000.0,153000000.0,1663000000.0,227000000.0,1436000000.0,1430000000.0,3.58,0.308,0.1081,0.0936,0.0805,0.1399,2740000000.0,1920000000.0,3.582,3.6005,3.6005,1436000000.0,1436000000.0,0.1543,0.1622,ETN
2020-12-31 00:00:00,17858000000.0,12408000000.0,5450000000.0,551000000.0,3075000000.0,1824000000.0,389000000.0,-78000000.0,149000000.0,1746000000.0,331000000.0,1415000000.0,1410000000.0,3.5,0.3052,0.1021,0.0978,0.079,0.1431,2635000000.0,1824000000.0,3.5025,3.5182,3.5182,1415000000.0,1415000000.0,0.1476,0.1649,ETN
2020-09-30 00:00:00,18409000000.0,12786000000.0,5623000000.0,563000000.0,3184000000.0,1876000000.0,,-151000000.0,155000000.0,1725000000.0,333000000.0,1392000000.0,1387000000.0,3.4,0.3054,0.1019,0.0937,0.0753,0.1359,2695000000.0,1876000000.0,3.4025,3.4183,3.4183,1392000000.0,1392000000.0,0.1464,0.1596,ETN
2020-06-30 00:00:00,19197000000.0,13247000000.0,5950000000.0,578000000.0,3315000000.0,2057000000.0,,-139000000.0,161000000.0,1918000000.0,371000000.0,1547000000.0,1542000000.0,3.73,0.3099,0.1072,0.0999,0.0803,0.1359,2896000000.0,2057000000.0,3.7302,3.7469,3.7469,1547000000.0,1547000000.0,0.1509,0.1615,ETN
